Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-10 10:30:18.5, 66.93002, 1.908419, 200, 99.47607
2017-05-10 10:30:33.5, 67.03812, 1.907796, 200, 99.47583
2017-05-10 10:30:48.6, 67.0275, 1.907857, 200, 99.47705
2017-05-10 10:31:03.6, 67.16986, 1.907038, 200, 99.47583
2017-05-10 10:31:18.7, 68.15408, 1.901394, 200, 99.48145
2017-05-10 10:31:33.8, 67.86246, 1.903063, 200, 99.47729
2017-05-10 10:31:48.9, 68.53149, 1.899238, 200, 99.47925
2017-05-10 10:32:03.9, 69.07043, 1.896169, 200, 99.47485
2017-05-10 10:32:19.0, 68.86551, 1.897335, 200, 99.48145
2017-05-10 10:32:34.0, 69.50229, 1.893716, 200, 99.47974
2017-05-10 10:32:49.1, 70.09756, 1.890346, 200, 99.47559
2017-05-10 10:33:04.1, 71.0134, 1.885184, 200, 99.47729
2017-05-10 10:33:19.2, 71.4491, 1.882738, 200, 99.479
2017-05-10 10:33:34.3, 71.80969, 1.880719, 200, 99.47656
2017-05-10 10:33:49.4, 72.32123, 1.877862, 200, 99.47925
2017-05-10 10:34:04.4, 72.75357, 1.875453, 200, 99.47656
2017-05-10 10:34:19.5, 74.00626, 1.86851, 200, 99.47168
2017-05-10 10:34:34.6, 74.27814, 1.867011, 200, 99.47437
2017-05-10 10:34:49.7, 74.80539, 1.864108, 200, 99.4707
2017-05-10 10:35:04.8, 75.61044, 1.859694, 200, 99.47876
2017-05-10 10:35:19.8, 76.13895, 1.856808, 200, 99.47681
2017-05-10 10:35:34.9, 76.44287, 1.855152, 200, 99.48169
2017-05-10 10:35:50.0, 77.57626, 1.849003, 200, 99.47705
2017-05-10 10:36:05.1, 77.64661, 1.848623, 200, 99.47827
2017-05-10 10:36:20.1, 78.01218, 1.84665, 200, 99.47827
2017-05-10 10:36:35.2, 78.23172, 1.845466, 200, 99.47925
2017-05-10 10:36:50.3, 78.8923, 1.841915, 200, 99.48096
2017-05-10 10:37:05.4, 79.41418, 1.839119, 200, 99.47998
2017-05-10 10:37:20.5, 80.03033, 1.835829, 200, 99.47876
2017-05-10 10:37:35.5, 80.5209, 1.833218, 200, 99.48022
2017-05-10 10:37:50.6, 80.85074, 1.831466, 200, 99.48413
2017-05-10 10:38:05.6, 80.79688, 1.831752, 200, 99.47461
2017-05-10 10:38:20.6, 81.07669, 1.830268, 200, 99.47437
2017-05-10 10:38:35.7, 82.5784, 1.822346, 200, 99.47729
2017-05-10 10:38:50.8, 82.65002, 1.82197, 200, 99.47803
2017-05-10 10:39:05.9, 82.93149, 1.820494, 200, 99.47974
2017-05-10 10:39:20.9, 83.12485, 1.819481, 200, 99.47876
2017-05-10 10:39:36.0, 83.74805, 1.816224, 200, 99.47437
2017-05-10 10:39:51.1, 83.31647, 1.818478, 200, 99.47925
2017-05-10 10:40:06.2, 83.47256, 1.817662, 200, 99.47461
