Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-11 17:49:53.2, 69.06937, 2.213564, 200, 99.8894
2017-05-11 17:50:08.3, 68.34146, 2.217388, 200, 99.88721
2017-05-11 17:50:23.3, 67.75848, 2.220461, 200, 99.89014
2017-05-11 17:50:38.4, 66.94785, 2.224747, 200, 99.88623
2017-05-11 17:50:53.5, 66.55951, 2.226806, 200, 99.88306
2017-05-11 17:51:08.6, 65.91452, 2.230235, 200, 99.88281
2017-05-11 17:51:23.6, 65.21896, 2.233945, 200, 99.8811
2017-05-11 17:51:38.7, 64.34229, 2.238638, 200, 99.87671
2017-05-11 17:51:53.8, 63.97485, 2.24061, 200, 99.88013
2017-05-11 17:52:08.8, 63.07156, 2.245475, 200, 99.87866
2017-05-11 17:52:23.8, 62.71689, 2.247391, 200, 99.87573
2017-05-11 17:52:38.9, 61.86517, 2.252005, 200, 99.87598
2017-05-11 17:52:54.0, 61.22607, 2.25548, 200, 99.87183
2017-05-11 17:53:09.1, 60.61731, 2.2588, 200, 99.8728
2017-05-11 17:53:24.2, 60.07599, 2.26176, 200, 99.87646
2017-05-11 17:53:39.2, 60.16666, 2.261264, 200, 99.87231
2017-05-11 17:53:54.2, 61.13193, 2.255993, 200, 99.87183
2017-05-11 17:54:09.3, 61.98627, 2.251348, 200, 99.87378
2017-05-11 17:54:24.4, 63.37466, 2.24384, 200, 99.87085
2017-05-11 17:54:39.4, 64.78732, 2.236253, 200, 99.86987
2017-05-11 17:54:54.6, 66.34152, 2.227964, 200, 99.86914
2017-05-11 17:55:09.6, 67.92303, 2.219593, 200, 99.8689
2017-05-11 17:55:24.7, 69.48547, 2.211384, 200, 99.86621
2017-05-11 17:55:39.7, 70.71222, 2.204981, 200, 99.86792
2017-05-11 17:55:54.8, 72.34091, 2.196537, 200, 99.86816
2017-05-11 17:56:09.9, 73.67337, 2.189677, 200, 99.86499
2017-05-11 17:56:24.9, 74.66763, 2.184586, 200, 99.86572
2017-05-11 17:56:40.0, 75.96799, 2.177963, 200, 99.86743
2017-05-11 17:56:55.1, 76.8385, 2.173552, 200, 99.8645
2017-05-11 17:57:10.2, 77.91931, 2.1681, 200, 99.86621
2017-05-11 17:57:25.3, 78.71024, 2.164128, 200, 99.86279
2017-05-11 17:57:40.4, 79.57254, 2.159813, 200, 99.86597
2017-05-11 17:57:55.4, 80.30304, 2.156172, 200, 99.86816
2017-05-11 17:58:10.5, 80.83273, 2.153539, 200, 99.86304
2017-05-11 17:58:25.6, 81.60077, 2.149733, 200, 99.86304
2017-05-11 17:58:40.6, 81.91858, 2.148162, 200, 99.86816
2017-05-11 17:58:55.7, 82.2959, 2.1463, 200, 99.86597
2017-05-11 17:59:10.8, 82.60535, 2.144775, 200, 99.86963
2017-05-11 17:59:25.8, 83.22455, 2.141731, 200, 99.86548
2017-05-11 17:59:40.8, 83.39606, 2.140889, 200, 99.86816
2017-05-11 17:59:55.9, 83.89624, 2.138438, 200, 99.86743
2017-05-11 18:00:11.0, 84.06152, 2.137629, 200, 99.86914
2017-05-11 18:00:26.1, 84.4671, 2.135647, 200, 99.8689
2017-05-11 18:00:41.1, 84.72461, 2.134391, 200, 99.86841
2017-05-11 18:00:56.1, 84.90991, 2.133487, 200, 99.86938
2017-05-11 18:01:11.1, 85.1059, 2.132533, 200, 99.86475
2017-05-11 18:01:26.2, 85.34189, 2.131385, 200, 99.86816
2017-05-11 18:01:41.3, 85.29581, 2.131609, 200, 99.86548
2017-05-11 18:01:56.3, 85.68396, 2.129723, 200, 99.86597
2017-05-11 18:02:11.4, 85.69107, 2.129688, 200, 99.86792
2017-05-11 18:02:26.5, 85.8327, 2.129001, 200, 99.86914
