Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-12 18:08:20.1, 77.83655, 2.193157, 200, 99.87817
2017-05-12 18:08:35.1, 77.93384, 2.192696, 200, 99.88306
2017-05-12 18:08:50.2, 78.03354, 2.192225, 200, 99.88477
2017-05-12 18:09:05.3, 78.10611, 2.191881, 200, 99.8811
2017-05-12 18:09:20.5, 78.0802, 2.192004, 200, 99.8855
2017-05-12 18:09:35.6, 78.29037, 2.19101, 200, 99.88647
2017-05-12 18:09:50.7, 78.41574, 2.190418, 200, 99.88208
2017-05-12 18:10:05.7, 78.38422, 2.190567, 200, 99.88354
2017-05-12 18:10:20.8, 78.52032, 2.189924, 200, 99.88428
2017-05-12 18:10:35.9, 78.80539, 2.18858, 200, 99.88525
2017-05-12 18:10:50.9, 78.72363, 2.188965, 200, 99.88354
2017-05-12 18:11:06.4, 78.88071, 2.188225, 200, 99.88306
2017-05-12 18:11:21.4, 79.08655, 2.187255, 200, 99.88159
2017-05-12 18:11:36.5, 79.38596, 2.185846, 200, 99.88232
2017-05-12 18:11:51.5, 79.62277, 2.184733, 200, 99.88159
2017-05-12 18:12:06.6, 79.8403, 2.183711, 200, 99.88159
2017-05-12 18:12:21.6, 80.1698, 2.182166, 200, 99.88086
2017-05-12 18:12:36.7, 80.20053, 2.182022, 200, 99.88232
2017-05-12 18:12:51.7, 80.43903, 2.180905, 200, 99.88354
2017-05-12 18:13:06.8, 80.79736, 2.179229, 200, 99.88135
2017-05-12 18:13:21.9, 80.65643, 2.179888, 200, 99.87964
2017-05-12 18:13:37.0, 80.67068, 2.179821, 200, 99.88232
2017-05-12 18:13:52.0, 80.18579, 2.182091, 200, 99.8855
2017-05-12 18:14:07.0, 79.78922, 2.183951, 200, 99.88599
2017-05-12 18:14:22.2, 79.53345, 2.185153, 200, 99.88428
2017-05-12 18:14:37.2, 79.64777, 2.184615, 200, 99.88647
2017-05-12 18:14:52.3, 79.4382, 2.1856, 200, 99.88525
2017-05-12 18:15:07.3, 79.19263, 2.186755, 200, 99.88232
2017-05-12 18:15:22.4, 78.73828, 2.188896, 200, 99.88062
2017-05-12 18:15:37.5, 78.63898, 2.189364, 200, 99.88208
2017-05-12 18:15:52.6, 78.49481, 2.190045, 200, 99.87988
2017-05-12 18:16:07.6, 78.46036, 2.190207, 200, 99.88257
2017-05-12 18:16:22.7, 78.2355, 2.19127, 200, 99.87866
2017-05-12 18:16:37.8, 78.27124, 2.191101, 200, 99.88403
2017-05-12 18:16:52.9, 78.40155, 2.190485, 200, 99.88403
2017-05-12 18:17:08.0, 78.1839, 2.191514, 200, 99.88354
2017-05-12 18:17:23.0, 78.24008, 2.191248, 200, 99.88354
2017-05-12 18:17:38.0, 77.89508, 2.19288, 200, 99.88403
2017-05-12 18:17:53.1, 77.69611, 2.193822, 200, 99.88452
2017-05-12 18:18:08.1, 77.0318, 2.196973, 200, 99.87744
2017-05-12 18:18:23.2, 76.5145, 2.199434, 200, 99.88721
2017-05-12 18:18:38.3, 75.53955, 2.204086, 200, 99.88745
2017-05-12 18:18:53.4, 74.83432, 2.207463, 200, 99.88599
2017-05-12 18:19:08.4, 74.0777, 2.211098, 200, 99.88306
2017-05-12 18:19:23.6, 73.0603, 2.216004, 200, 99.89185
