time.min	mo2	time.bin
0.280468333	4.38	5
0.711623333	3.42	5
1.140676667	4.14	5
1.605311667	4.92	5
2.013458333	2.52	5
2.450873333	3.84	5
2.879981667	2.58	5
3.323696667	2.64	5
3.75488	3.18	5
4.192578333	2.82	5
4.627926667	3.78	5
5.052928333	2.22	10
5.48207	2.34	10
5.913463333	2.76	10
6.353025	2.46	10
6.792595	2.28	10
7.227953333	2.34	10
7.66146	2.1	10
8.080118333	2.28	10
8.519671667	2.04	10
8.95296	2.04	10
9.377911667	2.1	10
9.819615	2.16	10
10.24665	2.04	15
10.68196833	2.1	15
11.12994333	2.16	15
11.546465	2.34	15
11.97762	2.16	15
12.41936667	2.28	15
12.85265167	2.28	15
13.26711167	2.16	15
13.71502333	2.16	15
14.15040333	3.78	15
14.58993333	2.34	15
14.99388833	3.48	15
15.45850167	3.36	20
15.870815	3.3	20
16.74581	2.1	20
17.193805	1.98	20
17.6104	2.1	20
18.01855833	1.98	20
18.50005167	2.22	20
18.91441333	2.22	20
19.34983	2.28	20
19.76215	2.22	20
20.21223	2.4	25
20.637145	2.04	25
21.060095	1.98	25
21.50392	2.04	25
21.92879667	2.1	25
22.387205	2.22	25
22.80157167	2.04	25
23.2328	2.04	25
23.65567333	2.1	25
24.10143	2.04	25
24.54087	1.98	25
24.986675	2.1	25
25.41989	2.04	30
25.85316333	1.98	30
26.28009333	2.16	30
26.72794167	1.92	30
27.15281167	2.16	30
27.58817167	1.92	30
28.019395	1.98	30
28.45264833	2.1	30
28.87747833	1.86	30
29.33168333	1.8	30
29.74615167	1.86	30
30.18574167	1.62	35
30.610575	2.1	35
31.056545	1.98	35
31.49612667	2.04	35
31.91899	1.86	35
32.34804	1.86	35
32.78557	1.68	35
33.220995	1.92	35
33.64391333	1.68	35
34.08338167	1.8	35
34.50623333	1.74	35
34.93318667	1.86	35
35.36240833	1.92	40
35.82505333	1.86	40
36.22496167	1.86	40
36.66644	1.86	40
37.11436333	1.92	40
37.54141667	1.62	40
37.97059167	1.8	40
38.39762167	1.8	40
38.87493667	1.86	40
39.27050667	1.68	40
39.70578	3	40
40.13283333	1.98	45
40.56815333	1.8	45
41.00774667	1.92	45
41.451495	1.74	45
41.87433	1.92	45
42.30967167	1.86	45
42.73672833	1.86	45
43.176345	2.22	45
43.60751833	1.92	45
44.04709	1.86	45
44.47199833	1.92	45
44.91159167	1.86	45
45.31567833	1.8	50
45.757295	1.86	50
46.18844167	1.92	50
46.62372	1.92	50
47.05280833	2.4	50
47.492355	1.86	50
47.94869167	2.1	50
48.38401167	1.86	50
48.80061333	1.98	50
49.24434333	1.8	50
49.68188	1.74	50
50.09219333	1.74	55
50.53792	1.8	55
50.96484	2.04	55
51.41270333	1.8	55
51.83956167	1.8	55
52.26649833	1.8	55
52.72074667	1.74	55
53.128745	1.62	55
53.57460167	1.92	55
54.01622833	1.8	55
54.447435	1.98	55
54.87648333	1.8	55
55.30344667	1.8	60
55.759765	1.98	60
56.172095	1.92	60
56.59914167	1.8	60
57.05325	1.8	60
57.47390667	1.8	60
57.909355	1.56	60
58.34477	1.62	60
58.7613	1.86	60
59.18408667	1.92	60
59.63205667	1.86	60
60.08212833	1.8	65
60.50283333	1.8	65
60.94017	1.74	65
61.37139	1.68	65
61.811045	1.98	65
62.24017167	1.86	65
62.677705	1.5	65
63.11935333	1.86	65
63.55271833	3.48	65
63.983925	1.68	65
64.41512833	1.8	65
64.84419667	1.92	65
65.27736667	1.8	70
65.72543	1.8	70
66.12733667	1.74	70
66.56695833	1.74	70
