DO,MO2
93.23543602,2.16
91.23360128,2.256
88.97347332,2.16
86.96297479,1.824
84.34027646,2.928
81.67980648,3.024
79.24833488,2.112
77.16129579,2.064
75.00569431,2.016
73.07385553,1.824
71.09857313,2.352
69.05242215,2.016
67.01836309,1.92
65.01914618,2.112
63.02366904,2.16
61.05393396,2.256
59.11480264,2.064
57.11072404,2.208
54.95643147,2.208
52.82943921,2.4
47.01210757,1.872
45.02167911,2.016
42.79676729,2.496
40.51956106,2.352
38.37848234,2.112
36.31681134,2.016
34.17567029,2.352
32.05914937,2.16
29.92872898,2.496
27.48921688,2.592
25.23800204,2.256
23.18836061,2.256
21.2448039,1.584
19.32493237,1.968
17.23720765,1.968
15.32487799,2.016
13.34404827,1.872
11.48058489,1.632
9.878219555,1.488
8.503356686,1.344
7.280764648,1.104
6.191619949,0.864
