species,acc_temp,trial_number,loe_order,loe_temp,mass,species_plotting,name,distribution,max_depth,notes
olma,12,1,1,27.6,.,Oligocottus maculosus,Tidepool,intertidal,0,very gravid
olma,12,1,2,28.4,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,3,28.6,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,4,28.8,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,5,29.1,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,6,29.2,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,7,29.4,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,7,29.4,.,Oligocottus maculosus,Tidepool,intertidal,0,
olma,12,1,7,29.4,.,Oligocottus maculosus,Tidepool,intertidal,0,
clgl,12,1,1,25.9,11.8,Clinocottus globiceps,Mosshead,intertidal,0,
clgl,12,1,2,26.6,24.7,Clinocottus globiceps,Mosshead,intertidal,0,
clgl,12,1,3,27.5,5,Clinocottus globiceps,Mosshead,intertidal,0,
clgl,12,1,4,28.4,24.9,Clinocottus globiceps,Mosshead,intertidal,0,
clgl,12,1,4,28.4,4.3,Clinocottus globiceps,Mosshead,intertidal,0,
clgl,12,1,5,28.6,12.5,Clinocottus globiceps,Mosshead,intertidal,0,
scma,12,1,1,27.1,13.8,Scorpaenichthys marmoratus,Cabezon,subtidal,200,spasms
scma,12,1,2,27.5,8.8,Scorpaenichthys marmoratus,Cabezon,subtidal,200,mort
scma,12,1,2,27.5,12.1,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,1,2,27.5,15.6,Scorpaenichthys marmoratus,Cabezon,subtidal,200,spasms
scma,12,1,3,27.8,16.6,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,1,3,27.8,12.5,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,2,1,25.8,15.2,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,2,2,26,19.6,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,2,3,26.5,18.4,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,2,4,26.7,15.2,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
scma,12,2,5,26.8,18.1,Scorpaenichthys marmoratus,Cabezon,subtidal,200,
arla,12,1,1,25.8,12.4,Artedius lateralis,Smoothhead,intertidal,13,
arla,12,1,2,26,13.2,Artedius lateralis,Smoothhead,intertidal,13,
arla,12,1,3,26.9,15.3,Artedius lateralis,Smoothhead,intertidal,13,
arla,12,1,3,26.9,21.2,Artedius lateralis,Smoothhead,intertidal,13,
arla,12,1,4,27.2,23.7,Artedius lateralis,Smoothhead,intertidal,13,
arla,12,1,5,27.4,17.7,Artedius lateralis,Smoothhead,intertidal,13,
enbi,12,1,1,21.7,44.7,Enophrys bison,Buffalo,subtidal,20,
enbi,12,1,2,22,18.2,Enophrys bison,Buffalo,subtidal,20,
enbi,12,1,3,22.3,47.4,Enophrys bison,Buffalo,subtidal,20,
enbi,12,1,4,24.1,25.4,Enophrys bison,Buffalo,subtidal,20,
enbi,12,1,5,27.2,.,Enophrys bison,Buffalo,subtidal,20,stopped ventilating and appeared dead at 28.3 but may not be dead
enbi,12,2,1,20.1,44.1,Enophrys bison,Buffalo,subtidal,20,
enbi,12,2,2,20.5,19.9,Enophrys bison,Buffalo,subtidal,20,
enbi,12,2,3,20.9,46.4,Enophrys bison,Buffalo,subtidal,20,
enbi,12,2,4,21.1,24.1,Enophrys bison,Buffalo,subtidal,20,
enbi,12,2,5,21.5,10.5,Enophrys bison,Buffalo,subtidal,20,
arfe,12,1,1,24.6,49.3,Artedius fenestralis,Padded,subtidal,55,
arfe,12,1,2,25.5,32.7,Artedius fenestralis,Padded,subtidal,55,
arfe,12,1,3,25.7,36.1,Artedius fenestralis,Padded,subtidal,55,very gravid
arfe,12,1,4,26.6,26.7,Artedius fenestralis,Padded,subtidal,55,
arfe,12,1,4,26.6,47.5,Artedius fenestralis,Padded,subtidal,55,
arfe,12,1,5,26.9,44.6,Artedius fenestralis,Padded,subtidal,55,
rhri,12,1,1,24.6,4.5,Rhamphocottus richardsoni,Grunt,subtidal,165,
rhri,12,1,2,24.7,4,Rhamphocottus richardsoni,Grunt,subtidal,165,
arha,12,1,1,22.5,6.9,Artedius harringtoni,Scalyhead,subtidal,21,
arha,12,1,2,24.5,9,Artedius harringtoni,Scalyhead,subtidal,21,
