Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-05 17:46:08.9, 95.86295, 1.443166, 200, 99.86108
2017-07-05 17:46:24.0, 95.43909, 1.445053, 200, 99.8606
2017-07-05 17:46:39.1, 94.79916, 1.447912, 200, 99.85498
2017-07-05 17:46:54.2, 94.50977, 1.449208, 200, 99.8606
2017-07-05 17:47:09.2, 94.21558, 1.450529, 200, 99.85449
2017-07-05 17:47:24.3, 93.89539, 1.451969, 200, 99.86328
2017-07-05 17:47:39.3, 93.59009, 1.453345, 200, 99.85303
2017-07-05 17:47:54.4, 93.44437, 1.454002, 200, 99.85986
2017-07-05 17:48:09.4, 93.13074, 1.455419, 200, 99.85059
2017-07-05 17:48:24.6, 93.13879, 1.455383, 200, 99.85767
2017-07-05 17:48:39.6, 92.93738, 1.456295, 200, 99.85181
2017-07-05 17:48:54.7, 92.98178, 1.456093, 200, 99.86646
2017-07-05 17:49:09.8, 92.82492, 1.456804, 200, 99.85498
2017-07-05 17:49:24.8, 92.73273, 1.457222, 200, 99.85596
2017-07-05 17:49:39.9, 92.84665, 1.456705, 200, 99.85474
2017-07-05 17:49:55.0, 92.52554, 1.458162, 200, 99.85352
2017-07-05 17:50:10.1, 92.61194, 1.45777, 200, 99.85889
2017-07-05 17:50:25.2, 92.74374, 1.457172, 200, 99.85327
2017-07-05 17:50:40.2, 92.62759, 1.457699, 200, 99.85791
2017-07-05 17:50:55.3, 92.54855, 1.458057, 200, 99.84644
2017-07-05 17:51:10.4, 92.72443, 1.457259, 200, 99.85815
2017-07-05 17:51:25.4, 92.51364, 1.458216, 200, 99.84741
2017-07-05 17:51:40.5, 92.62723, 1.4577, 200, 99.85498
2017-07-05 17:51:55.5, 92.74252, 1.457177, 200, 99.84717
2017-07-05 17:52:10.6, 92.62375, 1.457716, 200, 99.85107
2017-07-05 17:52:25.7, 92.79453, 1.456942, 200, 99.84595
2017-07-05 17:52:40.7, 92.80109, 1.456912, 200, 99.85303
2017-07-05 17:52:55.9, 92.8746, 1.456579, 200, 99.85229
2017-07-05 17:53:10.9, 93.05234, 1.455774, 200, 99.85034
2017-07-05 17:53:25.9, 93.05588, 1.455758, 200, 99.85156
2017-07-05 17:53:41.0, 93.08371, 1.455632, 200, 99.84741
2017-07-05 17:53:56.3, 93.27667, 1.45476, 200, 99.84863
2017-07-05 17:54:11.3, 93.17407, 1.455223, 200, 99.85107
2017-07-05 17:54:26.4, 93.33685, 1.454488, 200, 99.84619
2017-07-05 17:54:41.4, 93.40378, 1.454185, 200, 99.84644
2017-07-05 17:54:56.4, 93.32794, 1.454528, 200, 99.8479
