Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-08 17:29:55.6, 91.19962, 1.618352, 200, 99.61597
2017-07-08 17:30:10.6, 91.42792, 1.617516, 200, 99.61426
2017-07-08 17:30:25.7, 91.29904, 1.617988, 200, 99.60791
2017-07-08 17:30:40.7, 91.06653, 1.618839, 200, 99.6167
2017-07-08 17:30:55.8, 90.95132, 1.619262, 200, 99.60742
2017-07-08 17:31:10.9, 90.68585, 1.620235, 200, 99.61377
2017-07-08 17:31:26.0, 90.67337, 1.620281, 200, 99.6106
2017-07-08 17:31:41.1, 90.86627, 1.619573, 200, 99.61328
2017-07-08 17:31:56.2, 91.10989, 1.61868, 200, 99.61133
2017-07-08 17:32:11.2, 90.80301, 1.619805, 200, 99.61011
2017-07-08 17:32:26.3, 91.00171, 1.619077, 200, 99.61206
2017-07-08 17:32:41.4, 90.81555, 1.619759, 200, 99.60767
2017-07-08 17:32:56.5, 90.78839, 1.619859, 200, 99.61523
2017-07-08 17:33:11.5, 90.85864, 1.619601, 200, 99.60986
2017-07-08 17:33:26.7, 90.9931, 1.619108, 200, 99.6106
2017-07-08 17:33:41.7, 90.83548, 1.619686, 200, 99.60767
2017-07-08 17:33:56.8, 90.93481, 1.619322, 200, 99.61426
2017-07-08 17:34:11.8, 90.89038, 1.619485, 200, 99.60718
2017-07-08 17:34:26.9, 90.85449, 1.619617, 200, 99.60962
2017-07-08 17:34:42.0, 90.87881, 1.619527, 200, 99.60767
2017-07-08 17:34:57.1, 90.63229, 1.620432, 200, 99.60938
2017-07-08 17:35:12.1, 90.79675, 1.619828, 200, 99.60938
2017-07-08 17:35:27.2, 90.76007, 1.619963, 200, 99.60596
2017-07-08 17:35:42.3, 90.96982, 1.619194, 200, 99.60913
2017-07-08 17:35:57.4, 90.65543, 1.620347, 200, 99.60449
2017-07-08 17:36:12.4, 90.96417, 1.619215, 200, 99.61157
2017-07-08 17:36:27.5, 90.65213, 1.620359, 200, 99.60278
2017-07-08 17:36:42.6, 90.63724, 1.620414, 200, 99.61206
2017-07-08 17:36:57.7, 90.33682, 1.621518, 200, 99.60498
2017-07-08 17:37:12.7, 90.82434, 1.619727, 200, 99.60547
2017-07-08 17:37:27.8, 90.80734, 1.61979, 200, 99.60547
2017-07-08 17:37:42.8, 90.79849, 1.619822, 200, 99.60571
2017-07-08 17:37:57.9, 90.99274, 1.61911, 200, 99.60376
2017-07-08 17:38:12.9, 90.75623, 1.619977, 200, 99.60156
2017-07-08 17:38:28.1, 90.82523, 1.619724, 200, 99.60498
2017-07-08 17:38:43.2, 90.76331, 1.619951, 200, 99.60107
2017-07-08 17:38:58.3, 90.62045, 1.620475, 200, 99.60474
2017-07-08 17:39:13.3, 90.59396, 1.620573, 200, 99.5979
2017-07-08 17:39:28.4, 90.53577, 1.620787, 200, 99.60571
2017-07-08 17:39:43.5, 90.57626, 1.620638, 200, 99.59766
2017-07-08 17:39:58.6, 90.39508, 1.621303, 200, 99.60474
2017-07-08 17:40:13.7, 90.44766, 1.62111, 200, 99.59692
2017-07-08 17:40:28.7, 90.5358, 1.620786, 200, 99.59961
2017-07-08 17:40:43.8, 90.39597, 1.6213, 200, 99.60034
2017-07-08 17:40:58.9, 90.20743, 1.621993, 200, 99.60083
2017-07-08 17:41:13.9, 90.16269, 1.622158, 200, 99.60107
2017-07-08 17:41:28.9, 90.05396, 1.622558, 200, 99.60034
2017-07-08 17:41:44.0, 90.3674, 1.621405, 200, 99.60303
2017-07-08 17:41:59.1, 90.13947, 1.622243, 200, 99.59961
2017-07-08 17:42:14.2, 89.9024, 1.623116, 200, 99.60132
2017-07-08 17:42:29.2, 89.99261, 1.622784, 200, 99.59717
2017-07-08 17:42:44.3, 90.05356, 1.622559, 200, 99.60522
2017-07-08 17:42:59.4, 89.96573, 1.622883, 200, 99.59521
2017-07-08 17:43:14.4, 90.17001, 1.622131, 200, 99.60205
2017-07-08 17:43:29.5, 89.96429, 1.622888, 200, 99.59253
2017-07-08 17:43:44.6, 90.03815, 1.622616, 200, 99.59985
2017-07-08 17:43:59.7, 89.81326, 1.623444, 200, 99.60669
2017-07-08 17:44:14.8, 89.88272, 1.623188, 200, 99.63965
2017-07-08 17:44:29.8, 89.63095, 1.624116, 200, 99.66675
2017-07-08 17:44:44.8, 89.63873, 1.624088, 200, 99.67993
2017-07-08 17:44:59.9, 89.58383, 1.62429, 200, 99.69702
2017-07-08 17:45:14.9, 89.27121, 1.625444, 200, 99.6853
2017-07-08 17:45:29.9, 89.48087, 1.62467, 200, 99.69824
2017-07-08 17:45:45.0, 89.21689, 1.625645, 200, 99.68896
2017-07-08 17:46:00.1, 89.39053, 1.625004, 200, 99.69238
2017-07-08 17:46:15.2, 89.32657, 1.62524, 200, 99.69434
2017-07-08 17:46:30.3, 89.0462, 1.626276, 200, 99.68726
2017-07-08 17:46:45.3, 88.9295, 1.626708, 200, 99.69727
2017-07-08 17:47:00.3, 88.64639, 1.627756, 200, 99.6875
2017-07-08 17:47:15.4, 88.09964, 1.629784, 200, 99.69678
2017-07-08 17:47:30.5, 87.83566, 1.630765, 200, 99.69458
2017-07-08 17:47:45.5, 87.12527, 1.63341, 200, 99.69312
2017-07-08 17:48:00.6, 86.77844, 1.634705, 200, 99.69922
2017-07-08 17:48:15.7, 86.15414, 1.637041, 200, 99.69702
2017-07-08 17:48:30.8, 85.62805, 1.639014, 200, 99.698
2017-07-08 17:48:45.8, 85.31503, 1.640191, 200, 99.69946
2017-07-08 17:49:00.9, 84.45496, 1.643432, 200, 99.70093
2017-07-08 17:49:16.0, 83.96152, 1.645298, 200, 99.7019
2017-07-08 17:49:31.1, 83.69455, 1.646309, 200, 99.70044
2017-07-08 17:49:46.1, 82.94226, 1.649165, 200, 99.69995
2017-07-08 17:50:01.2, 82.63718, 1.650326, 200, 99.69507
2017-07-08 17:50:16.2, 81.77206, 1.653626, 200, 99.69775
2017-07-08 17:50:31.3, 81.22507, 1.65572, 200, 99.69775
2017-07-08 17:50:46.3, 80.28693, 1.659324, 200, 99.69702
2017-07-08 17:51:01.4, 80.18207, 1.659728, 200, 99.6958
2017-07-08 17:51:16.5, 79.24951, 1.663327, 200, 99.69824
2017-07-08 17:51:31.6, 78.58896, 1.665886, 200, 99.69556
2017-07-08 17:51:46.7, 78.07776, 1.667872, 200, 99.69653
2017-07-08 17:52:01.8, 77.56943, 1.669852, 200, 99.69287
2017-07-08 17:52:16.9, 76.90106, 1.672462, 200, 99.69287
2017-07-08 17:52:32.0, 76.55994, 1.673797, 200, 99.69263
2017-07-08 17:52:47.0, 75.58276, 1.677633, 200, 99.69556
2017-07-08 17:53:02.1, 75.21109, 1.679097, 200, 99.69043
2017-07-08 17:53:17.2, 74.58783, 1.681557, 200, 99.69263
2017-07-08 17:53:32.3, 73.94296, 1.684111, 200, 99.68896
2017-07-08 17:53:47.3, 73.38223, 1.686337, 200, 99.68921
2017-07-08 17:54:02.3, 72.66846, 1.68918, 200, 99.6875
