Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-09 17:46:52.3, 99.98178, 2.045528, 200, 100.9263
2017-07-09 17:47:07.4, 100.0592, 2.045119, 200, 100.9263
2017-07-09 17:47:22.4, 99.97122, 2.045584, 200, 100.9241
2017-07-09 17:47:37.5, 100.0251, 2.045299, 200, 100.926
2017-07-09 17:47:52.6, 100.0973, 2.044918, 200, 100.9233
2017-07-09 17:48:07.7, 100.0533, 2.045151, 200, 100.9253
2017-07-09 17:48:22.7, 98.83789, 2.051592, 200, 100.9187
2017-07-09 17:48:37.8, 97.62585, 2.058056, 200, 100.9275
2017-07-09 17:48:52.9, 96.4465, 2.064385, 200, 100.925
2017-07-09 17:49:07.9, 95.45206, 2.069752, 200, 100.9255
2017-07-09 17:49:23.3, 94.52734, 2.074768, 200, 100.9246
2017-07-09 17:49:38.3, 93.66885, 2.079447, 200, 100.9214
2017-07-09 17:49:53.4, 93.01013, 2.083051, 200, 100.9263
2017-07-09 17:50:08.5, 92.37311, 2.086549, 200, 100.9255
2017-07-09 17:50:23.6, 91.87033, 2.089317, 200, 100.9238
2017-07-09 17:50:38.6, 91.48508, 2.091443, 200, 100.9226
2017-07-09 17:50:53.7, 91.173, 2.093169, 200, 100.9268
2017-07-09 17:51:08.8, 90.85263, 2.094944, 200, 100.9275
2017-07-09 17:51:23.8, 90.76752, 2.095416, 200, 100.9231
2017-07-09 17:51:38.9, 90.54788, 2.096634, 200, 100.9255
2017-07-09 17:51:53.9, 90.50653, 2.096864, 200, 100.926
2017-07-09 17:52:09.0, 90.42062, 2.097341, 200, 100.9248
2017-07-09 17:52:24.1, 90.33176, 2.097835, 200, 100.9243
2017-07-09 17:52:39.1, 90.32095, 2.097895, 200, 100.9231
2017-07-09 17:52:54.3, 90.24609, 2.098311, 200, 100.9248
2017-07-09 17:53:09.3, 90.224, 2.098434, 200, 100.9297
2017-07-09 17:53:24.4, 90.21469, 2.098486, 200, 100.926
2017-07-09 17:53:39.5, 90.29858, 2.09802, 200, 100.9189
2017-07-09 17:53:54.5, 90.25201, 2.098279, 200, 100.9238
2017-07-09 17:54:09.6, 90.26358, 2.098214, 200, 100.9216
2017-07-09 17:54:24.7, 90.29825, 2.098022, 200, 100.9248
2017-07-09 17:54:39.8, 90.30493, 2.097984, 200, 100.9214
2017-07-09 17:54:54.8, 90.33011, 2.097844, 200, 100.9182
2017-07-09 17:55:09.9, 90.37411, 2.0976, 200, 100.9202
2017-07-09 17:55:25.0, 90.37018, 2.097622, 200, 100.918
2017-07-09 17:55:40.1, 90.36783, 2.097635, 200, 100.9153
2017-07-09 17:55:55.1, 90.36517, 2.097649, 200, 100.9211
2017-07-09 17:56:10.2, 90.38742, 2.097526, 200, 100.9214
2017-07-09 17:56:25.3, 90.35953, 2.097681, 200, 100.9209
2017-07-09 17:56:40.4, 90.3591, 2.097683, 200, 100.9177
2017-07-09 17:56:55.4, 90.47266, 2.097052, 200, 100.9194
2017-07-09 17:57:10.5, 90.54712, 2.096639, 200, 100.9187
2017-07-09 17:57:25.6, 90.65317, 2.09605, 200, 100.9233
2017-07-09 17:57:40.7, 90.76694, 2.095419, 200, 100.9192
2017-07-09 17:57:55.7, 90.73853, 2.095577, 200, 100.9133
2017-07-09 17:58:10.8, 90.86255, 2.094889, 200, 100.916
2017-07-09 17:58:25.9, 90.91714, 2.094586, 200, 100.9192
2017-07-09 17:58:40.9, 90.92169, 2.094561, 200, 100.9155
2017-07-09 17:58:55.9, 91.03436, 2.093937, 200, 100.9146
2017-07-09 17:59:11.0, 90.94296, 2.094443, 200, 100.915
2017-07-09 17:59:26.1, 90.95502, 2.094376, 200, 100.9177
2017-07-09 17:59:41.2, 90.9704, 2.094291, 200, 100.9124
2017-07-09 17:59:56.3, 90.92694, 2.094532, 200, 100.9189
2017-07-09 18:00:11.3, 90.74509, 2.09554, 200, 100.915
2017-07-09 18:00:26.4, 90.44995, 2.097178, 200, 100.9124
2017-07-09 18:00:41.4, 90.10242, 2.099111, 200, 100.9138
2017-07-09 18:00:56.5, 89.69571, 2.101377, 200, 100.915
2017-07-09 18:01:11.5, 89.34338, 2.103344, 200, 100.9111
2017-07-09 18:01:26.6, 88.84427, 2.106137, 200, 100.9133
2017-07-09 18:01:41.7, 88.3721, 2.108786, 200, 100.9126
2017-07-09 18:01:56.8, 87.79596, 2.112027, 200, 100.9121
2017-07-09 18:02:11.8, 87.30524, 2.114796, 200, 100.9116
2017-07-09 18:02:26.9, 86.77145, 2.117815, 200, 100.9124
2017-07-09 18:02:42.0, 86.18842, 2.121124, 200, 100.918
2017-07-09 18:02:57.1, 85.52115, 2.124923, 200, 100.9136
2017-07-09 18:03:12.2, 84.87823, 2.128596, 200, 100.9126
2017-07-09 18:03:27.2, 84.32336, 2.131776, 200, 100.9141
2017-07-09 18:03:42.3, 83.64783, 2.135661, 200, 100.9006
2017-07-09 18:03:57.4, 83.07956, 2.13894, 200, 100.8752
2017-07-09 18:04:12.5, 82.52606, 2.142143, 200, 100.8574
2017-07-09 18:04:27.5, 81.94958, 2.14549, 200, 100.8586
2017-07-09 18:04:42.6, 81.36658, 2.148885, 200, 100.8499
2017-07-09 18:04:57.7, 80.75845, 2.152438, 200, 100.855
2017-07-09 18:05:12.8, 80.15009, 2.156004, 200, 100.8425
2017-07-09 18:05:27.8, 79.52121, 2.159703, 200, 100.8508
2017-07-09 18:05:42.9, 78.87341, 2.163527, 200, 100.8379
2017-07-09 18:05:58.0, 78.29434, 2.166956, 200, 100.8352
2017-07-09 18:06:13.0, 77.71448, 2.170401, 200, 100.8418
2017-07-09 18:06:28.1, 77.21051, 2.173404, 200, 100.8328
2017-07-09 18:06:43.2, 76.68091, 2.176568, 200, 100.8472
2017-07-09 18:06:58.3, 76.08188, 2.180159, 200, 100.8284
2017-07-09 18:07:13.5, 75.54379, 2.183394, 200, 100.8445
2017-07-09 18:07:28.5, 75.01959, 2.186555, 200, 100.823
2017-07-09 18:07:43.6, 74.52139, 2.189568, 200, 100.8418
2017-07-09 18:07:58.6, 74.01807, 2.19262, 200, 100.8281
2017-07-09 18:08:13.7, 73.51788, 2.195662, 200, 100.8342
2017-07-09 18:08:28.7, 72.97659, 2.198963, 200, 100.8274
2017-07-09 18:08:43.8, 72.44608, 2.202208, 200, 100.8269
2017-07-09 18:08:58.9, 72.06711, 2.204532, 200, 100.8269
2017-07-09 18:09:14.0, 71.83533, 2.205956, 200, 100.8145
2017-07-09 18:09:29.0, 71.96249, 2.205175, 200, 100.8323
2017-07-09 18:09:44.1, 72.04892, 2.204644, 200, 100.8088
2017-07-09 18:09:59.1, 72.3327, 2.202903, 200, 100.8303
2017-07-09 18:10:14.2, 72.71661, 2.200552, 200, 100.8103
2017-07-09 18:10:29.2, 73.38062, 2.196498, 200, 100.8259
2017-07-09 18:10:44.3, 74.36136, 2.190538, 200, 100.8015
2017-07-09 18:10:59.4, 75.16534, 2.185675, 200, 100.8235
2017-07-09 18:11:14.5, 75.94049, 2.181008, 200, 100.8013
2017-07-09 18:11:29.5, 76.66275, 2.176677, 200, 100.8174
2017-07-09 18:11:44.6, 77.44608, 2.171999, 200, 100.811
2017-07-09 18:11:59.7, 78.26651, 2.167121, 200, 100.811
2017-07-09 18:12:14.8, 79.06662, 2.162385, 200, 100.8147
2017-07-09 18:12:29.8, 79.66168, 2.158876, 200, 100.803
2017-07-09 18:12:44.9, 80.18533, 2.155797, 200, 100.8147
2017-07-09 18:13:00.0, 80.7554, 2.152456, 200, 100.7944
2017-07-09 18:13:15.1, 81.35059, 2.148979, 200, 100.8198
2017-07-09 18:13:30.2, 81.89801, 2.14579, 200, 100.7876
2017-07-09 18:13:45.2, 82.384, 2.142967, 200, 100.8196
2017-07-09 18:14:00.3, 82.89389, 2.140013, 200, 100.7917
2017-07-09 18:14:15.4, 83.41949, 2.136977, 200, 100.814
2017-07-09 18:14:30.5, 83.80713, 2.134744, 200, 100.8008
2017-07-09 18:14:45.5, 84.09961, 2.133061, 200, 100.8088
2017-07-09 18:15:00.6, 84.30746, 2.131867, 200, 100.8015
2017-07-09 18:15:15.6, 84.51303, 2.130688, 200, 100.7966
2017-07-09 18:15:30.7, 84.98282, 2.127997, 200, 100.8074
2017-07-09 18:15:45.7, 85.22733, 2.1266, 200, 100.7917
2017-07-09 18:16:00.8, 85.48712, 2.125117, 200, 100.8149
2017-07-09 18:16:15.9, 85.88126, 2.122871, 200, 100.7825
2017-07-09 18:16:30.9, 86.18011, 2.121171, 200, 100.811
2017-07-09 18:16:46.0, 86.4595, 2.119584, 200, 100.7805
2017-07-09 18:17:01.1, 86.67014, 2.11839, 200, 100.8057
2017-07-09 18:17:16.2, 86.98758, 2.116592, 200, 100.7883
2017-07-09 18:17:31.3, 87.21091, 2.115329, 200, 100.8025
2017-07-09 18:17:46.3, 87.41278, 2.114188, 200, 100.7954
2017-07-09 18:18:01.3, 87.58063, 2.113241, 200, 100.7957
2017-07-09 18:18:16.4, 87.81686, 2.111909, 200, 100.7971
2017-07-09 18:18:31.5, 88.01782, 2.110778, 200, 100.7847
2017-07-09 18:18:46.5, 88.09702, 2.110332, 200, 100.7988
2017-07-09 18:19:01.6, 88.15823, 2.109988, 200, 100.7803
2017-07-09 18:19:16.7, 88.29388, 2.109225, 200, 100.8062
2017-07-09 18:19:31.8, 88.46893, 2.108242, 200, 100.7822
2017-07-09 18:19:46.9, 88.67932, 2.107062, 200, 100.7991
2017-07-09 18:20:01.9, 88.74976, 2.106667, 200, 100.7874
2017-07-09 18:20:17.0, 88.90143, 2.105817, 200, 100.7834
2017-07-09 18:20:32.0, 89.06705, 2.104889, 200, 100.8098
2017-07-09 18:20:47.0, 89.12445, 2.104568, 200, 100.7725
2017-07-09 18:21:02.1, 89.20508, 2.104117, 200, 100.8008
2017-07-09 18:21:17.1, 89.2612, 2.103803, 200, 100.7681
2017-07-09 18:21:32.2, 89.44797, 2.10276, 200, 100.7957
2017-07-09 18:21:47.3, 89.39685, 2.103045, 200, 100.7717
2017-07-09 18:22:02.3, 89.56958, 2.102081, 200, 100.7905
2017-07-09 18:22:17.4, 89.71268, 2.101282, 200, 100.7766
2017-07-09 18:22:32.5, 89.72397, 2.101219, 200, 100.7827
2017-07-09 18:22:47.6, 89.75922, 2.101023, 200, 100.7852
2017-07-09 18:23:02.6, 89.84445, 2.100548, 200, 100.7761
2017-07-09 18:23:17.7, 89.87134, 2.100398, 200, 100.783
2017-07-09 18:23:32.8, 89.93439, 2.100047, 200, 100.772
2017-07-09 18:23:47.9, 90.01987, 2.099571, 200, 100.7769
2017-07-09 18:24:02.9, 89.94003, 2.100015, 200, 100.7717
2017-07-09 18:24:18.0, 89.94507, 2.099987, 200, 100.7917
2017-07-09 18:24:33.1, 89.94275, 2.1, 200, 100.761
2017-07-09 18:24:48.2, 89.9476, 2.099973, 200, 100.7937
2017-07-09 18:25:03.2, 89.94357, 2.099995, 200, 100.762
2017-07-09 18:25:18.3, 89.93649, 2.100035, 200, 100.7917
2017-07-09 18:25:33.4, 89.8772, 2.100365, 200, 100.7664
2017-07-09 18:25:48.5, 89.84531, 2.100543, 200, 100.7896
2017-07-09 18:26:03.5, 89.83203, 2.100617, 200, 100.7656
2017-07-09 18:26:18.6, 89.82205, 2.100672, 200, 100.7795
2017-07-09 18:26:33.7, 89.82245, 2.10067, 200, 100.7729
2017-07-09 18:26:48.8, 89.71515, 2.101269, 200, 100.772
2017-07-09 18:27:03.8, 89.7919, 2.100841, 200, 100.7769
2017-07-09 18:27:18.8, 89.71939, 2.101245, 200, 100.7656
2017-07-09 18:27:33.9, 89.75558, 2.101043, 200, 100.7905
2017-07-09 18:27:49.0, 89.77454, 2.100937, 200, 100.7583
2017-07-09 18:28:04.1, 89.80124, 2.100789, 200, 100.7842
2017-07-09 18:28:19.1, 89.74179, 2.10112, 200, 100.7632
2017-07-09 18:28:34.2, 89.74832, 2.101084, 200, 100.783
2017-07-09 18:28:49.3, 89.63489, 2.101716, 200, 100.7678
2017-07-09 18:29:04.4, 89.30884, 2.103537, 200, 100.7747
2017-07-09 18:29:19.4, 89.04242, 2.105027, 200, 100.7725
2017-07-09 18:29:34.5, 88.61258, 2.107436, 200, 100.7622
2017-07-09 18:29:49.6, 88.16013, 2.109977, 200, 100.7815
2017-07-09 18:30:04.7, 87.70477, 2.112541, 200, 100.7622
2017-07-09 18:30:19.7, 87.23419, 2.115197, 200, 100.7856
