Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-10 17:37:30.6, 99.90158, 2.042087, 200, 100.866
2017-07-10 17:37:45.6, 99.89551, 2.042119, 200, 100.8645
2017-07-10 17:38:00.7, 99.88733, 2.042162, 200, 100.8677
2017-07-10 17:38:15.8, 99.86871, 2.042261, 200, 100.8694
2017-07-10 17:38:30.8, 99.87125, 2.042248, 200, 100.8689
2017-07-10 17:38:45.8, 99.92633, 2.041955, 200, 100.8662
2017-07-10 17:39:00.9, 99.93082, 2.041931, 200, 100.8706
2017-07-10 17:39:16.0, 100.0292, 2.04141, 200, 100.8647
2017-07-10 17:39:31.1, 100.1102, 2.04098, 200, 100.8628
2017-07-10 17:39:46.1, 99.67355, 2.043297, 200, 100.8684
2017-07-10 17:40:01.3, 99.25327, 2.045532, 200, 100.8704
2017-07-10 17:40:16.3, 98.89584, 2.047437, 200, 100.8699
2017-07-10 17:40:31.4, 98.45401, 2.049797, 200, 100.8689
2017-07-10 17:40:46.4, 98.29416, 2.050651, 200, 100.8694
2017-07-10 17:41:01.5, 97.93143, 2.052594, 200, 100.866
2017-07-10 17:41:16.6, 97.84604, 2.053052, 200, 100.8679
2017-07-10 17:41:31.7, 97.6059, 2.054341, 200, 100.8652
2017-07-10 17:41:46.7, 97.46063, 2.055121, 200, 100.8684
2017-07-10 17:42:01.8, 97.42184, 2.05533, 200, 100.8706
2017-07-10 17:42:16.9, 97.2959, 2.056007, 200, 100.8684
2017-07-10 17:42:31.9, 97.09991, 2.057061, 200, 100.8667
2017-07-10 17:42:46.9, 97.03979, 2.057385, 200, 100.8669
2017-07-10 17:43:02.0, 97.00922, 2.05755, 200, 100.8691
2017-07-10 17:43:17.1, 96.95187, 2.057859, 200, 100.8672
2017-07-10 17:43:32.2, 96.89502, 2.058165, 200, 100.8696
2017-07-10 17:43:47.2, 96.88876, 2.058199, 200, 100.8728
2017-07-10 17:44:02.4, 96.85809, 2.058364, 200, 100.8706
2017-07-10 17:44:17.4, 96.88608, 2.058213, 200, 100.8679
2017-07-10 17:44:32.5, 96.86874, 2.058307, 200, 100.8701
2017-07-10 17:44:47.6, 96.86182, 2.058344, 200, 100.8679
2017-07-10 17:45:02.6, 96.81839, 2.058578, 200, 100.8708
2017-07-10 17:45:17.7, 96.8541, 2.058386, 200, 100.8665
2017-07-10 17:45:32.8, 96.91614, 2.058051, 200, 100.8691
2017-07-10 17:45:47.9, 96.81177, 2.058614, 200, 100.8667
2017-07-10 17:46:02.9, 96.80637, 2.058643, 200, 100.8691
2017-07-10 17:46:18.0, 96.77026, 2.058838, 200, 100.866
2017-07-10 17:46:33.1, 96.75275, 2.058932, 200, 100.8657
2017-07-10 17:46:48.2, 96.73846, 2.059009, 200, 100.8696
2017-07-10 17:47:03.2, 96.73584, 2.059024, 200, 100.8665
2017-07-10 17:47:18.3, 96.69336, 2.059253, 200, 100.8691
2017-07-10 17:47:33.4, 96.74847, 2.058955, 200, 100.8691
2017-07-10 17:47:48.5, 96.6947, 2.059246, 200, 100.8684
2017-07-10 17:48:03.5, 96.70737, 2.059177, 200, 100.8679
2017-07-10 17:48:18.6, 96.6947, 2.059246, 200, 100.8655
2017-07-10 17:48:33.7, 96.82571, 2.058539, 200, 100.8672
2017-07-10 17:48:48.8, 97.06512, 2.057249, 200, 100.8684
2017-07-10 17:49:03.9, 97.22421, 2.056392, 200, 100.8687
2017-07-10 17:49:18.9, 97.32712, 2.055839, 200, 100.8669
2017-07-10 17:49:34.0, 97.36282, 2.055647, 200, 100.8655
2017-07-10 17:49:49.1, 97.34976, 2.055717, 200, 100.8699
2017-07-10 17:50:04.2, 97.43112, 2.05528, 200, 100.8706
2017-07-10 17:50:19.2, 97.49484, 2.054937, 200, 100.8687
2017-07-10 17:50:34.2, 97.49268, 2.054949, 200, 100.8682
2017-07-10 17:50:49.3, 97.40341, 2.055429, 200, 100.8657
2017-07-10 17:51:04.4, 97.27411, 2.056124, 200, 100.8669
2017-07-10 17:51:19.4, 97.10989, 2.057008, 200, 100.8655
2017-07-10 17:51:34.5, 96.85928, 2.058358, 200, 100.8599
2017-07-10 17:51:49.6, 96.65704, 2.059449, 200, 100.865
2017-07-10 17:52:04.7, 96.35809, 2.061063, 200, 100.8643
2017-07-10 17:52:19.7, 95.98611, 2.063076, 200, 100.8669
2017-07-10 17:52:34.8, 95.62036, 2.065058, 200, 100.866
2017-07-10 17:52:49.9, 95.20633, 2.067308, 200, 100.866
2017-07-10 17:53:05.0, 94.75208, 2.069781, 200, 100.865
2017-07-10 17:53:20.1, 94.28604, 2.072324, 200, 100.8672
2017-07-10 17:53:35.1, 93.84079, 2.07476, 200, 100.8684
2017-07-10 17:53:50.2, 93.41431, 2.077099, 200, 100.8696
2017-07-10 17:54:05.3, 92.88513, 2.080008, 200, 100.8687
2017-07-10 17:54:20.3, 92.39096, 2.082732, 200, 100.866
2017-07-10 17:54:35.4, 91.89255, 2.085486, 200, 100.8679
2017-07-10 17:54:50.5, 91.40305, 2.088199, 200, 100.8691
2017-07-10 17:55:05.6, 90.96024, 2.090658, 200, 100.8696
2017-07-10 17:55:20.6, 90.49313, 2.09326, 200, 100.8677
2017-07-10 17:55:35.7, 89.95441, 2.096267, 200, 100.8721
2017-07-10 17:55:50.8, 89.47736, 2.098938, 200, 100.8677
2017-07-10 17:56:06.0, 89.00278, 2.101602, 200, 100.8694
2017-07-10 17:56:21.0, 88.5715, 2.104028, 200, 100.8662
2017-07-10 17:56:36.1, 88.11362, 2.106611, 200, 100.8684
2017-07-10 17:56:51.2, 87.62613, 2.109367, 200, 100.8665
2017-07-10 17:57:06.3, 87.1337, 2.112159, 200, 100.865
2017-07-10 17:57:21.4, 86.65286, 2.114892, 200, 100.8647
2017-07-10 17:57:36.4, 86.22061, 2.117355, 200, 100.8647
2017-07-10 17:57:51.5, 85.75906, 2.119991, 200, 100.8662
2017-07-10 17:58:06.6, 85.25876, 2.122856, 200, 100.8667
2017-07-10 17:58:21.7, 84.76938, 2.125666, 200, 100.8599
2017-07-10 17:58:36.7, 84.32629, 2.128216, 200, 100.865
2017-07-10 17:58:51.8, 83.83533, 2.131049, 200, 100.8625
2017-07-10 17:59:07.0, 83.41736, 2.133467, 200, 100.865
2017-07-10 17:59:22.1, 82.96597, 2.136085, 200, 100.8672
2017-07-10 17:59:37.1, 82.46188, 2.139015, 200, 100.8684
2017-07-10 17:59:52.2, 81.99658, 2.141728, 200, 100.866
2017-07-10 18:00:07.3, 81.53552, 2.144422, 200, 100.8655
2017-07-10 18:00:22.4, 81.91504, 2.142204, 200, 100.8679
2017-07-10 18:00:37.4, 83.10095, 2.135301, 200, 100.8672
2017-07-10 18:00:52.5, 84.93829, 2.124695, 200, 100.8745
2017-07-10 18:01:07.7, 87.00659, 2.11288, 200, 100.8684
2017-07-10 18:01:22.8, 88.81662, 2.102649, 200, 100.874
2017-07-10 18:01:37.9, 90.47708, 2.093349, 200, 100.8696
2017-07-10 18:01:52.9, 91.68018, 2.086662, 200, 100.8687
2017-07-10 18:02:08.0, 92.68039, 2.081136, 200, 100.8662
2017-07-10 18:02:23.1, 93.49786, 2.07664, 200, 100.8716
2017-07-10 18:02:38.1, 94.21222, 2.072728, 200, 100.8674
2017-07-10 18:02:53.2, 94.74481, 2.06982, 200, 100.8735
2017-07-10 18:03:08.3, 95.23138, 2.067171, 200, 100.873
2017-07-10 18:03:23.4, 95.60382, 2.065148, 200, 100.8711
2017-07-10 18:03:38.5, 95.86005, 2.063759, 200, 100.8708
2017-07-10 18:03:53.5, 96.12485, 2.062325, 200, 100.8723
2017-07-10 18:04:08.6, 96.33026, 2.061214, 200, 100.8718
2017-07-10 18:04:23.7, 96.51773, 2.060201, 200, 100.8662
2017-07-10 18:04:38.8, 96.6748, 2.059353, 200, 100.8728
2017-07-10 18:04:53.8, 96.77972, 2.058787, 200, 100.8684
2017-07-10 18:05:08.8, 96.8161, 2.058591, 200, 100.8704
2017-07-10 18:05:23.9, 96.92648, 2.057996, 200, 100.8706
2017-07-10 18:05:39.0, 96.99197, 2.057643, 200, 100.8711
2017-07-10 18:05:54.0, 96.98276, 2.057693, 200, 100.8694
2017-07-10 18:06:09.1, 96.92252, 2.058017, 200, 100.8713
2017-07-10 18:06:24.2, 96.85272, 2.058393, 200, 100.8706
2017-07-10 18:06:39.3, 96.78995, 2.058732, 200, 100.8733
2017-07-10 18:06:54.3, 96.75357, 2.058928, 200, 100.8711
