Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-11 17:48:59.2, 88.77692, 1.623481, 200, 99.69629
2017-07-11 17:49:14.2, 88.64084, 1.623984, 200, 99.70117
2017-07-11 17:49:29.3, 88.56058, 1.624281, 200, 99.69263
2017-07-11 17:49:44.3, 88.53928, 1.624359, 200, 99.69434
2017-07-11 17:49:59.3, 88.60123, 1.62413, 200, 99.69238
2017-07-11 17:50:14.4, 88.4455, 1.624706, 200, 99.69434
2017-07-11 17:50:29.5, 88.32635, 1.625147, 200, 99.68848
2017-07-11 17:50:44.6, 88.66068, 1.623911, 200, 99.69336
2017-07-11 17:50:59.6, 88.392, 1.624904, 200, 99.68945
2017-07-11 17:51:14.7, 88.27051, 1.625354, 200, 99.69238
2017-07-11 17:51:29.8, 88.41437, 1.624821, 200, 99.69141
2017-07-11 17:51:44.8, 88.14871, 1.625805, 200, 99.68384
2017-07-11 17:51:59.9, 88.15701, 1.625774, 200, 99.68555
2017-07-11 17:52:15.0, 88.06027, 1.626133, 200, 99.69043
2017-07-11 17:52:30.1, 87.94989, 1.626542, 200, 99.68726
2017-07-11 17:52:45.1, 88.4144, 1.624821, 200, 99.69043
2017-07-11 17:53:00.2, 88.08899, 1.626026, 200, 99.68994
2017-07-11 17:53:15.3, 88.16696, 1.625737, 200, 99.68726
2017-07-11 17:53:30.4, 88.16449, 1.625746, 200, 99.68579
2017-07-11 17:53:45.5, 88.39053, 1.62491, 200, 99.68555
2017-07-11 17:54:00.6, 88.34091, 1.625093, 200, 99.68457
2017-07-11 17:54:15.6, 88.06015, 1.626133, 200, 99.68408
2017-07-11 17:54:30.6, 87.93112, 1.626612, 200, 99.68042
2017-07-11 17:54:45.7, 88.09006, 1.626022, 200, 99.68408
2017-07-11 17:55:00.7, 88.06631, 1.62611, 200, 99.67822
2017-07-11 17:55:15.8, 88.09021, 1.626022, 200, 99.68555
2017-07-11 17:55:30.9, 88.21359, 1.625565, 200, 99.67773
2017-07-11 17:55:46.0, 87.9136, 1.626677, 200, 99.68262
2017-07-11 17:56:01.0, 88.12955, 1.625876, 200, 99.67798
2017-07-11 17:56:16.1, 88.24765, 1.625439, 200, 99.67773
2017-07-11 17:56:31.1, 88.12741, 1.625884, 200, 99.6792
2017-07-11 17:56:46.2, 88.1171, 1.625922, 200, 99.67969
2017-07-11 17:57:01.2, 88.27026, 1.625355, 200, 99.67627
2017-07-11 17:57:16.3, 88.15341, 1.625788, 200, 99.67383
2017-07-11 17:57:31.4, 88.43939, 1.624729, 200, 99.67993
2017-07-11 17:57:46.5, 88.32047, 1.625169, 200, 99.67871
2017-07-11 17:58:01.6, 88.32294, 1.62516, 200, 99.67651
2017-07-11 17:58:16.6, 88.34653, 1.625072, 200, 99.67627
2017-07-11 17:58:31.7, 88.15848, 1.625769, 200, 99.67139
2017-07-11 17:58:46.8, 88.13403, 1.625859, 200, 99.67432
2017-07-11 17:59:01.9, 88.21497, 1.62556, 200, 99.67236
2017-07-11 17:59:16.9, 88.4277, 1.624772, 200, 99.66797
2017-07-11 17:59:32.0, 88.12256, 1.625902, 200, 99.66919
2017-07-11 17:59:47.1, 88.27356, 1.625343, 200, 99.6709
