Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-11 17:49:28.4, 80.2431, 2.159603, 200, 100.876
2017-07-11 17:49:43.5, 80.23221, 2.159666, 200, 100.8782
2017-07-11 17:49:58.5, 80.09839, 2.160447, 200, 100.8723
2017-07-11 17:50:13.6, 80.05011, 2.160729, 200, 100.875
2017-07-11 17:50:28.7, 79.91125, 2.16154, 200, 100.8757
2017-07-11 17:50:43.8, 79.81769, 2.162086, 200, 100.877
2017-07-11 17:50:58.9, 79.78583, 2.162273, 200, 100.8728
2017-07-11 17:51:13.9, 79.72372, 2.162636, 200, 100.8701
2017-07-11 17:51:29.0, 79.70676, 2.162735, 200, 100.8718
2017-07-11 17:51:44.1, 79.716, 2.162681, 200, 100.8706
2017-07-11 17:51:59.2, 79.67514, 2.16292, 200, 100.875
2017-07-11 17:52:14.3, 79.64401, 2.163102, 200, 100.8767
2017-07-11 17:52:29.3, 79.60275, 2.163343, 200, 100.8743
2017-07-11 17:52:44.4, 79.52167, 2.163818, 200, 100.8755
2017-07-11 17:52:59.5, 79.4711, 2.164114, 200, 100.875
2017-07-11 17:53:14.5, 79.43478, 2.164327, 200, 100.8723
2017-07-11 17:53:29.7, 79.45532, 2.164207, 200, 100.8687
2017-07-11 17:53:44.8, 79.40347, 2.16451, 200, 100.874
2017-07-11 17:53:59.9, 79.40466, 2.164503, 200, 100.8696
2017-07-11 17:54:15.0, 79.33572, 2.164907, 200, 100.8748
2017-07-11 17:54:30.0, 79.34219, 2.164869, 200, 100.8682
2017-07-11 17:54:45.1, 79.3927, 2.164573, 200, 100.8708
2017-07-11 17:55:00.2, 79.37009, 2.164706, 200, 100.8684
2017-07-11 17:55:15.3, 79.39539, 2.164558, 200, 100.8721
2017-07-11 17:55:30.3, 79.41693, 2.164431, 200, 100.8684
2017-07-11 17:55:45.4, 79.39099, 2.164583, 200, 100.8704
2017-07-11 17:56:00.5, 79.34726, 2.16484, 200, 100.8699
2017-07-11 17:56:15.6, 79.39645, 2.164551, 200, 100.8694
2017-07-11 17:56:30.6, 79.30289, 2.1651, 200, 100.8667
2017-07-11 17:56:45.7, 79.28339, 2.165214, 200, 100.8684
2017-07-11 17:57:00.8, 79.358, 2.164777, 200, 100.8704
2017-07-11 17:57:15.9, 79.28891, 2.165182, 200, 100.8718
2017-07-11 17:57:30.9, 79.25406, 2.165386, 200, 100.8743
2017-07-11 17:57:46.0, 79.24368, 2.165447, 200, 100.8682
2017-07-11 17:58:01.1, 79.23608, 2.165491, 200, 100.8716
2017-07-11 17:58:16.2, 79.26733, 2.165308, 200, 100.8689
2017-07-11 17:58:31.3, 79.31992, 2.165, 200, 100.8682
2017-07-11 17:58:46.3, 79.29614, 2.165139, 200, 100.8684
2017-07-11 17:59:01.4, 79.30368, 2.165095, 200, 100.8687
2017-07-11 17:59:16.4, 79.31732, 2.165015, 200, 100.8665
2017-07-11 17:59:31.4, 79.28235, 2.16522, 200, 100.8687
2017-07-11 17:59:46.5, 79.30118, 2.16511, 200, 100.8665
2017-07-11 18:00:01.6, 79.29852, 2.165125, 200, 100.8667
2017-07-11 18:00:16.7, 79.16, 2.165937, 200, 100.8691
2017-07-11 18:00:31.8, 79.0687, 2.166473, 200, 100.8684
2017-07-11 18:00:46.8, 79.04504, 2.166612, 200, 100.8679
2017-07-11 18:01:01.9, 78.89014, 2.167522, 200, 100.8706
2017-07-11 18:01:17.0, 78.48209, 2.169921, 200, 100.8694
2017-07-11 18:01:32.1, 78.02164, 2.172636, 200, 100.8691
2017-07-11 18:01:47.1, 77.3158, 2.17681, 200, 100.8699
2017-07-11 18:02:02.2, 76.5177, 2.181549, 200, 100.8674
2017-07-11 18:02:17.3, 75.6261, 2.186867, 200, 100.8684
2017-07-11 18:02:32.4, 74.69052, 2.192477, 200, 100.8647
2017-07-11 18:02:47.5, 73.58359, 2.19915, 200, 100.8694
