Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-11 17:49:52.5, 85.48648, 1.458428, 200, 100.1106
2017-07-11 17:50:07.6, 85.30887, 1.459283, 200, 100.1106
2017-07-11 17:50:22.7, 85.05878, 1.460488, 200, 100.1082
2017-07-11 17:50:37.7, 84.98993, 1.46082, 200, 100.1116
2017-07-11 17:50:52.8, 84.87189, 1.461389, 200, 100.1101
2017-07-11 17:51:07.8, 84.69376, 1.46225, 200, 100.1099
2017-07-11 17:51:22.9, 84.56833, 1.462857, 200, 100.1101
2017-07-11 17:51:37.9, 84.38574, 1.46374, 200, 100.1089
2017-07-11 17:51:52.9, 84.34207, 1.463952, 200, 100.106
2017-07-11 17:52:08.0, 84.31488, 1.464084, 200, 100.1045
2017-07-11 17:52:23.1, 84.18155, 1.46473, 200, 100.106
2017-07-11 17:52:38.2, 84.09412, 1.465154, 200, 100.1067
2017-07-11 17:52:53.3, 84.18564, 1.46471, 200, 100.1057
2017-07-11 17:53:08.3, 83.96738, 1.465769, 200, 100.1042
2017-07-11 17:53:23.4, 83.90326, 1.466081, 200, 100.1072
2017-07-11 17:53:38.5, 83.80902, 1.466539, 200, 100.1062
2017-07-11 17:53:53.5, 83.94748, 1.465866, 200, 100.103
2017-07-11 17:54:08.5, 83.79337, 1.466615, 200, 100.1062
2017-07-11 17:54:23.7, 83.75821, 1.466786, 200, 100.1064
2017-07-11 17:54:38.8, 83.75848, 1.466785, 200, 100.1062
2017-07-11 17:54:53.8, 83.65292, 1.467298, 200, 100.1052
2017-07-11 17:55:08.9, 83.74124, 1.466869, 200, 100.1045
2017-07-11 17:55:24.0, 83.62338, 1.467442, 200, 100.1038
2017-07-11 17:55:39.0, 83.57031, 1.4677, 200, 100.1035
2017-07-11 17:55:54.2, 83.62378, 1.46744, 200, 100.1008
2017-07-11 17:56:09.2, 83.64285, 1.467347, 200, 100.1003
2017-07-11 17:56:24.3, 83.71808, 1.466981, 200, 100.0994
2017-07-11 17:56:39.4, 83.56384, 1.467732, 200, 100.0996
2017-07-11 17:56:54.4, 83.58606, 1.467624, 200, 100.0974
2017-07-11 17:57:09.5, 83.64093, 1.467357, 200, 100.1016
2017-07-11 17:57:24.6, 83.65878, 1.46727, 200, 100.1035
2017-07-11 17:57:39.7, 83.75339, 1.466809, 200, 100.0991
2017-07-11 17:57:54.8, 83.52917, 1.467901, 200, 100.0996
2017-07-11 17:58:09.8, 83.46057, 1.468235, 200, 100.0996
2017-07-11 17:58:24.8, 83.49945, 1.468046, 200, 100.0974
2017-07-11 17:58:39.9, 83.55066, 1.467796, 200, 100.0959
2017-07-11 17:58:55.0, 83.60162, 1.467548, 200, 100.093
2017-07-11 17:59:10.0, 83.55734, 1.467764, 200, 100.0989
2017-07-11 17:59:25.1, 83.5791, 1.467658, 200, 100.094
2017-07-11 17:59:40.2, 83.47229, 1.468178, 200, 100.0996
2017-07-11 17:59:55.2, 83.51187, 1.467985, 200, 100.0974
2017-07-11 18:00:10.3, 83.50439, 1.468022, 200, 100.095
2017-07-11 18:00:25.4, 83.57333, 1.467686, 200, 100.0991
2017-07-11 18:00:40.5, 83.59216, 1.467594, 200, 100.0991
2017-07-11 18:00:55.5, 83.59613, 1.467575, 200, 100.0979
2017-07-11 18:01:10.6, 83.55017, 1.467798, 200, 100.0962
2017-07-11 18:01:25.7, 83.38544, 1.468601, 200, 100.0974
2017-07-11 18:01:40.8, 83.17941, 1.469606, 200, 100.0996
2017-07-11 18:01:55.9, 82.91306, 1.470908, 200, 100.0969
2017-07-11 18:02:11.1, 82.6991, 1.471955, 200, 100.0974
2017-07-11 18:02:26.1, 82.4628, 1.473114, 200, 100.0957
2017-07-11 18:02:41.2, 81.92596, 1.475752, 200, 100.0977
2017-07-11 18:02:56.3, 81.60275, 1.477345, 200, 100.0957
2017-07-11 18:03:11.3, 81.01675, 1.480242, 200, 100.0979
2017-07-11 18:03:26.4, 80.56607, 1.482477, 200, 100.0959
2017-07-11 18:03:41.5, 79.92496, 1.485669, 200, 100.0947
2017-07-11 18:03:56.6, 79.35294, 1.488529, 200, 100.0981
2017-07-11 18:04:11.7, 78.75, 1.491555, 200, 100.1021
2017-07-11 18:04:26.7, 78.00818, 1.495295, 200, 100.0974
2017-07-11 18:04:41.8, 77.36249, 1.498566, 200, 100.1006
2017-07-11 18:04:56.9, 76.80008, 1.501427, 200, 100.0989
2017-07-11 18:05:12.0, 75.88757, 1.506091, 200, 100.1006
2017-07-11 18:05:27.0, 75.20267, 1.509611, 200, 100.1018
2017-07-11 18:05:42.1, 74.46274, 1.513433, 200, 100.0989
2017-07-11 18:05:57.2, 73.53741, 1.518239, 200, 100.0969
2017-07-11 18:06:12.3, 72.772, 1.522238, 200, 100.0974
2017-07-11 18:06:27.4, 71.99203, 1.526335, 200, 100.1003
2017-07-11 18:06:42.5, 71.09299, 1.531084, 200, 100.0981
2017-07-11 18:06:57.6, 70.08276, 1.536457, 200, 100.0986
2017-07-11 18:07:12.7, 69.35092, 1.540372, 200, 100.0969
2017-07-11 18:07:27.7, 68.47226, 1.5451, 200, 100.0959
2017-07-11 18:07:42.8, 67.58081, 1.549926, 200, 100.094
2017-07-11 18:07:57.9, 66.65738, 1.554956, 200, 100.0935
2017-07-11 18:08:13.0, 65.83585, 1.55946, 200, 100.0938
2017-07-11 18:08:28.1, 65.1622, 1.563172, 200, 100.0938
2017-07-11 18:08:43.1, 64.56738, 1.566465, 200, 100.0903
2017-07-11 18:08:58.2, 64.147, 1.5688, 200, 100.092
2017-07-11 18:09:13.3, 63.9537, 1.569876, 200, 100.0947
2017-07-11 18:09:28.4, 63.90421, 1.570152, 200, 100.0933
2017-07-11 18:09:43.4, 63.83258, 1.570551, 200, 100.0933
2017-07-11 18:09:58.5, 63.93405, 1.569986, 200, 100.0945
2017-07-11 18:10:13.6, 64.2211, 1.568388, 200, 100.0908
2017-07-11 18:10:28.7, 64.53647, 1.566636, 200, 100.0911
2017-07-11 18:10:43.7, 64.91861, 1.564519, 200, 100.0928
2017-07-11 18:10:58.8, 65.4053, 1.56183, 200, 100.0903
2017-07-11 18:11:13.9, 65.89346, 1.559143, 200, 100.0916
2017-07-11 18:11:29.0, 66.41672, 1.556273, 200, 100.093
2017-07-11 18:11:44.0, 66.8815, 1.553732, 200, 100.0911
2017-07-11 18:11:59.2, 67.45227, 1.550624, 200, 100.0901
2017-07-11 18:12:14.3, 68.02615, 1.547511, 200, 100.092
2017-07-11 18:12:29.4, 68.60077, 1.544406, 200, 100.0933
2017-07-11 18:12:44.4, 69.12955, 1.54156, 200, 100.0911
2017-07-11 18:12:59.5, 69.58444, 1.539121, 200, 100.0898
2017-07-11 18:13:14.6, 70.23059, 1.535668, 200, 100.0945
2017-07-11 18:13:29.7, 70.81122, 1.532579, 200, 100.0938
2017-07-11 18:13:44.7, 71.34811, 1.529734, 200, 100.0916
2017-07-11 18:13:59.7, 72.07306, 1.525908, 200, 100.094
2017-07-11 18:14:14.8, 72.37296, 1.524331, 200, 100.0935
2017-07-11 18:14:29.9, 72.87936, 1.521676, 200, 100.0957
2017-07-11 18:14:44.9, 73.56735, 1.518083, 200, 100.0935
2017-07-11 18:15:00.0, 74.05984, 1.515522, 200, 100.0874
2017-07-11 18:15:15.1, 74.41403, 1.513685, 200, 100.0911
2017-07-11 18:15:30.2, 74.90106, 1.511167, 200, 100.0942
2017-07-11 18:15:45.2, 75.42227, 1.508481, 200, 100.0916
2017-07-11 18:16:00.3, 75.75742, 1.506759, 200, 100.092
2017-07-11 18:16:15.4, 76.13812, 1.504807, 200, 100.0945
2017-07-11 18:16:30.5, 76.6824, 1.502026, 200, 100.093
2017-07-11 18:16:45.5, 77.01083, 1.500353, 200, 100.0923
2017-07-11 18:17:00.6, 77.4447, 1.498149, 200, 100.0994
2017-07-11 18:17:15.7, 77.71567, 1.496775, 200, 100.0945
2017-07-11 18:17:30.8, 77.97327, 1.495472, 200, 100.095
2017-07-11 18:17:45.9, 78.23996, 1.494125, 200, 100.0938
2017-07-11 18:18:00.9, 78.59216, 1.492349, 200, 100.0945
2017-07-11 18:18:16.0, 78.68112, 1.491902, 200, 100.0957
2017-07-11 18:18:31.1, 78.86401, 1.490982, 200, 100.0945
2017-07-11 18:18:46.1, 79.15906, 1.489501, 200, 100.0947
