Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-12 16:37:27.4, 97.08397, 1.44781, 200, 99.42798
2017-08-12 16:37:42.4, 97.06374, 1.447901, 200, 99.42505
2017-08-12 16:37:57.4, 97.10265, 1.447727, 200, 99.42285
2017-08-12 16:38:12.5, 97.36211, 1.446566, 200, 99.41968
2017-08-12 16:38:27.5, 97.28581, 1.446907, 200, 99.4209
2017-08-12 16:38:42.6, 97.22829, 1.447164, 200, 99.42017
2017-08-12 16:38:57.6, 97.32585, 1.446728, 200, 99.41895
2017-08-12 16:39:12.6, 97.38326, 1.446472, 200, 99.41968
2017-08-12 16:39:27.7, 97.42406, 1.446289, 200, 99.41528
2017-08-12 16:39:42.8, 97.47523, 1.446061, 200, 99.4231
2017-08-12 16:39:57.9, 97.40141, 1.446391, 200, 99.42505
2017-08-12 16:40:12.9, 97.42113, 1.446302, 200, 99.41968
2017-08-12 16:40:28.0, 97.33269, 1.446698, 200, 99.41968
2017-08-12 16:40:43.1, 97.59871, 1.445509, 200, 99.41919
2017-08-12 16:40:58.2, 97.50877, 1.445911, 200, 99.42334
2017-08-12 16:41:13.2, 97.50774, 1.445915, 200, 99.42407
2017-08-12 16:41:28.3, 97.54271, 1.445759, 200, 99.42578
2017-08-12 16:41:43.4, 97.6295, 1.445372, 200, 99.42188
2017-08-12 16:41:58.5, 97.46773, 1.446094, 200, 99.4231
2017-08-12 16:42:13.5, 97.47902, 1.446044, 200, 99.41919
2017-08-12 16:42:28.6, 97.31059, 1.446796, 200, 99.42505
2017-08-12 16:42:43.7, 97.29866, 1.44685, 200, 99.41968
2017-08-12 16:42:58.8, 96.96751, 1.448332, 200, 99.42017
2017-08-12 16:43:13.9, 96.79555, 1.449103, 200, 99.41699
2017-08-12 16:43:28.9, 96.81679, 1.449007, 200, 99.42212
2017-08-12 16:43:44.0, 96.59724, 1.449993, 200, 99.42285
2017-08-12 16:43:59.1, 96.54015, 1.450249, 200, 99.42017
2017-08-12 16:44:14.2, 96.30904, 1.451288, 200, 99.42285
2017-08-12 16:44:29.2, 96.2766, 1.451434, 200, 99.427
2017-08-12 16:44:44.3, 95.8795, 1.453223, 200, 99.42871
2017-08-12 16:44:59.4, 95.80009, 1.453581, 200, 99.42383
2017-08-12 16:45:14.5, 95.63576, 1.454323, 200, 99.42773
2017-08-12 16:45:29.5, 95.45171, 1.455155, 200, 99.42798
2017-08-12 16:45:44.6, 95.24049, 1.456111, 200, 99.42554
2017-08-12 16:45:59.7, 94.99373, 1.457229, 200, 99.42871
2017-08-12 16:46:14.8, 94.895, 1.457677, 200, 99.42554
2017-08-12 16:46:29.8, 94.69673, 1.458578, 200, 99.427
2017-08-12 16:46:44.9, 94.58531, 1.459084, 200, 99.427
2017-08-12 16:47:00.0, 94.60271, 1.459005, 200, 99.43286
2017-08-12 16:47:15.1, 94.44231, 1.459735, 200, 99.4314
2017-08-12 16:47:30.2, 94.08568, 1.46136, 200, 99.42554
2017-08-12 16:47:45.2, 94.11552, 1.461223, 200, 99.42773
2017-08-12 16:48:00.3, 93.89656, 1.462223, 200, 99.42847
2017-08-12 16:48:15.4, 93.73006, 1.462983, 200, 99.42993
2017-08-12 16:48:30.4, 93.60088, 1.463574, 200, 99.42651
2017-08-12 16:48:45.5, 93.43443, 1.464336, 200, 99.4314
2017-08-12 16:49:00.6, 93.30226, 1.464942, 200, 99.43286
2017-08-12 16:49:15.7, 93.1512, 1.465634, 200, 99.43213
2017-08-12 16:49:30.7, 93.21721, 1.465332, 200, 99.43555
2017-08-12 16:49:45.8, 92.94664, 1.466573, 200, 99.43066
2017-08-12 16:50:00.9, 92.5522, 1.468388, 200, 99.43042
2017-08-12 16:50:16.0, 92.50945, 1.468585, 200, 99.42798
2017-08-12 16:50:31.1, 92.4381, 1.468913, 200, 99.43359
2017-08-12 16:50:46.1, 92.28139, 1.469636, 200, 99.42554
2017-08-12 16:51:01.2, 92.25761, 1.469746, 200, 99.43115
2017-08-12 16:51:16.3, 91.96931, 1.471077, 200, 99.42822
2017-08-12 16:51:31.3, 91.98427, 1.471008, 200, 99.42456
2017-08-12 16:51:46.4, 91.65938, 1.472511, 200, 99.42578
2017-08-12 16:52:01.5, 91.42705, 1.473588, 200, 99.42871
2017-08-12 16:52:16.6, 91.21678, 1.474564, 200, 99.42871
2017-08-12 16:52:31.6, 91.06606, 1.475264, 200, 99.42578
2017-08-12 16:52:46.7, 90.96202, 1.475748, 200, 99.42334
2017-08-12 16:53:01.8, 90.76241, 1.476677, 200, 99.427
2017-08-12 16:53:16.9, 90.6031, 1.477419, 200, 99.42407
2017-08-12 16:53:32.0, 90.46721, 1.478053, 200, 99.42505
2017-08-12 16:53:47.0, 90.39262, 1.478401, 200, 99.42407
2017-08-12 16:54:02.1, 90.27144, 1.478967, 200, 99.42334
2017-08-12 16:54:17.2, 90.02104, 1.480138, 200, 99.42285
2017-08-12 16:54:32.3, 89.94835, 1.480478, 200, 99.42603
2017-08-12 16:54:47.3, 89.74001, 1.481454, 200, 99.43018
2017-08-12 16:55:02.4, 89.69948, 1.481644, 200, 99.4314
2017-08-12 16:55:17.5, 89.41386, 1.482984, 200, 99.42651
2017-08-12 16:55:32.6, 89.42787, 1.482919, 200, 99.42407
2017-08-12 16:55:47.6, 89.56911, 1.482255, 200, 99.427
2017-08-12 16:56:02.7, 90.01671, 1.480158, 200, 99.43213
2017-08-12 16:56:17.8, 90.49733, 1.477912, 200, 99.42578
2017-08-12 16:56:32.9, 91.23451, 1.474481, 200, 99.43066
2017-08-12 16:56:48.0, 91.93565, 1.471233, 200, 99.43066
2017-08-12 16:57:03.0, 92.40746, 1.469055, 200, 99.4314
2017-08-12 16:57:18.1, 92.87129, 1.46692, 200, 99.43018
2017-08-12 16:57:33.2, 93.39125, 1.464534, 200, 99.42822
2017-08-12 16:57:48.3, 93.87471, 1.462322, 200, 99.43188
2017-08-12 16:58:03.3, 94.23003, 1.460701, 200, 99.43066
