Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-12 18:17:33.2, 93.68942, 2.064197, 200, 100.5393
2017-09-12 18:17:48.3, 93.63892, 2.064473, 200, 100.5386
2017-09-12 18:18:03.4, 93.65552, 2.064383, 200, 100.5361
2017-09-12 18:18:18.5, 93.59598, 2.064708, 200, 100.5364
2017-09-12 18:18:33.5, 93.71707, 2.064046, 200, 100.5391
2017-09-12 18:18:48.6, 93.70798, 2.064096, 200, 100.5366
2017-09-12 18:19:03.7, 93.74326, 2.063903, 200, 100.5354
2017-09-12 18:19:18.8, 93.75208, 2.063855, 200, 100.5332
2017-09-12 18:19:33.8, 93.7756, 2.063727, 200, 100.5391
2017-09-12 18:19:48.9, 93.80518, 2.063565, 200, 100.5356
2017-09-12 18:20:04.0, 93.88486, 2.06313, 200, 100.5369
2017-09-12 18:20:19.1, 94.00668, 2.062466, 200, 100.54
2017-09-12 18:20:34.1, 94.04016, 2.062283, 200, 100.5393
2017-09-12 18:20:49.2, 94.00565, 2.062471, 200, 100.5349
2017-09-12 18:21:04.3, 94.01434, 2.062424, 200, 100.5369
2017-09-12 18:21:19.4, 93.90533, 2.063019, 200, 100.5366
2017-09-12 18:21:34.4, 93.93826, 2.062839, 200, 100.5347
2017-09-12 18:21:49.5, 93.97885, 2.062618, 200, 100.5381
2017-09-12 18:22:04.6, 94.07181, 2.062111, 200, 100.5386
2017-09-12 18:22:19.7, 94.10007, 2.061956, 200, 100.5342
2017-09-12 18:22:34.7, 94.08072, 2.062062, 200, 100.5344
2017-09-12 18:22:49.8, 94.07129, 2.062114, 200, 100.5364
2017-09-12 18:23:04.9, 94.11871, 2.061855, 200, 100.5371
2017-09-12 18:23:20.0, 94.21069, 2.061354, 200, 100.5305
2017-09-12 18:23:35.0, 94.1156, 2.061872, 200, 100.5315
2017-09-12 18:23:50.1, 94.12103, 2.061842, 200, 100.5259
2017-09-12 18:24:05.2, 94.12088, 2.061843, 200, 100.5261
2017-09-12 18:24:20.3, 94.21588, 2.061326, 200, 100.5215
2017-09-12 18:24:35.4, 94.28214, 2.060965, 200, 100.5254
2017-09-12 18:24:50.4, 94.20947, 2.06136, 200, 100.5183
2017-09-12 18:25:05.5, 94.16742, 2.061589, 200, 100.5195
2017-09-12 18:25:20.6, 93.95428, 2.062752, 200, 100.5205
2017-09-12 18:25:35.7, 93.82913, 2.063434, 200, 100.5251
2017-09-12 18:25:50.7, 93.65552, 2.064383, 200, 100.5159
2017-09-12 18:26:05.8, 93.38513, 2.065861, 200, 100.5137
2017-09-12 18:26:20.9, 93.2117, 2.06681, 200, 100.5278
2017-09-12 18:26:36.0, 92.99554, 2.067995, 200, 100.5103
2017-09-12 18:26:51.0, 92.69217, 2.069659, 200, 100.5117
2017-09-12 18:27:06.1, 92.60382, 2.070145, 200, 100.5117
2017-09-12 18:27:21.2, 92.2709, 2.071976, 200, 100.5032
2017-09-12 18:27:36.3, 92.12582, 2.072774, 200, 100.5044
2017-09-12 18:27:51.3, 91.87851, 2.074138, 200, 100.5059
2017-09-12 18:28:06.4, 91.54761, 2.075964, 200, 100.5024
2017-09-12 18:28:21.5, 91.38498, 2.076863, 200, 100.501
2017-09-12 18:28:36.6, 91.12894, 2.07828, 200, 100.502
2017-09-12 18:28:51.6, 90.9285, 2.079391, 200, 100.5159
2017-09-12 18:29:06.7, 90.70578, 2.080626, 200, 100.502
2017-09-12 18:29:21.8, 90.51749, 2.081672, 200, 100.5032
2017-09-12 18:29:36.8, 90.27283, 2.083032, 200, 100.5046
2017-09-12 18:29:51.8, 90.04395, 2.084306, 200, 100.4993
2017-09-12 18:30:06.9, 89.77737, 2.085792, 200, 100.5068
2017-09-12 18:30:22.0, 89.52301, 2.087211, 200, 100.5046
2017-09-12 18:30:37.1, 89.29861, 2.088465, 200, 100.5012
2017-09-12 18:30:52.2, 89.14798, 2.089308, 200, 100.5034
2017-09-12 18:31:07.2, 88.95602, 2.090383, 200, 100.5049
2017-09-12 18:31:22.3, 88.71362, 2.091742, 200, 100.5154
2017-09-12 18:31:37.4, 88.55777, 2.092617, 200, 100.5078
2017-09-12 18:31:52.5, 88.3208, 2.093948, 200, 100.5039
2017-09-12 18:32:07.5, 87.95862, 2.095986, 200, 100.5022
2017-09-12 18:32:22.6, 87.37372, 2.099285, 200, 100.5029
2017-09-12 18:32:37.7, 87.12073, 2.100716, 200, 100.5044
2017-09-12 18:32:52.8, 86.77914, 2.10265, 200, 100.5239
2017-09-12 18:33:07.8, 86.3569, 2.105046, 200, 100.5352
2017-09-12 18:33:22.9, 86.00403, 2.107053, 200, 100.5273
2017-09-12 18:33:38.0, 85.5101, 2.109868, 200, 100.5244
2017-09-12 18:33:53.1, 84.72095, 2.114381, 200, 100.5259
