Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-13 16:32:05.9, 96.30096, 2.093609, 200, 100.5632
2017-08-13 16:32:21.0, 96.4129, 2.093017, 200, 100.5708
2017-08-13 16:32:36.2, 96.45633, 2.092788, 200, 100.5698
2017-08-13 16:32:51.2, 96.51059, 2.092501, 200, 100.5647
2017-08-13 16:33:06.3, 96.52151, 2.092443, 200, 100.5647
2017-08-13 16:33:21.4, 96.599, 2.092034, 200, 100.5674
2017-08-13 16:33:36.5, 96.61011, 2.091975, 200, 100.5647
2017-08-13 16:33:51.5, 96.53003, 2.092398, 200, 100.5676
2017-08-13 16:34:06.6, 96.58539, 2.092105, 200, 100.5686
2017-08-13 16:34:21.7, 96.52008, 2.09245, 200, 100.5659
2017-08-13 16:34:36.8, 96.60855, 2.091983, 200, 100.5598
2017-08-13 16:34:51.8, 96.59879, 2.092035, 200, 100.5662
2017-08-13 16:35:06.9, 96.67551, 2.09163, 200, 100.5598
2017-08-13 16:35:22.0, 96.89313, 2.090482, 200, 100.5671
2017-08-13 16:35:37.1, 97.16306, 2.089059, 200, 100.5667
2017-08-13 16:35:52.1, 96.88098, 2.090545, 200, 100.5645
2017-08-13 16:36:07.2, 96.87006, 2.090603, 200, 100.5679
2017-08-13 16:36:22.3, 97.09311, 2.089427, 200, 100.5637
2017-08-13 16:36:37.4, 96.98383, 2.090003, 200, 100.5652
2017-08-13 16:36:52.5, 97.16714, 2.089037, 200, 100.5632
2017-08-13 16:37:07.5, 97.09088, 2.089439, 200, 100.5676
2017-08-13 16:37:22.6, 97.20404, 2.088843, 200, 100.5664
2017-08-13 16:37:37.7, 97.05917, 2.089606, 200, 100.5642
2017-08-13 16:37:52.8, 96.74146, 2.091282, 200, 100.563
2017-08-13 16:38:07.8, 96.79337, 2.091008, 200, 100.5613
2017-08-13 16:38:23.0, 96.83865, 2.090769, 200, 100.5637
2017-08-13 16:38:38.0, 96.62775, 2.091882, 200, 100.5627
2017-08-13 16:38:53.1, 96.06119, 2.094878, 200, 100.5669
