Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-13 17:59:10.2, 87.24042, 1.6825, 200, 99.80786
2017-06-13 17:59:25.3, 87.54272, 1.681398, 200, 99.80347
2017-06-13 17:59:40.3, 87.54526, 1.681388, 200, 99.80786
2017-06-13 17:59:55.4, 87.59512, 1.681207, 200, 99.80762
2017-06-13 18:00:10.5, 87.81406, 1.680409, 200, 99.80688
2017-06-13 18:00:25.5, 88.06668, 1.67949, 200, 99.80347
2017-06-13 18:00:40.5, 88.55371, 1.677721, 200, 99.80371
2017-06-13 18:00:55.6, 88.37476, 1.67837, 200, 99.80444
2017-06-13 18:01:10.7, 88.67111, 1.677295, 200, 99.80615
2017-06-13 18:01:25.8, 88.65134, 1.677367, 200, 99.80225
2017-06-13 18:01:40.8, 88.88672, 1.676513, 200, 99.80396
2017-06-13 18:01:55.9, 88.69974, 1.677191, 200, 99.80713
2017-06-13 18:02:11.0, 88.90134, 1.67646, 200, 99.80103
2017-06-13 18:02:26.1, 88.68939, 1.677229, 200, 99.80518
2017-06-13 18:02:41.1, 88.81631, 1.676768, 200, 99.80664
2017-06-13 18:02:56.2, 88.86075, 1.676607, 200, 99.80054
2017-06-13 18:03:11.3, 88.98572, 1.676154, 200, 99.80054
2017-06-13 18:03:26.4, 89.06235, 1.675877, 200, 99.80273
2017-06-13 18:03:41.4, 88.91901, 1.676396, 200, 99.80005
2017-06-13 18:03:56.5, 89.09036, 1.675775, 200, 99.79956
2017-06-13 18:04:11.6, 89.11676, 1.67568, 200, 99.80444
2017-06-13 18:04:26.6, 89.17841, 1.675457, 200, 99.80347
2017-06-13 18:04:41.7, 89.49637, 1.674307, 200, 99.80249
2017-06-13 18:04:56.8, 89.31479, 1.674963, 200, 99.7998
2017-06-13 18:05:11.9, 89.3812, 1.674723, 200, 99.80078
2017-06-13 18:05:27.0, 89.33624, 1.674886, 200, 99.80298
2017-06-13 18:05:42.0, 89.49249, 1.674321, 200, 99.80005
2017-06-13 18:05:57.1, 89.53842, 1.674155, 200, 99.80054
2017-06-13 18:06:12.2, 89.62299, 1.673849, 200, 99.80054
2017-06-13 18:06:27.3, 89.8338, 1.673088, 200, 99.79858
2017-06-13 18:06:42.3, 89.59085, 1.673965, 200, 99.80029
2017-06-13 18:06:57.4, 89.70584, 1.67355, 200, 99.79956
2017-06-13 18:07:12.5, 89.70932, 1.673537, 200, 99.79834
2017-06-13 18:07:27.6, 89.84589, 1.673044, 200, 99.80005
2017-06-13 18:07:42.6, 89.97232, 1.672588, 200, 99.80347
2017-06-13 18:07:57.7, 89.82837, 1.673108, 200, 99.79663
2017-06-13 18:08:12.9, 89.95108, 1.672665, 200, 99.79932
2017-06-13 18:08:27.9, 89.84625, 1.673043, 200, 99.80005
2017-06-13 18:08:43.0, 90.11584, 1.672071, 200, 99.80615
2017-06-13 18:08:58.0, 89.99396, 1.67251, 200, 99.79761
2017-06-13 18:09:13.1, 90.1051, 1.672109, 200, 99.79956
2017-06-13 18:09:28.2, 90.17844, 1.671845, 200, 99.79956
2017-06-13 18:09:43.3, 90.49023, 1.670722, 200, 99.80225
2017-06-13 18:09:58.3, 90.49326, 1.670712, 200, 99.802
2017-06-13 18:10:13.4, 90.24652, 1.6716, 200, 99.80347
2017-06-13 18:10:28.5, 90.52948, 1.670581, 200, 99.80078
2017-06-13 18:10:43.6, 90.22192, 1.671688, 200, 99.80029
2017-06-13 18:10:58.6, 90.50784, 1.670659, 200, 99.8042
2017-06-13 18:11:13.7, 90.31161, 1.671365, 200, 99.80396
2017-06-13 18:11:28.8, 90.32257, 1.671326, 200, 99.79907
2017-06-13 18:11:43.9, 90.3266, 1.671311, 200, 99.80176
2017-06-13 18:11:59.0, 90.42252, 1.670966, 200, 99.80029
2017-06-13 18:12:14.0, 90.30347, 1.671395, 200, 99.80249
2017-06-13 18:12:29.1, 90.46021, 1.67083, 200, 99.80396
2017-06-13 18:12:44.2, 90.44812, 1.670874, 200, 99.80298
2017-06-13 18:12:59.3, 90.38425, 1.671104, 200, 99.80249
2017-06-13 18:13:14.3, 90.14832, 1.671954, 200, 99.80127
2017-06-13 18:13:29.4, 89.85556, 1.67301, 200, 99.80566
2017-06-13 18:13:44.4, 89.66763, 1.673688, 200, 99.8042
2017-06-13 18:13:59.5, 89.19327, 1.675403, 200, 99.80005
2017-06-13 18:14:14.5, 89.07776, 1.675821, 200, 99.80078
2017-06-13 18:14:29.6, 88.69916, 1.677193, 200, 99.80249
2017-06-13 18:14:44.7, 88.29236, 1.67867, 200, 99.80298
2017-06-13 18:14:59.8, 88.06494, 1.679496, 200, 99.80396
2017-06-13 18:15:14.8, 87.7644, 1.68059, 200, 99.80371
2017-06-13 18:15:29.9, 86.98972, 1.683416, 200, 99.80103
2017-06-13 18:15:45.0, 86.63123, 1.684727, 200, 99.79883
2017-06-13 18:16:00.1, 86.1618, 1.686446, 200, 99.802
2017-06-13 18:16:15.1, 85.70291, 1.688131, 200, 99.79858
2017-06-13 18:16:30.2, 85.18967, 1.690018, 200, 99.80322
2017-06-13 18:16:45.3, 84.59647, 1.692206, 200, 99.80322
2017-06-13 18:17:00.4, 84.16251, 1.693809, 200, 99.80054
2017-06-13 18:17:15.4, 83.5495, 1.69608, 200, 99.80347
2017-06-13 18:17:30.6, 83.24496, 1.69721, 200, 99.80078
2017-06-13 18:17:45.6, 82.13596, 1.701339, 200, 99.79907
2017-06-13 18:18:00.6, 81.52911, 1.703607, 200, 99.80029
2017-06-13 18:18:15.7, 80.84357, 1.706176, 200, 99.79956
2017-06-13 18:18:30.7, 80.42941, 1.707732, 200, 99.80078
2017-06-13 18:18:45.8, 79.82724, 1.709999, 200, 99.80151
2017-06-13 18:19:00.9, 78.84784, 1.713699, 200, 99.80029
2017-06-13 18:19:16.0, 78.59912, 1.714641, 200, 99.79932
2017-06-13 18:19:31.0, 77.74115, 1.7179, 200, 99.7981
2017-06-13 18:19:46.1, 77.03461, 1.720592, 200, 99.79834
2017-06-13 18:20:01.2, 76.53937, 1.722485, 200, 99.80078
2017-06-13 18:20:16.3, 75.98557, 1.724606, 200, 99.79932
2017-06-13 18:20:31.3, 75.20758, 1.727594, 200, 99.80518
2017-06-13 18:20:46.4, 74.88846, 1.728823, 200, 99.79858
2017-06-13 18:21:01.5, 74.4249, 1.730611, 200, 99.79956
2017-06-13 18:21:16.6, 73.90948, 1.732604, 200, 99.79907
2017-06-13 18:21:31.6, 73.04492, 1.735956, 200, 99.79761
2017-06-13 18:21:46.7, 72.5639, 1.737827, 200, 99.79785
2017-06-13 18:22:01.8, 72.16595, 1.739378, 200, 99.79785
2017-06-13 18:22:16.9, 71.61005, 1.741549, 200, 99.79834
2017-06-13 18:22:31.9, 71.14044, 1.743388, 200, 99.79419
2017-06-13 18:22:47.0, 70.74039, 1.744957, 200, 99.79907
2017-06-13 18:23:02.1, 70.2836, 1.746752, 200, 99.7981
2017-06-13 18:23:17.2, 69.7756, 1.748753, 200, 99.80054
2017-06-13 18:23:32.2, 69.2634, 1.750774, 200, 99.79761
2017-06-13 18:23:47.3, 69.27158, 1.750742, 200, 99.80225
2017-06-13 18:24:02.4, 69.24673, 1.75084, 200, 99.79565
2017-06-13 18:24:17.5, 69.31747, 1.750561, 200, 99.79565
2017-06-13 18:24:32.5, 69.67392, 1.749153, 200, 99.79785
2017-06-13 18:24:47.6, 70.18521, 1.747139, 200, 99.79932
2017-06-13 18:25:02.6, 70.94016, 1.744173, 200, 99.7959
2017-06-13 18:25:17.7, 71.71021, 1.741158, 200, 99.79517
2017-06-13 18:25:32.7, 72.26053, 1.739009, 200, 99.79761
2017-06-13 18:25:47.8, 72.96503, 1.736267, 200, 99.79541
2017-06-13 18:26:02.9, 73.80493, 1.733009, 200, 99.79199
2017-06-13 18:26:18.0, 74.73312, 1.729422, 200, 99.80127
2017-06-13 18:26:33.1, 75.50757, 1.726441, 200, 99.79736
2017-06-13 18:26:48.1, 76.25186, 1.723585, 200, 99.79834
2017-06-13 18:27:03.2, 76.76846, 1.721609, 200, 99.79834
2017-06-13 18:27:18.3, 77.95099, 1.717102, 200, 99.79639
2017-06-13 18:27:33.3, 78.4509, 1.715203, 200, 99.79663
2017-06-13 18:27:48.4, 79.13702, 1.712605, 200, 99.79688
2017-06-13 18:28:03.5, 80.0112, 1.709306, 200, 99.79639
2017-06-13 18:28:18.6, 80.77365, 1.706438, 200, 99.79224
2017-06-13 18:28:33.7, 81.55426, 1.703513, 200, 99.7937
2017-06-13 18:28:48.7, 82.05499, 1.701641, 200, 99.79053
2017-06-13 18:29:03.8, 82.74594, 1.699065, 200, 99.79736
2017-06-13 18:29:18.9, 83.30951, 1.69697, 200, 99.79639
2017-06-13 18:29:34.0, 83.81946, 1.695079, 200, 99.79639
2017-06-13 18:29:49.0, 83.97867, 1.69449, 200, 99.79346
2017-06-13 18:30:04.1, 84.55148, 1.692372, 200, 99.79346
2017-06-13 18:30:19.2, 84.71964, 1.691751, 200, 99.7981
2017-06-13 18:30:34.3, 85.33466, 1.689485, 200, 99.79199
2017-06-13 18:30:49.4, 85.59793, 1.688516, 200, 99.79443
2017-06-13 18:31:04.4, 85.8244, 1.687684, 200, 99.79102
2017-06-13 18:31:19.5, 86.31952, 1.685868, 200, 99.79517
2017-06-13 18:31:34.6, 86.48776, 1.685252, 200, 99.79346
2017-06-13 18:31:49.6, 86.62271, 1.684758, 200, 99.79199
