Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-14 17:55:40.2, 91.60568, 1.613292, 200, 99.84204
2017-07-14 17:55:55.3, 91.54776, 1.613504, 200, 99.84351
2017-07-14 17:56:10.3, 91.23389, 1.614649, 200, 99.84399
2017-07-14 17:56:25.4, 91.22906, 1.614667, 200, 99.84326
2017-07-14 17:56:40.5, 91.2757, 1.614496, 200, 99.84033
2017-07-14 17:56:55.5, 90.90887, 1.615837, 200, 99.84033
2017-07-14 17:57:10.6, 90.86475, 1.615999, 200, 99.84717
2017-07-14 17:57:25.7, 90.37411, 1.617795, 200, 99.84595
2017-07-14 17:57:40.8, 90.54572, 1.617166, 200, 99.84619
2017-07-14 17:57:55.8, 90.47198, 1.617437, 200, 99.8418
2017-07-14 17:58:10.9, 90.57141, 1.617072, 200, 99.84473
2017-07-14 17:58:26.0, 90.77573, 1.616324, 200, 99.84375
2017-07-14 17:58:41.1, 90.63675, 1.616833, 200, 99.84375
2017-07-14 17:58:56.1, 90.98135, 1.615572, 200, 99.84619
2017-07-14 17:59:11.2, 91.10944, 1.615104, 200, 99.84448
2017-07-14 17:59:26.3, 91.28998, 1.614444, 200, 99.84351
2017-07-14 17:59:41.4, 91.34396, 1.614247, 200, 99.84375
2017-07-14 17:59:56.4, 91.38586, 1.614094, 200, 99.84375
2017-07-14 18:00:11.5, 91.55719, 1.613469, 200, 99.84302
2017-07-14 18:00:26.6, 91.3187, 1.614339, 200, 99.84619
2017-07-14 18:00:41.7, 91.00378, 1.61549, 200, 99.84497
2017-07-14 18:00:56.7, 91.16763, 1.614891, 200, 99.84326
2017-07-14 18:01:11.8, 91.12637, 1.615042, 200, 99.84546
2017-07-14 18:01:26.9, 90.92255, 1.615787, 200, 99.84277
2017-07-14 18:01:42.0, 90.87366, 1.615966, 200, 99.84839
2017-07-14 18:01:57.0, 90.62061, 1.616892, 200, 99.84595
2017-07-14 18:02:12.1, 90.99261, 1.615531, 200, 99.84717
2017-07-14 18:02:27.2, 91.05853, 1.61529, 200, 99.84644
2017-07-14 18:02:42.3, 91.31335, 1.614359, 200, 99.84595
2017-07-14 18:02:57.4, 91.44388, 1.613883, 200, 99.84448
