Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-14 17:55:49.6, 95.75888, 1.653974, 200, 99.85034
2017-06-14 17:56:04.7, 95.87909, 1.653552, 200, 99.85181
2017-06-14 17:56:19.8, 96.41519, 1.651673, 200, 99.85034
2017-06-14 17:56:34.8, 96.44836, 1.651557, 200, 99.84814
2017-06-14 17:56:49.9, 96.53931, 1.651238, 200, 99.84912
2017-06-14 17:57:05.0, 96.62561, 1.650936, 200, 99.85107
2017-06-14 17:57:20.0, 96.22263, 1.652347, 200, 99.84888
2017-06-14 17:57:35.1, 96.48456, 1.65143, 200, 99.85059
2017-06-14 17:57:50.1, 96.57111, 1.651127, 200, 99.85132
2017-06-14 17:58:05.2, 96.91592, 1.649921, 200, 99.84741
2017-06-14 17:58:20.3, 97.15549, 1.649085, 200, 99.84912
2017-06-14 17:58:35.4, 97.05188, 1.649446, 200, 99.84668
2017-06-14 17:58:50.5, 97.03976, 1.649489, 200, 99.84692
2017-06-14 17:59:05.5, 96.96918, 1.649735, 200, 99.85034
2017-06-14 17:59:20.7, 97.02048, 1.649556, 200, 99.84839
2017-06-14 17:59:35.8, 97.00134, 1.649623, 200, 99.84497
2017-06-14 17:59:50.9, 96.79269, 1.650352, 200, 99.84863
2017-06-14 18:00:05.9, 96.67126, 1.650777, 200, 99.84692
2017-06-14 18:00:21.0, 96.64954, 1.650853, 200, 99.84253
2017-06-14 18:00:36.1, 96.83316, 1.650211, 200, 99.83008
2017-06-14 18:00:51.1, 96.62735, 1.65093, 200, 99.8103
2017-06-14 18:01:06.1, 96.62494, 1.650939, 200, 99.8042
2017-06-14 18:01:21.2, 96.76086, 1.650463, 200, 99.79858
2017-06-14 18:01:36.3, 96.61584, 1.650971, 200, 99.79907
2017-06-14 18:01:51.4, 97.17804, 1.649006, 200, 99.78027
2017-06-14 18:02:06.4, 97.00159, 1.649622, 200, 99.79858
2017-06-14 18:02:21.5, 96.48187, 1.651439, 200, 99.77856
2017-06-14 18:02:36.6, 95.81024, 1.653794, 200, 99.79639
2017-06-14 18:02:51.7, 95.37, 1.655341, 200, 99.77588
2017-06-14 18:03:06.8, 95.31851, 1.655522, 200, 99.78442
2017-06-14 18:03:21.8, 94.52124, 1.658332, 200, 99.78223
2017-06-14 18:03:36.9, 94.59802, 1.658061, 200, 99.77417
2017-06-14 18:03:52.0, 94.34274, 1.658962, 200, 99.79224
2017-06-14 18:04:07.1, 94.57932, 1.658127, 200, 99.76587
2017-06-14 18:04:22.1, 95.01874, 1.656577, 200, 99.79126
2017-06-14 18:04:37.2, 95.40369, 1.655222, 200, 99.76709
2017-06-14 18:04:52.3, 95.94043, 1.653337, 200, 99.78711
2017-06-14 18:05:07.4, 96.51889, 1.65131, 200, 99.76685
2017-06-14 18:05:22.4, 96.40247, 1.651718, 200, 99.78345
2017-06-14 18:05:37.5, 96.85199, 1.650145, 200, 99.77246
2017-06-14 18:05:52.6, 97.11893, 1.649212, 200, 99.77515
2017-06-14 18:06:07.7, 97.63721, 1.647405, 200, 99.77295
2017-06-14 18:06:22.7, 97.5625, 1.647665, 200, 99.76221
2017-06-14 18:06:37.7, 97.39804, 1.648238, 200, 99.78247
2017-06-14 18:06:52.8, 96.56772, 1.651139, 200, 99.77222
2017-06-14 18:07:07.9, 96.19492, 1.652444, 200, 99.77539
2017-06-14 18:07:22.9, 95.965, 1.653251, 200, 99.75122
2017-06-14 18:07:38.0, 96.69168, 1.650705, 200, 99.78247
2017-06-14 18:07:53.1, 96.86722, 1.650092, 200, 99.75171
2017-06-14 18:08:08.2, 97.45673, 1.648034, 200, 99.77759
2017-06-14 18:08:23.3, 97.62445, 1.647449, 200, 99.77954
2017-06-14 18:08:38.3, 97.20139, 1.648924, 200, 99.77734
2017-06-14 18:08:53.4, 97.00943, 1.649595, 200, 99.75073
2017-06-14 18:09:08.5, 97.24649, 1.648767, 200, 99.77002
2017-06-14 18:09:23.6, 97.54852, 1.647714, 200, 99.75464
2017-06-14 18:09:38.6, 97.9205, 1.646419, 200, 99.76538
2017-06-14 18:09:53.7, 97.88208, 1.646552, 200, 99.76294
2017-06-14 18:10:08.8, 97.88956, 1.646526, 200, 99.76392
2017-06-14 18:10:23.9, 98.14017, 1.645655, 200, 99.76074
2017-06-14 18:10:38.9, 98.06702, 1.645909, 200, 99.75708
2017-06-14 18:10:54.0, 98.25226, 1.645265, 200, 99.76978
2017-06-14 18:11:09.1, 98.29852, 1.645104, 200, 99.74805
