Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-14 17:52:52.2, 84.59048, 2.220275, 200, 100.4641
2017-05-14 17:53:07.2, 85.0502, 2.217717, 200, 100.4849
2017-05-14 17:53:22.3, 85.4473, 2.215512, 200, 100.4673
2017-05-14 17:53:37.4, 85.85822, 2.213235, 200, 100.4744
2017-05-14 17:53:52.4, 86.23505, 2.211151, 200, 100.4773
2017-05-14 17:54:07.5, 86.57767, 2.20926, 200, 100.4717
2017-05-14 17:54:22.5, 86.84482, 2.207788, 200, 100.4832
2017-05-14 17:54:37.6, 87.16824, 2.206007, 200, 100.4548
2017-05-14 17:54:52.7, 87.49042, 2.204237, 200, 100.4954
2017-05-14 17:55:07.8, 87.69806, 2.203098, 200, 100.46
2017-05-14 17:55:22.8, 87.98953, 2.2015, 200, 100.4712
2017-05-14 17:55:37.9, 88.13986, 2.200677, 200, 100.4692
2017-05-14 17:55:53.0, 88.43768, 2.199048, 200, 100.4629
2017-05-14 17:56:08.1, 88.59888, 2.198168, 200, 100.4514
2017-05-14 17:56:23.1, 88.47791, 2.198828, 200, 100.4568
2017-05-14 17:56:38.1, 88.24725, 2.200089, 200, 100.4578
2017-05-14 17:56:53.2, 87.86737, 2.202169, 200, 100.4543
2017-05-14 17:57:08.3, 87.31482, 2.205202, 200, 100.4644
2017-05-14 17:57:23.3, 86.8089, 2.207985, 200, 100.4497
2017-05-14 17:57:38.4, 86.15439, 2.211597, 200, 100.4822
2017-05-14 17:57:53.5, 85.52075, 2.215105, 200, 100.4429
2017-05-14 17:58:08.5, 84.78226, 2.219208, 200, 100.469
2017-05-14 17:58:23.7, 84.07193, 2.223168, 200, 100.4468
2017-05-14 17:58:38.7, 83.36761, 2.227108, 200, 100.4617
2017-05-14 17:58:53.8, 82.71802, 2.230756, 200, 100.4451
2017-05-14 17:59:08.9, 81.99911, 2.234806, 200, 100.4548
2017-05-14 17:59:23.9, 81.32553, 2.238614, 200, 100.457
2017-05-14 17:59:39.0, 80.62308, 2.242599, 200, 100.4417
2017-05-14 17:59:54.1, 79.96686, 2.246335, 200, 100.458
2017-05-14 18:00:09.2, 79.25424, 2.250406, 200, 100.4414
2017-05-14 18:00:24.3, 78.64536, 2.253896, 200, 100.4539
2017-05-14 18:00:39.3, 77.86224, 2.2584, 200, 100.4453
2017-05-14 18:00:54.4, 77.15164, 2.262503, 200, 100.4546
2017-05-14 18:01:09.5, 76.46555, 2.266479, 200, 100.4558
2017-05-14 18:01:24.6, 75.76715, 2.270541, 200, 100.4358
2017-05-14 18:01:39.6, 75.17819, 2.273977, 200, 100.4614
2017-05-14 18:01:54.7, 74.51807, 2.277841, 200, 100.4377
2017-05-14 18:02:09.7, 73.8934, 2.28151, 200, 100.4524
2017-05-14 18:02:24.8, 73.26898, 2.285189, 200, 100.4417
2017-05-14 18:02:39.8, 72.65472, 2.288819, 200, 100.4609
2017-05-14 18:02:54.9, 71.99622, 2.292724, 200, 100.447
2017-05-14 18:03:10.0, 71.27557, 2.297013, 200, 100.4353
2017-05-14 18:03:25.0, 70.68045, 2.300567, 200, 100.4561
2017-05-14 18:03:40.1, 70.03439, 2.304438, 200, 100.4316
2017-05-14 18:03:55.2, 69.46329, 2.30787, 200, 100.4512
2017-05-14 18:04:10.4, 68.81662, 2.311769, 200, 100.4399
2017-05-14 18:04:25.5, 68.24091, 2.315251, 200, 100.4399
