Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-16 17:02:31.5, 98.50784, 1.589596, 200, 99.71777
2017-08-16 17:02:46.5, 98.59665, 1.589281, 200, 99.72046
2017-08-16 17:03:01.7, 97.97876, 1.591476, 200, 99.71362
2017-08-16 17:03:16.8, 98.15387, 1.590853, 200, 99.7207
2017-08-16 17:03:31.9, 98.26395, 1.590462, 200, 99.7168
2017-08-16 17:03:46.9, 98.22998, 1.590583, 200, 99.71802
2017-08-16 17:04:02.0, 98.09714, 1.591055, 200, 99.71777
2017-08-16 17:04:17.1, 97.99106, 1.591432, 200, 99.71411
2017-08-16 17:04:32.2, 98.17484, 1.590779, 200, 99.71436
2017-08-16 17:04:47.2, 98.48883, 1.589664, 200, 99.71875
2017-08-16 17:05:02.3, 98.36401, 1.590106, 200, 99.71533
2017-08-16 17:05:17.3, 97.96945, 1.591509, 200, 99.71289
2017-08-16 17:05:32.4, 97.94666, 1.59159, 200, 99.71094
2017-08-16 17:05:47.4, 98.36304, 1.59011, 200, 99.71338
2017-08-16 17:06:02.5, 98.45001, 1.589801, 200, 99.71265
2017-08-16 17:06:17.6, 98.29318, 1.590358, 200, 99.71436
2017-08-16 17:06:32.7, 98.16049, 1.590829, 200, 99.71265
2017-08-16 17:06:47.7, 98.40265, 1.589969, 200, 99.71191
2017-08-16 17:07:02.8, 98.34512, 1.590174, 200, 99.71411
2017-08-16 17:07:17.9, 98.33932, 1.590194, 200, 99.71411
2017-08-16 17:07:33.0, 98.285, 1.590387, 200, 99.71191
2017-08-16 17:07:48.0, 98.45187, 1.589795, 200, 99.71118
2017-08-16 17:08:03.1, 98.1745, 1.59078, 200, 99.71313
2017-08-16 17:08:18.2, 98.23236, 1.590574, 200, 99.71167
2017-08-16 17:08:33.3, 97.50266, 1.593171, 200, 99.71533
2017-08-16 17:08:48.3, 97.24149, 1.594103, 200, 99.71265
2017-08-16 17:09:03.4, 96.99954, 1.594967, 200, 99.71387
2017-08-16 17:09:18.5, 96.59683, 1.596407, 200, 99.71094
2017-08-16 17:09:33.6, 96.37042, 1.597218, 200, 99.71777
2017-08-16 17:09:48.6, 95.75821, 1.599414, 200, 99.71265
2017-08-16 17:10:03.7, 95.28409, 1.601119, 200, 99.7146
2017-08-16 17:10:18.8, 95.04843, 1.601968, 200, 99.72095
2017-08-16 17:10:33.9, 94.50983, 1.603912, 200, 99.71777
2017-08-16 17:10:48.9, 94.49634, 1.603961, 200, 99.71484
2017-08-16 17:11:04.0, 94.01508, 1.605701, 200, 99.71436
2017-08-16 17:11:19.1, 93.95422, 1.605922, 200, 99.71289
2017-08-16 17:11:34.2, 93.48349, 1.607629, 200, 99.71045
2017-08-16 17:11:49.2, 93.38821, 1.607975, 200, 99.70801
2017-08-16 17:12:04.3, 92.84589, 1.609946, 200, 99.7124
2017-08-16 17:12:19.4, 92.50278, 1.611196, 200, 99.70898
2017-08-16 17:12:34.5, 92.20895, 1.612268, 200, 99.71143
2017-08-16 17:12:49.6, 91.58121, 1.614563, 200, 99.70752
2017-08-16 17:13:04.6, 91.63205, 1.614377, 200, 99.70679
2017-08-16 17:13:19.7, 91.14819, 1.61615, 200, 99.70825
2017-08-16 17:13:34.8, 90.85318, 1.617233, 200, 99.70532
2017-08-16 17:13:49.9, 90.51166, 1.618489, 200, 99.70874
2017-08-16 17:14:04.9, 90.12994, 1.619894, 200, 99.70532
2017-08-16 17:14:20.0, 90.14685, 1.619832, 200, 99.70752
2017-08-16 17:14:35.0, 89.80145, 1.621106, 200, 99.70215
2017-08-16 17:14:50.1, 89.22855, 1.623223, 200, 99.70728
2017-08-16 17:15:05.1, 88.97455, 1.624163, 200, 99.70532
2017-08-16 17:15:20.2, 88.41797, 1.626228, 200, 99.70435
