Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-16 15:50:51.7, 19.55994, 2.153659, 200, 100.8606
2017-06-16 15:51:06.7, 19.54597, 2.154016, 200, 100.8623
2017-06-16 15:51:21.8, 19.55382, 2.153816, 200, 100.8591
2017-06-16 15:51:36.9, 19.55017, 2.153909, 200, 100.8552
2017-06-16 15:51:52.0, 19.53958, 2.15418, 200, 100.8574
2017-06-16 15:52:07.5, 19.52779, 2.154481, 200, 100.8538
2017-06-16 15:52:22.6, 19.52131, 2.154647, 200, 100.8542
2017-06-16 15:52:37.7, 19.49684, 2.155273, 200, 100.855
2017-06-16 15:52:52.7, 19.47147, 2.155923, 200, 100.8552
2017-06-16 15:53:07.8, 19.45015, 2.156469, 200, 100.8579
2017-06-16 15:53:22.9, 19.43633, 2.156823, 200, 100.8577
2017-06-16 15:53:38.0, 19.41666, 2.157327, 200, 100.8574
2017-06-16 15:53:53.0, 19.39823, 2.1578, 200, 100.8582
2017-06-16 15:54:08.1, 19.38001, 2.158267, 200, 100.8562
2017-06-16 15:54:23.2, 19.37269, 2.158455, 200, 100.8567
2017-06-16 15:54:38.3, 19.36227, 2.158723, 200, 100.8545
2017-06-16 15:54:53.4, 19.34646, 2.159129, 200, 100.8572
2017-06-16 15:55:08.4, 19.36189, 2.158733, 200, 100.8562
2017-06-16 15:55:23.5, 19.36808, 2.158574, 200, 100.8555
2017-06-16 15:55:38.6, 19.35033, 2.159029, 200, 100.8564
2017-06-16 15:55:53.7, 19.35136, 2.159003, 200, 100.8545
2017-06-16 15:56:08.8, 19.36235, 2.158721, 200, 100.8589
2017-06-16 15:56:23.8, 19.36621, 2.158622, 200, 100.8555
2017-06-16 15:56:38.9, 19.34276, 2.159224, 200, 100.8591
2017-06-16 15:56:54.0, 19.33837, 2.159337, 200, 100.8599
2017-06-16 15:57:09.0, 19.32874, 2.159584, 200, 100.8516
2017-06-16 15:57:24.0, 19.31494, 2.159939, 200, 100.8594
2017-06-16 15:57:39.1, 19.28766, 2.16064, 200, 100.8552
2017-06-16 15:57:54.1, 19.28826, 2.160625, 200, 100.8599
2017-06-16 15:58:09.1, 19.29922, 2.160343, 200, 100.8582
2017-06-16 15:58:24.2, 19.29038, 2.16057, 200, 100.8547
2017-06-16 15:58:39.3, 19.28042, 2.160826, 200, 100.8572
2017-06-16 15:58:54.4, 19.27661, 2.160924, 200, 100.8591
2017-06-16 15:59:09.5, 19.29214, 2.160525, 200, 100.8557
2017-06-16 15:59:24.5, 19.27859, 2.160873, 200, 100.8577
2017-06-16 15:59:39.6, 19.26739, 2.161162, 200, 100.8562
2017-06-16 15:59:54.7, 19.28365, 2.160743, 200, 100.8594
2017-06-16 16:00:09.8, 19.27643, 2.160929, 200, 100.8586
2017-06-16 16:00:24.8, 19.26933, 2.161112, 200, 100.8525
2017-06-16 16:00:39.9, 19.27007, 2.161093, 200, 100.8557
2017-06-16 16:00:55.0, 19.27653, 2.160926, 200, 100.8513
2017-06-16 16:01:10.1, 19.25545, 2.161469, 200, 100.8538
2017-06-16 16:01:25.2, 19.24405, 2.161762, 200, 100.8584
2017-06-16 16:01:40.2, 19.25004, 2.161608, 200, 100.853
2017-06-16 16:01:55.3, 19.25047, 2.161597, 200, 100.8572
2017-06-16 16:02:10.4, 19.23893, 2.161894, 200, 100.8506
2017-06-16 16:02:25.4, 19.24566, 2.161721, 200, 100.8511
2017-06-16 16:02:40.5, 19.20582, 2.162747, 200, 100.8557
2017-06-16 16:02:55.6, 19.17644, 2.163505, 200, 100.8516
2017-06-16 16:03:10.7, 19.1193, 2.164979, 200, 100.8569
2017-06-16 16:03:25.9, 19.04346, 2.166939, 200, 100.8596
2017-06-16 16:03:40.9, 18.99162, 2.168282, 200, 100.8569
2017-06-16 16:03:56.0, 18.92389, 2.170038, 200, 100.8545
2017-06-16 16:04:11.1, 18.81077, 2.172976, 200, 100.8577
2017-06-16 16:04:26.1, 18.72652, 2.175171, 200, 100.8596
2017-06-16 16:04:41.2, 18.64153, 2.177388, 200, 100.8582
2017-06-16 16:04:56.3, 18.57529, 2.17912, 200, 100.8545
2017-06-16 16:05:11.3, 18.46272, 2.182069, 200, 100.8608
2017-06-16 16:05:26.3, 18.37422, 2.184393, 200, 100.8582
2017-06-16 16:05:41.4, 18.28695, 2.18669, 200, 100.8528
2017-06-16 16:05:56.5, 18.18817, 2.189296, 200, 100.8557
2017-06-16 16:06:11.6, 18.08489, 2.192026, 200, 100.8599
2017-06-16 16:06:26.6, 17.99212, 2.194485, 200, 100.8569
2017-06-16 16:06:41.7, 17.8993, 2.196951, 200, 100.8589
2017-06-16 16:06:56.7, 17.81539, 2.199184, 200, 100.8584
2017-06-16 16:07:11.8, 17.69825, 2.20231, 200, 100.8572
2017-06-16 16:07:26.9, 17.63334, 2.204046, 200, 100.8538
2017-06-16 16:07:41.9, 17.56372, 2.205911, 200, 100.8577
2017-06-16 16:07:57.0, 17.47237, 2.208363, 200, 100.8569
2017-06-16 16:08:12.1, 17.39053, 2.210564, 200, 100.8564
2017-06-16 16:08:27.2, 17.31933, 2.212483, 200, 100.8513
2017-06-16 16:08:42.2, 17.23003, 2.214894, 200, 100.8523
2017-06-16 16:08:57.2, 17.14529, 2.217187, 200, 100.8523
2017-06-16 16:09:12.3, 17.06645, 2.219324, 200, 100.8528
2017-06-16 16:09:27.3, 16.97958, 2.221684, 200, 100.8535
2017-06-16 16:09:42.4, 16.93721, 2.222837, 200, 100.8533
2017-06-16 16:09:57.5, 16.83858, 2.225525, 200, 100.855
2017-06-16 16:10:12.6, 16.75036, 2.227936, 200, 100.854
2017-06-16 16:10:27.7, 16.67245, 2.230068, 200, 100.8533
2017-06-16 16:10:42.7, 16.61158, 2.231737, 200, 100.8574
2017-06-16 16:10:57.8, 16.51665, 2.234345, 200, 100.8533
2017-06-16 16:11:12.9, 16.44052, 2.236442, 200, 100.8538
2017-06-16 16:11:28.0, 16.39783, 2.237618, 200, 100.8567
2017-06-16 16:11:43.0, 16.39037, 2.237824, 200, 100.8574
2017-06-16 16:11:58.1, 16.43457, 2.236605, 200, 100.856
2017-06-16 16:12:13.1, 16.53613, 2.23381, 200, 100.8589
2017-06-16 16:12:28.2, 16.65154, 2.230641, 200, 100.8582
2017-06-16 16:12:43.2, 16.78293, 2.227045, 200, 100.8591
2017-06-16 16:12:58.3, 16.88677, 2.224211, 200, 100.8589
2017-06-16 16:13:13.3, 17.02241, 2.22052, 200, 100.8643
2017-06-16 16:13:28.4, 17.1422, 2.21727, 200, 100.8616
2017-06-16 16:13:43.4, 17.25844, 2.214126, 200, 100.8601
2017-06-16 16:13:58.4, 17.37425, 2.211003, 200, 100.8599
2017-06-16 16:14:13.5, 17.49532, 2.207747, 200, 100.8604
2017-06-16 16:14:28.6, 17.62348, 2.20431, 200, 100.8594
2017-06-16 16:14:43.7, 17.69493, 2.202399, 200, 100.8596
2017-06-16 16:14:58.7, 17.80449, 2.199475, 200, 100.8633
2017-06-16 16:15:13.8, 17.92053, 2.196386, 200, 100.8572
2017-06-16 16:15:28.8, 18.00977, 2.194017, 200, 100.8599
2017-06-16 16:15:43.8, 18.09399, 2.191786, 200, 100.8577
2017-06-16 16:15:58.9, 18.17576, 2.189623, 200, 100.8567
2017-06-16 16:16:14.0, 18.25941, 2.187416, 200, 100.8572
2017-06-16 16:16:29.1, 18.33883, 2.185324, 200, 100.8613
2017-06-16 16:16:44.2, 18.3951, 2.183845, 200, 100.8616
2017-06-16 16:16:59.2, 18.45306, 2.182323, 200, 100.8574
2017-06-16 16:17:14.3, 18.53619, 2.180143, 200, 100.8589
2017-06-16 16:17:29.3, 18.59261, 2.178667, 200, 100.8535
2017-06-16 16:17:44.4, 18.64955, 2.177179, 200, 100.8586
2017-06-16 16:17:59.4, 18.69532, 2.175984, 200, 100.8579
2017-06-16 16:18:14.5, 18.78158, 2.173736, 200, 100.8564
2017-06-16 16:18:29.6, 18.82633, 2.172572, 200, 100.8574
2017-06-16 16:18:44.7, 18.84097, 2.172191, 200, 100.8608
2017-06-16 16:18:59.8, 18.88232, 2.171116, 200, 100.8599
2017-06-16 16:19:14.8, 18.94881, 2.169391, 200, 100.8557
2017-06-16 16:19:29.9, 18.95077, 2.16934, 200, 100.8623
2017-06-16 16:19:45.0, 18.98211, 2.168528, 200, 100.8591
2017-06-16 16:20:00.0, 19.00859, 2.167842, 200, 100.8535
2017-06-16 16:20:15.1, 19.04343, 2.16694, 200, 100.8555
2017-06-16 16:20:30.2, 19.06318, 2.16643, 200, 100.8574
2017-06-16 16:20:45.2, 19.0769, 2.166075, 200, 100.8542
2017-06-16 16:21:00.2, 19.10165, 2.165435, 200, 100.8579
2017-06-16 16:21:15.3, 19.12743, 2.164769, 200, 100.8584
2017-06-16 16:21:30.4, 19.12974, 2.16471, 200, 100.8584
2017-06-16 16:21:45.5, 19.08276, 2.165923, 200, 100.8647
2017-06-16 16:22:00.6, 19.06632, 2.166348, 200, 100.8596
2017-06-16 16:22:15.6, 19.04234, 2.166969, 200, 100.8567
2017-06-16 16:22:30.7, 19.00188, 2.168016, 200, 100.8618
2017-06-16 16:22:45.7, 18.93276, 2.169807, 200, 100.8621
2017-06-16 16:23:00.8, 18.89746, 2.170723, 200, 100.8628
2017-06-16 16:23:15.8, 18.85255, 2.17189, 200, 100.8633
