Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-16 15:50:27.7, 18.8362, 1.99378, 200, 100.6265
2017-06-16 15:50:42.7, 18.80354, 1.994339, 200, 100.6255
2017-06-16 15:50:57.8, 18.7674, 1.994958, 200, 100.6323
2017-06-16 15:51:12.9, 18.74973, 1.995261, 200, 100.6284
2017-06-16 15:51:28.1, 18.71998, 1.995771, 200, 100.6296
2017-06-16 15:51:43.1, 18.68269, 1.99641, 200, 100.6257
2017-06-16 15:51:58.2, 18.6558, 1.996872, 200, 100.6282
2017-06-16 15:52:13.2, 18.60976, 1.997662, 200, 100.6233
2017-06-16 15:52:28.3, 18.59257, 1.997958, 200, 100.6294
2017-06-16 15:52:43.3, 18.54198, 1.998827, 200, 100.6338
2017-06-16 15:52:58.4, 18.50156, 1.999522, 200, 100.6321
2017-06-16 15:53:13.5, 18.48103, 1.999876, 200, 100.6321
2017-06-16 15:53:28.6, 18.3855, 2.001522, 200, 100.6287
2017-06-16 15:53:43.6, 18.37679, 2.001672, 200, 100.6277
2017-06-16 15:53:58.7, 18.36044, 2.001954, 200, 100.6277
2017-06-16 15:54:13.8, 18.29662, 2.003056, 200, 100.6289
2017-06-16 15:54:28.9, 18.24804, 2.003895, 200, 100.6309
2017-06-16 15:54:43.9, 18.19689, 2.004779, 200, 100.6292
2017-06-16 15:54:59.0, 18.16499, 2.005331, 200, 100.6284
2017-06-16 15:55:14.0, 18.13791, 2.0058, 200, 100.6284
2017-06-16 15:55:29.1, 18.07092, 2.006961, 200, 100.6316
2017-06-16 15:55:44.2, 18.03791, 2.007533, 200, 100.6299
2017-06-16 15:55:59.2, 18.00291, 2.008141, 200, 100.6296
2017-06-16 15:56:14.3, 17.94937, 2.00907, 200, 100.6311
2017-06-16 15:56:29.4, 17.93203, 2.009372, 200, 100.625
2017-06-16 15:56:44.5, 17.894, 2.010033, 200, 100.6272
2017-06-16 15:56:59.5, 17.85445, 2.010721, 200, 100.6233
2017-06-16 15:57:14.5, 17.82496, 2.011234, 200, 100.6272
2017-06-16 15:57:29.6, 17.79031, 2.011838, 200, 100.6299
2017-06-16 15:57:44.7, 17.77715, 2.012067, 200, 100.626
2017-06-16 15:57:59.7, 17.75022, 2.012536, 200, 100.6287
2017-06-16 15:58:14.8, 17.76489, 2.01228, 200, 100.6277
2017-06-16 15:58:29.9, 17.71881, 2.013084, 200, 100.625
2017-06-16 15:58:45.0, 17.68768, 2.013627, 200, 100.623
2017-06-16 15:59:00.0, 17.67363, 2.013872, 200, 100.6265
2017-06-16 15:59:15.1, 17.67953, 2.013769, 200, 100.626
2017-06-16 15:59:30.2, 17.62321, 2.014753, 200, 100.623
2017-06-16 15:59:45.3, 17.59709, 2.015209, 200, 100.6255
2017-06-16 16:00:00.3, 17.59837, 2.015187, 200, 100.624
2017-06-16 16:00:15.4, 17.56692, 2.015737, 200, 100.627
2017-06-16 16:00:30.4, 17.56437, 2.015782, 200, 100.6238
2017-06-16 16:00:45.5, 17.57384, 2.015616, 200, 100.6238
2017-06-16 16:01:00.6, 17.51895, 2.016576, 200, 100.6189
2017-06-16 16:01:15.6, 17.50984, 2.016736, 200, 100.6204
2017-06-16 16:01:30.7, 17.51562, 2.016634, 200, 100.6245
2017-06-16 16:01:45.8, 17.52321, 2.016502, 200, 100.6243
2017-06-16 16:02:00.9, 17.49164, 2.017054, 200, 100.6248
2017-06-16 16:02:15.9, 17.48794, 2.017119, 200, 100.6252
2017-06-16 16:02:31.1, 17.49311, 2.017029, 200, 100.6238
2017-06-16 16:02:46.1, 17.49097, 2.017066, 200, 100.6221
2017-06-16 16:03:01.2, 17.43504, 2.018046, 200, 100.6213
2017-06-16 16:03:16.2, 17.38992, 2.018837, 200, 100.6245
2017-06-16 16:03:31.3, 17.32688, 2.019944, 200, 100.6252
2017-06-16 16:03:46.4, 17.26092, 2.021103, 200, 100.6274
2017-06-16 16:04:01.5, 17.18052, 2.022517, 200, 100.6243
2017-06-16 16:04:16.9, 17.0646, 2.02456, 200, 100.6265
