Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-17 19:44:51.0, 97.63068, 1.430504, 200, 100.3909
2017-08-17 19:45:06.1, 97.88629, 1.429359, 200, 100.3904
2017-08-17 19:45:21.2, 97.99448, 1.428875, 200, 100.3899
2017-08-17 19:45:36.2, 97.98636, 1.428911, 200, 100.3892
2017-08-17 19:45:51.3, 97.97668, 1.428955, 200, 100.3918
2017-08-17 19:46:06.4, 98.11505, 1.428336, 200, 100.3879
2017-08-17 19:46:21.4, 97.95886, 1.429034, 200, 100.3884
2017-08-17 19:46:36.5, 97.88916, 1.429346, 200, 100.3855
2017-08-17 19:46:51.5, 97.89554, 1.429318, 200, 100.3921
2017-08-17 19:47:06.6, 98.08264, 1.428481, 200, 100.3911
2017-08-17 19:47:21.7, 98.01907, 1.428765, 200, 100.3921
2017-08-17 19:47:36.7, 97.88342, 1.429372, 200, 100.3882
2017-08-17 19:47:51.8, 98.10803, 1.428367, 200, 100.3892
2017-08-17 19:48:06.9, 97.91702, 1.429222, 200, 100.3931
2017-08-17 19:48:22.0, 97.9169, 1.429222, 200, 100.3896
2017-08-17 19:48:37.0, 97.81595, 1.429674, 200, 100.3911
2017-08-17 19:48:52.1, 97.84781, 1.429531, 200, 100.3894
2017-08-17 19:49:07.2, 97.80881, 1.429706, 200, 100.3882
2017-08-17 19:49:22.3, 97.79272, 1.429778, 200, 100.3926
2017-08-17 19:49:37.3, 97.78082, 1.429831, 200, 100.3928
2017-08-17 19:49:52.4, 97.74973, 1.42997, 200, 100.3857
2017-08-17 19:50:07.5, 97.65433, 1.430398, 200, 100.3967
2017-08-17 19:50:22.5, 97.68457, 1.430262, 200, 100.3904
2017-08-17 19:50:37.6, 97.51257, 1.431033, 200, 100.3906
2017-08-17 19:50:52.7, 97.67166, 1.43032, 200, 100.3911
2017-08-17 19:51:07.8, 97.6087, 1.430602, 200, 100.3914
2017-08-17 19:51:22.9, 97.36081, 1.431714, 200, 100.3877
2017-08-17 19:51:37.9, 97.1586, 1.432623, 200, 100.3909
2017-08-17 19:51:53.0, 96.96371, 1.433499, 200, 100.3875
2017-08-17 19:52:08.1, 96.81702, 1.43416, 200, 100.3862
2017-08-17 19:52:23.2, 96.72531, 1.434573, 200, 100.3894
2017-08-17 19:52:38.2, 96.39053, 1.436083, 200, 100.3882
2017-08-17 19:52:53.3, 96.29327, 1.436522, 200, 100.3882
2017-08-17 19:53:08.4, 96.11517, 1.437328, 200, 100.3914
2017-08-17 19:53:23.5, 95.75656, 1.438952, 200, 100.3857
2017-08-17 19:53:38.5, 95.45392, 1.440326, 200, 100.3889
2017-08-17 19:53:53.6, 95.26538, 1.441183, 200, 100.3894
2017-08-17 19:54:08.7, 95.16165, 1.441655, 200, 100.3884
2017-08-17 19:54:23.8, 94.81445, 1.443237, 200, 100.3875
2017-08-17 19:54:38.9, 94.45288, 1.444888, 200, 100.3855
2017-08-17 19:54:53.9, 94.34103, 1.4454, 200, 100.3867
2017-08-17 19:55:09.0, 94.24484, 1.44584, 200, 100.3879
2017-08-17 19:55:24.1, 93.96365, 1.447129, 200, 100.3857
2017-08-17 19:55:39.2, 93.67188, 1.448468, 200, 100.384
2017-08-17 19:55:54.2, 93.52582, 1.44914, 200, 100.386
2017-08-17 19:56:09.3, 93.23795, 1.450465, 200, 100.3833
2017-08-17 19:56:24.4, 93.20819, 1.450602, 200, 100.3855
2017-08-17 19:56:39.5, 92.95471, 1.451771, 200, 100.3833
2017-08-17 19:56:54.5, 92.81122, 1.452434, 200, 100.3875
2017-08-17 19:57:09.6, 92.66464, 1.453111, 200, 100.3845
2017-08-17 19:57:24.7, 92.47507, 1.453988, 200, 100.3921
2017-08-17 19:57:39.8, 92.25449, 1.45501, 200, 100.3889
2017-08-17 19:57:54.9, 91.94934, 1.456427, 200, 100.3882
2017-08-17 19:58:09.9, 91.97116, 1.456325, 200, 100.3879
2017-08-17 19:58:25.0, 91.62927, 1.457915, 200, 100.3862
2017-08-17 19:58:40.1, 91.50909, 1.458474, 200, 100.3882
2017-08-17 19:58:55.1, 91.22244, 1.459811, 200, 100.3884
2017-08-17 19:59:10.2, 91.16302, 1.460088, 200, 100.384
2017-08-17 19:59:25.3, 90.8317, 1.461637, 200, 100.3831
2017-08-17 19:59:40.4, 90.59009, 1.462768, 200, 100.3877
2017-08-17 19:59:55.4, 90.46112, 1.463373, 200, 100.385
2017-08-17 20:00:10.5, 90.26984, 1.464271, 200, 100.3862
2017-08-17 20:00:25.6, 89.84769, 1.466255, 200, 100.3818
2017-08-17 20:00:40.7, 89.8898, 1.466057, 200, 100.3833
2017-08-17 20:00:55.7, 89.68771, 1.467009, 200, 100.3826
2017-08-17 20:01:10.8, 89.27356, 1.468964, 200, 100.3853
2017-08-17 20:01:25.9, 89.07037, 1.469925, 200, 100.3896
2017-08-17 20:01:41.0, 88.87332, 1.470858, 200, 100.3865
2017-08-17 20:01:56.0, 88.59805, 1.472163, 200, 100.3882
2017-08-17 20:02:11.1, 88.84442, 1.470995, 200, 100.3843
2017-08-17 20:02:26.2, 89.47543, 1.46801, 200, 100.3826
2017-08-17 20:02:41.3, 90.25836, 1.464324, 200, 100.3879
2017-08-17 20:02:56.4, 91.15289, 1.460136, 200, 100.3799
2017-08-17 20:03:11.4, 91.96243, 1.456366, 200, 100.3818
2017-08-17 20:03:26.5, 92.67316, 1.453072, 200, 100.3867
2017-08-17 20:03:41.6, 93.45612, 1.44946, 200, 100.387
2017-08-17 20:03:56.7, 94.1449, 1.446298, 200, 100.3887
2017-08-17 20:04:11.7, 94.70038, 1.443758, 200, 100.3857
2017-08-17 20:04:26.8, 95.18774, 1.441536, 200, 100.3823
2017-08-17 20:04:41.9, 95.61798, 1.439581, 200, 100.3857
2017-08-17 20:04:57.0, 96.14557, 1.437191, 200, 100.3855
2017-08-17 20:05:12.0, 96.61685, 1.435062, 200, 100.386
2017-08-17 20:05:27.1, 96.83444, 1.434081, 200, 100.3867
2017-08-17 20:05:42.1, 97.14935, 1.432664, 200, 100.3835
2017-08-17 20:05:57.2, 97.14978, 1.432662, 200, 100.3879
2017-08-17 20:06:12.2, 97.58557, 1.430706, 200, 100.3831
2017-08-17 20:06:27.3, 97.59869, 1.430647, 200, 100.3899
2017-08-17 20:06:42.4, 97.71527, 1.430125, 200, 100.3821
2017-08-17 20:06:57.5, 97.85593, 1.429495, 200, 100.3818
2017-08-17 20:07:12.6, 98.04205, 1.428663, 200, 100.3857
2017-08-17 20:07:27.6, 97.84216, 1.429556, 200, 100.3818
2017-08-17 20:07:42.7, 97.77539, 1.429855, 200, 100.385
2017-08-17 20:07:57.8, 97.84039, 1.429564, 200, 100.3838
2017-08-17 20:08:12.9, 97.73672, 1.430029, 200, 100.3877
2017-08-17 20:08:27.9, 97.67282, 1.430315, 200, 100.3835
2017-08-17 20:08:43.0, 97.34006, 1.431807, 200, 100.3813
2017-08-17 20:08:58.1, 97.44098, 1.431354, 200, 100.386
2017-08-17 20:09:13.2, 97.18106, 1.432521, 200, 100.3894
2017-08-17 20:09:28.3, 97.03964, 1.433157, 200, 100.3872
2017-08-17 20:09:43.3, 96.84351, 1.43404, 200, 100.3845
2017-08-17 20:09:58.4, 96.56281, 1.435305, 200, 100.3867
2017-08-17 20:10:13.4, 96.29984, 1.436493, 200, 100.3872
2017-08-17 20:10:28.5, 96.11743, 1.437318, 200, 100.3855
2017-08-17 20:10:43.6, 96.17886, 1.43704, 200, 100.385
2017-08-17 20:10:58.7, 95.90881, 1.438262, 200, 100.3884
2017-08-17 20:11:13.8, 95.59769, 1.439673, 200, 100.3894
2017-08-17 20:11:28.8, 95.47549, 1.440228, 200, 100.3848
2017-08-17 20:11:43.9, 95.35956, 1.440755, 200, 100.3882
2017-08-17 20:11:59.0, 94.92776, 1.442721, 200, 100.3853
2017-08-17 20:12:14.1, 94.8703, 1.442982, 200, 100.3867
2017-08-17 20:12:29.2, 94.6113, 1.444165, 200, 100.3845
2017-08-17 20:12:44.2, 94.31882, 1.445502, 200, 100.384
2017-08-17 20:12:59.3, 94.30725, 1.445555, 200, 100.3848
2017-08-17 20:13:14.4, 94.10696, 1.446472, 200, 100.385
2017-08-17 20:13:29.4, 93.84378, 1.447679, 200, 100.3823
2017-08-17 20:13:44.5, 93.71472, 1.448271, 200, 100.3821
2017-08-17 20:13:59.6, 93.27267, 1.450305, 200, 100.3867
2017-08-17 20:14:14.7, 93.12265, 1.450996, 200, 100.3833
2017-08-17 20:14:29.8, 93.06238, 1.451274, 200, 100.3845
2017-08-17 20:14:44.8, 92.69, 1.452994, 200, 100.3835
2017-08-17 20:14:59.9, 92.50739, 1.453839, 200, 100.3845
2017-08-17 20:15:14.9, 92.4335, 1.454181, 200, 100.3845
2017-08-17 20:15:30.0, 92.20959, 1.455218, 200, 100.3804
2017-08-17 20:15:45.0, 92.004, 1.456173, 200, 100.3879
2017-08-17 20:16:00.1, 91.96719, 1.456344, 200, 100.3853
2017-08-17 20:16:15.2, 91.83548, 1.456956, 200, 100.3875
2017-08-17 20:16:30.3, 91.66663, 1.457741, 200, 100.387
2017-08-17 20:16:45.3, 91.26907, 1.459594, 200, 100.3933
2017-08-17 20:17:00.4, 91.1543, 1.460129, 200, 100.3855
2017-08-17 20:17:15.5, 90.74744, 1.462031, 200, 100.3838
2017-08-17 20:17:30.6, 90.6908, 1.462297, 200, 100.3835
2017-08-17 20:17:45.6, 90.39142, 1.4637, 200, 100.385
2017-08-17 20:18:00.7, 90.16312, 1.464772, 200, 100.3779
2017-08-17 20:18:15.8, 89.86072, 1.466194, 200, 100.3816
2017-08-17 20:18:30.9, 89.61951, 1.467331, 200, 100.3875
2017-08-17 20:18:46.0, 89.22012, 1.469216, 200, 100.3843
2017-08-17 20:19:01.0, 89.39966, 1.468368, 200, 100.3838
2017-08-17 20:19:16.1, 89.59949, 1.467425, 200, 100.3838
2017-08-17 20:19:31.2, 90.22745, 1.46447, 200, 100.3843
2017-08-17 20:19:46.2, 90.92535, 1.461199, 200, 100.386
2017-08-17 20:20:01.3, 91.81198, 1.457065, 200, 100.385
2017-08-17 20:20:16.4, 92.65723, 1.453145, 200, 100.3828
2017-08-17 20:20:31.5, 93.22977, 1.450503, 200, 100.3833
2017-08-17 20:20:46.6, 93.90802, 1.447384, 200, 100.3831
2017-08-17 20:21:01.6, 94.46909, 1.444814, 200, 100.3872
2017-08-17 20:21:16.7, 94.88861, 1.442899, 200, 100.3806
2017-08-17 20:21:31.8, 95.401, 1.440566, 200, 100.3831
2017-08-17 20:21:46.9, 95.91696, 1.438225, 200, 100.3818
2017-08-17 20:22:01.9, 96.2215, 1.436847, 200, 100.3831
2017-08-17 20:22:17.0, 96.43927, 1.435863, 200, 100.3799
2017-08-17 20:22:32.1, 96.64691, 1.434926, 200, 100.3865
2017-08-17 20:22:47.2, 96.80609, 1.434209, 200, 100.3809
2017-08-17 20:23:02.2, 97.07574, 1.432995, 200, 100.3826
2017-08-17 20:23:17.3, 97.21472, 1.43237, 200, 100.3811
2017-08-17 20:23:32.4, 97.34036, 1.431806, 200, 100.3826
2017-08-17 20:23:47.5, 97.39832, 1.431546, 200, 100.3828
2017-08-17 20:24:02.5, 97.53439, 1.430935, 200, 100.386
2017-08-17 20:24:17.6, 97.47397, 1.431206, 200, 100.3853
2017-08-17 20:24:32.6, 97.62518, 1.430528, 200, 100.3818
2017-08-17 20:24:47.7, 97.46036, 1.431267, 200, 100.3816
2017-08-17 20:25:02.7, 97.6152, 1.430573, 200, 100.3889
2017-08-17 20:25:17.8, 97.47318, 1.43121, 200, 100.3857
2017-08-17 20:25:32.9, 97.41931, 1.431452, 200, 100.3867
2017-08-17 20:25:48.0, 97.43008, 1.431403, 200, 100.387
2017-08-17 20:26:03.1, 97.18219, 1.432516, 200, 100.387
2017-08-17 20:26:18.1, 97.02689, 1.433215, 200, 100.3896
2017-08-17 20:26:33.2, 96.69843, 1.434694, 200, 100.3865
2017-08-17 20:26:48.3, 96.4679, 1.435734, 200, 100.385
2017-08-17 20:27:03.3, 96.36414, 1.436202, 200, 100.3875
2017-08-17 20:27:18.4, 95.82779, 1.438629, 200, 100.3857
