Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-18 19:30:51.5, 100.3716, 2.0347, 200, 101.0186
2017-08-18 19:31:06.5, 100.4047, 2.034525, 200, 101.0176
2017-08-18 19:31:21.6, 100.422, 2.034434, 200, 101.021
2017-08-18 19:31:36.7, 100.3789, 2.034661, 200, 101.0198
2017-08-18 19:31:51.7, 100.3495, 2.034816, 200, 101.0237
2017-08-18 19:32:06.8, 100.3945, 2.034579, 200, 101.0259
2017-08-18 19:32:21.8, 100.2956, 2.0351, 200, 101.0305
2017-08-18 19:32:36.9, 100.6065, 2.033462, 200, 101.0222
2017-08-18 19:32:51.9, 99.50842, 2.03926, 200, 101.0305
2017-08-18 19:33:07.0, 98.25571, 2.045915, 200, 101.0237
2017-08-18 19:33:22.1, 97.88379, 2.047899, 200, 101.0325
2017-08-18 19:33:37.2, 97.69492, 2.048908, 200, 101.0247
2017-08-18 19:33:52.2, 97.65839, 2.049103, 200, 101.0293
2017-08-18 19:34:07.3, 97.58374, 2.049502, 200, 101.0295
2017-08-18 19:34:22.3, 97.55264, 2.049669, 200, 101.0313
2017-08-18 19:34:37.4, 97.54816, 2.049693, 200, 101.0298
2017-08-18 19:34:52.4, 97.48865, 2.050011, 200, 101.0293
2017-08-18 19:35:07.6, 97.50269, 2.049936, 200, 101.0352
2017-08-18 19:35:22.6, 97.46643, 2.05013, 200, 101.031
2017-08-18 19:35:37.6, 97.43652, 2.05029, 200, 101.0342
2017-08-18 19:35:52.7, 97.45068, 2.050214, 200, 101.0337
2017-08-18 19:36:07.7, 97.47369, 2.050091, 200, 101.0356
2017-08-18 19:36:22.8, 97.54184, 2.049726, 200, 101.0342
2017-08-18 19:36:37.8, 97.41803, 2.050389, 200, 101.0354
2017-08-18 19:36:52.9, 97.32635, 2.05088, 200, 101.0339
2017-08-18 19:37:07.9, 97.49374, 2.049984, 200, 101.0339
2017-08-18 19:37:22.9, 97.58081, 2.049518, 200, 101.03
2017-08-18 19:37:38.0, 97.48297, 2.050041, 200, 101.0332
2017-08-18 19:37:53.1, 97.52573, 2.049813, 200, 101.0366
2017-08-18 19:38:08.1, 97.5329, 2.049774, 200, 101.0313
2017-08-18 19:38:23.2, 97.60944, 2.049365, 200, 101.0334
2017-08-18 19:38:38.3, 97.49496, 2.049977, 200, 101.0325
2017-08-18 19:38:53.4, 97.5238, 2.049823, 200, 101.0327
2017-08-18 19:39:08.4, 97.63504, 2.049228, 200, 101.0322
2017-08-18 19:39:23.5, 97.55243, 2.04967, 200, 101.0286
2017-08-18 19:39:38.6, 97.65308, 2.049132, 200, 101.0317
2017-08-18 19:39:53.7, 97.57687, 2.049539, 200, 101.0332
2017-08-18 19:40:08.8, 97.69177, 2.048925, 200, 101.032
2017-08-18 19:40:23.8, 97.59543, 2.04944, 200, 101.0313
2017-08-18 19:40:38.9, 97.66467, 2.04907, 200, 101.0288
2017-08-18 19:40:54.0, 97.67117, 2.049035, 200, 101.0371
2017-08-18 19:41:09.0, 97.52048, 2.049841, 200, 101.0286
2017-08-18 19:41:24.1, 97.35925, 2.050704, 200, 101.0342
2017-08-18 19:41:39.2, 97.14407, 2.051857, 200, 101.0288
2017-08-18 19:41:54.3, 96.86081, 2.053376, 200, 101.0366
2017-08-18 19:42:09.4, 96.82925, 2.053546, 200, 101.0398
2017-08-18 19:42:24.4, 96.69556, 2.054264, 200, 101.0337
2017-08-18 19:42:39.5, 96.51364, 2.055242, 200, 101.0405
2017-08-18 19:42:54.6, 96.24359, 2.056695, 200, 101.0371
2017-08-18 19:43:09.7, 96.10248, 2.057456, 200, 101.0359
2017-08-18 19:43:24.7, 95.95032, 2.058276, 200, 101.0356
2017-08-18 19:43:39.8, 95.7045, 2.059603, 200, 101.0354
2017-08-18 19:43:54.9, 95.2774, 2.061913, 200, 101.0383
2017-08-18 19:44:09.9, 94.78149, 2.0646, 200, 101.0425
2017-08-18 19:44:25.0, 94.34641, 2.066965, 200, 101.0369
2017-08-18 19:44:40.1, 94.20984, 2.067708, 200, 101.0386
2017-08-18 19:44:55.2, 94.18561, 2.06784, 200, 101.0437
2017-08-18 19:45:10.3, 94.19754, 2.067775, 200, 101.0413
2017-08-18 19:45:25.3, 93.93097, 2.069227, 200, 101.0437
2017-08-18 19:45:40.4, 93.90665, 2.06936, 200, 101.0417
