Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-22 17:10:28.0, 19.48585, 1.671314, 200, 100.49
2017-06-22 17:10:43.1, 19.45615, 1.67182, 200, 100.4836
2017-06-22 17:10:58.2, 19.40589, 1.672677, 200, 100.4849
2017-06-22 17:11:13.3, 19.37483, 1.673207, 200, 100.4829
2017-06-22 17:11:28.3, 19.38252, 1.673076, 200, 100.4814
2017-06-22 17:11:43.4, 19.37502, 1.673204, 200, 100.4827
2017-06-22 17:11:58.5, 19.40223, 1.672739, 200, 100.4824
2017-06-22 17:12:13.5, 19.41219, 1.672569, 200, 100.478
2017-06-22 17:12:28.6, 19.39134, 1.672925, 200, 100.4844
2017-06-22 17:12:43.7, 19.43068, 1.672254, 200, 100.48
2017-06-22 17:12:58.7, 19.39062, 1.672938, 200, 100.4851
2017-06-22 17:13:13.8, 19.39708, 1.672827, 200, 100.479
2017-06-22 17:13:28.8, 19.43838, 1.672123, 200, 100.4771
2017-06-22 17:13:43.9, 19.4358, 1.672167, 200, 100.4766
2017-06-22 17:13:59.0, 19.39606, 1.672845, 200, 100.4756
2017-06-22 17:14:14.1, 19.42097, 1.67242, 200, 100.4722
2017-06-22 17:14:29.1, 19.32778, 1.67401, 200, 100.4739
2017-06-22 17:14:44.2, 19.27365, 1.674936, 200, 100.4827
2017-06-22 17:14:59.3, 19.24072, 1.675499, 200, 100.4714
2017-06-22 17:15:14.4, 19.1882, 1.676398, 200, 100.4739
2017-06-22 17:15:29.4, 19.06982, 1.678429, 200, 100.4717
2017-06-22 17:15:44.5, 18.99171, 1.679771, 200, 100.4697
2017-06-22 17:15:59.6, 18.90551, 1.681255, 200, 100.4702
2017-06-22 17:16:14.7, 18.84705, 1.682263, 200, 100.4702
2017-06-22 17:16:29.7, 18.74913, 1.683954, 200, 100.4717
2017-06-22 17:16:44.9, 18.64301, 1.685791, 200, 100.4697
2017-06-22 17:16:59.9, 18.6246, 1.68611, 200, 100.4717
2017-06-22 17:17:15.0, 18.53205, 1.687716, 200, 100.4744
2017-06-22 17:17:30.0, 18.48826, 1.688476, 200, 100.4717
2017-06-22 17:17:45.0, 18.38492, 1.690274, 200, 100.4731
2017-06-22 17:18:00.1, 18.37048, 1.690526, 200, 100.468
2017-06-22 17:18:15.1, 18.23526, 1.692885, 200, 100.4758
2017-06-22 17:18:30.1, 18.27528, 1.692186, 200, 100.4744
2017-06-22 17:18:45.2, 18.15899, 1.694219, 200, 100.4722
2017-06-22 17:19:00.3, 18.07162, 1.695749, 200, 100.47
2017-06-22 17:19:15.4, 18.05736, 1.695999, 200, 100.4724
2017-06-22 17:19:30.5, 17.99966, 1.697011, 200, 100.4729
2017-06-22 17:19:45.6, 17.90278, 1.698714, 200, 100.468
2017-06-22 17:20:00.6, 17.87835, 1.699144, 200, 100.4661
2017-06-22 17:20:15.6, 17.77549, 1.700956, 200, 100.4653
2017-06-22 17:20:30.7, 17.70804, 1.702147, 200, 100.4692
2017-06-22 17:20:45.7, 17.62281, 1.703653, 200, 100.4705
2017-06-22 17:21:00.8, 17.59051, 1.704225, 200, 100.467
2017-06-22 17:21:15.9, 17.49413, 1.705933, 200, 100.4688
2017-06-22 17:21:31.0, 17.41943, 1.70726, 200, 100.4685
2017-06-22 17:21:46.0, 17.34858, 1.708519, 200, 100.4656
2017-06-22 17:22:01.1, 17.32053, 1.709019, 200, 100.4644
2017-06-22 17:22:16.2, 17.22819, 1.710665, 200, 100.4646
2017-06-22 17:22:31.3, 17.17943, 1.711535, 200, 100.4604
2017-06-22 17:22:46.3, 17.11436, 1.712698, 200, 100.4646
2017-06-22 17:23:01.4, 17.07325, 1.713433, 200, 100.4634
2017-06-22 17:23:16.5, 17.10308, 1.712899, 200, 100.4634
2017-06-22 17:23:31.6, 17.1572, 1.711932, 200, 100.4634
2017-06-22 17:23:46.7, 17.25008, 1.710274, 200, 100.4619
2017-06-22 17:24:01.7, 17.37178, 1.708107, 200, 100.4568
2017-06-22 17:24:16.8, 17.47375, 1.706295, 200, 100.4592
2017-06-22 17:24:31.9, 17.57485, 1.704502, 200, 100.4597
2017-06-22 17:24:46.9, 17.6984, 1.702317, 200, 100.4592
2017-06-22 17:25:02.0, 17.85596, 1.699538, 200, 100.4607
2017-06-22 17:25:17.1, 18.0035, 1.696944, 200, 100.459
2017-06-22 17:25:32.1, 18.06647, 1.695839, 200, 100.4558
