Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-23 17:51:46.2, 98.03235, 1.849076, 200, 99.62939
2017-05-23 17:52:01.3, 98.03589, 1.849065, 200, 99.6272
2017-05-23 17:52:16.4, 97.68158, 1.850104, 200, 99.62939
2017-05-23 17:52:31.5, 98.12177, 1.848814, 200, 99.62378
2017-05-23 17:52:46.5, 98.07037, 1.848964, 200, 99.62207
2017-05-23 17:53:01.6, 98.33209, 1.848198, 200, 99.62183
2017-05-23 17:53:16.7, 98.18738, 1.848621, 200, 99.6272
2017-05-23 17:53:31.8, 98.23767, 1.848474, 200, 99.62793
2017-05-23 17:53:46.8, 97.95654, 1.849298, 200, 99.625
2017-05-23 17:54:01.8, 98.09906, 1.84888, 200, 99.62573
2017-05-23 17:54:16.9, 98.01794, 1.849118, 200, 99.62207
2017-05-23 17:54:32.0, 98.04913, 1.849026, 200, 99.62524
2017-05-23 17:54:47.1, 98.2193, 1.848528, 200, 99.62402
2017-05-23 17:55:02.1, 98.14337, 1.84875, 200, 99.62695
2017-05-23 17:55:17.3, 97.97961, 1.84923, 200, 99.62646
2017-05-23 17:55:32.4, 98.01483, 1.849127, 200, 99.62109
2017-05-23 17:55:47.5, 98.08655, 1.848917, 200, 99.62085
2017-05-23 17:56:02.5, 98.07104, 1.848962, 200, 99.61841
2017-05-23 17:56:17.6, 98.39636, 1.84801, 200, 99.61841
2017-05-23 17:56:32.7, 98.20404, 1.848573, 200, 99.61841
2017-05-23 17:56:47.8, 97.88751, 1.8495, 200, 99.61353
2017-05-23 17:57:02.9, 98.02332, 1.849102, 200, 99.61792
2017-05-23 17:57:17.9, 98.25275, 1.84843, 200, 99.61499
2017-05-23 17:57:32.9, 98.20642, 1.848566, 200, 99.61377
2017-05-23 17:57:48.0, 98.37524, 1.848071, 200, 99.6123
2017-05-23 17:58:03.0, 97.85339, 1.8496, 200, 99.61426
2017-05-23 17:58:18.1, 98.05884, 1.848998, 200, 99.61279
2017-05-23 17:58:33.3, 97.5625, 1.850453, 200, 99.61133
2017-05-23 17:58:48.3, 97.60254, 1.850336, 200, 99.60986
2017-05-23 17:59:03.4, 98.04822, 1.849029, 200, 99.60889
2017-05-23 17:59:18.4, 97.89716, 1.849472, 200, 99.60913
2017-05-23 17:59:33.4, 97.67401, 1.850126, 200, 99.61353
2017-05-23 17:59:48.4, 98.17828, 1.848648, 200, 99.61182
2017-05-23 18:00:03.5, 97.59265, 1.850365, 200, 99.61108
2017-05-23 18:00:18.5, 97.54614, 1.850502, 200, 99.6106
2017-05-23 18:00:33.6, 97.42664, 1.850852, 200, 99.61353
2017-05-23 18:00:48.6, 97.80524, 1.849741, 200, 99.61206
2017-05-23 18:01:03.7, 97.77393, 1.849833, 200, 99.61108
2017-05-23 18:01:18.7, 97.52386, 1.850567, 200, 99.61328
2017-05-23 18:01:33.8, 97.6001, 1.850343, 200, 99.6084
2017-05-23 18:01:48.9, 97.28656, 1.851264, 200, 99.6106
2017-05-23 18:02:04.0, 97.43469, 1.850829, 200, 99.61475
2017-05-23 18:02:19.0, 97.39789, 1.850937, 200, 99.61206
