Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-24 19:00:15.8, 20.54458, 1.440778, 200, 100.0427
2017-06-24 19:00:30.9, 20.52602, 1.441173, 200, 100.0398
2017-06-24 19:00:46.0, 20.54365, 1.440797, 200, 100.0408
2017-06-24 19:01:01.1, 20.52631, 1.441167, 200, 100.0405
2017-06-24 19:01:16.2, 20.53289, 1.441027, 200, 100.0398
2017-06-24 19:01:31.2, 20.53299, 1.441025, 200, 100.0427
2017-06-24 19:01:46.3, 20.56895, 1.440259, 200, 100.0608
2017-06-24 19:02:01.3, 20.55983, 1.440453, 200, 100.0388
2017-06-24 19:02:16.4, 20.5508, 1.440645, 200, 100.0374
2017-06-24 19:02:31.4, 20.5527, 1.440605, 200, 100.0383
2017-06-24 19:02:46.5, 20.53278, 1.441029, 200, 100.0405
2017-06-24 19:03:01.6, 20.52787, 1.441134, 200, 100.0369
2017-06-24 19:03:16.7, 20.51256, 1.44146, 200, 100.0369
2017-06-24 19:03:31.8, 20.53778, 1.440922, 200, 100.0381
2017-06-24 19:03:46.8, 20.55602, 1.440534, 200, 100.0371
2017-06-24 19:04:01.9, 20.53953, 1.440885, 200, 100.0383
2017-06-24 19:04:17.0, 20.58449, 1.439928, 200, 100.0386
2017-06-24 19:04:32.1, 20.55603, 1.440534, 200, 100.0339
2017-06-24 19:04:47.1, 20.5642, 1.44036, 200, 100.0347
2017-06-24 19:05:02.1, 20.54374, 1.440796, 200, 100.033
2017-06-24 19:05:17.2, 20.55339, 1.44059, 200, 100.0337
2017-06-24 19:05:32.3, 20.5537, 1.440584, 200, 100.0288
2017-06-24 19:05:47.3, 20.56504, 1.440342, 200, 100.031
2017-06-24 19:06:02.4, 20.58348, 1.43995, 200, 100.0325
2017-06-24 19:06:17.5, 20.559, 1.440471, 200, 100.03
2017-06-24 19:06:32.6, 20.54305, 1.44081, 200, 100.0327
2017-06-24 19:06:47.7, 20.54401, 1.44079, 200, 100.0334
2017-06-24 19:07:02.9, 20.55071, 1.440647, 200, 100.03
2017-06-24 19:07:18.0, 20.5471, 1.440724, 200, 100.0322
2017-06-24 19:07:33.1, 20.53615, 1.440957, 200, 100.0298
2017-06-24 19:07:48.1, 20.56866, 1.440265, 200, 100.0286
2017-06-24 19:08:03.2, 20.54404, 1.440789, 200, 100.0269
2017-06-24 19:08:18.3, 20.52299, 1.441238, 200, 100.0242
2017-06-24 19:08:33.4, 20.54651, 1.440737, 200, 100.0244
2017-06-24 19:08:48.4, 20.53474, 1.440987, 200, 100.0222
2017-06-24 19:09:03.4, 20.53284, 1.441028, 200, 100.0254
2017-06-24 19:09:18.5, 20.55593, 1.440536, 200, 100.0247
2017-06-24 19:09:33.6, 20.56833, 1.440272, 200, 100.0293
2017-06-24 19:09:48.6, 20.51603, 1.441386, 200, 100.0244
2017-06-24 19:10:03.7, 20.5527, 1.440605, 200, 100.0237
2017-06-24 19:10:18.8, 20.56248, 1.440396, 200, 100.0229
2017-06-24 19:10:33.9, 20.54031, 1.440869, 200, 100.0195
2017-06-24 19:10:49.0, 20.53111, 1.441065, 200, 100.0247
2017-06-24 19:11:04.0, 20.53022, 1.441084, 200, 100.0229
2017-06-24 19:11:19.1, 20.51118, 1.44149, 200, 100.021
2017-06-24 19:11:34.2, 20.53011, 1.441086, 200, 100.0237
2017-06-24 19:11:49.2, 20.50625, 1.441595, 200, 100.0166
2017-06-24 19:12:04.3, 20.47174, 1.442331, 200, 100.0198
2017-06-24 19:12:19.4, 20.45941, 1.442594, 200, 100.0195
2017-06-24 19:12:34.4, 20.4723, 1.442319, 200, 100.0225
2017-06-24 19:12:49.5, 20.46819, 1.442407, 200, 100.0159
2017-06-24 19:13:04.5, 20.45777, 1.442629, 200, 100.0173
2017-06-24 19:13:19.6, 20.44219, 1.442962, 200, 100.0151
2017-06-24 19:13:34.7, 20.37474, 1.444405, 200, 100.0151
2017-06-24 19:13:49.8, 20.38859, 1.444108, 200, 100.0139
2017-06-24 19:14:04.8, 20.3448, 1.445046, 200, 100.0154
2017-06-24 19:14:19.8, 20.3204, 1.445569, 200, 100.0234
2017-06-24 19:14:34.9, 20.29277, 1.446162, 200, 100.0125
2017-06-24 19:14:50.0, 20.25573, 1.446957, 200, 100.0132
2017-06-24 19:15:05.0, 20.27282, 1.44659, 200, 100.0144
2017-06-24 19:15:20.1, 20.23197, 1.447468, 200, 100.0159
2017-06-24 19:15:35.2, 20.22404, 1.447638, 200, 100.009
2017-06-24 19:15:50.2, 20.19337, 1.448298, 200, 100.011
2017-06-24 19:16:05.2, 20.1964, 1.448233, 200, 100.0115
2017-06-24 19:16:20.3, 20.17152, 1.448769, 200, 100.0125
2017-06-24 19:16:35.4, 20.10878, 1.450121, 200, 100.0081
