Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-25 14:24:53.3, 93.82089, 1.489613, 200, 100.3147
2017-08-25 14:25:08.4, 93.62088, 1.49053, 200, 100.3191
2017-08-25 14:25:23.5, 93.56488, 1.490787, 200, 100.3186
2017-08-25 14:25:38.6, 93.42004, 1.491452, 200, 100.3142
2017-08-25 14:25:53.7, 93.41171, 1.49149, 200, 100.3171
2017-08-25 14:26:08.7, 93.302, 1.491994, 200, 100.3196
2017-08-25 14:26:23.8, 93.25735, 1.492199, 200, 100.3169
2017-08-25 14:26:38.9, 93.16293, 1.492633, 200, 100.3159
2017-08-25 14:26:54.0, 93.35977, 1.491728, 200, 100.3164
2017-08-25 14:27:09.0, 93.28046, 1.492093, 200, 100.3181
2017-08-25 14:27:24.1, 93.30707, 1.491971, 200, 100.3154
2017-08-25 14:27:39.1, 93.26007, 1.492186, 200, 100.3184
2017-08-25 14:27:54.2, 93.38605, 1.491608, 200, 100.3162
2017-08-25 14:28:09.2, 93.27063, 1.492138, 200, 100.3159
2017-08-25 14:28:24.3, 93.35818, 1.491736, 200, 100.3142
2017-08-25 14:28:39.4, 93.46555, 1.491243, 200, 100.3186
2017-08-25 14:28:54.5, 93.42487, 1.491429, 200, 100.3167
2017-08-25 14:29:09.5, 93.48566, 1.49115, 200, 100.3171
2017-08-25 14:29:24.6, 93.37115, 1.491676, 200, 100.3174
2017-08-25 14:29:39.7, 93.54224, 1.490891, 200, 100.3174
2017-08-25 14:29:54.8, 93.49594, 1.491103, 200, 100.3159
2017-08-25 14:30:09.8, 93.35513, 1.49175, 200, 100.314
2017-08-25 14:30:24.9, 93.31631, 1.491928, 200, 100.3137
2017-08-25 14:30:40.0, 93.46616, 1.49124, 200, 100.3147
2017-08-25 14:30:55.1, 93.29074, 1.492046, 200, 100.3169
2017-08-25 14:31:10.2, 93.30872, 1.491963, 200, 100.3171
2017-08-25 14:31:25.2, 93.32684, 1.49188, 200, 100.3164
2017-08-25 14:31:40.3, 93.34143, 1.491813, 200, 100.3135
2017-08-25 14:31:55.4, 93.37015, 1.491681, 200, 100.3149
2017-08-25 14:32:10.4, 93.13654, 1.492754, 200, 100.314
2017-08-25 14:32:25.5, 93.3714, 1.491675, 200, 100.3145
2017-08-25 14:32:40.6, 93.24561, 1.492253, 200, 100.3162
2017-08-25 14:32:55.7, 93.18402, 1.492536, 200, 100.312
2017-08-25 14:33:10.8, 93.24261, 1.492267, 200, 100.313
2017-08-25 14:33:25.8, 93.32767, 1.491876, 200, 100.3164
2017-08-25 14:33:40.9, 93.21048, 1.492414, 200, 100.312
2017-08-25 14:33:56.0, 93.32547, 1.491886, 200, 100.3132
2017-08-25 14:34:11.1, 93.17557, 1.492575, 200, 100.3149
2017-08-25 14:34:26.1, 93.41193, 1.491489, 200, 100.3135
2017-08-25 14:34:41.2, 93.32574, 1.491885, 200, 100.3157
2017-08-25 14:34:56.3, 93.18549, 1.492529, 200, 100.3115
2017-08-25 14:35:11.4, 93.05817, 1.493115, 200, 100.3101
2017-08-25 14:35:26.4, 92.98178, 1.493467, 200, 100.314
2017-08-25 14:35:41.6, 93.08524, 1.49299, 200, 100.312
2017-08-25 14:35:56.6, 93.0549, 1.49313, 200, 100.314
2017-08-25 14:36:11.7, 92.79483, 1.494328, 200, 100.3125
2017-08-25 14:36:26.7, 92.7092, 1.494723, 200, 100.311
2017-08-25 14:36:41.8, 92.73755, 1.494592, 200, 100.3103
2017-08-25 14:36:56.9, 92.59613, 1.495245, 200, 100.3132
2017-08-25 14:37:12.0, 92.31235, 1.496555, 200, 100.3152
2017-08-25 14:37:27.0, 92.17236, 1.497203, 200, 100.3125
2017-08-25 14:37:42.1, 91.92377, 1.498354, 200, 100.3125
2017-08-25 14:37:57.2, 91.9928, 1.498034, 200, 100.3098
2017-08-25 14:38:12.3, 91.68112, 1.499479, 200, 100.3123
2017-08-25 14:38:27.4, 91.27939, 1.501346, 200, 100.3113
