Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-26 15:24:36.9, 93.83759, 1.489537, 200, 100.5017
2017-08-26 15:24:51.9, 93.522, 1.490984, 200, 100.499
2017-08-26 15:25:07.0, 93.49039, 1.491129, 200, 100.4829
2017-08-26 15:25:22.0, 93.43219, 1.491396, 200, 100.5005
2017-08-26 15:25:37.1, 93.24173, 1.492271, 200, 100.4797
2017-08-26 15:25:52.2, 92.90231, 1.493833, 200, 100.5015
2017-08-26 15:26:07.3, 92.939, 1.493664, 200, 100.4768
2017-08-26 15:26:22.4, 92.85953, 1.49403, 200, 100.4995
2017-08-26 15:26:37.4, 92.79166, 1.494343, 200, 100.4751
2017-08-26 15:26:52.5, 92.6178, 1.495144, 200, 100.5005
2017-08-26 15:27:07.6, 92.40784, 1.496114, 200, 100.4724
2017-08-26 15:27:22.7, 92.30338, 1.496597, 200, 100.4949
2017-08-26 15:27:37.7, 92.03177, 1.497854, 200, 100.4739
2017-08-26 15:27:52.8, 91.80902, 1.498886, 200, 100.49
2017-08-26 15:28:07.9, 91.69846, 1.499399, 200, 100.4753
2017-08-26 15:28:23.0, 91.43768, 1.50061, 200, 100.4832
2017-08-26 15:28:38.0, 91.44241, 1.500588, 200, 100.4812
2017-08-26 15:28:53.1, 91.23019, 1.501575, 200, 100.4763
2017-08-26 15:29:08.2, 91.03171, 1.5025, 200, 100.4841
2017-08-26 15:29:23.2, 90.98242, 1.502729, 200, 100.4753
2017-08-26 15:29:38.3, 90.8161, 1.503505, 200, 100.4856
2017-08-26 15:29:53.4, 90.65344, 1.504264, 200, 100.4673
2017-08-26 15:30:08.5, 90.60138, 1.504508, 200, 100.4917
2017-08-26 15:30:23.6, 90.5806, 1.504605, 200, 100.4783
2017-08-26 15:30:38.6, 90.7955, 1.503601, 200, 100.4937
2017-08-26 15:30:53.7, 90.86652, 1.50327, 200, 100.4651
2017-08-26 15:31:08.8, 91.10989, 1.502135, 200, 100.4978
2017-08-26 15:31:23.9, 91.35538, 1.500993, 200, 100.4614
2017-08-26 15:31:38.9, 91.4512, 1.500547, 200, 100.4954
2017-08-26 15:31:54.0, 91.7359, 1.499225, 200, 100.4595
2017-08-26 15:32:09.1, 91.89462, 1.498489, 200, 100.4946
2017-08-26 15:32:24.2, 92.14661, 1.497322, 200, 100.4653
2017-08-26 15:32:39.2, 92.21561, 1.497003, 200, 100.4902
2017-08-26 15:32:54.3, 92.3765, 1.496259, 200, 100.4661
2017-08-26 15:33:09.4, 92.46609, 1.495845, 200, 100.4871
2017-08-26 15:33:24.5, 92.30765, 1.496577, 200, 100.4819
2017-08-26 15:33:39.5, 92.54175, 1.495495, 200, 100.4814
2017-08-26 15:33:54.6, 92.57657, 1.495335, 200, 100.4846
2017-08-26 15:34:09.7, 92.55112, 1.495452, 200, 100.4771
2017-08-26 15:34:24.8, 92.65051, 1.494993, 200, 100.4946
2017-08-26 15:34:39.9, 92.6142, 1.495161, 200, 100.4756
