Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-26 18:33:50.6, 94.66837, 1.459628, 200, 99.67334
2017-06-26 18:34:05.7, 94.5477, 1.460175, 200, 99.68018
2017-06-26 18:34:20.8, 94.71594, 1.459413, 200, 99.67529
2017-06-26 18:34:35.8, 94.70984, 1.459441, 200, 99.67603
2017-06-26 18:34:50.9, 94.58148, 1.460022, 200, 99.67749
2017-06-26 18:35:06.0, 94.67859, 1.459582, 200, 99.677
2017-06-26 18:35:21.0, 94.62592, 1.459821, 200, 99.68115
2017-06-26 18:35:36.1, 94.59033, 1.459982, 200, 99.67896
2017-06-26 18:35:51.2, 94.33939, 1.461119, 200, 99.67993
2017-06-26 18:36:06.3, 94.45197, 1.460608, 200, 99.67944
2017-06-26 18:36:21.3, 94.64081, 1.459753, 200, 99.67798
2017-06-26 18:36:36.4, 94.50436, 1.460371, 200, 99.68066
2017-06-26 18:36:51.5, 94.41562, 1.460773, 200, 99.67944
2017-06-26 18:37:06.6, 94.55884, 1.460124, 200, 99.67969
2017-06-26 18:37:21.7, 94.53256, 1.460243, 200, 99.6814
2017-06-26 18:37:36.7, 94.4129, 1.460785, 200, 99.68164
2017-06-26 18:37:51.9, 94.44461, 1.460642, 200, 99.68237
2017-06-26 18:38:06.9, 94.53455, 1.460234, 200, 99.68237
2017-06-26 18:38:22.0, 94.45554, 1.460592, 200, 99.6814
2017-06-26 18:38:37.0, 94.31155, 1.461245, 200, 99.68628
2017-06-26 18:38:52.1, 94.3847, 1.460913, 200, 99.68555
2017-06-26 18:39:07.2, 94.39328, 1.460874, 200, 99.68042
2017-06-26 18:39:22.3, 94.40887, 1.460804, 200, 99.68066
2017-06-26 18:39:37.3, 94.37311, 1.460966, 200, 99.68555
2017-06-26 18:39:52.3, 94.46512, 1.460549, 200, 99.68384
2017-06-26 18:40:07.4, 94.35693, 1.461039, 200, 99.67944
2017-06-26 18:40:22.5, 94.36761, 1.460991, 200, 99.68164
2017-06-26 18:40:37.5, 94.47073, 1.460523, 200, 99.67896
2017-06-26 18:40:52.6, 94.47974, 1.460482, 200, 99.68164
2017-06-26 18:41:07.7, 94.46335, 1.460557, 200, 99.68384
2017-06-26 18:41:22.8, 94.39334, 1.460874, 200, 99.6792
2017-06-26 18:41:37.8, 94.53488, 1.460233, 200, 99.67944
2017-06-26 18:41:52.9, 94.41928, 1.460756, 200, 99.67554
2017-06-26 18:42:08.0, 94.28104, 1.461383, 200, 99.67383
2017-06-26 18:42:23.1, 94.43945, 1.460665, 200, 99.67261
2017-06-26 18:42:38.2, 94.29431, 1.461323, 200, 99.67212
2017-06-26 18:42:53.2, 94.41385, 1.460781, 200, 99.67358
2017-06-26 18:43:08.3, 94.31619, 1.461224, 200, 99.67041
2017-06-26 18:43:23.4, 94.13553, 1.462044, 200, 99.67334
2017-06-26 18:43:38.5, 94.19299, 1.461783, 200, 99.67236
2017-06-26 18:43:53.5, 93.99033, 1.462703, 200, 99.67773
2017-06-26 18:44:08.6, 93.88034, 1.463203, 200, 99.67554
2017-06-26 18:44:23.7, 93.73691, 1.463856, 200, 99.67383
2017-06-26 18:44:38.8, 93.62082, 1.464385, 200, 99.66992
2017-06-26 18:44:53.8, 93.46878, 1.465078, 200, 99.67188
2017-06-26 18:45:08.9, 93.2449, 1.466099, 200, 99.66577
2017-06-26 18:45:24.0, 93.1662, 1.466458, 200, 99.66479
2017-06-26 18:45:39.1, 92.65289, 1.468807, 200, 99.66919
2017-06-26 18:45:54.1, 92.31372, 1.470363, 200, 99.67139
2017-06-26 18:46:09.2, 92.08487, 1.471415, 200, 99.66797
2017-06-26 18:46:24.3, 91.63766, 1.473475, 200, 99.6665
2017-06-26 18:46:39.4, 91.18518, 1.475564, 200, 99.66455
2017-06-26 18:46:54.5, 90.94827, 1.476661, 200, 99.66846
2017-06-26 18:47:09.6, 90.53271, 1.478588, 200, 99.66968
2017-06-26 18:47:24.6, 90.06863, 1.480747, 200, 99.66821
2017-06-26 18:47:39.7, 89.77209, 1.482129, 200, 99.66699
2017-06-26 18:47:54.7, 89.42068, 1.48377, 200, 99.66846
2017-06-26 18:48:09.8, 88.92853, 1.486076, 200, 99.66724
2017-06-26 18:48:24.9, 88.66556, 1.48731, 200, 99.66748
2017-06-26 18:48:40.0, 88.19681, 1.489516, 200, 99.66919
2017-06-26 18:48:55.0, 87.80194, 1.49138, 200, 99.66528
2017-06-26 18:49:10.0, 87.45007, 1.493044, 200, 99.66724
2017-06-26 18:49:25.1, 86.83423, 1.495966, 200, 99.66943
2017-06-26 18:49:40.2, 86.41562, 1.497959, 200, 99.66504
2017-06-26 18:49:55.3, 86.11246, 1.499405, 200, 99.67139
2017-06-26 18:50:10.3, 85.52347, 1.502223, 200, 99.66895
2017-06-26 18:50:25.4, 85.15616, 1.503986, 200, 99.6709
2017-06-26 18:50:40.5, 84.78836, 1.505755, 200, 99.66895
2017-06-26 18:50:55.6, 84.32355, 1.507997, 200, 99.6687
2017-06-26 18:51:10.6, 83.98865, 1.509617, 200, 99.6709
2017-06-26 18:51:25.7, 83.41803, 1.512384, 200, 99.66895
2017-06-26 18:51:40.8, 83.12372, 1.513816, 200, 99.6731
2017-06-26 18:51:56.0, 82.65262, 1.516112, 200, 99.67212
2017-06-26 18:52:11.0, 82.14951, 1.518573, 200, 99.67285
2017-06-26 18:52:26.2, 81.75967, 1.520485, 200, 99.67139
2017-06-26 18:52:41.3, 81.60275, 1.521256, 200, 99.67188
2017-06-26 18:52:56.4, 81.52737, 1.521627, 200, 99.67236
2017-06-26 18:53:11.4, 81.47461, 1.521886, 200, 99.67065
2017-06-26 18:53:26.5, 81.49115, 1.521805, 200, 99.67065
2017-06-26 18:53:41.6, 81.72519, 1.520654, 200, 99.6709
2017-06-26 18:53:56.7, 81.86234, 1.519981, 200, 99.67383
2017-06-26 18:54:11.8, 82.11499, 1.518742, 200, 99.66675
2017-06-26 18:54:26.8, 82.37558, 1.517466, 200, 99.67261
2017-06-26 18:54:41.9, 82.70135, 1.515875, 200, 99.67358
2017-06-26 18:54:57.0, 83.06485, 1.514102, 200, 99.67603
2017-06-26 18:55:12.0, 83.36209, 1.512656, 200, 99.67139
2017-06-26 18:55:27.1, 83.91263, 1.509985, 200, 99.6731
2017-06-26 18:55:42.2, 84.28091, 1.508203, 200, 99.66895
2017-06-26 18:55:57.3, 84.66992, 1.506326, 200, 99.66699
2017-06-26 18:56:12.4, 85.00714, 1.504702, 200, 99.66553
2017-06-26 18:56:27.4, 85.20624, 1.503745, 200, 99.66699
2017-06-26 18:56:42.5, 85.51862, 1.502246, 200, 99.66919
2017-06-26 18:56:57.5, 85.86978, 1.500565, 200, 99.66284
2017-06-26 18:57:12.6, 86.36697, 1.498191, 200, 99.66577
2017-06-26 18:57:27.6, 86.90012, 1.495653, 200, 99.66187
2017-06-26 18:57:42.7, 87.133, 1.494547, 200, 99.66357
2017-06-26 18:57:57.8, 87.57462, 1.492455, 200, 99.6626
2017-06-26 18:58:12.9, 87.91693, 1.490837, 200, 99.66406
2017-06-26 18:58:28.0, 88.2804, 1.489123, 200, 99.66284
2017-06-26 18:58:43.0, 88.62219, 1.487514, 200, 99.6582
2017-06-26 18:58:58.1, 88.91742, 1.486128, 200, 99.66138
2017-06-26 18:59:13.2, 89.26599, 1.484494, 200, 99.65967
2017-06-26 18:59:28.2, 89.57623, 1.483044, 200, 99.65942
2017-06-26 18:59:43.3, 89.94437, 1.481326, 200, 99.65967
2017-06-26 18:59:58.4, 89.91519, 1.481462, 200, 99.65894
2017-06-26 19:00:13.5, 90.15582, 1.480341, 200, 99.66138
2017-06-26 19:00:28.6, 90.54227, 1.478544, 200, 99.66162
2017-06-26 19:00:43.6, 90.73138, 1.477666, 200, 99.65381
2017-06-26 19:00:58.7, 91.04141, 1.47623, 200, 99.65894
2017-06-26 19:01:13.8, 90.97562, 1.476534, 200, 99.66138
2017-06-26 19:01:28.8, 91.33472, 1.474873, 200, 99.65894
2017-06-26 19:01:43.9, 91.42889, 1.474438, 200, 99.66162
2017-06-26 19:01:59.0, 91.54581, 1.473898, 200, 99.66064
2017-06-26 19:02:14.1, 91.78217, 1.472808, 200, 99.65967
2017-06-26 19:02:29.2, 91.87875, 1.472363, 200, 99.65894
2017-06-26 19:02:44.2, 92.01862, 1.47172, 200, 99.66016
2017-06-26 19:02:59.3, 92.02362, 1.471696, 200, 99.66162
2017-06-26 19:03:14.4, 91.99448, 1.471831, 200, 99.66089
2017-06-26 19:03:29.5, 91.96262, 1.471977, 200, 99.66455
2017-06-26 19:03:44.5, 92.11682, 1.471268, 200, 99.66309
2017-06-26 19:03:59.6, 91.82599, 1.472606, 200, 99.66162
2017-06-26 19:04:14.7, 91.74609, 1.472975, 200, 99.66284
2017-06-26 19:04:29.8, 91.60733, 1.473614, 200, 99.65894
2017-06-26 19:04:44.8, 91.58591, 1.473713, 200, 99.65894
2017-06-26 19:04:59.9, 91.34122, 1.474843, 200, 99.66064
2017-06-26 19:05:15.0, 90.9512, 1.476647, 200, 99.65649
2017-06-26 19:05:30.1, 90.68399, 1.477886, 200, 99.65576
2017-06-26 19:05:45.1, 90.47607, 1.478851, 200, 99.65527
2017-06-26 19:06:00.2, 90.18756, 1.480193, 200, 99.65527
2017-06-26 19:06:15.2, 89.98395, 1.481141, 200, 99.65649
2017-06-26 19:06:30.3, 89.59299, 1.482965, 200, 99.66162
2017-06-26 19:06:45.3, 89.31064, 1.484285, 200, 99.66064
2017-06-26 19:07:00.4, 88.97366, 1.485864, 200, 99.66113
2017-06-26 19:07:15.5, 88.45508, 1.4883, 200, 99.65674
2017-06-26 19:07:30.6, 88.09158, 1.490013, 200, 99.65454
2017-06-26 19:07:45.7, 87.74881, 1.491631, 200, 99.65503
2017-06-26 19:08:00.7, 87.39185, 1.49332, 200, 99.65698
2017-06-26 19:08:15.8, 86.84647, 1.495908, 200, 99.65869
2017-06-26 19:08:30.9, 86.50592, 1.497528, 200, 99.6543
