Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-27 19:01:40.8, 95.89401, 1.641485, 200, 99.35962
2017-06-27 19:01:55.8, 95.69669, 1.642179, 200, 99.36182
2017-06-27 19:02:10.9, 95.91119, 1.641424, 200, 99.35962
2017-06-27 19:02:26.1, 96.01245, 1.641068, 200, 99.36743
2017-06-27 19:02:41.1, 95.82388, 1.641732, 200, 99.36084
2017-06-27 19:02:56.1, 96.09406, 1.640781, 200, 99.36548
2017-06-27 19:03:11.2, 95.97662, 1.641194, 200, 99.36011
2017-06-27 19:03:26.3, 96.08957, 1.640797, 200, 99.36987
2017-06-27 19:03:41.3, 96.1427, 1.64061, 200, 99.35889
2017-06-27 19:03:56.4, 95.86459, 1.641588, 200, 99.36499
2017-06-27 19:04:11.4, 96.04596, 1.64095, 200, 99.35815
2017-06-27 19:04:26.5, 95.98773, 1.641155, 200, 99.36816
2017-06-27 19:04:41.6, 96.18961, 1.640445, 200, 99.35962
2017-06-27 19:04:56.6, 96.17081, 1.640511, 200, 99.36597
2017-06-27 19:05:11.7, 96.20486, 1.640392, 200, 99.36035
2017-06-27 19:05:26.7, 96.21637, 1.640351, 200, 99.36206
2017-06-27 19:05:41.8, 96.22198, 1.640332, 200, 99.36328
2017-06-27 19:05:56.8, 96.0961, 1.640774, 200, 99.36426
2017-06-27 19:06:12.0, 96.11502, 1.640708, 200, 99.36304
2017-06-27 19:06:27.0, 96.13687, 1.640631, 200, 99.35889
2017-06-27 19:06:42.1, 96.16742, 1.640523, 200, 99.36548
2017-06-27 19:06:57.1, 96.17523, 1.640496, 200, 99.35767
2017-06-27 19:07:12.2, 96.19003, 1.640444, 200, 99.36035
2017-06-27 19:07:27.3, 96.24478, 1.640252, 200, 99.35986
2017-06-27 19:07:42.4, 96.11536, 1.640706, 200, 99.36157
2017-06-27 19:07:57.4, 96.15332, 1.640573, 200, 99.35986
2017-06-27 19:08:12.4, 96.25507, 1.640215, 200, 99.36401
2017-06-27 19:08:27.5, 96.05515, 1.640918, 200, 99.36353
2017-06-27 19:08:42.6, 96.1944, 1.640429, 200, 99.35815
2017-06-27 19:08:57.7, 95.92685, 1.641369, 200, 99.3645
2017-06-27 19:09:12.7, 96.05472, 1.64092, 200, 99.35645
2017-06-27 19:09:27.8, 96.1524, 1.640576, 200, 99.36353
2017-06-27 19:09:42.9, 95.91068, 1.641426, 200, 99.3584
2017-06-27 19:09:57.9, 95.94504, 1.641305, 200, 99.36133
2017-06-27 19:10:13.0, 96.06039, 1.6409, 200, 99.35693
2017-06-27 19:10:28.1, 95.72125, 1.642093, 200, 99.3623
2017-06-27 19:10:43.2, 95.95175, 1.641282, 200, 99.35962
2017-06-27 19:10:58.3, 95.87766, 1.641542, 200, 99.35815
2017-06-27 19:11:13.3, 95.83105, 1.641706, 200, 99.35986
2017-06-27 19:11:28.4, 95.64517, 1.642361, 200, 99.35742
2017-06-27 19:11:43.4, 95.29507, 1.643595, 200, 99.35962
2017-06-27 19:11:58.5, 94.89185, 1.645019, 200, 99.35571
2017-06-27 19:12:13.5, 94.67645, 1.64578, 200, 99.36255
2017-06-27 19:12:28.6, 94.51437, 1.646354, 200, 99.35742
2017-06-27 19:12:43.7, 94.27277, 1.647209, 200, 99.36255
2017-06-27 19:12:58.8, 93.97531, 1.648264, 200, 99.35303
2017-06-27 19:13:13.8, 93.60825, 1.649567, 200, 99.36597
2017-06-27 19:13:28.8, 93.59833, 1.649602, 200, 99.3562
2017-06-27 19:13:43.9, 93.1051, 1.651357, 200, 99.35962
2017-06-27 19:13:59.0, 92.88455, 1.652143, 200, 99.35913
2017-06-27 19:14:14.0, 92.43417, 1.65375, 200, 99.35986
2017-06-27 19:14:29.1, 91.9054, 1.65564, 200, 99.35791
2017-06-27 19:14:44.2, 91.60196, 1.656727, 200, 99.35669
2017-06-27 19:14:59.3, 91.49164, 1.657122, 200, 99.36011
2017-06-27 19:15:14.3, 90.95428, 1.659052, 200, 99.35986
2017-06-27 19:15:29.3, 90.50443, 1.66067, 200, 99.36694
2017-06-27 19:15:44.4, 90.14182, 1.661977, 200, 99.36523
2017-06-27 19:15:59.5, 89.9852, 1.662542, 200, 99.36743
2017-06-27 19:16:14.6, 89.61133, 1.663893, 200, 99.36426
2017-06-27 19:16:29.6, 89.41733, 1.664594, 200, 99.36646
2017-06-27 19:16:44.7, 88.91675, 1.666408, 200, 99.36426
