Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-29 17:27:24.4, 97.92581, 1.649125, 200, 99.26831
2017-05-29 17:27:39.5, 97.4454, 1.650786, 200, 99.27344
2017-05-29 17:27:54.5, 97.94531, 1.649058, 200, 99.26953
2017-05-29 17:28:09.6, 97.55542, 1.650406, 200, 99.27197
2017-05-29 17:28:24.7, 97.53055, 1.650492, 200, 99.26685
2017-05-29 17:28:39.8, 97.70544, 1.649887, 200, 99.27026
2017-05-29 17:28:54.8, 97.32834, 1.651191, 200, 99.26587
2017-05-29 17:29:09.9, 98.04785, 1.648704, 200, 99.26807
2017-05-29 17:29:25.0, 97.79471, 1.649578, 200, 99.26685
2017-05-29 17:29:40.1, 97.28201, 1.651352, 200, 99.26563
2017-05-29 17:29:55.1, 96.78815, 1.653064, 200, 99.2627
2017-05-29 17:30:10.2, 97.2063, 1.651614, 200, 99.2627
2017-05-29 17:30:25.3, 96.9487, 1.652507, 200, 99.26147
2017-05-29 17:30:40.4, 97.39777, 1.650951, 200, 99.26099
2017-05-29 17:30:55.4, 96.39294, 1.654436, 200, 99.26294
2017-05-29 17:31:10.7, 96.1062, 1.655434, 200, 99.26123
2017-05-29 17:31:25.7, 96.37155, 1.654511, 200, 99.25806
2017-05-29 17:31:40.8, 96.59802, 1.653724, 200, 99.25562
2017-05-29 17:31:55.8, 96.88736, 1.652719, 200, 99.2561
2017-05-29 17:32:10.9, 96.75781, 1.653169, 200, 99.2583
2017-05-29 17:32:26.0, 96.64438, 1.653563, 200, 99.25879
2017-05-29 17:32:41.1, 95.78314, 1.656559, 200, 99.26025
2017-05-29 17:32:56.1, 95.6691, 1.656956, 200, 99.25854
2017-05-29 17:33:11.1, 95.0863, 1.65899, 200, 99.25513
2017-05-29 17:33:26.2, 95.52481, 1.657459, 200, 99.25757
2017-05-29 17:33:41.3, 96.16574, 1.655226, 200, 99.25781
2017-05-29 17:33:56.4, 95.4628, 1.657676, 200, 99.25732
2017-05-29 17:34:11.4, 95.56372, 1.657324, 200, 99.25415
2017-05-29 17:34:26.5, 95.7431, 1.656698, 200, 99.25586
2017-05-29 17:34:41.5, 95.96582, 1.655922, 200, 99.25635
2017-05-29 17:34:56.6, 96.37238, 1.654508, 200, 99.25732
2017-05-29 17:35:11.6, 96.16608, 1.655225, 200, 99.25269
2017-05-29 17:35:26.7, 95.79913, 1.656503, 200, 99.25122
2017-05-29 17:35:41.8, 96.5946, 1.653736, 200, 99.24707
2017-05-29 17:35:56.8, 96.4201, 1.654342, 200, 99.25659
2017-05-29 17:36:11.9, 97.07083, 1.652084, 200, 99.24829
2017-05-29 17:36:26.9, 96.7327, 1.653256, 200, 99.24683
2017-05-29 17:36:42.0, 96.60184, 1.653711, 200, 99.24487
2017-05-29 17:36:57.0, 96.97504, 1.652416, 200, 99.25122
2017-05-29 17:37:12.1, 96.53302, 1.65395, 200, 99.24438
2017-05-29 17:37:27.2, 96.74738, 1.653205, 200, 99.24731
2017-05-29 17:37:42.3, 97.34821, 1.651123, 200, 99.24487
2017-05-29 17:37:57.4, 96.75949, 1.653163, 200, 99.24756
2017-05-29 17:38:12.5, 96.74524, 1.653213, 200, 99.25
2017-05-29 17:38:27.5, 97.41885, 1.650878, 200, 99.23877
2017-05-29 17:38:42.6, 97.01154, 1.652289, 200, 99.24121
2017-05-29 17:38:57.7, 97.17664, 1.651717, 200, 99.24072
2017-05-29 17:39:12.7, 97.133, 1.651868, 200, 99.23853
2017-05-29 17:39:27.8, 97.64139, 1.650108, 200, 99.24341
2017-05-29 17:39:42.9, 97.6123, 1.650209, 200, 99.23975
2017-05-29 17:39:57.9, 97.37454, 1.651031, 200, 99.23877
2017-05-29 17:40:13.0, 96.91281, 1.652631, 200, 99.24243
2017-05-29 17:40:28.0, 97.45035, 1.650769, 200, 99.23999
2017-05-29 17:40:43.1, 97.24902, 1.651466, 200, 99.24512
2017-05-29 17:40:58.2, 97.54517, 1.650441, 200, 99.24292
2017-05-29 17:41:13.2, 96.86945, 1.652782, 200, 99.2373
2017-05-29 17:41:28.3, 96.94608, 1.652516, 200, 99.24194
2017-05-29 17:41:43.4, 96.65649, 1.653521, 200, 99.24438
2017-05-29 17:41:58.5, 95.90515, 1.656134, 200, 99.2417
2017-05-29 17:42:13.6, 95.49026, 1.65758, 200, 99.24243
2017-05-29 17:42:28.6, 96.13483, 1.655334, 200, 99.24487
2017-05-29 17:42:43.7, 96.16711, 1.655222, 200, 99.24414
2017-05-29 17:42:58.8, 95.45209, 1.657713, 200, 99.24634
2017-05-29 17:43:13.8, 95.21518, 1.65854, 200, 99.24707
2017-05-29 17:43:28.9, 95.23248, 1.65848, 200, 99.23926
2017-05-29 17:43:44.1, 94.91623, 1.659585, 200, 99.23584
2017-05-29 17:43:59.1, 95.15332, 1.658756, 200, 99.24121
2017-05-29 17:44:14.1, 94.64426, 1.660537, 200, 99.23804
2017-05-29 17:44:29.2, 94.24673, 1.66193, 200, 99.23999
2017-05-29 17:44:44.3, 93.75876, 1.663643, 200, 99.23584
2017-05-29 17:44:59.4, 93.87503, 1.663235, 200, 99.23291
2017-05-29 17:45:14.5, 94.00974, 1.662761, 200, 99.23633
