Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-31 11:41:56.8, 93.16034, 1.854232, 200, 99.62451
2017-05-31 11:42:11.9, 93.26447, 1.85392, 200, 99.625
2017-05-31 11:42:26.9, 93.30206, 1.853807, 200, 99.62939
2017-05-31 11:42:42.0, 93.35254, 1.853655, 200, 99.62402
2017-05-31 11:42:57.1, 93.43494, 1.853408, 200, 99.62451
2017-05-31 11:43:12.2, 93.51013, 1.853183, 200, 99.62329
2017-05-31 11:43:27.3, 93.39465, 1.853529, 200, 99.62598
2017-05-31 11:43:42.3, 93.24146, 1.853989, 200, 99.62402
2017-05-31 11:43:57.4, 93.17908, 1.854176, 200, 99.62549
2017-05-31 11:44:12.5, 93.01563, 1.854667, 200, 99.62598
2017-05-31 11:44:27.5, 92.91473, 1.85497, 200, 99.6272
2017-05-31 11:44:42.6, 92.85303, 1.855155, 200, 99.62476
2017-05-31 11:44:57.7, 92.59589, 1.855928, 200, 99.62817
2017-05-31 11:45:12.7, 92.55042, 1.856065, 200, 99.62549
2017-05-31 11:45:27.7, 92.35168, 1.856663, 200, 99.62402
2017-05-31 11:45:42.8, 92.20563, 1.857103, 200, 99.62329
2017-05-31 11:45:57.9, 91.97357, 1.857802, 200, 99.62524
2017-05-31 11:46:13.1, 91.85632, 1.858156, 200, 99.6228
2017-05-31 11:46:28.1, 91.61432, 1.858885, 200, 99.625
2017-05-31 11:46:43.2, 91.30743, 1.859812, 200, 99.62305
2017-05-31 11:46:58.3, 91.42102, 1.859469, 200, 99.62256
2017-05-31 11:47:13.4, 91.12317, 1.860368, 200, 99.62378
2017-05-31 11:47:28.4, 90.99243, 1.860764, 200, 99.62598
2017-05-31 11:47:43.5, 90.95349, 1.860881, 200, 99.62354
2017-05-31 11:47:58.6, 90.8363, 1.861236, 200, 99.62671
2017-05-31 11:48:13.7, 90.57281, 1.862033, 200, 99.62378
2017-05-31 11:48:28.8, 90.40167, 1.862551, 200, 99.62427
2017-05-31 11:48:43.8, 90.13782, 1.863351, 200, 99.62427
2017-05-31 11:48:58.8, 90.29553, 1.862873, 200, 99.62598
2017-05-31 11:49:13.9, 90.05487, 1.863603, 200, 99.62427
2017-05-31 11:49:29.0, 89.81232, 1.864339, 200, 99.62329
2017-05-31 11:49:44.0, 89.68011, 1.86474, 200, 99.62061
2017-05-31 11:49:59.1, 89.4895, 1.865319, 200, 99.62476
2017-05-31 11:50:14.2, 89.27045, 1.865985, 200, 99.62329
2017-05-31 11:50:29.3, 89.01575, 1.866759, 200, 99.62231
2017-05-31 11:50:44.3, 88.81482, 1.867371, 200, 99.62085
2017-05-31 11:50:59.4, 88.72955, 1.867631, 200, 99.62354
2017-05-31 11:51:14.5, 88.58087, 1.868084, 200, 99.62231
2017-05-31 11:51:29.6, 88.23853, 1.869128, 200, 99.625
2017-05-31 11:51:44.6, 88.12592, 1.869471, 200, 99.62012
2017-05-31 11:51:59.7, 87.71906, 1.870713, 200, 99.62109
2017-05-31 11:52:14.8, 87.83447, 1.870361, 200, 99.6189
2017-05-31 11:52:29.9, 87.63647, 1.870966, 200, 99.61865
2017-05-31 11:52:45.0, 87.36469, 1.871797, 200, 99.62183
2017-05-31 11:53:00.0, 87.10248, 1.872599, 200, 99.62329
2017-05-31 11:53:15.1, 86.93866, 1.873101, 200, 99.62183
2017-05-31 11:53:30.2, 86.90826, 1.873194, 200, 99.62134
2017-05-31 11:53:45.2, 86.58746, 1.874178, 200, 99.61987
2017-05-31 11:54:00.3, 86.48267, 1.874499, 200, 99.61816
2017-05-31 11:54:15.4, 86.20129, 1.875363, 200, 99.61401
2017-05-31 11:54:30.4, 86.14777, 1.875527, 200, 99.61597
2017-05-31 11:54:45.4, 85.80762, 1.876573, 200, 99.61938
2017-05-31 11:55:00.5, 85.8288, 1.876508, 200, 99.61792
2017-05-31 11:55:15.6, 85.65204, 1.877051, 200, 99.61816
2017-05-31 11:55:30.7, 85.53772, 1.877403, 200, 99.61938
2017-05-31 11:55:45.8, 85.42126, 1.877762, 200, 99.62207
2017-05-31 11:56:00.8, 85.33832, 1.878017, 200, 99.62085
2017-05-31 11:56:15.9, 85.11053, 1.878719, 200, 99.62207
2017-05-31 11:56:31.0, 84.97345, 1.879141, 200, 99.62427
2017-05-31 11:56:46.0, 85.07574, 1.878826, 200, 99.62305
2017-05-31 11:57:01.1, 84.99323, 1.87908, 200, 99.62476
2017-05-31 11:57:16.2, 84.64191, 1.880164, 200, 99.62305
2017-05-31 11:57:31.3, 84.46509, 1.88071, 200, 99.62134
2017-05-31 11:57:46.4, 84.19098, 1.881557, 200, 99.62476
2017-05-31 11:58:01.4, 84.00671, 1.882127, 200, 99.62231
2017-05-31 11:58:16.5, 83.91803, 1.882401, 200, 99.62476
2017-05-31 11:58:31.6, 83.74823, 1.882927, 200, 99.625
2017-05-31 11:58:46.7, 83.52283, 1.883625, 200, 99.62329
2017-05-31 11:59:01.7, 83.35394, 1.884148, 200, 99.62451
2017-05-31 11:59:16.8, 83.40863, 1.883979, 200, 99.62427
2017-05-31 11:59:31.9, 83.26532, 1.884423, 200, 99.62573
2017-05-31 11:59:47.0, 83.11157, 1.8849, 200, 99.62842
2017-05-31 12:00:02.0, 83.00507, 1.885231, 200, 99.62646
2017-05-31 12:00:17.0, 82.96759, 1.885347, 200, 99.62378
2017-05-31 12:00:32.1, 82.84924, 1.885714, 200, 99.62207
2017-05-31 12:00:47.2, 82.86548, 1.885664, 200, 99.6228
2017-05-31 12:01:02.3, 82.68884, 1.886212, 200, 99.62524
2017-05-31 12:01:17.3, 82.58014, 1.88655, 200, 99.62549
2017-05-31 12:01:32.4, 82.43201, 1.887011, 200, 99.62451
2017-05-31 12:01:47.5, 82.39758, 1.887118, 200, 99.62842
2017-05-31 12:02:02.5, 82.18585, 1.887776, 200, 99.62866
2017-05-31 12:02:17.6, 82.12701, 1.887959, 200, 99.62793
2017-05-31 12:02:32.7, 81.99585, 1.888368, 200, 99.62549
2017-05-31 12:02:47.8, 81.8443, 1.88884, 200, 99.62817
2017-05-31 12:03:02.9, 81.65179, 1.88944, 200, 99.62524
2017-05-31 12:03:17.9, 81.54706, 1.889766, 200, 99.62695
2017-05-31 12:03:33.0, 81.48364, 1.889964, 200, 99.63062
2017-05-31 12:03:48.1, 81.22711, 1.890764, 200, 99.62769
2017-05-31 12:04:03.2, 81.05438, 1.891304, 200, 99.62695
2017-05-31 12:04:18.2, 80.80243, 1.892091, 200, 99.62988
2017-05-31 12:04:33.3, 80.88593, 1.89183, 200, 99.62671
2017-05-31 12:04:48.4, 80.57568, 1.8928, 200, 99.62988
2017-05-31 12:05:03.4, 80.47052, 1.893129, 200, 99.62891
2017-05-31 12:05:18.5, 80.19769, 1.893983, 200, 99.62939
2017-05-31 12:05:33.6, 80.10443, 1.894276, 200, 99.63281
2017-05-31 12:05:48.6, 79.77344, 1.895313, 200, 99.63159
2017-05-31 12:06:03.7, 79.896, 1.894929, 200, 99.63159
2017-05-31 12:06:18.7, 79.64185, 1.895726, 200, 99.62939
2017-05-31 12:06:33.8, 79.40216, 1.896478, 200, 99.63208
2017-05-31 12:06:48.9, 79.44159, 1.896355, 200, 99.63062
2017-05-31 12:07:04.0, 79.1507, 1.897269, 200, 99.62793
2017-05-31 12:07:19.1, 79.16669, 1.897218, 200, 99.62769
2017-05-31 12:07:34.1, 79.07977, 1.897492, 200, 99.63037
2017-05-31 12:07:49.2, 78.79626, 1.898383, 200, 99.6272
2017-05-31 12:08:04.3, 78.61304, 1.89896, 200, 99.62866
2017-05-31 12:08:19.4, 78.48071, 1.899377, 200, 99.62915
2017-05-31 12:08:34.4, 78.27899, 1.900012, 200, 99.62891
2017-05-31 12:08:49.5, 78.31567, 1.899897, 200, 99.63135
2017-05-31 12:09:04.5, 77.9718, 1.900981, 200, 99.63696
2017-05-31 12:09:19.6, 77.78113, 1.901583, 200, 99.63525
2017-05-31 12:09:34.6, 77.6687, 1.901938, 200, 99.63208
2017-05-31 12:09:49.7, 77.51599, 1.902421, 200, 99.62915
2017-05-31 12:10:04.8, 77.3855, 1.902833, 200, 99.63159
2017-05-31 12:10:19.9, 77.11877, 1.903677, 200, 99.63135
2017-05-31 12:10:34.9, 76.99152, 1.90408, 200, 99.62915
2017-05-31 12:10:50.0, 76.66455, 1.905115, 200, 99.63013
2017-05-31 12:11:05.0, 76.65375, 1.90515, 200, 99.63232
2017-05-31 12:11:20.0, 76.5658, 1.905429, 200, 99.63086
2017-05-31 12:11:35.1, 76.38965, 1.905987, 200, 99.63013
2017-05-31 12:11:50.2, 76.25391, 1.906418, 200, 99.63184
2017-05-31 12:12:05.3, 76.01672, 1.907171, 200, 99.63086
2017-05-31 12:12:20.4, 75.86371, 1.907657, 200, 99.62939
2017-05-31 12:12:35.4, 75.61438, 1.90845, 200, 99.6333
2017-05-31 12:12:50.5, 75.42242, 1.90906, 200, 99.62939
2017-05-31 12:13:05.6, 75.36456, 1.909244, 200, 99.63135
2017-05-31 12:13:20.7, 75.04047, 1.910277, 200, 99.63428
2017-05-31 12:13:35.8, 75.03345, 1.910299, 200, 99.63135
