Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-29 17:28:10.5, 96.85468, 1.843207, 200, 99.63232
2017-05-29 17:28:25.6, 96.97742, 1.842843, 200, 99.63306
2017-05-29 17:28:40.7, 97.18085, 1.84224, 200, 99.63281
2017-05-29 17:28:55.8, 96.91931, 1.843015, 200, 99.63428
2017-05-29 17:29:10.8, 96.76898, 1.843461, 200, 99.63281
2017-05-29 17:29:25.9, 96.62238, 1.843897, 200, 99.62817
2017-05-29 17:29:40.9, 96.54523, 1.844126, 200, 99.62769
2017-05-29 17:29:56.0, 96.70483, 1.843652, 200, 99.62915
2017-05-29 17:30:11.0, 96.47937, 1.844321, 200, 99.62891
2017-05-29 17:30:26.1, 96.01965, 1.845688, 200, 99.63184
2017-05-29 17:30:41.2, 96.03711, 1.845636, 200, 99.6272
2017-05-29 17:30:56.2, 96.09656, 1.845459, 200, 99.63037
2017-05-29 17:31:11.3, 96.01074, 1.845714, 200, 99.62866
2017-05-29 17:31:26.4, 96.13287, 1.845351, 200, 99.62622
2017-05-29 17:31:41.5, 96.151, 1.845297, 200, 99.63037
2017-05-29 17:31:56.5, 96.19806, 1.845157, 200, 99.62817
2017-05-29 17:32:11.6, 96.27887, 1.844917, 200, 99.6311
2017-05-29 17:32:26.7, 96.1731, 1.845231, 200, 99.62891
2017-05-29 17:32:41.7, 95.98688, 1.845785, 200, 99.6272
2017-05-29 17:32:56.7, 96.71301, 1.843627, 200, 99.62964
2017-05-29 17:33:11.7, 96.2251, 1.845077, 200, 99.63159
2017-05-29 17:33:26.8, 96.67322, 1.843745, 200, 99.62793
2017-05-29 17:33:41.9, 96.38446, 1.844603, 200, 99.62866
2017-05-29 17:33:56.9, 96.72522, 1.843591, 200, 99.62622
2017-05-29 17:34:11.9, 96.89386, 1.843091, 200, 99.62402
2017-05-29 17:34:27.0, 96.97131, 1.842861, 200, 99.6272
2017-05-29 17:34:42.1, 96.74213, 1.843541, 200, 99.63013
2017-05-29 17:34:57.2, 96.78583, 1.843411, 200, 99.62939
2017-05-29 17:35:12.2, 96.60992, 1.843933, 200, 99.62793
2017-05-29 17:35:27.3, 97.04773, 1.842634, 200, 99.625
2017-05-29 17:35:42.5, 96.68732, 1.843704, 200, 99.62476
2017-05-29 17:35:57.5, 96.823, 1.843301, 200, 99.62573
2017-05-29 17:36:12.5, 96.66876, 1.843759, 200, 99.62793
2017-05-29 17:36:27.6, 96.90399, 1.843061, 200, 99.625
2017-05-29 17:36:42.7, 96.65753, 1.843792, 200, 99.62158
2017-05-29 17:36:57.8, 97.25739, 1.842013, 200, 99.62549
2017-05-29 17:37:12.8, 96.73285, 1.843569, 200, 99.62354
2017-05-29 17:37:27.9, 96.74048, 1.843546, 200, 99.625
2017-05-29 17:37:42.9, 96.95697, 1.842904, 200, 99.62671
2017-05-29 17:37:58.0, 96.68182, 1.84372, 200, 99.625
2017-05-29 17:38:13.0, 96.93799, 1.84296, 200, 99.62354
2017-05-29 17:38:28.1, 97.05988, 1.842598, 200, 99.62354
2017-05-29 17:38:43.2, 96.8689, 1.843165, 200, 99.62378
2017-05-29 17:38:58.3, 96.52161, 1.844196, 200, 99.62378
2017-05-29 17:39:13.3, 96.78278, 1.84342, 200, 99.62329
2017-05-29 17:39:28.3, 96.9975, 1.842784, 200, 99.62329
2017-05-29 17:39:43.4, 96.40216, 1.84455, 200, 99.62402
2017-05-29 17:39:58.5, 96.73206, 1.843571, 200, 99.62524
2017-05-29 17:40:13.6, 96.52936, 1.844172, 200, 99.62329
2017-05-29 17:40:28.6, 96.46234, 1.844372, 200, 99.62231
2017-05-29 17:40:43.7, 96.32428, 1.844782, 200, 99.62109
2017-05-29 17:40:58.8, 96.40167, 1.844552, 200, 99.62305
2017-05-29 17:41:13.9, 96.1178, 1.845396, 200, 99.61914
2017-05-29 17:41:28.9, 96.26129, 1.844969, 200, 99.62476
2017-05-29 17:41:44.0, 95.78705, 1.84638, 200, 99.62231
2017-05-29 17:41:59.1, 96.11725, 1.845397, 200, 99.62354
2017-05-29 17:42:14.2, 96.01868, 1.84569, 200, 99.62354
2017-05-29 17:42:29.2, 96.086, 1.84549, 200, 99.62207
2017-05-29 17:42:44.3, 95.79852, 1.846346, 200, 99.62305
2017-05-29 17:42:59.4, 95.78949, 1.846372, 200, 99.62378
2017-05-29 17:43:14.5, 95.40436, 1.84752, 200, 99.62329
2017-05-29 17:43:29.6, 95.04694, 1.848585, 200, 99.62402
2017-05-29 17:43:44.6, 95.32599, 1.847753, 200, 99.62134
2017-05-29 17:43:59.6, 95.37634, 1.847603, 200, 99.61987
2017-05-29 17:44:14.7, 94.83289, 1.849225, 200, 99.62524
2017-05-29 17:44:29.7, 94.5752, 1.849994, 200, 99.61987
2017-05-29 17:44:44.7, 94.72235, 1.849555, 200, 99.62109
2017-05-29 17:44:59.8, 94.88873, 1.849058, 200, 99.61475
2017-05-29 17:45:14.9, 94.42566, 1.850441, 200, 99.61694
2017-05-29 17:45:30.0, 94.27094, 1.850904, 200, 99.61523
2017-05-29 17:45:45.0, 94.1076, 1.851393, 200, 99.61743
2017-05-29 17:46:00.1, 93.49036, 1.853242, 200, 99.61914
2017-05-29 17:46:15.2, 93.54639, 1.853074, 200, 99.61694
