Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-29 17:28:31.2, 96.45172, 2.010393, 200, 100.24
2017-05-29 17:28:46.2, 96.03442, 2.011887, 200, 100.2366
2017-05-29 17:29:01.2, 96.33777, 2.010801, 200, 100.2332
2017-05-29 17:29:16.3, 96.59552, 2.009879, 200, 100.2346
2017-05-29 17:29:31.4, 96.35962, 2.010723, 200, 100.2332
2017-05-29 17:29:46.5, 96.43707, 2.010445, 200, 100.2334
2017-05-29 17:30:01.5, 96.31256, 2.010891, 200, 100.2378
2017-05-29 17:30:16.6, 96.25366, 2.011102, 200, 100.2378
2017-05-29 17:30:31.7, 96.59338, 2.009886, 200, 100.2354
2017-05-29 17:30:46.7, 96.58813, 2.009905, 200, 100.2319
2017-05-29 17:31:01.8, 96.37433, 2.01067, 200, 100.2307
2017-05-29 17:31:16.9, 96.50012, 2.01022, 200, 100.2271
2017-05-29 17:31:31.9, 96.85138, 2.008964, 200, 100.2292
2017-05-29 17:31:47.0, 96.6839, 2.009563, 200, 100.2319
2017-05-29 17:32:02.1, 96.73621, 2.009376, 200, 100.2334
2017-05-29 17:32:17.1, 96.45038, 2.010398, 200, 100.2292
2017-05-29 17:32:32.2, 96.51007, 2.010184, 200, 100.2288
2017-05-29 17:32:47.3, 96.7276, 2.009406, 200, 100.2292
2017-05-29 17:33:02.4, 96.68323, 2.009565, 200, 100.2302
2017-05-29 17:33:17.4, 96.89264, 2.008817, 200, 100.2268
2017-05-29 17:33:32.4, 96.90826, 2.008761, 200, 100.2297
2017-05-29 17:33:47.5, 96.85651, 2.008946, 200, 100.2314
2017-05-29 17:34:02.6, 96.74664, 2.009338, 200, 100.2288
2017-05-29 17:34:17.6, 96.76349, 2.009278, 200, 100.2285
2017-05-29 17:34:32.7, 96.96307, 2.008565, 200, 100.2246
2017-05-29 17:34:47.8, 96.85663, 2.008945, 200, 100.23
2017-05-29 17:35:02.8, 97.27502, 2.007452, 200, 100.2263
2017-05-29 17:35:17.9, 96.6535, 2.009671, 200, 100.2249
2017-05-29 17:35:33.0, 97.04895, 2.008259, 200, 100.2209
2017-05-29 17:35:48.1, 97.26416, 2.00749, 200, 100.2219
2017-05-29 17:36:03.1, 96.99023, 2.008468, 200, 100.2283
2017-05-29 17:36:18.2, 96.86041, 2.008932, 200, 100.2278
2017-05-29 17:36:33.3, 97.18988, 2.007756, 200, 100.2212
2017-05-29 17:36:48.4, 97.10516, 2.008058, 200, 100.2188
2017-05-29 17:37:03.5, 96.98456, 2.008488, 200, 100.2175
2017-05-29 17:37:18.5, 97.25458, 2.007525, 200, 100.2192
2017-05-29 17:37:33.6, 96.9859, 2.008484, 200, 100.22
2017-05-29 17:37:48.7, 96.73358, 2.009385, 200, 100.2183
2017-05-29 17:38:03.8, 97.03882, 2.008295, 200, 100.217
2017-05-29 17:38:18.8, 97.13385, 2.007956, 200, 100.2166
2017-05-29 17:38:33.9, 97.32104, 2.007288, 200, 100.2153
2017-05-29 17:38:49.1, 97.00555, 2.008414, 200, 100.2192
2017-05-29 17:39:04.2, 97.13733, 2.007943, 200, 100.2205
2017-05-29 17:39:19.3, 97.08929, 2.008115, 200, 100.2158
2017-05-29 17:39:34.3, 97.04321, 2.008279, 200, 100.2166
2017-05-29 17:39:49.4, 97.05267, 2.008245, 200, 100.2168
2017-05-29 17:40:04.4, 97.01807, 2.008369, 200, 100.2185
2017-05-29 17:40:19.5, 96.89929, 2.008793, 200, 100.2156
2017-05-29 17:40:34.5, 96.93713, 2.008658, 200, 100.2192
2017-05-29 17:40:49.6, 96.83203, 2.009033, 200, 100.2158
2017-05-29 17:41:04.7, 96.80035, 2.009146, 200, 100.2195
2017-05-29 17:41:19.8, 96.69904, 2.009509, 200, 100.218
2017-05-29 17:41:34.8, 96.69324, 2.009529, 200, 100.2175
2017-05-29 17:41:49.9, 96.46094, 2.01036, 200, 100.2178
2017-05-29 17:42:05.0, 96.04108, 2.011863, 200, 100.2195
2017-05-29 17:42:20.1, 95.94116, 2.012221, 200, 100.2185
2017-05-29 17:42:35.1, 96.16058, 2.011435, 200, 100.2173
2017-05-29 17:42:50.1, 95.63647, 2.013314, 200, 100.2163
2017-05-29 17:43:05.2, 95.57043, 2.013551, 200, 100.2185
2017-05-29 17:43:20.2, 95.49579, 2.013819, 200, 100.2148
2017-05-29 17:43:35.3, 95.12091, 2.015166, 200, 100.2151
