Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-02 16:45:04.5, 95.19617, 2.066603, 200, 100.7363
2017-08-02 16:45:19.6, 95.18338, 2.066672, 200, 100.7373
2017-08-02 16:45:34.6, 95.08478, 2.067203, 200, 100.7402
2017-08-02 16:45:49.7, 95.02768, 2.067511, 200, 100.7322
2017-08-02 16:46:04.8, 94.99936, 2.067663, 200, 100.7368
2017-08-02 16:46:19.8, 94.98816, 2.067724, 200, 100.7402
2017-08-02 16:46:34.9, 94.90787, 2.068156, 200, 100.7375
2017-08-02 16:46:50.0, 94.9379, 2.067994, 200, 100.7388
2017-08-02 16:47:05.0, 94.89911, 2.068203, 200, 100.7336
2017-08-02 16:47:20.1, 94.86447, 2.06839, 200, 100.7329
2017-08-02 16:47:35.1, 94.81808, 2.06864, 200, 100.7363
2017-08-02 16:47:50.2, 94.81863, 2.068637, 200, 100.7336
2017-08-02 16:48:05.3, 94.78665, 2.06881, 200, 100.7344
2017-08-02 16:48:20.4, 94.74689, 2.069024, 200, 100.7344
2017-08-02 16:48:35.4, 94.76648, 2.068919, 200, 100.7334
2017-08-02 16:48:50.5, 94.68692, 2.069348, 200, 100.7288
2017-08-02 16:49:05.6, 94.58374, 2.069905, 200, 100.7271
2017-08-02 16:49:20.7, 94.62213, 2.069698, 200, 100.7239
2017-08-02 16:49:35.7, 94.60596, 2.069785, 200, 100.7327
2017-08-02 16:49:50.9, 94.66388, 2.069472, 200, 100.7324
2017-08-02 16:50:05.9, 94.63806, 2.069612, 200, 100.7241
2017-08-02 16:50:21.0, 94.62906, 2.06966, 200, 100.728
2017-08-02 16:50:36.1, 94.63513, 2.069627, 200, 100.7202
2017-08-02 16:50:51.1, 94.64374, 2.069581, 200, 100.7258
2017-08-02 16:51:06.2, 94.65494, 2.06952, 200, 100.7297
2017-08-02 16:51:21.3, 94.6366, 2.069619, 200, 100.7327
2017-08-02 16:51:36.3, 94.68634, 2.069351, 200, 100.7251
2017-08-02 16:51:51.3, 94.72458, 2.069145, 200, 100.7234
2017-08-02 16:52:06.4, 94.74744, 2.069021, 200, 100.7239
2017-08-02 16:52:21.4, 94.64871, 2.069554, 200, 100.7349
2017-08-02 16:52:36.5, 94.66757, 2.069452, 200, 100.731
2017-08-02 16:52:51.5, 94.58179, 2.069915, 200, 100.7278
2017-08-02 16:53:06.6, 94.58002, 2.069925, 200, 100.7288
2017-08-02 16:53:21.7, 94.55084, 2.070082, 200, 100.7288
2017-08-02 16:53:36.8, 94.53397, 2.070174, 200, 100.72
2017-08-02 16:53:51.8, 94.51422, 2.07028, 200, 100.7205
2017-08-02 16:54:07.0, 94.55301, 2.070071, 200, 100.7131
2017-08-02 16:54:22.0, 94.63666, 2.069619, 200, 100.7195
2017-08-02 16:54:37.1, 94.64774, 2.069559, 200, 100.7214
2017-08-02 16:54:52.2, 94.65149, 2.069539, 200, 100.7183
2017-08-02 16:55:07.2, 94.59711, 2.069833, 200, 100.72
2017-08-02 16:55:22.3, 94.65164, 2.069538, 200, 100.7229
2017-08-02 16:55:37.4, 94.60345, 2.069798, 200, 100.7212
2017-08-02 16:55:52.4, 94.62546, 2.069679, 200, 100.7183
2017-08-02 16:56:07.5, 94.53925, 2.070145, 200, 100.7197
2017-08-02 16:56:22.6, 94.38696, 2.070968, 200, 100.7214
2017-08-02 16:56:37.7, 94.03271, 2.072884, 200, 100.7222
2017-08-02 16:56:52.8, 93.72012, 2.074578, 200, 100.7205
2017-08-02 16:57:07.8, 93.2988, 2.076866, 200, 100.7239
2017-08-02 16:57:22.9, 92.90369, 2.079016, 200, 100.717
2017-08-02 16:57:38.0, 92.44394, 2.081523, 200, 100.7136
2017-08-02 16:57:53.1, 92.0528, 2.083661, 200, 100.719
2017-08-02 16:58:08.1, 91.54401, 2.086449, 200, 100.7168
2017-08-02 16:58:23.2, 91.17062, 2.088499, 200, 100.7183
2017-08-02 16:58:38.3, 90.66791, 2.091266, 200, 100.719
2017-08-02 16:58:53.4, 90.40924, 2.092693, 200, 100.7251
2017-08-02 16:59:08.4, 89.91098, 2.095446, 200, 100.7205
2017-08-02 16:59:23.5, 89.49167, 2.097769, 200, 100.7175
2017-08-02 16:59:38.5, 89.07626, 2.100075, 200, 100.7244
2017-08-02 16:59:53.6, 88.60092, 2.10272, 200, 100.719
2017-08-02 17:00:08.6, 88.20709, 2.104917, 200, 100.7202
2017-08-02 17:00:23.7, 87.8158, 2.107104, 200, 100.7217
2017-08-02 17:00:38.8, 87.42319, 2.109303, 200, 100.7239
2017-08-02 17:00:53.9, 86.97491, 2.11182, 200, 100.7258
2017-08-02 17:01:09.0, 86.56165, 2.114145, 200, 100.7327
2017-08-02 17:01:24.0, 86.20477, 2.116157, 200, 100.7239
2017-08-02 17:01:39.1, 85.65723, 2.119251, 200, 100.7278
2017-08-02 17:01:54.2, 85.10239, 2.122396, 200, 100.7207
2017-08-02 17:02:09.3, 84.63922, 2.125029, 200, 100.7256
2017-08-02 17:02:24.3, 84.04749, 2.128402, 200, 100.7244
2017-08-02 17:02:39.4, 83.39349, 2.132142, 200, 100.7124
2017-08-02 17:02:54.5, 82.80054, 2.135544, 200, 100.7234
2017-08-02 17:03:09.5, 82.26645, 2.138618, 200, 100.7209
2017-08-02 17:03:24.7, 81.75381, 2.141577, 200, 100.7239
2017-08-02 17:03:39.7, 81.16678, 2.144975, 200, 100.7195
2017-08-02 17:03:54.8, 80.64069, 2.14803, 200, 100.7173
2017-08-02 17:04:09.9, 79.95499, 2.152025, 200, 100.7207
2017-08-02 17:04:24.9, 79.54288, 2.154432, 200, 100.7214
2017-08-02 17:04:40.0, 79.56165, 2.154323, 200, 100.7146
2017-08-02 17:04:55.1, 79.93964, 2.152114, 200, 100.7207
2017-08-02 17:05:10.1, 80.5657, 2.148466, 200, 100.7168
2017-08-02 17:05:25.1, 81.349, 2.143919, 200, 100.7158
2017-08-02 17:05:40.2, 82.09875, 2.139585, 200, 100.7144
2017-08-02 17:05:55.3, 82.95013, 2.134685, 200, 100.7122
2017-08-02 17:06:10.4, 83.84637, 2.12955, 200, 100.7124
2017-08-02 17:06:25.4, 84.59656, 2.125272, 200, 100.7192
2017-08-02 17:06:40.5, 85.3631, 2.120918, 200, 100.7134
2017-08-02 17:06:55.6, 86.11386, 2.11667, 200, 100.7056
2017-08-02 17:07:10.6, 86.74915, 2.113089, 200, 100.7051
2017-08-02 17:07:25.6, 87.3244, 2.109857, 200, 100.7063
2017-08-02 17:07:40.7, 87.96475, 2.106271, 200, 100.7078
2017-08-02 17:07:55.8, 88.44965, 2.103564, 200, 100.7104
2017-08-02 17:08:10.9, 88.93448, 2.100863, 200, 100.7041
2017-08-02 17:08:25.9, 89.38968, 2.098335, 200, 100.7168
2017-08-02 17:08:40.9, 89.76495, 2.096254, 200, 100.7036
2017-08-02 17:08:56.0, 90.16791, 2.094025, 200, 100.7141
2017-08-02 17:09:11.1, 90.49786, 2.092204, 200, 100.7048
2017-08-02 17:09:26.2, 90.78387, 2.090627, 200, 100.7083
2017-08-02 17:09:41.2, 91.07245, 2.089039, 200, 100.7056
2017-08-02 17:09:56.3, 91.35632, 2.087479, 200, 100.7087
2017-08-02 17:10:11.4, 91.50687, 2.086653, 200, 100.7102
2017-08-02 17:10:26.5, 91.70145, 2.085585, 200, 100.7078
2017-08-02 17:10:41.5, 91.93317, 2.084316, 200, 100.7026
2017-08-02 17:10:56.6, 92.09723, 2.083418, 200, 100.7087
2017-08-02 17:11:11.7, 92.34003, 2.082091, 200, 100.707
2017-08-02 17:11:26.8, 92.43692, 2.081562, 200, 100.7051
2017-08-02 17:11:41.8, 92.61441, 2.080593, 200, 100.7068
2017-08-02 17:11:56.9, 92.72839, 2.079971, 200, 100.7053
2017-08-02 17:12:12.0, 92.78601, 2.079657, 200, 100.7058
2017-08-02 17:12:27.1, 92.94196, 2.078808, 200, 100.7075
2017-08-02 17:12:42.1, 93.09949, 2.07795, 200, 100.6982
2017-08-02 17:12:57.2, 93.22827, 2.07725, 200, 100.7014
2017-08-02 17:13:12.3, 93.27615, 2.076989, 200, 100.7
2017-08-02 17:13:27.4, 93.34348, 2.076623, 200, 100.7026
2017-08-02 17:13:42.5, 93.33182, 2.076687, 200, 100.7046
2017-08-02 17:13:57.5, 93.45755, 2.076004, 200, 100.7048
