Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-31 17:28:08.7, 93.45956, 2.072693, 200, 101.1543
2017-08-31 17:28:23.8, 93.05112, 2.074919, 200, 101.158
2017-08-31 17:28:38.8, 92.68347, 2.076927, 200, 101.1606
2017-08-31 17:28:53.8, 92.42404, 2.078346, 200, 101.1633
2017-08-31 17:29:08.9, 92.06845, 2.080294, 200, 101.1624
2017-08-31 17:29:24.1, 91.91458, 2.081138, 200, 101.1606
2017-08-31 17:29:39.2, 91.59683, 2.082883, 200, 101.1577
2017-08-31 17:29:54.2, 91.41721, 2.083871, 200, 101.1599
2017-08-31 17:30:09.3, 91.14127, 2.085391, 200, 101.1616
2017-08-31 17:30:24.4, 91.07407, 2.085761, 200, 101.1628
2017-08-31 17:30:39.5, 91.06891, 2.08579, 200, 101.1575
2017-08-31 17:30:54.6, 91.02496, 2.086032, 200, 101.1599
2017-08-31 17:31:09.6, 91.13275, 2.085438, 200, 101.1606
2017-08-31 17:31:24.7, 91.09201, 2.085662, 200, 101.1641
2017-08-31 17:31:39.8, 91.01672, 2.086077, 200, 101.1636
2017-08-31 17:31:54.8, 90.95258, 2.086431, 200, 101.1592
2017-08-31 17:32:09.9, 90.81042, 2.087215, 200, 101.1655
2017-08-31 17:32:25.0, 90.82169, 2.087153, 200, 101.1599
2017-08-31 17:32:40.1, 90.68701, 2.087897, 200, 101.158
2017-08-31 17:32:55.1, 90.69562, 2.087849, 200, 101.1541
2017-08-31 17:33:10.2, 90.65372, 2.088081, 200, 101.1589
2017-08-31 17:33:25.2, 90.67776, 2.087948, 200, 101.1563
2017-08-31 17:33:40.3, 90.73959, 2.087606, 200, 101.1575
2017-08-31 17:33:55.4, 90.86505, 2.086914, 200, 101.1577
2017-08-31 17:34:10.4, 90.89899, 2.086727, 200, 101.1558
2017-08-31 17:34:25.5, 90.9006, 2.086718, 200, 101.1521
2017-08-31 17:34:40.5, 90.85855, 2.08695, 200, 101.1533
2017-08-31 17:34:55.6, 90.96249, 2.086376, 200, 101.1575
2017-08-31 17:35:10.6, 90.9231, 2.086594, 200, 101.1587
2017-08-31 17:35:25.7, 91.04874, 2.085901, 200, 101.1565
2017-08-31 17:35:40.8, 91.17444, 2.085208, 200, 101.1567
2017-08-31 17:35:55.9, 91.21069, 2.085008, 200, 101.1589
2017-08-31 17:36:10.9, 91.46262, 2.083622, 200, 101.1545
2017-08-31 17:36:26.0, 91.49313, 2.083454, 200, 101.1594
2017-08-31 17:36:41.1, 91.59369, 2.082901, 200, 101.1626
2017-08-31 17:36:56.2, 91.6152, 2.082782, 200, 101.1565
2017-08-31 17:37:11.2, 91.66821, 2.082491, 200, 101.156
2017-08-31 17:37:26.3, 91.77148, 2.081924, 200, 101.158
2017-08-31 17:37:41.3, 91.72623, 2.082172, 200, 101.1604
2017-08-31 17:37:56.4, 91.6882, 2.082381, 200, 101.1584
2017-08-31 17:38:11.5, 91.56912, 2.083036, 200, 101.1592
2017-08-31 17:38:26.5, 91.35986, 2.084187, 200, 101.1619
2017-08-31 17:38:41.6, 91.18622, 2.085143, 200, 101.1604
2017-08-31 17:38:56.7, 90.91718, 2.086626, 200, 101.1545
2017-08-31 17:39:11.7, 90.62079, 2.088263, 200, 101.1626
2017-08-31 17:39:26.8, 90.25525, 2.090285, 200, 101.1584
2017-08-31 17:39:41.9, 89.95297, 2.09196, 200, 101.158
2017-08-31 17:39:57.0, 89.50351, 2.094455, 200, 101.1616
2017-08-31 17:40:12.0, 89.19229, 2.096186, 200, 101.1604
2017-08-31 17:40:27.2, 88.83948, 2.098153, 200, 101.1619
2017-08-31 17:40:42.2, 88.45633, 2.100292, 200, 101.1589
2017-08-31 17:40:57.3, 88.14261, 2.102047, 200, 101.1621
2017-08-31 17:41:12.3, 87.73999, 2.104304, 200, 101.1611
2017-08-31 17:41:27.4, 87.38034, 2.106324, 200, 101.1628
2017-08-31 17:41:42.5, 86.96149, 2.108681, 200, 101.1602
2017-08-31 17:41:57.6, 86.50876, 2.111235, 200, 101.1594
2017-08-31 17:42:12.7, 86.10025, 2.113545, 200, 101.165
2017-08-31 17:42:27.7, 85.58597, 2.11646, 200, 101.1646
2017-08-31 17:42:42.8, 85.13184, 2.119041, 200, 101.1589
2017-08-31 17:42:57.9, 84.61179, 2.122004, 200, 101.1614
2017-08-31 17:43:13.0, 84.25711, 2.12403, 200, 101.1648
2017-08-31 17:43:28.0, 83.77725, 2.126776, 200, 101.1648
2017-08-31 17:43:43.1, 83.3226, 2.129385, 200, 101.1599
2017-08-31 17:43:58.2, 82.85236, 2.132091, 200, 101.1655
2017-08-31 17:44:13.3, 82.4165, 2.134604, 200, 101.166
2017-08-31 17:44:28.3, 82.01517, 2.136924, 200, 101.1638
2017-08-31 17:44:43.4, 81.55753, 2.139575, 200, 101.1628
2017-08-31 17:44:58.5, 81.12259, 2.142101, 200, 101.1594
2017-08-31 17:45:13.6, 80.68237, 2.144664, 200, 101.1609
2017-08-31 17:45:28.7, 80.24808, 2.147198, 200, 101.1655
2017-08-31 17:45:43.7, 79.81293, 2.149744, 200, 101.1631
