Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-03 16:42:51.9, 95.73521, 1.469267, 200, 99.58643
2017-08-03 16:43:06.9, 96.05324, 1.467837, 200, 99.58594
2017-08-03 16:43:21.9, 96.53209, 1.465689, 200, 99.58472
2017-08-03 16:43:37.0, 96.78813, 1.464544, 200, 99.58521
2017-08-03 16:43:52.0, 96.99202, 1.463632, 200, 99.58643
2017-08-03 16:44:07.1, 97.31645, 1.462185, 200, 99.58887
2017-08-03 16:44:22.2, 97.54201, 1.46118, 200, 99.58545
2017-08-03 16:44:37.3, 97.54716, 1.461157, 200, 99.57983
2017-08-03 16:44:52.4, 97.83165, 1.459892, 200, 99.58252
2017-08-03 16:45:07.4, 97.94511, 1.459388, 200, 99.58423
2017-08-03 16:45:22.5, 98.1707, 1.458387, 200, 99.58496
2017-08-03 16:45:37.6, 98.15471, 1.458458, 200, 99.58472
2017-08-03 16:45:52.6, 98.2888, 1.457864, 200, 99.58228
2017-08-03 16:46:07.7, 98.2618, 1.457983, 200, 99.58179
2017-08-03 16:46:22.8, 98.35863, 1.457554, 200, 99.58667
2017-08-03 16:46:37.9, 98.47066, 1.457058, 200, 99.58398
2017-08-03 16:46:53.0, 98.37843, 1.457467, 200, 99.58325
2017-08-03 16:47:08.0, 98.44417, 1.457175, 200, 99.58105
2017-08-03 16:47:23.0, 98.5128, 1.456872, 200, 99.58276
2017-08-03 16:47:38.1, 98.67766, 1.456143, 200, 99.57886
2017-08-03 16:47:53.2, 98.77684, 1.455704, 200, 99.58398
2017-08-03 16:48:08.2, 98.55669, 1.456678, 200, 99.58008
2017-08-03 16:48:23.2, 98.6642, 1.456202, 200, 99.58154
2017-08-03 16:48:38.3, 98.7458, 1.455842, 200, 99.58496
2017-08-03 16:48:53.4, 98.71956, 1.455957, 200, 99.58447
2017-08-03 16:49:08.4, 98.76445, 1.455759, 200, 99.57666
2017-08-03 16:49:23.5, 98.65688, 1.456235, 200, 99.58105
2017-08-03 16:49:38.6, 98.75581, 1.455797, 200, 99.57666
2017-08-03 16:49:53.6, 98.9008, 1.455157, 200, 99.5769
2017-08-03 16:50:08.7, 98.86778, 1.455303, 200, 99.58105
2017-08-03 16:50:23.8, 98.85069, 1.455378, 200, 99.58521
2017-08-03 16:50:38.9, 98.84486, 1.455404, 200, 99.57495
2017-08-03 16:50:53.9, 98.92644, 1.455044, 200, 99.57715
2017-08-03 16:51:08.9, 98.88911, 1.455208, 200, 99.57715
2017-08-03 16:51:24.0, 98.90547, 1.455136, 200, 99.57495
2017-08-03 16:51:39.1, 98.79561, 1.455621, 200, 99.57739
2017-08-03 16:51:54.2, 98.67696, 1.456146, 200, 99.57935
2017-08-03 16:52:09.2, 98.61937, 1.4564, 200, 99.57715
2017-08-03 16:52:24.3, 98.44148, 1.457187, 200, 99.5752
2017-08-03 16:52:39.4, 98.49297, 1.456959, 200, 99.57715
2017-08-03 16:52:54.5, 98.31047, 1.457768, 200, 99.57471
2017-08-03 16:53:09.6, 98.23912, 1.458084, 200, 99.58203
2017-08-03 16:53:24.6, 98.15834, 1.458442, 200, 99.57983
2017-08-03 16:53:39.7, 97.86568, 1.459741, 200, 99.5769
2017-08-03 16:53:54.8, 97.90511, 1.459566, 200, 99.57837
2017-08-03 16:54:09.8, 97.63707, 1.460757, 200, 99.5791
2017-08-03 16:54:24.9, 97.66075, 1.460652, 200, 99.57935
2017-08-03 16:54:40.0, 97.47813, 1.461465, 200, 99.57959
2017-08-03 16:54:55.1, 97.37648, 1.461917, 200, 99.57983
2017-08-03 16:55:10.2, 97.10027, 1.463149, 200, 99.57544
2017-08-03 16:55:25.2, 96.8979, 1.464053, 200, 99.58032
2017-08-03 16:55:40.3, 97.1321, 1.463007, 200, 99.5791
2017-08-03 16:55:55.4, 96.98506, 1.463663, 200, 99.5791
2017-08-03 16:56:10.5, 96.7195, 1.464851, 200, 99.58057
2017-08-03 16:56:25.5, 96.50768, 1.465799, 200, 99.57861
2017-08-03 16:56:40.6, 96.45323, 1.466043, 200, 99.57666
2017-08-03 16:56:55.7, 96.43465, 1.466126, 200, 99.58179
2017-08-03 16:57:10.8, 96.34227, 1.46654, 200, 99.57935
2017-08-03 16:57:25.8, 96.23811, 1.467007, 200, 99.5791
2017-08-03 16:57:40.8, 96.22292, 1.467075, 200, 99.58032
2017-08-03 16:57:55.9, 96.11409, 1.467564, 200, 99.57935
2017-08-03 16:58:11.0, 95.86305, 1.468692, 200, 99.58276
2017-08-03 16:58:26.0, 96.00618, 1.468049, 200, 99.58472
2017-08-03 16:58:41.1, 95.78023, 1.469065, 200, 99.58032
2017-08-03 16:58:56.1, 95.7715, 1.469104, 200, 99.57495
2017-08-03 16:59:11.2, 95.701, 1.469421, 200, 99.57959
2017-08-03 16:59:26.2, 95.47548, 1.470437, 200, 99.58374
2017-08-03 16:59:41.3, 95.46178, 1.470499, 200, 99.58252
2017-08-03 16:59:56.4, 95.30525, 1.471205, 200, 99.57886
2017-08-03 17:00:11.5, 95.1021, 1.472122, 200, 99.57983
2017-08-03 17:00:26.5, 94.92403, 1.472927, 200, 99.58081
2017-08-03 17:00:41.6, 94.9344, 1.47288, 200, 99.58203
2017-08-03 17:00:56.6, 94.60149, 1.474387, 200, 99.57715
2017-08-03 17:01:11.7, 94.44957, 1.475076, 200, 99.57813
2017-08-03 17:01:26.7, 94.14601, 1.476454, 200, 99.57788
2017-08-03 17:01:41.8, 94.08839, 1.476716, 200, 99.58057
