Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-04 16:54:19.7, 99.13211, 2.121443, 200, 100.1174
2017-08-04 16:54:34.7, 99.15131, 2.121345, 200, 100.1145
2017-08-04 16:54:49.8, 99.19662, 2.121114, 200, 100.1157
2017-08-04 16:55:04.9, 99.23563, 2.120915, 200, 100.1187
2017-08-04 16:55:20.0, 99.27631, 2.120708, 200, 100.1143
2017-08-04 16:55:35.1, 99.20016, 2.121096, 200, 100.1228
2017-08-04 16:55:50.1, 99.23837, 2.120901, 200, 100.1128
2017-08-04 16:56:05.2, 99.30515, 2.120561, 200, 100.114
2017-08-04 16:56:20.3, 99.27725, 2.120703, 200, 100.1155
2017-08-04 16:56:35.3, 99.21646, 2.121013, 200, 100.1187
2017-08-04 16:56:50.4, 99.15375, 2.121332, 200, 100.1167
2017-08-04 16:57:05.5, 99.26987, 2.12074, 200, 100.1157
2017-08-04 16:57:20.6, 99.19131, 2.121141, 200, 100.1174
2017-08-04 16:57:35.6, 99.23886, 2.120898, 200, 100.1079
2017-08-04 16:57:50.7, 99.2659, 2.120761, 200, 100.1128
2017-08-04 16:58:05.7, 99.13498, 2.121428, 200, 100.115
2017-08-04 16:58:20.8, 99.16891, 2.121255, 200, 100.1147
2017-08-04 16:58:35.8, 99.15228, 2.12134, 200, 100.1099
2017-08-04 16:58:50.9, 98.9747, 2.122246, 200, 100.1123
2017-08-04 16:59:06.0, 98.96301, 2.122305, 200, 100.1094
2017-08-04 16:59:21.1, 98.72565, 2.123518, 200, 100.1128
2017-08-04 16:59:36.1, 98.5535, 2.124398, 200, 100.1121
2017-08-04 16:59:51.2, 98.31686, 2.125608, 200, 100.1143
2017-08-04 17:00:06.3, 98.14911, 2.126467, 200, 100.1094
2017-08-04 17:00:21.4, 97.72104, 2.128663, 200, 100.1123
2017-08-04 17:00:36.4, 97.33426, 2.130651, 200, 100.1123
2017-08-04 17:00:51.5, 97.24478, 2.131111, 200, 100.1118
2017-08-04 17:01:06.6, 97.26767, 2.130993, 200, 100.1135
2017-08-04 17:01:21.7, 97.23819, 2.131145, 200, 100.1157
2017-08-04 17:01:36.8, 97.1098, 2.131806, 200, 100.1147
2017-08-04 17:01:51.9, 96.81647, 2.133317, 200, 100.1086
2017-08-04 17:02:06.9, 96.59772, 2.134446, 200, 100.113
2017-08-04 17:02:22.0, 96.32523, 2.135853, 200, 100.1152
2017-08-04 17:02:37.1, 96.13879, 2.136817, 200, 100.1104
2017-08-04 17:02:52.1, 95.99466, 2.137563, 200, 100.1138
2017-08-04 17:03:07.2, 95.81958, 2.13847, 200, 100.1074
2017-08-04 17:03:22.3, 95.59341, 2.139643, 200, 100.1074
2017-08-04 17:03:37.4, 95.48349, 2.140213, 200, 100.1106
2017-08-04 17:03:52.4, 95.31961, 2.141064, 200, 100.1147
2017-08-04 17:04:07.5, 95.14249, 2.141984, 200, 100.1101
2017-08-04 17:04:22.6, 94.93634, 2.143056, 200, 100.104
2017-08-04 17:04:37.7, 94.75681, 2.143991, 200, 100.1077
2017-08-04 17:04:52.7, 94.5593, 2.14502, 200, 100.1106
2017-08-04 17:05:07.8, 94.4017, 2.145842, 200, 100.1082
2017-08-04 17:05:22.9, 94.24088, 2.146682, 200, 100.1045
2017-08-04 17:05:38.0, 94.15884, 2.14711, 200, 100.1086
2017-08-04 17:05:53.0, 93.68887, 2.149568, 200, 100.1062
2017-08-04 17:06:08.1, 93.07452, 2.152789, 200, 100.1116
2017-08-04 17:06:23.2, 92.65915, 2.154972, 200, 100.1128
2017-08-04 17:06:38.3, 92.45203, 2.156063, 200, 100.1079
2017-08-04 17:06:53.3, 92.22818, 2.157243, 200, 100.1099
2017-08-04 17:07:08.4, 92.10977, 2.157867, 200, 100.113
2017-08-04 17:07:23.5, 91.92029, 2.158867, 200, 100.1133
2017-08-04 17:07:38.6, 91.92633, 2.158835, 200, 100.1128
2017-08-04 17:07:53.6, 91.841, 2.159286, 200, 100.113
2017-08-04 17:08:08.7, 91.57431, 2.160696, 200, 100.1133
2017-08-04 17:08:23.8, 91.39725, 2.161633, 200, 100.1084
2017-08-04 17:08:38.9, 91.39642, 2.161637, 200, 100.1094
2017-08-04 17:08:53.9, 91.10641, 2.163174, 200, 100.1125
2017-08-04 17:09:09.0, 91.0408, 2.163522, 200, 100.1096
2017-08-04 17:09:24.3, 90.83325, 2.164623, 200, 100.1108
2017-08-04 17:09:39.4, 90.76804, 2.164969, 200, 100.1108
2017-08-04 17:09:54.4, 90.59915, 2.165867, 200, 100.1145
2017-08-04 17:10:09.5, 90.42197, 2.166809, 200, 100.1094
2017-08-04 17:10:24.6, 90.18924, 2.168047, 200, 100.1125
2017-08-04 17:10:39.7, 90.17456, 2.168126, 200, 100.1072
2017-08-04 17:10:54.8, 89.94955, 2.169325, 200, 100.1116
2017-08-04 17:11:09.8, 89.67841, 2.170772, 200, 100.1123
2017-08-04 17:11:24.9, 89.70084, 2.170652, 200, 100.1099
2017-08-04 17:11:40.0, 89.67657, 2.170781, 200, 100.1118
2017-08-04 17:11:55.1, 89.51584, 2.17164, 200, 100.1118
2017-08-04 17:12:10.1, 89.16058, 2.17354, 200, 100.1082
2017-08-04 17:12:25.2, 88.93265, 2.174761, 200, 100.1096
2017-08-04 17:12:40.3, 88.7338, 2.175827, 200, 100.1099
2017-08-04 17:12:55.4, 88.40964, 2.177567, 200, 100.1113
2017-08-04 17:13:10.4, 88.345, 2.177914, 200, 100.1113
2017-08-04 17:13:25.4, 88.33594, 2.177963, 200, 100.1123
2017-08-04 17:13:40.5, 88.47324, 2.177226, 200, 100.1038
2017-08-04 17:13:55.6, 88.66199, 2.176212, 200, 100.1101
2017-08-04 17:14:10.6, 88.51733, 2.176989, 200, 100.1055
2017-08-04 17:14:25.7, 88.20709, 2.178656, 200, 100.1094
2017-08-04 17:14:40.8, 88.52493, 2.176948, 200, 100.106
2017-08-04 17:14:55.9, 90.02618, 2.168916, 200, 100.1094
2017-08-04 17:15:10.9, 91.86008, 2.159185, 200, 100.1067
2017-08-04 17:15:25.9, 93.22559, 2.151996, 200, 100.1057
2017-08-04 17:15:41.0, 94.49628, 2.145349, 200, 100.1069
2017-08-04 17:15:56.1, 95.39212, 2.140687, 200, 100.1047
2017-08-04 17:16:11.1, 96.12817, 2.136872, 200, 100.1077
2017-08-04 17:16:26.2, 96.61932, 2.134334, 200, 100.1077
2017-08-04 17:16:41.3, 97.12399, 2.131732, 200, 100.1069
2017-08-04 17:16:56.4, 97.35522, 2.130543, 200, 100.1096
2017-08-04 17:17:11.4, 97.66965, 2.128927, 200, 100.1062
2017-08-04 17:17:26.5, 98.03149, 2.12707, 200, 100.105
2017-08-04 17:17:41.6, 98.16922, 2.126364, 200, 100.1101
2017-08-04 17:17:56.7, 98.30038, 2.125693, 200, 100.1106
2017-08-04 17:18:11.8, 98.54929, 2.124419, 200, 100.1082
2017-08-04 17:18:26.8, 98.58328, 2.124245, 200, 100.1055
2017-08-04 17:18:41.9, 98.67191, 2.123792, 200, 100.1072
2017-08-04 17:18:57.0, 98.71146, 2.12359, 200, 100.105
2017-08-04 17:19:12.1, 98.7984, 2.123146, 200, 100.1101
2017-08-04 17:19:27.1, 98.85138, 2.122875, 200, 100.105
2017-08-04 17:19:42.2, 98.99564, 2.122139, 200, 100.1101
2017-08-04 17:19:57.3, 98.95682, 2.122337, 200, 100.1082
2017-08-04 17:20:12.4, 99.05933, 2.121814, 200, 100.1079
2017-08-04 17:20:27.4, 99.04245, 2.1219, 200, 100.1077
2017-08-04 17:20:42.5, 99.10883, 2.121562, 200, 100.105
2017-08-04 17:20:57.6, 99.16125, 2.121294, 200, 100.1082
2017-08-04 17:21:12.7, 99.18243, 2.121186, 200, 100.1038
2017-08-04 17:21:27.8, 99.20578, 2.121067, 200, 100.105
2017-08-04 17:21:42.8, 99.14276, 2.121388, 200, 100.1074
2017-08-04 17:21:57.9, 98.94635, 2.122391, 200, 100.1047
2017-08-04 17:22:13.0, 98.8317, 2.122976, 200, 100.1099
2017-08-04 17:22:28.0, 98.75113, 2.123387, 200, 100.1045
2017-08-04 17:22:43.1, 98.59991, 2.12416, 200, 100.105
2017-08-04 17:22:58.2, 98.49179, 2.124713, 200, 100.1042
2017-08-04 17:23:13.3, 98.27539, 2.125821, 200, 100.1038
2017-08-04 17:23:28.4, 98.17236, 2.126348, 200, 100.1047
2017-08-04 17:23:43.4, 98.09616, 2.126739, 200, 100.1079
2017-08-04 17:23:58.5, 97.98404, 2.127313, 200, 100.1045
2017-08-04 17:24:13.6, 97.83115, 2.128098, 200, 100.1116
2017-08-04 17:24:28.6, 97.70761, 2.128732, 200, 100.1084
2017-08-04 17:24:43.6, 97.54578, 2.129563, 200, 100.1086
2017-08-04 17:24:58.7, 97.47284, 2.129938, 200, 100.1082
2017-08-04 17:25:13.8, 97.36801, 2.130477, 200, 100.1069
2017-08-04 17:25:28.9, 97.18652, 2.131411, 200, 100.1108
2017-08-04 17:25:43.9, 97.12885, 2.131708, 200, 100.1072
2017-08-04 17:25:59.0, 96.89081, 2.132934, 200, 100.1062
2017-08-04 17:26:14.1, 96.80853, 2.133358, 200, 100.1028
2017-08-04 17:26:29.2, 96.61145, 2.134375, 200, 100.1106
2017-08-04 17:26:44.2, 96.47751, 2.135067, 200, 100.1074
2017-08-04 17:26:59.3, 96.3511, 2.13572, 200, 100.1057
2017-08-04 17:27:14.4, 96.33636, 2.135796, 200, 100.1079
2017-08-04 17:27:29.5, 96.14279, 2.136797, 200, 100.1047
2017-08-04 17:27:44.5, 95.98566, 2.13761, 200, 100.1028
2017-08-04 17:27:59.6, 95.92105, 2.137944, 200, 100.1067
2017-08-04 17:28:14.7, 95.78381, 2.138655, 200, 100.105
2017-08-04 17:28:29.8, 95.66919, 2.13925, 200, 100.1077
2017-08-04 17:28:44.8, 95.4975, 2.14014, 200, 100.1064
2017-08-04 17:28:59.9, 95.44885, 2.140393, 200, 100.1082
2017-08-04 17:29:15.0, 95.24374, 2.141458, 200, 100.1052
2017-08-04 17:29:30.1, 95.16425, 2.141871, 200, 100.1064
2017-08-04 17:29:45.1, 94.93167, 2.143081, 200, 100.1089
2017-08-04 17:30:00.2, 94.55853, 2.145024, 200, 100.105
2017-08-04 17:30:15.2, 94.44238, 2.14563, 200, 100.1067
2017-08-04 17:30:30.3, 94.45068, 2.145587, 200, 100.1094
2017-08-04 17:30:45.3, 94.45047, 2.145588, 200, 100.1069
2017-08-04 17:31:00.4, 94.21716, 2.146806, 200, 100.1045
2017-08-04 17:31:15.5, 94.07187, 2.147564, 200, 100.1079
2017-08-04 17:31:30.6, 93.60089, 2.150028, 200, 100.1091
2017-08-04 17:31:45.7, 92.8624, 2.153903, 200, 100.1077
2017-08-04 17:32:00.7, 92.38116, 2.156436, 200, 100.1101
2017-08-04 17:32:15.8, 92.14615, 2.157675, 200, 100.105
2017-08-04 17:32:30.9, 92.15546, 2.157626, 200, 100.106
2017-08-04 17:32:46.0, 92.22815, 2.157243, 200, 100.1057
2017-08-04 17:33:01.0, 92.35287, 2.156585, 200, 100.1042
2017-08-04 17:33:16.1, 92.23419, 2.157211, 200, 100.1089
2017-08-04 17:33:31.2, 92.20911, 2.157343, 200, 100.1111
2017-08-04 17:33:46.3, 92.19879, 2.157398, 200, 100.1067
2017-08-04 17:34:01.3, 92.09668, 2.157936, 200, 100.1052
2017-08-04 17:34:16.4, 91.79465, 2.159531, 200, 100.1013
2017-08-04 17:34:31.5, 91.32629, 2.162009, 200, 100.1074
2017-08-04 17:34:46.6, 90.80655, 2.164765, 200, 100.1077
2017-08-04 17:35:01.6, 90.58286, 2.165953, 200, 100.1025
