Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-05 17:45:29.6, 96.74246, 1.467662, 200, 99.50708
2017-08-05 17:45:44.7, 96.50137, 1.46874, 200, 99.5
2017-08-05 17:45:59.8, 96.66235, 1.46802, 200, 99.50586
2017-08-05 17:46:14.9, 96.82861, 1.467278, 200, 99.50098
2017-08-05 17:46:29.9, 96.74152, 1.467667, 200, 99.50342
2017-08-05 17:46:45.0, 96.66788, 1.467996, 200, 99.49561
2017-08-05 17:47:00.1, 96.68658, 1.467912, 200, 99.50464
2017-08-05 17:47:15.2, 96.68274, 1.467929, 200, 99.50293
2017-08-05 17:47:30.2, 96.85474, 1.467161, 200, 99.50122
2017-08-05 17:47:45.3, 96.71399, 1.46779, 200, 99.50366
2017-08-05 17:48:00.4, 96.79919, 1.467409, 200, 99.49927
2017-08-05 17:48:15.5, 96.82764, 1.467282, 200, 99.50415
2017-08-05 17:48:30.5, 96.67966, 1.467943, 200, 99.49902
2017-08-05 17:48:45.6, 96.78546, 1.46747, 200, 99.50415
2017-08-05 17:49:00.7, 96.88635, 1.46702, 200, 99.4978
2017-08-05 17:49:15.8, 96.69089, 1.467893, 200, 99.49902
2017-08-05 17:49:30.8, 96.83652, 1.467242, 200, 99.50122
2017-08-05 17:49:45.9, 96.979, 1.466606, 200, 99.50024
2017-08-05 17:50:00.9, 96.83362, 1.467255, 200, 99.49731
2017-08-05 17:50:16.0, 96.82004, 1.467316, 200, 99.49341
2017-08-05 17:50:31.1, 96.91418, 1.466896, 200, 99.49341
2017-08-05 17:50:46.1, 96.84332, 1.467212, 200, 99.49292
2017-08-05 17:51:01.2, 96.96643, 1.466663, 200, 99.5105
2017-08-05 17:51:16.3, 96.9621, 1.466682, 200, 99.49512
2017-08-05 17:51:31.4, 96.90463, 1.466938, 200, 99.49365
2017-08-05 17:51:46.4, 96.87897, 1.467053, 200, 99.49048
2017-08-05 17:52:01.5, 96.96014, 1.466691, 200, 99.50195
2017-08-05 17:52:16.6, 96.77899, 1.467499, 200, 99.49194
2017-08-05 17:52:31.7, 96.92813, 1.466833, 200, 99.49536
2017-08-05 17:52:46.7, 97.13486, 1.465912, 200, 99.4873
2017-08-05 17:53:01.8, 97.1893, 1.465669, 200, 99.48755
2017-08-05 17:53:16.9, 96.94989, 1.466736, 200, 99.49438
2017-08-05 17:53:31.9, 97.09769, 1.466077, 200, 99.48535
2017-08-05 17:53:47.0, 97.07748, 1.466167, 200, 99.49194
2017-08-05 17:54:02.1, 96.79437, 1.467431, 200, 99.48657
2017-08-05 17:54:17.2, 96.7565, 1.4676, 200, 99.48926
2017-08-05 17:54:32.3, 96.59207, 1.468335, 200, 99.48975
2017-08-05 17:54:47.3, 96.48694, 1.468805, 200, 99.48901
2017-08-05 17:55:02.4, 96.35745, 1.469384, 200, 99.48438
2017-08-05 17:55:17.5, 96.25763, 1.469832, 200, 99.48193
2017-08-05 17:55:32.6, 96.01089, 1.470938, 200, 99.48779
2017-08-05 17:55:47.6, 95.86035, 1.471614, 200, 99.48242
2017-08-05 17:56:02.7, 95.64169, 1.472597, 200, 99.48242
2017-08-05 17:56:17.8, 95.51471, 1.473168, 200, 99.48364
2017-08-05 17:56:32.9, 95.64426, 1.472585, 200, 99.48291
2017-08-05 17:56:47.9, 95.22791, 1.47446, 200, 99.48242
2017-08-05 17:57:03.0, 95.20706, 1.474554, 200, 99.48657
2017-08-05 17:57:18.1, 95.15573, 1.474785, 200, 99.48267
2017-08-05 17:57:33.2, 94.94489, 1.475737, 200, 99.48608
2017-08-05 17:57:48.3, 94.90341, 1.475924, 200, 99.47852
2017-08-05 17:58:03.3, 94.59222, 1.477332, 200, 99.48193
2017-08-05 17:58:18.4, 94.59018, 1.477341, 200, 99.48413
2017-08-05 17:58:33.5, 94.33563, 1.478494, 200, 99.48389
2017-08-05 17:58:48.6, 94.29172, 1.478693, 200, 99.48169
2017-08-05 17:59:03.6, 94.21313, 1.47905, 200, 99.479
2017-08-05 17:59:18.7, 94.02734, 1.479893, 200, 99.48511
2017-08-05 17:59:33.8, 93.89853, 1.480478, 200, 99.47705
2017-08-05 17:59:48.9, 93.77054, 1.48106, 200, 99.48267
2017-08-05 18:00:03.9, 93.6384, 1.481662, 200, 99.48242
2017-08-05 18:00:19.0, 93.52341, 1.482185, 200, 99.48218
2017-08-05 18:00:34.1, 93.21008, 1.483614, 200, 99.48242
2017-08-05 18:00:49.2, 92.94547, 1.484823, 200, 99.47656
2017-08-05 18:01:04.2, 92.76242, 1.485661, 200, 99.48657
2017-08-05 18:01:19.3, 92.65662, 1.486145, 200, 99.4834
2017-08-05 18:01:34.4, 92.3381, 1.487606, 200, 99.48047
2017-08-05 18:01:49.5, 92.08887, 1.48875, 200, 99.47974
2017-08-05 18:02:04.5, 91.93491, 1.489458, 200, 99.48657
2017-08-05 18:02:19.6, 91.62009, 1.490908, 200, 99.48022
2017-08-05 18:02:34.7, 91.55325, 1.491217, 200, 99.4834
2017-08-05 18:02:49.8, 91.4613, 1.491641, 200, 99.48315
2017-08-05 18:03:04.8, 91.49158, 1.491501, 200, 99.48584
2017-08-05 18:03:19.9, 91.32895, 1.492252, 200, 99.48315
2017-08-05 18:03:35.0, 91.24277, 1.49265, 200, 99.48145
2017-08-05 18:03:50.1, 90.84988, 1.494467, 200, 99.48511
2017-08-05 18:04:05.2, 90.51208, 1.496034, 200, 99.47998
2017-08-05 18:04:20.2, 90.47482, 1.496207, 200, 99.48462
2017-08-05 18:04:35.3, 90.21115, 1.497432, 200, 99.47852
2017-08-05 18:04:50.4, 90.15192, 1.497707, 200, 99.4856
2017-08-05 18:05:05.4, 90.08255, 1.49803, 200, 99.48071
2017-08-05 18:05:20.5, 89.95911, 1.498605, 200, 99.47778
2017-08-05 18:05:35.6, 89.8511, 1.499108, 200, 99.47998
2017-08-05 18:05:50.7, 89.54666, 1.500528, 200, 99.48462
2017-08-05 18:06:05.8, 89.53766, 1.500571, 200, 99.47632
2017-08-05 18:06:20.8, 89.43085, 1.501069, 200, 99.479
2017-08-05 18:06:35.9, 89.16956, 1.502291, 200, 99.47974
2017-08-05 18:06:51.0, 89.19675, 1.502164, 200, 99.47852
2017-08-05 18:07:06.1, 88.76733, 1.504176, 200, 99.47559
2017-08-05 18:07:21.1, 88.66785, 1.504643, 200, 99.47607
2017-08-05 18:07:36.2, 88.34641, 1.506154, 200, 99.47925
2017-08-05 18:07:51.3, 88.27734, 1.506479, 200, 99.48096
2017-08-05 18:08:06.4, 88.01566, 1.507712, 200, 99.47705
2017-08-05 18:08:21.4, 87.86011, 1.508446, 200, 99.47925
2017-08-05 18:08:36.5, 87.77127, 1.508865, 200, 99.47803
2017-08-05 18:08:51.6, 87.87064, 1.508396, 200, 99.47974
2017-08-05 18:09:06.7, 88.38977, 1.50595, 200, 99.47754
2017-08-05 18:09:21.7, 89.08746, 1.502676, 200, 99.4729
2017-08-05 18:09:36.8, 89.77789, 1.499449, 200, 99.47461
2017-08-05 18:09:51.9, 90.68457, 1.495234, 200, 99.47217
2017-08-05 18:10:07.0, 91.25699, 1.492584, 200, 99.47827
2017-08-05 18:10:22.1, 92.0462, 1.488947, 200, 99.46851
2017-08-05 18:10:37.1, 92.82791, 1.485361, 200, 99.47437
2017-08-05 18:10:52.2, 93.41266, 1.48269, 200, 99.46655
2017-08-05 18:11:07.3, 94.05829, 1.479752, 200, 99.47095
2017-08-05 18:11:22.3, 94.38843, 1.478255, 200, 99.46729
2017-08-05 18:11:37.4, 94.67621, 1.476952, 200, 99.47241
2017-08-05 18:11:52.5, 94.99722, 1.475501, 200, 99.4707
2017-08-05 18:12:07.6, 95.29794, 1.474144, 200, 99.47217
2017-08-05 18:12:22.7, 95.51749, 1.473155, 200, 99.46362
2017-08-05 18:12:37.7, 95.66507, 1.472491, 200, 99.46826
2017-08-05 18:12:52.7, 95.82361, 1.471779, 200, 99.47119
2017-08-05 18:13:07.8, 95.94131, 1.47125, 200, 99.46948
2017-08-05 18:13:22.9, 96.26849, 1.469783, 200, 99.47095
2017-08-05 18:13:37.9, 96.2905, 1.469684, 200, 99.46655
2017-08-05 18:13:52.9, 96.21512, 1.470022, 200, 99.47192
2017-08-05 18:14:07.9, 96.43423, 1.469041, 200, 99.46924
2017-08-05 18:14:23.0, 96.49792, 1.468756, 200, 99.46802
2017-08-05 18:14:38.0, 96.55099, 1.468518, 200, 99.46216
2017-08-05 18:14:53.1, 96.46307, 1.468912, 200, 99.46875
2017-08-05 18:15:08.2, 96.52295, 1.468644, 200, 99.46631
2017-08-05 18:15:23.2, 96.46896, 1.468885, 200, 99.46753
2017-08-05 18:15:38.3, 96.22964, 1.469957, 200, 99.46973
2017-08-05 18:15:53.4, 96.24893, 1.469871, 200, 99.46802
2017-08-05 18:16:08.5, 96.18274, 1.470167, 200, 99.47192
2017-08-05 18:16:23.6, 96.16782, 1.470234, 200, 99.46338
2017-08-05 18:16:38.7, 96.03018, 1.470851, 200, 99.47144
2017-08-05 18:16:53.7, 95.93539, 1.471277, 200, 99.46826
2017-08-05 18:17:08.8, 95.82129, 1.471789, 200, 99.46753
2017-08-05 18:17:23.9, 95.82196, 1.471786, 200, 99.46216
2017-08-05 18:17:38.9, 95.4794, 1.473327, 200, 99.47119
2017-08-05 18:17:54.0, 95.53616, 1.473071, 200, 99.46631
2017-08-05 18:18:09.1, 95.40421, 1.473665, 200, 99.46533
2017-08-05 18:18:24.2, 95.28214, 1.474215, 200, 99.4624
2017-08-05 18:18:39.3, 95.08328, 1.475112, 200, 99.46802
