Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-07 18:09:40.6, 95.86078, 1.58596, 200, 99.17896
2017-09-07 18:09:55.6, 96.2001, 1.584737, 200, 99.18115
2017-09-07 18:10:10.7, 95.7691, 1.586291, 200, 99.17993
2017-09-07 18:10:25.8, 95.65927, 1.586688, 200, 99.17847
2017-09-07 18:10:40.9, 95.76761, 1.586297, 200, 99.17944
2017-09-07 18:10:56.0, 95.56137, 1.587042, 200, 99.17944
2017-09-07 18:11:11.0, 95.3999, 1.587626, 200, 99.17847
2017-09-07 18:11:26.1, 95.44965, 1.587446, 200, 99.18237
2017-09-07 18:11:41.2, 95.21774, 1.588285, 200, 99.18091
2017-09-07 18:11:56.3, 95.4791, 1.587339, 200, 99.17651
2017-09-07 18:12:11.3, 95.37018, 1.587733, 200, 99.177
2017-09-07 18:12:26.4, 94.83749, 1.589662, 200, 99.17822
2017-09-07 18:12:41.5, 95.26993, 1.588096, 200, 99.17676
2017-09-07 18:12:56.6, 95.30539, 1.587968, 200, 99.17456
2017-09-07 18:13:11.6, 95.45142, 1.587439, 200, 99.17139
2017-09-07 18:13:26.7, 95.34079, 1.587839, 200, 99.16821
2017-09-07 18:13:41.8, 95.0799, 1.588784, 200, 99.17065
2017-09-07 18:13:56.9, 95.57202, 1.587003, 200, 99.17554
2017-09-07 18:14:12.0, 95.42282, 1.587543, 200, 99.17139
2017-09-07 18:14:27.0, 95.52307, 1.58718, 200, 99.16919
2017-09-07 18:14:42.1, 95.40329, 1.587613, 200, 99.16919
2017-09-07 18:14:57.2, 95.65036, 1.58672, 200, 99.16846
2017-09-07 18:15:12.2, 95.73999, 1.586396, 200, 99.17163
2017-09-07 18:15:27.3, 95.43527, 1.587498, 200, 99.1665
2017-09-07 18:15:42.4, 95.57639, 1.586987, 200, 99.16992
2017-09-07 18:15:57.5, 95.37619, 1.587711, 200, 99.16455
2017-09-07 18:16:12.5, 95.29019, 1.588023, 200, 99.16602
2017-09-07 18:16:27.6, 95.27921, 1.588062, 200, 99.16553
2017-09-07 18:16:42.7, 95.31262, 1.587941, 200, 99.16455
2017-09-07 18:16:57.8, 95.29742, 1.587996, 200, 99.16602
2017-09-07 18:17:12.9, 95.22394, 1.588262, 200, 99.16626
2017-09-07 18:17:27.9, 95.35165, 1.5878, 200, 99.16724
2017-09-07 18:17:43.0, 95.33618, 1.587856, 200, 99.16431
2017-09-07 18:17:58.1, 95.21164, 1.588307, 200, 99.16187
2017-09-07 18:18:13.2, 95.43845, 1.587486, 200, 99.16309
2017-09-07 18:18:28.2, 95.22241, 1.588268, 200, 99.16382
2017-09-07 18:18:43.3, 95.28214, 1.588052, 200, 99.16333
2017-09-07 18:18:58.4, 95.44037, 1.587479, 200, 99.16113
2017-09-07 18:19:13.5, 95.20862, 1.588318, 200, 99.15991
2017-09-07 18:19:28.5, 95.11505, 1.588657, 200, 99.15747
2017-09-07 18:19:43.5, 95.10135, 1.588706, 200, 99.16089
2017-09-07 18:19:58.6, 95.13846, 1.588572, 200, 99.15869
2017-09-07 18:20:13.7, 95.00992, 1.589038, 200, 99.16528
2017-09-07 18:20:28.7, 95.02814, 1.588971, 200, 99.1626
2017-09-07 18:20:43.8, 95.19809, 1.588356, 200, 99.15698
2017-09-07 18:20:58.8, 95.11603, 1.588653, 200, 99.16357
2017-09-07 18:21:13.8, 95.15283, 1.58852, 200, 99.16016
2017-09-07 18:21:28.8, 94.73746, 1.590025, 200, 99.15747
2017-09-07 18:21:43.9, 94.60626, 1.590501, 200, 99.15771
2017-09-07 18:21:59.0, 94.56125, 1.590665, 200, 99.15723
2017-09-07 18:22:14.1, 94.46158, 1.591027, 200, 99.15552
2017-09-07 18:22:29.1, 94.04071, 1.592557, 200, 99.15747
2017-09-07 18:22:44.2, 93.8056, 1.593413, 200, 99.15674
2017-09-07 18:22:59.3, 93.76868, 1.593548, 200, 99.15576
2017-09-07 18:23:14.4, 93.66293, 1.593933, 200, 99.15454
2017-09-07 18:23:29.5, 93.32916, 1.595151, 200, 99.15479
2017-09-07 18:23:44.5, 92.89905, 1.596723, 200, 99.15698
2017-09-07 18:23:59.6, 93.04346, 1.596195, 200, 99.15161
2017-09-07 18:24:14.7, 92.61063, 1.597779, 200, 99.15234
2017-09-07 18:24:29.7, 92.18268, 1.599348, 200, 99.15186
2017-09-07 18:24:44.8, 91.80786, 1.600725, 200, 99.15698
2017-09-07 18:24:59.9, 91.88959, 1.600425, 200, 99.1521
2017-09-07 18:25:15.0, 91.30789, 1.602566, 200, 99.15088
2017-09-07 18:25:30.0, 91.01901, 1.603631, 200, 99.15356
2017-09-07 18:25:45.1, 91.03809, 1.603561, 200, 99.14941
2017-09-07 18:26:00.2, 90.69601, 1.604824, 200, 99.15332
2017-09-07 18:26:15.3, 90.01425, 1.607348, 200, 99.15576
2017-09-07 18:26:30.3, 89.89481, 1.607791, 200, 99.15039
2017-09-07 18:26:45.4, 89.48532, 1.609311, 200, 99.15454
2017-09-07 18:27:00.6, 89.41254, 1.609582, 200, 99.15308
2017-09-07 18:27:15.6, 89.25754, 1.610158, 200, 99.15259
2017-09-07 18:27:30.6, 88.64902, 1.612425, 200, 99.15259
2017-09-07 18:27:45.7, 88.51727, 1.612917, 200, 99.15332
2017-09-07 18:28:00.8, 87.93982, 1.615076, 200, 99.1521
2017-09-07 18:28:15.9, 87.97391, 1.614948, 200, 99.15771
2017-09-07 18:28:31.0, 87.48245, 1.616789, 200, 99.15137
2017-09-07 18:28:46.0, 87.32471, 1.617381, 200, 99.15527
2017-09-07 18:29:01.1, 86.97446, 1.618697, 200, 99.15332
2017-09-07 18:29:16.2, 86.52472, 1.62039, 200, 99.15381
2017-09-07 18:29:31.3, 86.26831, 1.621357, 200, 99.15625
2017-09-07 18:29:46.3, 85.84406, 1.622959, 200, 99.15771
2017-09-07 18:30:01.4, 85.63937, 1.623733, 200, 99.16235
