Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-02 16:28:20.9, 81.10278, 2.16717, 200, 101.3755
2017-10-02 16:28:35.9, 81.29684, 2.166057, 200, 101.3777
2017-10-02 16:28:50.9, 81.59906, 2.164325, 200, 101.3782
2017-10-02 16:29:06.0, 81.95404, 2.162295, 200, 101.3784
2017-10-02 16:29:21.0, 82.20923, 2.160838, 200, 101.3789
2017-10-02 16:29:36.1, 82.48825, 2.159246, 200, 101.3816
2017-10-02 16:29:51.2, 82.71649, 2.157947, 200, 101.3782
2017-10-02 16:30:06.3, 83.017, 2.156238, 200, 101.3809
2017-10-02 16:30:21.3, 83.35492, 2.154319, 200, 101.3801
2017-10-02 16:30:36.4, 83.63663, 2.152723, 200, 101.3792
2017-10-02 16:30:51.5, 83.93558, 2.151031, 200, 101.3799
2017-10-02 16:31:06.6, 84.17197, 2.149695, 200, 101.3774
2017-10-02 16:31:21.6, 84.50339, 2.147825, 200, 101.3787
2017-10-02 16:31:36.7, 84.83832, 2.145938, 200, 101.385
2017-10-02 16:31:51.8, 84.95935, 2.145257, 200, 101.3784
2017-10-02 16:32:06.9, 85.23077, 2.143731, 200, 101.3779
2017-10-02 16:32:22.0, 85.46478, 2.142418, 200, 101.3789
2017-10-02 16:32:37.0, 85.62122, 2.141541, 200, 101.3789
2017-10-02 16:32:52.1, 85.71866, 2.140995, 200, 101.3762
2017-10-02 16:33:07.2, 85.80148, 2.140531, 200, 101.3782
2017-10-02 16:33:22.3, 86.02322, 2.139289, 200, 101.3767
2017-10-02 16:33:37.3, 86.09674, 2.138878, 200, 101.3792
2017-10-02 16:33:52.4, 86.21216, 2.138233, 200, 101.3816
2017-10-02 16:34:07.5, 86.27966, 2.137856, 200, 101.3743
2017-10-02 16:34:22.6, 86.3103, 2.137685, 200, 101.3745
2017-10-02 16:34:37.6, 86.28192, 2.137844, 200, 101.3713
2017-10-02 16:34:52.7, 86.22092, 2.138184, 200, 101.3738
2017-10-02 16:35:07.8, 86.12354, 2.138729, 200, 101.3748
2017-10-02 16:35:22.9, 85.97708, 2.139548, 200, 101.3804
2017-10-02 16:35:37.9, 85.83163, 2.140362, 200, 101.3777
2017-10-02 16:35:52.9, 85.78134, 2.140643, 200, 101.3767
2017-10-02 16:36:08.0, 85.66309, 2.141306, 200, 101.377
2017-10-02 16:36:23.1, 85.59723, 2.141675, 200, 101.3784
2017-10-02 16:36:38.1, 85.50827, 2.142174, 200, 101.3818
2017-10-02 16:36:53.2, 85.55319, 2.141922, 200, 101.3794
2017-10-02 16:37:08.3, 85.70059, 2.141096, 200, 101.3743
2017-10-02 16:37:23.4, 85.72549, 2.140956, 200, 101.3794
2017-10-02 16:37:38.5, 85.88776, 2.140048, 200, 101.377
2017-10-02 16:37:53.5, 85.91183, 2.139913, 200, 101.3801
2017-10-02 16:38:08.6, 85.98856, 2.139483, 200, 101.3757
2017-10-02 16:38:23.7, 86.08624, 2.138937, 200, 101.3833
2017-10-02 16:38:38.8, 86.11362, 2.138784, 200, 101.3782
2017-10-02 16:38:53.8, 86.22086, 2.138185, 200, 101.377
2017-10-02 16:39:08.8, 86.30502, 2.137714, 200, 101.3784
2017-10-02 16:39:23.9, 86.42361, 2.137052, 200, 101.3813
2017-10-02 16:39:39.0, 86.51929, 2.136518, 200, 101.377
2017-10-02 16:39:54.0, 86.58075, 2.136176, 200, 101.3794
2017-10-02 16:40:09.1, 86.63812, 2.135856, 200, 101.3765
2017-10-02 16:40:24.1, 86.7009, 2.135506, 200, 101.3843
2017-10-02 16:40:39.2, 86.77237, 2.135107, 200, 101.3862
2017-10-02 16:40:54.3, 86.85059, 2.134672, 200, 101.3845
2017-10-02 16:41:09.3, 86.74869, 2.135239, 200, 101.3813
2017-10-02 16:41:24.4, 86.66678, 2.135696, 200, 101.3784
2017-10-02 16:41:39.5, 86.38223, 2.137283, 200, 101.3735
2017-10-02 16:41:54.5, 86.12112, 2.138742, 200, 101.3721
2017-10-02 16:42:09.6, 85.64774, 2.141392, 200, 101.3777
2017-10-02 16:42:24.7, 85.19955, 2.143907, 200, 101.3835
2017-10-02 16:42:39.7, 84.8157, 2.146065, 200, 101.3782
2017-10-02 16:42:54.7, 84.28345, 2.149065, 200, 101.3767
2017-10-02 16:43:09.8, 83.79517, 2.151825, 200, 101.3735
2017-10-02 16:43:24.9, 83.29205, 2.154676, 200, 101.3762
2017-10-02 16:43:40.0, 82.70013, 2.15804, 200, 101.3755
2017-10-02 16:43:55.1, 82.14838, 2.161185, 200, 101.3838
2017-10-02 16:44:10.2, 81.63617, 2.164113, 200, 101.3813
