Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-02 16:28:44.2, 86.79442, 1.552898, 200, 100.6943
2017-10-02 16:28:59.3, 86.37715, 1.554956, 200, 100.6909
2017-10-02 16:29:14.4, 85.95024, 1.557068, 200, 100.6943
2017-10-02 16:29:29.5, 85.52892, 1.559157, 200, 100.6904
2017-10-02 16:29:44.6, 85.22078, 1.560688, 200, 100.6929
2017-10-02 16:29:59.6, 84.72859, 1.563141, 200, 100.6875
2017-10-02 16:30:14.7, 84.51161, 1.564224, 200, 100.6887
2017-10-02 16:30:29.8, 84.21275, 1.565719, 200, 100.6892
2017-10-02 16:30:44.9, 83.94038, 1.567084, 200, 100.6895
2017-10-02 16:30:59.9, 83.86476, 1.567464, 200, 100.6936
2017-10-02 16:31:15.0, 83.66579, 1.568463, 200, 100.6926
2017-10-02 16:31:30.1, 83.37328, 1.569934, 200, 100.6931
2017-10-02 16:31:45.2, 83.21248, 1.570744, 200, 100.6929
2017-10-02 16:32:00.2, 83.0118, 1.571756, 200, 100.6877
2017-10-02 16:32:15.3, 82.94374, 1.572099, 200, 100.6919
2017-10-02 16:32:30.4, 82.94591, 1.572089, 200, 100.6926
2017-10-02 16:32:45.5, 82.72032, 1.573228, 200, 100.6926
2017-10-02 16:33:00.5, 82.6599, 1.573534, 200, 100.6868
2017-10-02 16:33:15.6, 82.46306, 1.57453, 200, 100.6956
2017-10-02 16:33:30.7, 82.50529, 1.574316, 200, 100.6907
2017-10-02 16:33:45.8, 82.6154, 1.573759, 200, 100.6953
2017-10-02 16:34:00.9, 82.53673, 1.574157, 200, 100.697
2017-10-02 16:34:15.9, 82.43178, 1.574688, 200, 100.6938
2017-10-02 16:34:31.0, 82.59224, 1.573876, 200, 100.6877
2017-10-02 16:34:46.1, 82.54378, 1.574121, 200, 100.6846
2017-10-02 16:35:01.1, 82.48912, 1.574398, 200, 100.6907
2017-10-02 16:35:16.2, 82.44533, 1.57462, 200, 100.6919
2017-10-02 16:35:31.3, 82.48271, 1.57443, 200, 100.6938
