Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-03 18:38:27.9, 98.923, 1.424929, 200, 100.3489
2017-07-03 18:38:43.0, 98.75266, 1.425684, 200, 100.3357
2017-07-03 18:38:58.1, 98.52261, 1.426705, 200, 100.3506
2017-07-03 18:39:13.2, 98.58279, 1.426438, 200, 100.3369
2017-07-03 18:39:28.2, 98.36987, 1.427384, 200, 100.3506
2017-07-03 18:39:43.3, 98.30496, 1.427673, 200, 100.3401
2017-07-03 18:39:58.4, 98.23862, 1.427968, 200, 100.342
2017-07-03 18:40:13.5, 98.0831, 1.42866, 200, 100.3401
2017-07-03 18:40:28.6, 98.02249, 1.42893, 200, 100.3411
2017-07-03 18:40:43.6, 97.90182, 1.429468, 200, 100.342
2017-07-03 18:40:58.7, 97.86667, 1.429624, 200, 100.3347
2017-07-03 18:41:13.8, 97.953, 1.429239, 200, 100.3459
2017-07-03 18:41:28.8, 97.85004, 1.429698, 200, 100.332
2017-07-03 18:41:43.8, 97.84082, 1.42974, 200, 100.3484
2017-07-03 18:41:58.9, 97.94775, 1.429263, 200, 100.3323
2017-07-03 18:42:14.0, 97.86279, 1.429641, 200, 100.342
2017-07-03 18:42:29.1, 97.7876, 1.429977, 200, 100.3369
2017-07-03 18:42:44.1, 97.86801, 1.429618, 200, 100.3423
2017-07-03 18:42:59.2, 97.61539, 1.430746, 200, 100.344
2017-07-03 18:43:14.3, 97.86157, 1.429647, 200, 100.3386
2017-07-03 18:43:29.4, 97.83716, 1.429756, 200, 100.3462
2017-07-03 18:43:44.4, 97.93268, 1.42933, 200, 100.3386
2017-07-03 18:43:59.5, 97.84778, 1.429708, 200, 100.3452
2017-07-03 18:44:14.6, 97.74884, 1.43015, 200, 100.3374
2017-07-03 18:44:29.7, 97.72278, 1.430266, 200, 100.3467
2017-07-03 18:44:44.7, 97.79871, 1.429927, 200, 100.3345
2017-07-03 18:44:59.8, 97.64096, 1.430631, 200, 100.3455
2017-07-03 18:45:14.9, 97.82474, 1.429811, 200, 100.3381
2017-07-03 18:45:30.0, 97.83432, 1.429769, 200, 100.3442
2017-07-03 18:45:45.0, 97.83524, 1.429765, 200, 100.3418
2017-07-03 18:46:00.1, 97.73618, 1.430206, 200, 100.3364
2017-07-03 18:46:15.2, 97.64011, 1.430635, 200, 100.3477
2017-07-03 18:46:30.3, 97.67728, 1.430469, 200, 100.3342
2017-07-03 18:46:45.3, 97.84174, 1.429736, 200, 100.3469
2017-07-03 18:47:00.5, 97.68365, 1.430441, 200, 100.3328
2017-07-03 18:47:15.5, 97.71634, 1.430295, 200, 100.3457
2017-07-03 18:47:30.6, 97.75427, 1.430126, 200, 100.3347
2017-07-03 18:47:45.6, 97.67865, 1.430463, 200, 100.3452
2017-07-03 18:48:00.7, 97.67712, 1.43047, 200, 100.3376
2017-07-03 18:48:15.8, 97.76328, 1.430086, 200, 100.3359
2017-07-03 18:48:30.9, 97.68527, 1.430434, 200, 100.3416
2017-07-03 18:48:45.9, 97.6861, 1.43043, 200, 100.3354
2017-07-03 18:49:00.9, 97.68445, 1.430437, 200, 100.3467
2017-07-03 18:49:16.0, 97.73267, 1.430222, 200, 100.3347
2017-07-03 18:49:31.1, 97.79321, 1.429952, 200, 100.3472
2017-07-03 18:49:46.2, 97.86481, 1.429633, 200, 100.3325
2017-07-03 18:50:01.2, 97.53772, 1.431093, 200, 100.3447
2017-07-03 18:50:16.3, 97.65729, 1.430559, 200, 100.3342
2017-07-03 18:50:31.4, 97.69373, 1.430396, 200, 100.342
2017-07-03 18:50:46.5, 97.44144, 1.431523, 200, 100.3357
2017-07-03 18:51:01.5, 97.39288, 1.43174, 200, 100.3386
2017-07-03 18:51:16.6, 97.14319, 1.432858, 200, 100.3379
2017-07-03 18:51:31.7, 97.02975, 1.433366, 200, 100.3342
2017-07-03 18:51:46.8, 96.73166, 1.434704, 200, 100.3384
2017-07-03 18:52:01.8, 96.69217, 1.434881, 200, 100.3274
2017-07-03 18:52:16.9, 96.48495, 1.435812, 200, 100.3386
2017-07-03 18:52:32.0, 96.20117, 1.43709, 200, 100.3311
2017-07-03 18:52:47.1, 95.95456, 1.438202, 200, 100.3401
2017-07-03 18:53:02.1, 95.65475, 1.439556, 200, 100.3279
2017-07-03 18:53:17.2, 95.23984, 1.441435, 200, 100.342
2017-07-03 18:53:32.3, 94.83771, 1.44326, 200, 100.3311
2017-07-03 18:53:47.3, 94.56323, 1.444509, 200, 100.3401
2017-07-03 18:54:02.3, 94.22891, 1.446032, 200, 100.333
2017-07-03 18:54:17.4, 93.93573, 1.447371, 200, 100.3374
2017-07-03 18:54:32.5, 93.59531, 1.448929, 200, 100.3352
2017-07-03 18:54:47.6, 93.15955, 1.450927, 200, 100.3325
2017-07-03 18:55:02.7, 92.79242, 1.452616, 200, 100.3394
2017-07-03 18:55:17.7, 92.3959, 1.454443, 200, 100.3308
2017-07-03 18:55:32.8, 92.05643, 1.456012, 200, 100.3376
2017-07-03 18:55:47.9, 91.6004, 1.458124, 200, 100.3293
2017-07-03 18:56:03.0, 91.03671, 1.460744, 200, 100.343
2017-07-03 18:56:18.0, 90.87198, 1.461511, 200, 100.3262
2017-07-03 18:56:33.1, 90.50067, 1.463244, 200, 100.3391
2017-07-03 18:56:48.2, 89.99414, 1.465614, 200, 100.3301
2017-07-03 18:57:03.3, 89.62222, 1.467359, 200, 100.3369
2017-07-03 18:57:18.3, 89.11411, 1.46975, 200, 100.3313
2017-07-03 18:57:33.4, 88.77084, 1.471369, 200, 100.3376
2017-07-03 18:57:48.4, 88.44958, 1.472888, 200, 100.3379
2017-07-03 18:58:03.5, 88.05765, 1.474746, 200, 100.3323
2017-07-03 18:58:18.5, 87.73169, 1.476294, 200, 100.3428
2017-07-03 18:58:33.6, 87.29413, 1.478378, 200, 100.3281
2017-07-03 18:58:48.7, 86.86462, 1.480429, 200, 100.3391
2017-07-03 18:59:03.8, 86.63083, 1.481547, 200, 100.3313
2017-07-03 18:59:18.8, 86.30032, 1.483132, 200, 100.3376
2017-07-03 18:59:33.9, 86.15604, 1.483825, 200, 100.3342
2017-07-03 18:59:48.9, 86.23785, 1.483432, 200, 100.3379
2017-07-03 19:00:04.0, 86.48663, 1.482238, 200, 100.3401
