Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-06 17:31:43.1, 87.82312, 2.133301, 200, 100.1677
2017-10-06 17:31:58.2, 87.68643, 2.134055, 200, 100.1682
2017-10-06 17:32:13.4, 87.54037, 2.134861, 200, 100.168
2017-10-06 17:32:28.4, 87.39777, 2.135649, 200, 100.168
2017-10-06 17:32:43.4, 87.28146, 2.136292, 200, 100.1702
2017-10-06 17:32:58.5, 87.15662, 2.136982, 200, 100.1658
2017-10-06 17:33:13.6, 87.15878, 2.136971, 200, 100.1689
2017-10-06 17:33:28.7, 87.0787, 2.137414, 200, 100.1672
2017-10-06 17:33:43.8, 87.03113, 2.137677, 200, 100.1663
2017-10-06 17:33:58.8, 87.02362, 2.137719, 200, 100.1687
2017-10-06 17:34:13.9, 87.03247, 2.13767, 200, 100.1685
2017-10-06 17:34:29.0, 86.8844, 2.13849, 200, 100.1626
2017-10-06 17:34:44.0, 86.85089, 2.138676, 200, 100.1697
2017-10-06 17:34:59.1, 86.79846, 2.138967, 200, 100.1687
2017-10-06 17:35:14.2, 86.79901, 2.138963, 200, 100.1682
2017-10-06 17:35:29.3, 86.82779, 2.138804, 200, 100.1633
2017-10-06 17:35:44.4, 86.76309, 2.139163, 200, 100.168
2017-10-06 17:35:59.4, 86.8443, 2.138712, 200, 100.1682
2017-10-06 17:36:14.4, 86.80997, 2.138903, 200, 100.1675
2017-10-06 17:36:29.5, 86.84863, 2.138688, 200, 100.1648
2017-10-06 17:36:44.6, 86.86356, 2.138606, 200, 100.166
2017-10-06 17:36:59.6, 86.84634, 2.138701, 200, 100.1638
2017-10-06 17:37:14.7, 86.92694, 2.138254, 200, 100.1638
2017-10-06 17:37:29.8, 86.92078, 2.138288, 200, 100.1602
2017-10-06 17:37:44.9, 86.9599, 2.138072, 200, 100.1577
2017-10-06 17:37:59.9, 86.98013, 2.13796, 200, 100.156
2017-10-06 17:38:15.0, 86.97696, 2.137977, 200, 100.1516
2017-10-06 17:38:30.1, 87.09384, 2.13733, 200, 100.155
2017-10-06 17:38:45.2, 86.94186, 2.138172, 200, 100.1545
2017-10-06 17:39:00.2, 86.92111, 2.138287, 200, 100.1565
2017-10-06 17:39:15.3, 86.96576, 2.138039, 200, 100.1558
2017-10-06 17:39:30.4, 87.04221, 2.137616, 200, 100.1536
2017-10-06 17:39:45.5, 86.97955, 2.137963, 200, 100.1494
2017-10-06 17:40:00.5, 86.99292, 2.137889, 200, 100.1543
2017-10-06 17:40:15.6, 87.11563, 2.137209, 200, 100.1528
2017-10-06 17:40:30.7, 87.14255, 2.13706, 200, 100.1543
2017-10-06 17:40:45.8, 87.1553, 2.13699, 200, 100.1497
2017-10-06 17:41:00.8, 87.1239, 2.137164, 200, 100.1526
