Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-08 17:30:43.8, 91.73619, 1.430994, 200, 100.0549
2017-07-08 17:30:58.8, 91.88261, 1.430316, 200, 100.0422
2017-07-08 17:31:13.9, 92.02892, 1.429639, 200, 100.0479
2017-07-08 17:31:29.0, 92.34996, 1.428156, 200, 100.0452
2017-07-08 17:31:44.0, 92.45103, 1.427689, 200, 100.0403
2017-07-08 17:31:59.0, 92.72249, 1.426438, 200, 100.0474
2017-07-08 17:32:14.1, 92.72832, 1.426411, 200, 100.0334
2017-07-08 17:32:29.2, 92.9095, 1.425578, 200, 100.0496
2017-07-08 17:32:44.3, 93.0807, 1.424791, 200, 100.0325
2017-07-08 17:32:59.3, 93.03477, 1.425002, 200, 100.0498
2017-07-08 17:33:14.4, 93.30455, 1.423763, 200, 100.0349
2017-07-08 17:33:29.5, 93.07207, 1.42483, 200, 100.0459
2017-07-08 17:33:44.6, 93.29503, 1.423807, 200, 100.0366
2017-07-08 17:33:59.6, 93.08696, 1.424762, 200, 100.043
2017-07-08 17:34:14.7, 93.25426, 1.423994, 200, 100.0437
2017-07-08 17:34:29.8, 93.24596, 1.424032, 200, 100.0359
2017-07-08 17:34:44.9, 93.32668, 1.423661, 200, 100.0417
2017-07-08 17:34:59.9, 93.33449, 1.423626, 200, 100.0361
2017-07-08 17:35:15.0, 93.35551, 1.423529, 200, 100.0444
2017-07-08 17:35:30.1, 93.32057, 1.423689, 200, 100.0295
2017-07-08 17:35:45.2, 93.4597, 1.423051, 200, 100.0459
2017-07-08 17:36:00.2, 93.45595, 1.423069, 200, 100.0261
2017-07-08 17:36:15.3, 93.4178, 1.423244, 200, 100.0427
2017-07-08 17:36:30.4, 93.30894, 1.423743, 200, 100.0303
2017-07-08 17:36:45.5, 93.36031, 1.423507, 200, 100.0332
2017-07-08 17:37:00.5, 93.35097, 1.42355, 200, 100.0315
2017-07-08 17:37:15.6, 93.51912, 1.422779, 200, 100.0283
2017-07-08 17:37:30.7, 93.32738, 1.423658, 200, 100.0305
2017-07-08 17:37:45.8, 93.34517, 1.423577, 200, 100.0222
2017-07-08 17:38:00.9, 93.45937, 1.423053, 200, 100.0405
2017-07-08 17:38:15.9, 93.5013, 1.422861, 200, 100.0156
2017-07-08 17:38:31.0, 93.56194, 1.422583, 200, 100.0403
2017-07-08 17:38:46.1, 93.40779, 1.423289, 200, 100.0156
2017-07-08 17:39:01.1, 93.4843, 1.422939, 200, 100.0356
2017-07-08 17:39:16.3, 93.41322, 1.423265, 200, 100.0164
2017-07-08 17:39:31.3, 93.35512, 1.423531, 200, 100.0313
2017-07-08 17:39:46.4, 93.31966, 1.423694, 200, 100.0234
2017-07-08 17:40:01.5, 93.30635, 1.423755, 200, 100.0244
2017-07-08 17:40:16.5, 93.30476, 1.423762, 200, 100.0249
2017-07-08 17:40:31.6, 93.28584, 1.423849, 200, 100.0151
2017-07-08 17:40:46.7, 93.21916, 1.424155, 200, 100.0227
2017-07-08 17:41:01.7, 93.18633, 1.424306, 200, 100.0122
2017-07-08 17:41:16.7, 93.25813, 1.423976, 200, 100.0251
2017-07-08 17:41:31.8, 93.19441, 1.424268, 200, 100.0015
2017-07-08 17:41:46.9, 93.31776, 1.423702, 200, 100.0229
2017-07-08 17:42:02.0, 93.1786, 1.424341, 200, 100.002
2017-07-08 17:42:17.1, 93.10439, 1.424682, 200, 100.0237
2017-07-08 17:42:32.1, 93.33257, 1.423634, 200, 100.0071
2017-07-08 17:42:47.2, 93.30083, 1.42378, 200, 100.0181
2017-07-08 17:43:02.3, 93.1804, 1.424333, 200, 100.0005
2017-07-08 17:43:17.3, 93.21184, 1.424188, 200, 100.0139
2017-07-08 17:43:32.4, 93.12526, 1.424586, 200, 100.0044
2017-07-08 17:43:47.5, 93.19017, 1.424288, 200, 100.0239
2017-07-08 17:44:02.6, 92.99492, 1.425185, 200, 100.043
2017-07-08 17:44:17.7, 93.12801, 1.424573, 200, 100.0735
2017-07-08 17:44:32.7, 93.02357, 1.425053, 200, 100.0933
2017-07-08 17:44:47.8, 93.06325, 1.424871, 200, 100.0952
2017-07-08 17:45:02.9, 93.16393, 1.424408, 200, 100.1069
2017-07-08 17:45:18.0, 93.04372, 1.42496, 200, 100.1001
2017-07-08 17:45:33.0, 93.02629, 1.425041, 200, 100.1047
2017-07-08 17:45:48.1, 93.1386, 1.424525, 200, 100.1003
2017-07-08 17:46:03.2, 93.2364, 1.424076, 200, 100.1008
2017-07-08 17:46:18.3, 93.08052, 1.424791, 200, 100.1052
2017-07-08 17:46:33.3, 92.98964, 1.425209, 200, 100.1033
2017-07-08 17:46:48.4, 92.95934, 1.425348, 200, 100.1074
2017-07-08 17:47:03.5, 92.79811, 1.42609, 200, 100.1021
2017-07-08 17:47:18.6, 92.75804, 1.426274, 200, 100.103
2017-07-08 17:47:33.7, 92.485, 1.427533, 200, 100.1082
2017-07-08 17:47:48.7, 92.47246, 1.42759, 200, 100.106
2017-07-08 17:48:03.8, 92.16512, 1.429009, 200, 100.105
2017-07-08 17:48:18.9, 91.79164, 1.430737, 200, 100.1101
2017-07-08 17:48:33.9, 91.60359, 1.431609, 200, 100.1072
2017-07-08 17:48:49.0, 91.43593, 1.432387, 200, 100.1099
2017-07-08 17:49:04.1, 91.11272, 1.43389, 200, 100.1077
2017-07-08 17:49:19.2, 90.58064, 1.436369, 200, 100.1118
2017-07-08 17:49:34.3, 90.21251, 1.43809, 200, 100.1094
2017-07-08 17:49:49.3, 90.06575, 1.438777, 200, 100.1064
2017-07-08 17:50:04.4, 89.66475, 1.440659, 200, 100.1084
2017-07-08 17:50:19.4, 89.04497, 1.443576, 200, 100.1111
2017-07-08 17:50:34.5, 88.73775, 1.445026, 200, 100.1101
2017-07-08 17:50:49.5, 88.32683, 1.44697, 200, 100.1128
2017-07-08 17:51:04.6, 87.92784, 1.448863, 200, 100.1123
2017-07-08 17:51:19.7, 87.49864, 1.450905, 200, 100.1128
2017-07-08 17:51:34.8, 87.20131, 1.452323, 200, 100.1091
2017-07-08 17:51:49.9, 86.63322, 1.45504, 200, 100.1133
2017-07-08 17:52:05.0, 86.15361, 1.457341, 200, 100.1084
2017-07-08 17:52:20.1, 85.72514, 1.459404, 200, 100.1089
2017-07-08 17:52:35.2, 85.18993, 1.461988, 200, 100.1123
2017-07-08 17:52:50.2, 84.79897, 1.463882, 200, 100.1125
2017-07-08 17:53:05.3, 84.30476, 1.466282, 200, 100.1108
2017-07-08 17:53:20.4, 83.96278, 1.467948, 200, 100.1118
2017-07-08 17:53:35.5, 83.43752, 1.470514, 200, 100.1108
2017-07-08 17:53:50.6, 82.9525, 1.472891, 200, 100.1091
2017-07-08 17:54:05.6, 82.6219, 1.474516, 200, 100.1072
2017-07-08 17:54:20.8, 82.1385, 1.476899, 200, 100.1082
2017-07-08 17:54:35.8, 81.80986, 1.478523, 200, 100.1104
2017-07-08 17:54:50.8, 81.39922, 1.480557, 200, 100.1094
2017-07-08 17:55:05.9, 81.06758, 1.482204, 200, 100.1089
2017-07-08 17:55:21.0, 81.15077, 1.481791, 200, 100.1074
2017-07-08 17:55:36.1, 81.11037, 1.481991, 200, 100.1086
2017-07-08 17:55:51.2, 81.22035, 1.481445, 200, 100.1072
2017-07-08 17:56:06.2, 81.4543, 1.480284, 200, 100.1042
2017-07-08 17:56:21.3, 81.63347, 1.479396, 200, 100.1079
2017-07-08 17:56:36.4, 81.98885, 1.477638, 200, 100.1062
2017-07-08 17:56:51.5, 82.53105, 1.474963, 200, 100.106
2017-07-08 17:57:06.5, 82.69182, 1.474172, 200, 100.1008
2017-07-08 17:57:21.6, 83.33385, 1.471022, 200, 100.1035
2017-07-08 17:57:36.7, 83.69576, 1.469251, 200, 100.1021
2017-07-08 17:57:51.8, 84.2419, 1.466588, 200, 100.1021
2017-07-08 17:58:06.9, 84.73967, 1.464169, 200, 100.1006
2017-07-08 17:58:21.9, 85.10051, 1.462421, 200, 100.1042
2017-07-08 17:58:37.0, 85.39995, 1.460973, 200, 100.104
2017-07-08 17:58:52.0, 85.88948, 1.458612, 200, 100.1028
2017-07-08 17:59:07.0, 86.39799, 1.456168, 200, 100.1033
2017-07-08 17:59:22.1, 86.74635, 1.454498, 200, 100.1042
2017-07-08 17:59:37.1, 87.16502, 1.452496, 200, 100.0999
2017-07-08 17:59:52.2, 87.50069, 1.450895, 200, 100.1001
2017-07-08 18:00:07.3, 87.86626, 1.449156, 200, 100.1013
2017-07-08 18:00:22.3, 88.23955, 1.447384, 200, 100.1035
2017-07-08 18:00:37.4, 88.46666, 1.446308, 200, 100.1021
2017-07-08 18:00:52.5, 88.74757, 1.44498, 200, 100.1001
