Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-09 17:28:20.6, 81.2355, 1.677916, 200, 99.81641
2017-10-09 17:28:35.7, 80.82455, 1.679418, 200, 99.81885
2017-10-09 17:28:50.8, 81.06442, 1.678541, 200, 99.81421
2017-10-09 17:29:05.9, 80.6376, 1.680102, 200, 99.81494
2017-10-09 17:29:21.1, 80.76086, 1.679651, 200, 99.81299
2017-10-09 17:29:36.1, 80.88034, 1.679214, 200, 99.81372
2017-10-09 17:29:51.2, 80.65625, 1.680034, 200, 99.81689
2017-10-09 17:30:06.3, 80.78308, 1.67957, 200, 99.81567
2017-10-09 17:30:21.3, 80.65536, 1.680037, 200, 99.81323
2017-10-09 17:30:36.3, 80.91824, 1.679075, 200, 99.81494
2017-10-09 17:30:51.5, 80.819, 1.679438, 200, 99.80884
2017-10-09 17:31:06.5, 80.82672, 1.67941, 200, 99.81421
2017-10-09 17:31:21.6, 81.12775, 1.67831, 200, 99.81421
2017-10-09 17:31:36.6, 81.17419, 1.67814, 200, 99.81128
2017-10-09 17:31:51.7, 81.32758, 1.67758, 200, 99.81128
2017-10-09 17:32:06.8, 81.28378, 1.67774, 200, 99.8103
2017-10-09 17:32:21.9, 81.10886, 1.678379, 200, 99.81372
2017-10-09 17:32:36.9, 81.12671, 1.678313, 200, 99.8103
2017-10-09 17:32:52.0, 81.06607, 1.678535, 200, 99.80591
2017-10-09 17:33:07.1, 81.13998, 1.678265, 200, 99.8064
2017-10-09 17:33:22.2, 81.05444, 1.678578, 200, 99.80396
2017-10-09 17:33:37.2, 80.91132, 1.679101, 200, 99.80786
2017-10-09 17:33:52.3, 81.25894, 1.67783, 200, 99.80542
2017-10-09 17:34:07.4, 81.20859, 1.678014, 200, 99.80029
2017-10-09 17:34:22.5, 81.13678, 1.678277, 200, 99.80103
2017-10-09 17:34:37.6, 81.21664, 1.677985, 200, 99.80029
2017-10-09 17:34:52.6, 81.55484, 1.676751, 200, 99.79761
2017-10-09 17:35:07.7, 81.14722, 1.678239, 200, 99.80029
