Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-09 17:29:01.3, 87.91315, 1.515266, 200, 100.3286
2017-10-09 17:29:16.4, 87.67899, 1.516412, 200, 100.3296
2017-10-09 17:29:31.5, 87.69043, 1.516356, 200, 100.3303
2017-10-09 17:29:46.6, 87.53705, 1.517108, 200, 100.3293
2017-10-09 17:30:01.6, 87.13675, 1.519073, 200, 100.3269
2017-10-09 17:30:16.7, 87.22852, 1.518622, 200, 100.3286
2017-10-09 17:30:31.8, 87.10834, 1.519212, 200, 100.3281
2017-10-09 17:30:46.8, 86.99249, 1.519782, 200, 100.3247
2017-10-09 17:31:01.9, 86.86505, 1.520409, 200, 100.3298
2017-10-09 17:31:17.0, 86.81122, 1.520675, 200, 100.3289
2017-10-09 17:31:32.0, 86.6673, 1.521384, 200, 100.3271
2017-10-09 17:31:47.0, 86.51071, 1.522156, 200, 100.3267
2017-10-09 17:32:02.1, 86.58377, 1.521796, 200, 100.3259
2017-10-09 17:32:17.2, 86.34686, 1.522965, 200, 100.3274
2017-10-09 17:32:32.3, 86.32465, 1.523075, 200, 100.3267
2017-10-09 17:32:47.4, 86.27936, 1.523299, 200, 100.3254
2017-10-09 17:33:02.4, 86.18716, 1.523755, 200, 100.323
2017-10-09 17:33:17.5, 86.15976, 1.52389, 200, 100.3235
2017-10-09 17:33:32.6, 86.07611, 1.524304, 200, 100.3208
2017-10-09 17:33:47.7, 85.85822, 1.525383, 200, 100.3198
2017-10-09 17:34:02.7, 85.77966, 1.525773, 200, 100.3198
2017-10-09 17:34:17.8, 86.039, 1.524488, 200, 100.3196
2017-10-09 17:34:32.9, 85.82205, 1.525563, 200, 100.322
2017-10-09 17:34:47.9, 85.93158, 1.52502, 200, 100.3188
2017-10-09 17:35:03.0, 85.84296, 1.525459, 200, 100.3174
2017-10-09 17:35:18.1, 85.74561, 1.525942, 200, 100.3191
2017-10-09 17:35:33.2, 85.7222, 1.526058, 200, 100.3174
2017-10-09 17:35:48.3, 85.64999, 1.526416, 200, 100.3196
2017-10-09 17:36:03.3, 85.72659, 1.526036, 200, 100.3152
2017-10-09 17:36:18.4, 85.52817, 1.527021, 200, 100.3159
2017-10-09 17:36:33.5, 85.62723, 1.526529, 200, 100.3174
2017-10-09 17:36:48.6, 85.31683, 1.528071, 200, 100.3142
