Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-10 19:16:46.1, 97.71072, 1.646066, 200, 99.04785
2017-08-10 19:17:01.1, 97.70596, 1.646083, 200, 99.04443
2017-08-10 19:17:16.2, 97.50232, 1.6468, 200, 99.0437
2017-08-10 19:17:31.4, 97.57269, 1.646552, 200, 99.0498
2017-08-10 19:17:46.4, 97.44174, 1.647013, 200, 99.04688
2017-08-10 19:18:01.5, 97.64615, 1.646294, 200, 99.04761
2017-08-10 19:18:16.5, 97.64883, 1.646284, 200, 99.04761
2017-08-10 19:18:31.6, 97.76041, 1.645892, 200, 99.04541
2017-08-10 19:18:46.7, 97.46027, 1.646948, 200, 99.04712
2017-08-10 19:19:01.7, 97.39856, 1.647166, 200, 99.04492
2017-08-10 19:19:16.8, 97.29013, 1.647548, 200, 99.04468
2017-08-10 19:19:31.8, 97.42847, 1.64706, 200, 99.04272
2017-08-10 19:19:46.9, 97.58102, 1.646523, 200, 99.04272
2017-08-10 19:20:01.9, 97.37241, 1.647258, 200, 99.04419
2017-08-10 19:20:17.0, 97.55984, 1.646597, 200, 99.04395
2017-08-10 19:20:32.1, 97.44745, 1.646993, 200, 99.04077
2017-08-10 19:20:47.2, 97.21396, 1.647816, 200, 99.03979
2017-08-10 19:21:02.3, 97.01141, 1.648531, 200, 99.03955
2017-08-10 19:21:17.3, 97.05881, 1.648363, 200, 99.0415
2017-08-10 19:21:32.4, 97.01804, 1.648507, 200, 99.03638
2017-08-10 19:21:47.5, 97.04675, 1.648406, 200, 99.04346
2017-08-10 19:22:02.6, 96.62146, 1.649908, 200, 99.03979
2017-08-10 19:22:17.6, 96.51038, 1.650301, 200, 99.03687
2017-08-10 19:22:32.7, 96.48911, 1.650376, 200, 99.03564
2017-08-10 19:22:47.8, 95.96603, 1.652228, 200, 99.03906
2017-08-10 19:23:02.9, 95.18854, 1.654989, 200, 99.03613
2017-08-10 19:23:17.9, 94.19507, 1.658531, 200, 99.04126
2017-08-10 19:23:33.0, 93.16989, 1.662201, 200, 99.03735
2017-08-10 19:23:48.1, 93.1926, 1.66212, 200, 99.0376
2017-08-10 19:24:03.2, 92.93124, 1.663058, 200, 99.04492
2017-08-10 19:24:18.2, 92.49142, 1.664639, 200, 99.0376
2017-08-10 19:24:33.3, 92.00574, 1.666389, 200, 99.03589
2017-08-10 19:24:48.3, 91.6066, 1.667829, 200, 99.03198
2017-08-10 19:25:03.4, 91.35168, 1.66875, 200, 99.03369
2017-08-10 19:25:18.4, 91.10052, 1.669659, 200, 99.03564
2017-08-10 19:25:33.5, 90.36926, 1.672311, 200, 99.03833
2017-08-10 19:25:48.6, 90.11371, 1.67324, 200, 99.03662
2017-08-10 19:26:03.7, 89.86575, 1.674142, 200, 99.03271
2017-08-10 19:26:18.8, 89.09686, 1.676945, 200, 99.03076
2017-08-10 19:26:33.8, 88.75711, 1.678187, 200, 99.03638
2017-08-10 19:26:48.9, 88.36816, 1.67961, 200, 99.03247
2017-08-10 19:27:04.0, 88.28143, 1.679928, 200, 99.04004
2017-08-10 19:27:19.1, 88.31104, 1.67982, 200, 99.03564
2017-08-10 19:27:34.1, 88.29767, 1.679869, 200, 99.03833
2017-08-10 19:27:49.2, 88.01349, 1.680911, 200, 99.04004
2017-08-10 19:28:04.3, 87.41461, 1.683111, 200, 99.03711
2017-08-10 19:28:19.4, 87.02344, 1.684551, 200, 99.03369
2017-08-10 19:28:34.5, 86.34567, 1.687053, 200, 99.03052
2017-08-10 19:28:49.5, 86.09515, 1.687979, 200, 99.03833
2017-08-10 19:29:04.6, 85.85303, 1.688876, 200, 99.03833
2017-08-10 19:29:19.7, 85.16946, 1.691411, 200, 99.04102
2017-08-10 19:29:34.7, 84.34622, 1.694476, 200, 99.03857
2017-08-10 19:29:49.8, 83.67554, 1.69698, 200, 99.03955
2017-08-10 19:30:04.9, 83.39856, 1.698017, 200, 99.03638
2017-08-10 19:30:20.0, 83.23569, 1.698627, 200, 99.04126
2017-08-10 19:30:35.0, 83.39365, 1.698035, 200, 99.04053
2017-08-10 19:30:50.1, 83.48523, 1.697692, 200, 99.04346
2017-08-10 19:31:05.2, 83.37585, 1.698102, 200, 99.03809
2017-08-10 19:31:20.3, 82.54126, 1.701233, 200, 99.04126
2017-08-10 19:31:35.4, 81.97745, 1.703354, 200, 99.03833
2017-08-10 19:31:50.4, 81.94556, 1.703475, 200, 99.04517
2017-08-10 19:32:05.5, 81.5621, 1.704921, 200, 99.03906
