Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-10 17:37:05.7, 100.227, 1.579044, 200, 99.6875
2017-07-10 17:37:20.8, 100.1593, 1.579284, 200, 99.6875
2017-07-10 17:37:35.8, 100.0271, 1.579751, 200, 99.69116
2017-07-10 17:37:50.8, 99.94214, 1.580051, 200, 99.69434
2017-07-10 17:38:05.9, 100.0999, 1.579493, 200, 99.68823
2017-07-10 17:38:21.0, 100.2737, 1.57888, 200, 99.68677
2017-07-10 17:38:36.0, 100.2826, 1.578848, 200, 99.68994
2017-07-10 17:38:51.1, 100.0713, 1.579594, 200, 99.68506
2017-07-10 17:39:06.2, 99.99963, 1.579848, 200, 99.68726
2017-07-10 17:39:21.2, 99.50381, 1.581603, 200, 99.69092
2017-07-10 17:39:36.2, 99.30429, 1.582311, 200, 99.68921
2017-07-10 17:39:51.3, 99.245, 1.582521, 200, 99.68579
2017-07-10 17:40:06.5, 98.77115, 1.584204, 200, 99.68799
2017-07-10 17:40:21.5, 98.62085, 1.584738, 200, 99.68481
2017-07-10 17:40:36.6, 98.43381, 1.585404, 200, 99.6875
2017-07-10 17:40:51.6, 98.1315, 1.586481, 200, 99.69116
2017-07-10 17:41:06.7, 97.99597, 1.586965, 200, 99.68872
2017-07-10 17:41:21.8, 97.89774, 1.587315, 200, 99.68604
2017-07-10 17:41:36.9, 97.71823, 1.587956, 200, 99.69409
2017-07-10 17:41:51.9, 97.58554, 1.588431, 200, 99.69727
2017-07-10 17:42:06.9, 97.56717, 1.588496, 200, 99.69751
2017-07-10 17:42:22.0, 97.77182, 1.587765, 200, 99.68872
2017-07-10 17:42:37.1, 97.66541, 1.588145, 200, 99.69116
2017-07-10 17:42:52.1, 97.60709, 1.588354, 200, 99.6875
2017-07-10 17:43:07.2, 97.63565, 1.588251, 200, 99.69312
2017-07-10 17:43:22.3, 97.39087, 1.589127, 200, 99.69775
2017-07-10 17:43:37.4, 97.05496, 1.590329, 200, 99.69238
2017-07-10 17:43:52.4, 97.21841, 1.589744, 200, 99.69019
2017-07-10 17:44:07.4, 96.83759, 1.591109, 200, 99.69165
2017-07-10 17:44:22.5, 97.21127, 1.589769, 200, 99.68774
2017-07-10 17:44:37.6, 97.02542, 1.590435, 200, 99.69116
2017-07-10 17:44:52.6, 97.00763, 1.590499, 200, 99.69189
2017-07-10 17:45:07.7, 96.76981, 1.591352, 200, 99.69922
2017-07-10 17:45:22.8, 96.70001, 1.591602, 200, 99.69092
2017-07-10 17:45:37.9, 96.75375, 1.591409, 200, 99.6897
2017-07-10 17:45:52.9, 96.8559, 1.591043, 200, 99.68994
2017-07-10 17:46:07.9, 96.71109, 1.591562, 200, 99.69092
2017-07-10 17:46:23.0, 96.61337, 1.591913, 200, 99.68994
2017-07-10 17:46:38.1, 96.83008, 1.591136, 200, 99.69385
2017-07-10 17:46:53.2, 96.72296, 1.59152, 200, 99.68921
2017-07-10 17:47:08.2, 96.69513, 1.59162, 200, 99.69019
2017-07-10 17:47:23.3, 96.49472, 1.592339, 200, 99.68726
2017-07-10 17:47:38.4, 96.86826, 1.590999, 200, 99.68652
2017-07-10 17:47:53.5, 96.80524, 1.591225, 200, 99.68481
2017-07-10 17:48:08.5, 96.70493, 1.591585, 200, 99.6897
2017-07-10 17:48:23.6, 96.74677, 1.591434, 200, 99.68823
2017-07-10 17:48:38.7, 96.61935, 1.591892, 200, 99.68457
2017-07-10 17:48:53.8, 96.96405, 1.590655, 200, 99.68555
2017-07-10 17:49:08.8, 96.74445, 1.591443, 200, 99.68408
2017-07-10 17:49:23.9, 96.71249, 1.591557, 200, 99.68481
2017-07-10 17:49:39.0, 96.76929, 1.591354, 200, 99.68921
2017-07-10 17:49:54.1, 97.11285, 1.590122, 200, 99.6853
2017-07-10 17:50:09.1, 97.23822, 1.589673, 200, 99.68091
2017-07-10 17:50:24.2, 97.09354, 1.590191, 200, 99.68286
2017-07-10 17:50:39.3, 96.85776, 1.591036, 200, 99.68237
2017-07-10 17:50:54.4, 96.59909, 1.591964, 200, 99.68311
2017-07-10 17:51:09.5, 96.59256, 1.591988, 200, 99.68457
2017-07-10 17:51:24.5, 96.32166, 1.592961, 200, 99.69141
2017-07-10 17:51:39.5, 96.26974, 1.593148, 200, 99.68726
2017-07-10 17:51:54.6, 95.87161, 1.594581, 200, 99.68945
2017-07-10 17:52:09.7, 95.50125, 1.595916, 200, 99.68433
2017-07-10 17:52:24.7, 95.21478, 1.59695, 200, 99.68286
2017-07-10 17:52:39.8, 94.77072, 1.598556, 200, 99.68384
2017-07-10 17:52:54.9, 94.15753, 1.600779, 200, 99.6853
2017-07-10 17:53:10.0, 93.62946, 1.602699, 200, 99.68164
2017-07-10 17:53:25.0, 93.21326, 1.604215, 200, 99.68604
2017-07-10 17:53:40.1, 92.88416, 1.605415, 200, 99.68555
2017-07-10 17:53:55.2, 92.18335, 1.607978, 200, 99.68628
2017-07-10 17:54:10.3, 91.93478, 1.608889, 200, 99.68628
2017-07-10 17:54:25.3, 91.16412, 1.61172, 200, 99.68164
2017-07-10 17:54:40.4, 90.88593, 1.612745, 200, 99.68384
2017-07-10 17:54:55.5, 90.4967, 1.61418, 200, 99.68384
2017-07-10 17:55:10.6, 89.91458, 1.616332, 200, 99.68677
2017-07-10 17:55:25.6, 89.30075, 1.618607, 200, 99.68335
2017-07-10 17:55:40.7, 88.89966, 1.620097, 200, 99.68262
2017-07-10 17:55:55.8, 88.15573, 1.622868, 200, 99.68604
