Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-10 16:51:12.5, 92.99606, 1.610611, 200, 99.01074
2017-10-10 16:51:27.6, 92.89709, 1.610971, 200, 99.01172
2017-10-10 16:51:42.7, 92.78287, 1.611386, 200, 99.01001
2017-10-10 16:51:57.7, 92.66147, 1.611828, 200, 99.01514
2017-10-10 16:52:12.8, 92.74631, 1.611519, 200, 99.01074
2017-10-10 16:52:28.0, 92.94763, 1.610787, 200, 99.01343
2017-10-10 16:52:43.2, 92.76263, 1.61146, 200, 99.01904
2017-10-10 16:52:58.3, 92.58392, 1.61211, 200, 99.01563
2017-10-10 16:53:13.3, 92.67044, 1.611795, 200, 99.0166
2017-10-10 16:53:28.4, 92.63663, 1.611918, 200, 99.01343
2017-10-10 16:53:43.5, 92.6348, 1.611925, 200, 99.01636
2017-10-10 16:53:58.6, 92.46597, 1.61254, 200, 99.01831
2017-10-10 16:54:13.6, 92.142, 1.613721, 200, 99.01465
2017-10-10 16:54:28.6, 92.7691, 1.611436, 200, 99.01367
2017-10-10 16:54:43.7, 92.34631, 1.612976, 200, 99.01416
2017-10-10 16:54:58.8, 92.56268, 1.612188, 200, 99.01221
2017-10-10 16:55:13.8, 92.23447, 1.613383, 200, 99.00977
2017-10-10 16:55:28.9, 92.2905, 1.613179, 200, 99.00928
2017-10-10 16:55:44.0, 92.28244, 1.613209, 200, 99.01123
2017-10-10 16:55:59.0, 92.05975, 1.614021, 200, 99.01074
2017-10-10 16:56:14.0, 92.14496, 1.61371, 200, 99.00928
2017-10-10 16:56:29.1, 92.13177, 1.613758, 200, 99.01147
2017-10-10 16:56:44.2, 92.15387, 1.613678, 200, 99.01123
2017-10-10 16:56:59.3, 92.22208, 1.613429, 200, 99.00928
2017-10-10 16:57:14.3, 92.55481, 1.612216, 200, 99.00806
2017-10-10 16:57:29.4, 92.34576, 1.612978, 200, 99.01392
