Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-11 17:49:48.6, 99.20969, 2.084594, 200, 100.1689
2017-08-11 17:50:03.6, 99.24887, 2.084391, 200, 100.1665
2017-08-11 17:50:18.7, 99.22147, 2.084533, 200, 100.1675
2017-08-11 17:50:33.8, 99.19653, 2.084662, 200, 100.1694
2017-08-11 17:50:48.8, 99.11578, 2.085082, 200, 100.1682
2017-08-11 17:51:03.9, 99.10739, 2.085126, 200, 100.1646
2017-08-11 17:51:19.0, 99.0791, 2.085273, 200, 100.1663
2017-08-11 17:51:34.1, 99.1167, 2.085077, 200, 100.1689
2017-08-11 17:51:49.2, 99.1456, 2.084927, 200, 100.1704
2017-08-11 17:52:04.2, 99.10129, 2.085157, 200, 100.1714
2017-08-11 17:52:19.3, 99.05475, 2.085399, 200, 100.168
2017-08-11 17:52:34.4, 99.07193, 2.08531, 200, 100.1694
2017-08-11 17:52:49.5, 99.15619, 2.084872, 200, 100.1716
2017-08-11 17:53:04.5, 99.07684, 2.085284, 200, 100.1731
2017-08-11 17:53:19.6, 99.01901, 2.085585, 200, 100.1724
2017-08-11 17:53:34.7, 99.07324, 2.085303, 200, 100.1675
2017-08-11 17:53:49.8, 99.048, 2.085434, 200, 100.1658
2017-08-11 17:54:04.8, 99.09079, 2.085212, 200, 100.167
2017-08-11 17:54:19.9, 99.04535, 2.085448, 200, 100.167
2017-08-11 17:54:35.0, 99.03915, 2.08548, 200, 100.1643
2017-08-11 17:54:50.1, 98.99588, 2.085705, 200, 100.1687
2017-08-11 17:55:05.1, 98.8844, 2.086285, 200, 100.165
2017-08-11 17:55:20.2, 98.89111, 2.08625, 200, 100.166
2017-08-11 17:55:35.3, 98.78177, 2.086819, 200, 100.165
2017-08-11 17:55:50.4, 98.65433, 2.087483, 200, 100.1619
2017-08-11 17:56:05.5, 98.43167, 2.088643, 200, 100.1624
2017-08-11 17:56:20.5, 98.1958, 2.089874, 200, 100.1599
2017-08-11 17:56:35.6, 98.08493, 2.090452, 200, 100.1616
2017-08-11 17:56:50.7, 98.05792, 2.090594, 200, 100.1685
2017-08-11 17:57:05.7, 98.03915, 2.090692, 200, 100.1648
2017-08-11 17:57:20.8, 97.74271, 2.092242, 200, 100.1641
2017-08-11 17:57:35.9, 97.54495, 2.093277, 200, 100.1677
2017-08-11 17:57:51.0, 97.58661, 2.093059, 200, 100.1646
2017-08-11 17:58:06.0, 97.28748, 2.094626, 200, 100.1631
2017-08-11 17:58:21.1, 97.10376, 2.09559, 200, 100.165
2017-08-11 17:58:36.2, 96.79199, 2.097228, 200, 100.165
2017-08-11 17:58:51.3, 96.78104, 2.097285, 200, 100.1687
2017-08-11 17:59:06.4, 96.72629, 2.097573, 200, 100.1633
2017-08-11 17:59:21.4, 96.50876, 2.098718, 200, 100.1641
2017-08-11 17:59:36.5, 96.38409, 2.099374, 200, 100.1602
2017-08-11 17:59:51.6, 96.18759, 2.10041, 200, 100.1631
2017-08-11 18:00:06.7, 96.15875, 2.100562, 200, 100.1592
2017-08-11 18:00:21.7, 96.05548, 2.101107, 200, 100.1624
2017-08-11 18:00:36.8, 95.8782, 2.102042, 200, 100.1641
2017-08-11 18:00:51.9, 95.74832, 2.102729, 200, 100.158
2017-08-11 18:01:07.0, 95.6636, 2.103176, 200, 100.1567
2017-08-11 18:01:22.0, 95.34238, 2.104876, 200, 100.158
2017-08-11 18:01:37.1, 95.08521, 2.106239, 200, 100.1587
2017-08-11 18:01:52.2, 95.11578, 2.106077, 200, 100.1553
2017-08-11 18:02:07.2, 94.97528, 2.106822, 200, 100.1577
2017-08-11 18:02:22.2, 94.82593, 2.107615, 200, 100.1545
2017-08-11 18:02:37.3, 94.68738, 2.108351, 200, 100.1521
2017-08-11 18:02:52.4, 94.46973, 2.109508, 200, 100.1526
2017-08-11 18:03:07.5, 94.37436, 2.110015, 200, 100.1504
2017-08-11 18:03:22.5, 94.1846, 2.111025, 200, 100.1492
2017-08-11 18:03:37.6, 94.12033, 2.111367, 200, 100.1514
2017-08-11 18:03:52.7, 94.00894, 2.111961, 200, 100.1499
2017-08-11 18:04:07.8, 93.83521, 2.112888, 200, 100.1519
2017-08-11 18:04:22.8, 93.54843, 2.114419, 200, 100.1489
2017-08-11 18:04:37.9, 93.45422, 2.114923, 200, 100.1475
2017-08-11 18:04:53.0, 93.34171, 2.115524, 200, 100.1472
2017-08-11 18:05:08.1, 93.26959, 2.11591, 200, 100.1458
2017-08-11 18:05:23.2, 93.16061, 2.116493, 200, 100.1455
2017-08-11 18:05:38.2, 92.95459, 2.117597, 200, 100.1467
2017-08-11 18:05:53.3, 92.76654, 2.118605, 200, 100.1423
2017-08-11 18:06:08.4, 92.71786, 2.118867, 200, 100.1445
2017-08-11 18:06:23.5, 92.58621, 2.119573, 200, 100.1428
2017-08-11 18:06:38.5, 92.24399, 2.121413, 200, 100.1448
2017-08-11 18:06:53.6, 92.1369, 2.121989, 200, 100.1482
2017-08-11 18:07:08.7, 91.95578, 2.122964, 200, 100.1472
2017-08-11 18:07:23.7, 91.97003, 2.122887, 200, 100.1455
2017-08-11 18:07:38.8, 91.94229, 2.123036, 200, 100.1423
2017-08-11 18:07:53.9, 92.15466, 2.121893, 200, 100.145
2017-08-11 18:08:09.0, 92.62976, 2.119339, 200, 100.1423
2017-08-11 18:08:24.1, 93.7597, 2.113291, 200, 100.1431
2017-08-11 18:08:39.1, 94.81653, 2.107664, 200, 100.1458
2017-08-11 18:08:54.2, 95.54926, 2.103781, 200, 100.1458
2017-08-11 18:09:09.3, 96.20102, 2.100339, 200, 100.145
2017-08-11 18:09:24.4, 96.55374, 2.098481, 200, 100.1455
2017-08-11 18:09:39.4, 97.04819, 2.095882, 200, 100.1431
2017-08-11 18:09:54.5, 97.23602, 2.094896, 200, 100.1401
2017-08-11 18:10:09.6, 97.49429, 2.093542, 200, 100.144
2017-08-11 18:10:24.7, 97.61649, 2.092902, 200, 100.1455
2017-08-11 18:10:39.7, 97.73401, 2.092287, 200, 100.1379
2017-08-11 18:10:54.8, 97.88428, 2.091501, 200, 100.1416
2017-08-11 18:11:09.9, 98.02286, 2.090777, 200, 100.145
2017-08-11 18:11:24.9, 98.09277, 2.090412, 200, 100.1445
2017-08-11 18:11:40.0, 98.17789, 2.089967, 200, 100.145
2017-08-11 18:11:55.0, 98.15112, 2.090107, 200, 100.1399
2017-08-11 18:12:10.1, 98.14856, 2.09012, 200, 100.1404
2017-08-11 18:12:25.2, 98.19781, 2.089863, 200, 100.1389
2017-08-11 18:12:40.2, 98.26108, 2.089533, 200, 100.1399
2017-08-11 18:12:55.3, 98.24396, 2.089622, 200, 100.1423
2017-08-11 18:13:10.4, 98.18723, 2.089918, 200, 100.1382
2017-08-11 18:13:25.5, 98.08368, 2.090459, 200, 100.1433
2017-08-11 18:13:40.6, 97.95297, 2.091142, 200, 100.1421
2017-08-11 18:13:55.6, 97.72668, 2.092325, 200, 100.1406
2017-08-11 18:14:10.7, 97.68436, 2.092547, 200, 100.1357
2017-08-11 18:14:25.8, 97.42654, 2.093897, 200, 100.1375
2017-08-11 18:14:40.9, 97.35486, 2.094273, 200, 100.1367
2017-08-11 18:14:55.9, 97.32474, 2.094431, 200, 100.1365
2017-08-11 18:15:11.0, 97.1123, 2.095545, 200, 100.1343
2017-08-11 18:15:26.1, 96.8551, 2.096896, 200, 100.1348
2017-08-11 18:15:41.2, 96.6145, 2.098161, 200, 100.1365
2017-08-11 18:15:56.2, 96.49329, 2.098799, 200, 100.1353
2017-08-11 18:16:11.3, 96.43301, 2.099117, 200, 100.1348
2017-08-11 18:16:26.4, 96.34561, 2.099577, 200, 100.1379
2017-08-11 18:16:41.5, 96.25681, 2.100045, 200, 100.1382
2017-08-11 18:16:56.5, 96.00314, 2.101383, 200, 100.1375
2017-08-11 18:17:11.5, 95.85608, 2.102159, 200, 100.1353
2017-08-11 18:17:26.6, 95.74982, 2.102721, 200, 100.1318
2017-08-11 18:17:41.7, 95.60938, 2.103463, 200, 100.1384
2017-08-11 18:17:56.7, 95.38281, 2.104662, 200, 100.1372
2017-08-11 18:18:11.8, 95.11041, 2.106105, 200, 100.136
2017-08-11 18:18:26.9, 95.04263, 2.106465, 200, 100.1367
2017-08-11 18:18:42.0, 95.05621, 2.106393, 200, 100.1382
2017-08-11 18:18:57.1, 94.85593, 2.107455, 200, 100.1372
2017-08-11 18:19:12.1, 94.77167, 2.107903, 200, 100.1399
2017-08-11 18:19:27.2, 94.67819, 2.108399, 200, 100.1384
2017-08-11 18:19:42.3, 94.43307, 2.109702, 200, 100.135
2017-08-11 18:19:57.3, 94.14682, 2.111226, 200, 100.1399
2017-08-11 18:20:12.4, 93.86938, 2.112705, 200, 100.1345
2017-08-11 18:20:27.5, 93.9165, 2.112454, 200, 100.137
2017-08-11 18:20:42.6, 94.01169, 2.111946, 200, 100.134
2017-08-11 18:20:57.7, 93.90872, 2.112495, 200, 100.1387
2017-08-11 18:21:12.7, 93.86169, 2.112746, 200, 100.1355
2017-08-11 18:21:27.8, 93.59418, 2.114175, 200, 100.1384
2017-08-11 18:21:42.9, 93.3844, 2.115296, 200, 100.1357
2017-08-11 18:21:58.0, 93.20551, 2.116253, 200, 100.1335
2017-08-11 18:22:13.0, 93.14005, 2.116603, 200, 100.1365
2017-08-11 18:22:28.0, 93.02438, 2.117223, 200, 100.1345
2017-08-11 18:22:43.1, 92.90491, 2.117863, 200, 100.1357
2017-08-11 18:22:58.2, 92.75406, 2.118672, 200, 100.1375
2017-08-11 18:23:13.2, 92.5853, 2.119578, 200, 100.1348
2017-08-11 18:23:28.3, 92.39038, 2.120625, 200, 100.1379
2017-08-11 18:23:43.4, 92.15762, 2.121877, 200, 100.1326
2017-08-11 18:23:58.5, 91.84564, 2.123557, 200, 100.1362
2017-08-11 18:24:13.8, 91.76797, 2.123976, 200, 100.1326
2017-08-11 18:24:28.8, 91.67383, 2.124484, 200, 100.1338
2017-08-11 18:24:43.9, 91.54202, 2.125195, 200, 100.1357
2017-08-11 18:24:59.0, 91.41431, 2.125885, 200, 100.1335
2017-08-11 18:25:14.1, 91.34439, 2.126262, 200, 100.1343
2017-08-11 18:25:29.1, 91.14133, 2.12736, 200, 100.1348
2017-08-11 18:25:44.2, 90.86108, 2.128877, 200, 100.1345
2017-08-11 18:25:59.3, 90.69928, 2.129754, 200, 100.1313
2017-08-11 18:26:14.4, 91.3118, 2.126439, 200, 100.1313
2017-08-11 18:26:29.4, 92.50397, 2.120015, 200, 100.1318
2017-08-11 18:26:44.5, 93.57578, 2.114273, 200, 100.1357
2017-08-11 18:26:59.6, 94.34885, 2.110151, 200, 100.1379
2017-08-11 18:27:14.7, 95.06155, 2.106364, 200, 100.1353
2017-08-11 18:27:29.7, 95.51337, 2.103971, 200, 100.1316
2017-08-11 18:27:44.8, 96.04758, 2.101148, 200, 100.1296
2017-08-11 18:27:59.9, 96.36874, 2.099455, 200, 100.1345
2017-08-11 18:28:15.0, 96.63327, 2.098063, 200, 100.1338
2017-08-11 18:28:30.1, 96.81418, 2.097111, 200, 100.137
2017-08-11 18:28:45.1, 96.89017, 2.096712, 200, 100.1367
2017-08-11 18:29:00.2, 97.10965, 2.095559, 200, 100.1357
2017-08-11 18:29:15.3, 97.23892, 2.094881, 200, 100.1323
2017-08-11 18:29:30.3, 97.22974, 2.094929, 200, 100.1343
2017-08-11 18:29:45.4, 97.19595, 2.095106, 200, 100.1328
2017-08-11 18:30:00.5, 97.21216, 2.095021, 200, 100.1345
2017-08-11 18:30:15.5, 97.36813, 2.094203, 200, 100.1318
2017-08-11 18:30:30.5, 97.35544, 2.09427, 200, 100.1292
2017-08-11 18:30:45.6, 97.3916, 2.09408, 200, 100.1321
2017-08-11 18:31:00.7, 97.3959, 2.094058, 200, 100.127
2017-08-11 18:31:15.8, 97.44757, 2.093787, 200, 100.1274
2017-08-11 18:31:30.8, 97.46506, 2.093695, 200, 100.1289
2017-08-11 18:31:45.9, 97.39224, 2.094077, 200, 100.1284
2017-08-11 18:32:01.0, 97.24356, 2.094857, 200, 100.1301
2017-08-11 18:32:16.1, 97.20746, 2.095046, 200, 100.1306
2017-08-11 18:32:31.1, 97.04617, 2.095892, 200, 100.1287
2017-08-11 18:32:46.2, 96.96088, 2.09634, 200, 100.1265
2017-08-11 18:33:01.3, 96.85577, 2.096892, 200, 100.1296
2017-08-11 18:33:16.4, 96.67987, 2.097817, 200, 100.1262
2017-08-11 18:33:31.4, 96.59122, 2.098284, 200, 100.1284
2017-08-11 18:33:46.5, 96.45901, 2.09898, 200, 100.1262
2017-08-11 18:34:01.6, 96.17191, 2.100492, 200, 100.1299
2017-08-11 18:34:16.7, 96.05988, 2.101084, 200, 100.1301
2017-08-11 18:34:31.8, 95.97995, 2.101505, 200, 100.1326
2017-08-11 18:34:46.8, 95.77121, 2.102608, 200, 100.1311
2017-08-11 18:35:01.9, 95.60275, 2.103498, 200, 100.1265
2017-08-11 18:35:17.0, 95.40277, 2.104556, 200, 100.1211
2017-08-11 18:35:32.1, 95.07227, 2.106308, 200, 100.127
2017-08-11 18:35:47.1, 95.09082, 2.106209, 200, 100.1252
2017-08-11 18:36:02.2, 95.13297, 2.105986, 200, 100.125
2017-08-11 18:36:17.3, 94.94498, 2.106983, 200, 100.1221
2017-08-11 18:36:32.4, 94.76218, 2.107953, 200, 100.1221
2017-08-11 18:36:47.4, 94.59055, 2.108865, 200, 100.1221
2017-08-11 18:37:02.5, 94.43579, 2.109688, 200, 100.1211
2017-08-11 18:37:17.6, 94.34897, 2.11015, 200, 100.1228
2017-08-11 18:37:32.7, 94.14941, 2.111212, 200, 100.1221
2017-08-11 18:37:47.7, 93.99408, 2.11204, 200, 100.1223
2017-08-11 18:38:02.8, 93.86465, 2.112731, 200, 100.1252
2017-08-11 18:38:17.9, 93.51062, 2.114621, 200, 100.1206
2017-08-11 18:38:33.0, 93.33096, 2.115582, 200, 100.1216
2017-08-11 18:38:48.1, 93.23911, 2.116073, 200, 100.123
2017-08-11 18:39:03.1, 93.02869, 2.1172, 200, 100.1252
2017-08-11 18:39:18.2, 93.0419, 2.117129, 200, 100.1248
2017-08-11 18:39:33.2, 92.74887, 2.1187, 200, 100.1226
2017-08-11 18:39:48.3, 92.55588, 2.119736, 200, 100.1272
2017-08-11 18:40:03.3, 92.36383, 2.120768, 200, 100.1267
2017-08-11 18:40:18.4, 92.29614, 2.121132, 200, 100.1243
2017-08-11 18:40:33.5, 92.07043, 2.122346, 200, 100.1208
2017-08-11 18:40:48.6, 91.83768, 2.1236, 200, 100.1252
2017-08-11 18:41:03.6, 91.72812, 2.124191, 200, 100.1199
2017-08-11 18:41:18.7, 91.5506, 2.125149, 200, 100.124
2017-08-11 18:41:33.8, 91.50146, 2.125414, 200, 100.1216
2017-08-11 18:41:48.9, 91.32162, 2.126385, 200, 100.124
2017-08-11 18:42:03.9, 91.07239, 2.127733, 200, 100.1257
2017-08-11 18:42:19.0, 90.83017, 2.129045, 200, 100.1218
2017-08-11 18:42:34.1, 90.76505, 2.129398, 200, 100.1208
2017-08-11 18:42:49.2, 90.5433, 2.1306, 200, 100.1228
2017-08-11 18:43:04.2, 90.50668, 2.130799, 200, 100.115
2017-08-11 18:43:19.3, 90.20993, 2.13241, 200, 100.1182
2017-08-11 18:43:34.4, 90.15976, 2.132683, 200, 100.1167
2017-08-11 18:43:49.5, 90.05112, 2.133274, 200, 100.1221
2017-08-11 18:44:04.5, 89.97839, 2.133669, 200, 100.1216
2017-08-11 18:44:19.6, 90.07864, 2.133124, 200, 100.1216
2017-08-11 18:44:34.7, 90.95462, 2.128371, 200, 100.1191
2017-08-11 18:44:49.8, 91.94858, 2.123003, 200, 100.1184
2017-08-11 18:45:04.8, 93.0629, 2.117017, 200, 100.1252
2017-08-11 18:45:19.9, 93.95871, 2.112229, 200, 100.1196
2017-08-11 18:45:35.0, 94.51202, 2.109282, 200, 100.1226
2017-08-11 18:45:50.1, 94.90802, 2.107179, 200, 100.1201
2017-08-11 18:46:05.1, 95.32175, 2.104985, 200, 100.1189
2017-08-11 18:46:20.2, 95.69122, 2.10303, 200, 100.1189
2017-08-11 18:46:35.3, 95.88495, 2.102007, 200, 100.1228
2017-08-11 18:46:50.4, 96.11993, 2.100767, 200, 100.1216
2017-08-11 18:47:05.5, 96.27408, 2.099954, 200, 100.1191
2017-08-11 18:47:20.5, 96.34421, 2.099584, 200, 100.1191
2017-08-11 18:47:35.6, 96.56958, 2.098397, 200, 100.1245
2017-08-11 18:47:50.7, 96.5228, 2.098644, 200, 100.1228
2017-08-11 18:48:05.8, 96.59756, 2.09825, 200, 100.1238
2017-08-11 18:48:20.8, 96.66809, 2.097879, 200, 100.1182
2017-08-11 18:48:35.9, 96.75156, 2.09744, 200, 100.1184
2017-08-11 18:48:51.0, 96.72827, 2.097563, 200, 100.124
2017-08-11 18:49:06.0, 96.74399, 2.09748, 200, 100.1233
2017-08-11 18:49:21.1, 96.84094, 2.09697, 200, 100.1196
2017-08-11 18:49:36.2, 96.93951, 2.096452, 200, 100.1265
2017-08-11 18:49:51.3, 96.83636, 2.096994, 200, 100.1189
2017-08-11 18:50:06.4, 96.8262, 2.097048, 200, 100.1204
2017-08-11 18:50:21.4, 96.65768, 2.097934, 200, 100.1257
2017-08-11 18:50:36.5, 96.51016, 2.09871, 200, 100.1201
2017-08-11 18:50:51.6, 96.32645, 2.099678, 200, 100.1248
2017-08-11 18:51:06.7, 96.15219, 2.100596, 200, 100.124
2017-08-11 18:51:21.7, 95.86978, 2.102087, 200, 100.1235
2017-08-11 18:51:36.8, 95.48355, 2.104129, 200, 100.125
