Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-11 18:39:08.2, 97.58688, 1.58433, 200, 99.74707
2017-09-11 18:39:23.3, 97.64343, 1.584125, 200, 99.74902
2017-09-11 18:39:38.4, 97.513, 1.584597, 200, 99.74658
2017-09-11 18:39:53.5, 97.48718, 1.58469, 200, 99.74854
2017-09-11 18:40:08.5, 97.37494, 1.585096, 200, 99.74463
2017-09-11 18:40:23.6, 97.62698, 1.584185, 200, 99.7478
2017-09-11 18:40:38.6, 97.49442, 1.584664, 200, 99.74585
2017-09-11 18:40:53.7, 97.47156, 1.584746, 200, 99.74976
2017-09-11 18:41:08.7, 97.55209, 1.584455, 200, 99.74878
2017-09-11 18:41:23.8, 97.45352, 1.584812, 200, 99.7478
2017-09-11 18:41:38.9, 97.56967, 1.584392, 200, 99.75195
2017-09-11 18:41:54.0, 97.69427, 1.583942, 200, 99.7439
2017-09-11 18:42:09.0, 97.43665, 1.584872, 200, 99.74927
2017-09-11 18:42:24.1, 97.76727, 1.583678, 200, 99.75342
2017-09-11 18:42:39.2, 97.59766, 1.584291, 200, 99.75098
2017-09-11 18:42:54.3, 97.55444, 1.584447, 200, 99.74976
2017-09-11 18:43:09.3, 97.052, 1.586264, 200, 99.74609
2017-09-11 18:43:24.4, 97.22272, 1.585646, 200, 99.75171
2017-09-11 18:43:39.5, 97.32004, 1.585294, 200, 99.75122
2017-09-11 18:43:54.6, 97.23364, 1.585607, 200, 99.75098
2017-09-11 18:44:09.6, 97.6265, 1.584187, 200, 99.74829
2017-09-11 18:44:24.7, 97.14093, 1.585942, 200, 99.75098
2017-09-11 18:44:39.8, 97.63406, 1.584159, 200, 99.75415
2017-09-11 18:44:54.9, 97.62885, 1.584178, 200, 99.75391
2017-09-11 18:45:09.9, 97.50705, 1.584618, 200, 99.75171
2017-09-11 18:45:25.0, 97.60117, 1.584278, 200, 99.7522
2017-09-11 18:45:40.1, 97.64642, 1.584115, 200, 99.74878
2017-09-11 18:45:55.2, 97.66235, 1.584057, 200, 99.73999
2017-09-11 18:46:10.2, 97.69724, 1.583931, 200, 99.75049
2017-09-11 18:46:25.3, 97.81323, 1.583513, 200, 99.73975
2017-09-11 18:46:40.4, 97.79013, 1.583596, 200, 99.74512
2017-09-11 18:46:55.5, 97.71066, 1.583883, 200, 99.75024
2017-09-11 18:47:10.6, 97.61105, 1.584242, 200, 99.74438
2017-09-11 18:47:25.6, 97.67633, 1.584007, 200, 99.74731
2017-09-11 18:47:40.7, 97.41479, 1.584952, 200, 99.74341
2017-09-11 18:47:55.8, 97.40985, 1.584969, 200, 99.74756
2017-09-11 18:48:10.9, 97.03632, 1.586321, 200, 99.74829
2017-09-11 18:48:25.9, 96.96277, 1.586587, 200, 99.75269
2017-09-11 18:48:41.0, 97.07791, 1.58617, 200, 99.74878
2017-09-11 18:48:56.1, 96.88345, 1.586875, 200, 99.74487
2017-09-11 18:49:11.2, 96.77216, 1.587278, 200, 99.73535
2017-09-11 18:49:26.2, 96.50879, 1.588233, 200, 99.74683
2017-09-11 18:49:41.3, 96.13412, 1.589595, 200, 99.74292
2017-09-11 18:49:56.3, 95.96768, 1.5902, 200, 99.74707
2017-09-11 18:50:11.4, 95.73251, 1.591056, 200, 99.74829
2017-09-11 18:50:26.4, 95.61957, 1.591468, 200, 99.7478
2017-09-11 18:50:41.5, 95.50961, 1.591869, 200, 99.74854
2017-09-11 18:50:56.6, 95.37677, 1.592353, 200, 99.74536
2017-09-11 18:51:11.7, 95.32608, 1.592538, 200, 99.74268
2017-09-11 18:51:26.7, 95.26184, 1.592773, 200, 99.7373
2017-09-11 18:51:41.8, 95.13177, 1.593248, 200, 99.74438
2017-09-11 18:51:56.9, 95.03857, 1.593588, 200, 99.74463
2017-09-11 18:52:12.0, 94.54111, 1.595408, 200, 99.73779
2017-09-11 18:52:27.0, 94.59808, 1.5952, 200, 99.74194
2017-09-11 18:52:42.1, 94.25806, 1.596446, 200, 99.74414
2017-09-11 18:52:57.2, 93.99402, 1.597415, 200, 99.74219
2017-09-11 18:53:12.3, 93.92487, 1.597669, 200, 99.74072
2017-09-11 18:53:27.4, 93.72263, 1.598412, 200, 99.73901
2017-09-11 18:53:42.4, 93.76462, 1.598257, 200, 99.73096
2017-09-11 18:53:57.5, 93.55856, 1.599015, 200, 99.73608
2017-09-11 18:54:12.6, 93.22546, 1.600242, 200, 99.73413
2017-09-11 18:54:27.7, 93.20688, 1.60031, 200, 99.73315
2017-09-11 18:54:42.7, 92.92389, 1.601354, 200, 99.73022
2017-09-11 18:54:57.8, 92.84961, 1.601628, 200, 99.73462
2017-09-11 18:55:12.9, 92.36893, 1.603404, 200, 99.73047
2017-09-11 18:55:28.0, 92.30026, 1.603658, 200, 99.73291
2017-09-11 18:55:43.0, 92.37308, 1.603389, 200, 99.73047
2017-09-11 18:55:58.1, 92.40082, 1.603286, 200, 99.73022
2017-09-11 18:56:13.2, 91.76239, 1.605651, 200, 99.72876
2017-09-11 18:56:28.3, 91.61096, 1.606213, 200, 99.73071
2017-09-11 18:56:43.3, 92.14536, 1.604232, 200, 99.72583
2017-09-11 18:56:58.4, 93.47186, 1.599334, 200, 99.72607
2017-09-11 18:57:13.5, 94.67181, 1.59493, 200, 99.72266
2017-09-11 18:57:28.6, 95.3317, 1.592518, 200, 99.72192
2017-09-11 18:57:43.9, 95.86865, 1.59056, 200, 99.72607
2017-09-11 18:57:58.9, 96.55545, 1.588064, 200, 99.72241
2017-09-11 18:58:14.0, 96.67752, 1.587621, 200, 99.72095
2017-09-11 18:58:29.1, 96.72787, 1.587439, 200, 99.71899
2017-09-11 18:58:44.1, 96.98932, 1.586491, 200, 99.71826
2017-09-11 18:58:59.2, 96.80853, 1.587146, 200, 99.71948
2017-09-11 18:59:14.3, 97.06424, 1.58622, 200, 99.7146
2017-09-11 18:59:29.4, 97.28186, 1.585432, 200, 99.71045
2017-09-11 18:59:44.5, 97.30255, 1.585357, 200, 99.71289
2017-09-11 18:59:59.5, 97.37488, 1.585096, 200, 99.70313
2017-09-11 19:00:14.6, 97.13321, 1.58597, 200, 99.70703
2017-09-11 19:00:29.7, 97.43521, 1.584878, 200, 99.70947
2017-09-11 19:00:44.7, 97.73135, 1.583808, 200, 99.71533
2017-09-11 19:00:59.8, 97.45959, 1.58479, 200, 99.70972
2017-09-11 19:01:14.9, 97.47327, 1.58474, 200, 99.71289
2017-09-11 19:01:30.0, 97.70901, 1.583889, 200, 99.71533
2017-09-11 19:01:45.1, 97.61807, 1.584217, 200, 99.71118
2017-09-11 19:02:00.1, 97.86469, 1.583327, 200, 99.71045
2017-09-11 19:02:15.2, 97.86081, 1.583341, 200, 99.70996
2017-09-11 19:02:30.3, 97.67722, 1.584003, 200, 99.70264
2017-09-11 19:02:45.4, 97.71234, 1.583877, 200, 99.71606
2017-09-11 19:03:00.4, 97.63824, 1.584144, 200, 99.71387
2017-09-11 19:03:15.5, 97.76843, 1.583674, 200, 99.71021
2017-09-11 19:03:30.6, 97.71399, 1.583871, 200, 99.71509
2017-09-11 19:03:45.7, 97.70499, 1.583903, 200, 99.71191
2017-09-11 19:04:00.7, 97.79434, 1.583581, 200, 99.7124
2017-09-11 19:04:15.8, 97.8176, 1.583497, 200, 99.71484
2017-09-11 19:04:30.9, 97.7316, 1.583807, 200, 99.70142
2017-09-11 19:04:46.0, 97.6008, 1.584279, 200, 99.65649
2017-09-11 19:05:01.0, 97.59244, 1.58431, 200, 99.63989
2017-09-11 19:05:16.0, 97.78546, 1.583613, 200, 99.62598
2017-09-11 19:05:31.1, 98.06577, 1.582602, 200, 99.62842
2017-09-11 19:05:46.2, 97.90677, 1.583175, 200, 99.62988
2017-09-11 19:06:01.2, 98.056, 1.582637, 200, 99.62744
2017-09-11 19:06:16.3, 97.80872, 1.583529, 200, 99.62866
2017-09-11 19:06:31.4, 97.92908, 1.583095, 200, 99.62402
2017-09-11 19:06:46.5, 97.68378, 1.58398, 200, 99.62842
2017-09-11 19:07:01.6, 97.89581, 1.583215, 200, 99.62793
2017-09-11 19:07:16.6, 98.05771, 1.582631, 200, 99.6272
2017-09-11 19:07:31.7, 97.91071, 1.583161, 200, 99.6189
2017-09-11 19:07:46.8, 97.91833, 1.583133, 200, 99.6228
2017-09-11 19:08:01.9, 97.95639, 1.582996, 200, 99.62061
2017-09-11 19:08:16.9, 97.68195, 1.583986, 200, 99.62109
2017-09-11 19:08:32.0, 98.0141, 1.582788, 200, 99.61963
2017-09-11 19:08:47.1, 98.02136, 1.582762, 200, 99.61963
2017-09-11 19:09:02.2, 97.84048, 1.583414, 200, 99.62207
2017-09-11 19:09:17.2, 97.88718, 1.583246, 200, 99.61938
2017-09-11 19:09:32.3, 97.96387, 1.582969, 200, 99.62354
2017-09-11 19:09:47.4, 97.70239, 1.583912, 200, 99.62207
2017-09-11 19:10:02.5, 97.62122, 1.584206, 200, 99.62769
2017-09-11 19:10:17.5, 97.64532, 1.584119, 200, 99.61523
2017-09-11 19:10:32.6, 97.33902, 1.585225, 200, 99.61987
2017-09-11 19:10:47.6, 96.77094, 1.587282, 200, 99.61646
2017-09-11 19:11:02.7, 96.63388, 1.587779, 200, 99.61938
2017-09-11 19:11:17.7, 96.79163, 1.587207, 200, 99.62329
2017-09-11 19:11:32.8, 96.44009, 1.588483, 200, 99.6145
2017-09-11 19:11:47.9, 96.38, 1.588701, 200, 99.62061
2017-09-11 19:12:03.0, 96.36728, 1.588747, 200, 99.61914
2017-09-11 19:12:18.0, 96.11331, 1.58967, 200, 99.6189
2017-09-11 19:12:33.1, 95.40601, 1.592247, 200, 99.62109
2017-09-11 19:12:48.2, 95.30832, 1.592603, 200, 99.61572
2017-09-11 19:13:03.3, 95.17737, 1.593081, 200, 99.62354
2017-09-11 19:13:18.3, 95.01355, 1.59368, 200, 99.61597
2017-09-11 19:13:33.5, 95.07199, 1.593466, 200, 99.61865
2017-09-11 19:13:48.5, 95.38934, 1.592307, 200, 99.61426
2017-09-11 19:14:03.6, 95.23965, 1.592854, 200, 99.61548
2017-09-11 19:14:18.7, 94.76361, 1.594594, 200, 99.62012
2017-09-11 19:14:33.8, 94.59091, 1.595226, 200, 99.61353
2017-09-11 19:14:48.8, 94.21286, 1.596611, 200, 99.61816
2017-09-11 19:15:03.9, 94.4585, 1.595711, 200, 99.61206
2017-09-11 19:15:18.9, 94.70499, 1.594808, 200, 99.61816
2017-09-11 19:15:34.0, 94.49878, 1.595563, 200, 99.61426
2017-09-11 19:15:49.1, 94.457, 1.595716, 200, 99.61768
2017-09-11 19:16:04.2, 94.00137, 1.597388, 200, 99.61304
2017-09-11 19:16:19.3, 93.57443, 1.598957, 200, 99.61475
2017-09-11 19:16:34.3, 93.33609, 1.599834, 200, 99.6145
2017-09-11 19:16:49.4, 93.24667, 1.600164, 200, 99.61353
2017-09-11 19:17:04.5, 93.22745, 1.600234, 200, 99.61792
2017-09-11 19:17:19.6, 92.89673, 1.601454, 200, 99.61304
2017-09-11 19:17:34.6, 93.01984, 1.601, 200, 99.6167
2017-09-11 19:17:49.7, 92.83893, 1.601668, 200, 99.61304
2017-09-11 19:18:04.8, 92.43289, 1.603168, 200, 99.61646
2017-09-11 19:18:19.9, 92.64938, 1.602367, 200, 99.61523
2017-09-11 19:18:34.9, 92.2359, 1.603897, 200, 99.61743
2017-09-11 19:18:50.0, 92.29175, 1.60369, 200, 99.62207
2017-09-11 19:19:05.1, 92.15768, 1.604186, 200, 99.61597
2017-09-11 19:19:20.2, 91.85699, 1.605301, 200, 99.62012
2017-09-11 19:19:35.2, 91.53152, 1.606508, 200, 99.61377
2017-09-11 19:19:50.3, 91.59897, 1.606258, 200, 99.62134
2017-09-11 19:20:05.3, 91.11841, 1.608044, 200, 99.61621
2017-09-11 19:20:20.4, 91.0416, 1.60833, 200, 99.62012
2017-09-11 19:20:35.5, 91.07852, 1.608193, 200, 99.62158
2017-09-11 19:20:50.5, 90.55435, 1.610146, 200, 99.62012
2017-09-11 19:21:05.6, 90.45282, 1.610525, 200, 99.62085
2017-09-11 19:21:20.7, 91.17767, 1.607824, 200, 99.61377
2017-09-11 19:21:35.7, 92.24335, 1.603869, 200, 99.62207
2017-09-11 19:21:50.8, 93.90927, 1.597726, 200, 99.61353
2017-09-11 19:22:05.9, 95.09525, 1.593381, 200, 99.62305
2017-09-11 19:22:21.0, 95.93274, 1.590327, 200, 99.61353
2017-09-11 19:22:36.0, 96.11517, 1.589664, 200, 99.62109
2017-09-11 19:22:51.0, 96.36786, 1.588745, 200, 99.62012
2017-09-11 19:23:06.1, 96.6008, 1.5879, 200, 99.61987
2017-09-11 19:23:21.2, 97.2662, 1.585489, 200, 99.62817
2017-09-11 19:23:36.2, 97.32385, 1.58528, 200, 99.61499
2017-09-11 19:23:51.3, 97.37744, 1.585087, 200, 99.62207
2017-09-11 19:24:06.4, 97.46423, 1.584773, 200, 99.61572
2017-09-11 19:24:21.5, 97.36066, 1.585147, 200, 99.62402
2017-09-11 19:24:36.6, 97.65671, 1.584077, 200, 99.61426
2017-09-11 19:24:51.6, 97.69183, 1.583951, 200, 99.62451
2017-09-11 19:25:06.7, 97.41772, 1.584941, 200, 99.61401
2017-09-11 19:25:21.8, 97.64899, 1.584105, 200, 99.62329
2017-09-11 19:25:36.9, 97.66064, 1.584063, 200, 99.61621
2017-09-11 19:25:51.9, 97.59946, 1.584284, 200, 99.62231
2017-09-11 19:26:07.0, 97.77533, 1.583649, 200, 99.61865
2017-09-11 19:26:22.1, 97.77582, 1.583647, 200, 99.61768
