Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-13 17:59:32.9, 83.43253, 2.207531, 200, 100.9229
2017-06-13 17:59:47.9, 83.54535, 2.206894, 200, 100.9231
2017-06-13 18:00:03.0, 83.5787, 2.206706, 200, 100.9211
2017-06-13 18:00:18.1, 83.65732, 2.206263, 200, 100.9185
2017-06-13 18:00:33.1, 83.7128, 2.20595, 200, 100.9231
2017-06-13 18:00:48.2, 83.73941, 2.2058, 200, 100.9189
2017-06-13 18:01:03.3, 83.81613, 2.205368, 200, 100.9224
2017-06-13 18:01:18.4, 83.88406, 2.204985, 200, 100.9214
2017-06-13 18:01:33.4, 84.00418, 2.204309, 200, 100.9153
2017-06-13 18:01:48.5, 84.15021, 2.203487, 200, 100.9165
2017-06-13 18:02:03.6, 84.29059, 2.202698, 200, 100.9207
2017-06-13 18:02:18.7, 84.4465, 2.201822, 200, 100.9204
2017-06-13 18:02:33.7, 84.56625, 2.20115, 200, 100.9197
2017-06-13 18:02:48.8, 84.71631, 2.200308, 200, 100.9202
2017-06-13 18:03:03.9, 84.92542, 2.199136, 200, 100.9163
2017-06-13 18:03:19.0, 85.14157, 2.197926, 200, 100.915
2017-06-13 18:03:34.0, 85.29498, 2.197068, 200, 100.918
2017-06-13 18:03:49.1, 85.48761, 2.195991, 200, 100.9177
2017-06-13 18:04:04.2, 85.75989, 2.194471, 200, 100.9146
2017-06-13 18:04:19.3, 86.11746, 2.192479, 200, 100.9148
2017-06-13 18:04:34.4, 86.3399, 2.191241, 200, 100.9165
2017-06-13 18:04:49.4, 86.54459, 2.190103, 200, 100.9167
2017-06-13 18:05:04.5, 86.78369, 2.188775, 200, 100.9209
2017-06-13 18:05:19.6, 87.00269, 2.187561, 200, 100.917
2017-06-13 18:05:34.7, 87.27859, 2.186033, 200, 100.9148
2017-06-13 18:05:49.7, 87.50153, 2.184799, 200, 100.9136
2017-06-13 18:06:04.8, 87.64331, 2.184016, 200, 100.9153
2017-06-13 18:06:19.9, 87.63461, 2.184064, 200, 100.9177
2017-06-13 18:06:35.0, 87.6647, 2.183897, 200, 100.9172
2017-06-13 18:06:50.0, 87.55319, 2.184514, 200, 100.917
2017-06-13 18:07:05.1, 87.49512, 2.184835, 200, 100.9172
2017-06-13 18:07:20.1, 87.49042, 2.184861, 200, 100.9165
2017-06-13 18:07:35.2, 87.46851, 2.184982, 200, 100.9177
2017-06-13 18:07:50.2, 87.3049, 2.185887, 200, 100.9146
2017-06-13 18:08:05.3, 87.22342, 2.186338, 200, 100.9126
2017-06-13 18:08:20.4, 87.31769, 2.185816, 200, 100.9136
2017-06-13 18:08:35.5, 87.45969, 2.185031, 200, 100.9182
2017-06-13 18:08:50.6, 87.52594, 2.184664, 200, 100.9172
2017-06-13 18:09:05.6, 87.55066, 2.184528, 200, 100.9172
2017-06-13 18:09:20.7, 87.67328, 2.18385, 200, 100.9172
2017-06-13 18:09:35.8, 87.79489, 2.183178, 200, 100.9177
2017-06-13 18:09:50.8, 88.10013, 2.181494, 200, 100.916
2017-06-13 18:10:05.9, 88.38983, 2.179899, 200, 100.9185
2017-06-13 18:10:21.0, 88.53629, 2.179093, 200, 100.9146
2017-06-13 18:10:36.1, 88.54037, 2.17907, 200, 100.9141
2017-06-13 18:10:51.1, 88.49362, 2.179328, 200, 100.9146
2017-06-13 18:11:06.1, 88.49368, 2.179327, 200, 100.9138
2017-06-13 18:11:21.2, 88.50626, 2.179258, 200, 100.917
2017-06-13 18:11:36.3, 88.41605, 2.179754, 200, 100.9185
2017-06-13 18:11:51.4, 88.29602, 2.180415, 200, 100.9189
2017-06-13 18:12:06.4, 88.09756, 2.181509, 200, 100.9204
2017-06-13 18:12:21.5, 87.96689, 2.182229, 200, 100.9189
2017-06-13 18:12:36.6, 87.76328, 2.183353, 200, 100.9224
2017-06-13 18:12:51.7, 87.4895, 2.184866, 200, 100.9143
2017-06-13 18:13:06.7, 87.26328, 2.186117, 200, 100.9165
2017-06-13 18:13:21.8, 86.74478, 2.188991, 200, 100.9216
2017-06-13 18:13:36.9, 86.27963, 2.191576, 200, 100.9146
2017-06-13 18:13:52.0, 85.75507, 2.194499, 200, 100.9165
2017-06-13 18:14:07.0, 85.26852, 2.197216, 200, 100.9182
2017-06-13 18:14:22.1, 84.97586, 2.198853, 200, 100.9172
2017-06-13 18:14:37.2, 84.52026, 2.201408, 200, 100.9194
2017-06-13 18:14:52.2, 83.99915, 2.204337, 200, 100.918
2017-06-13 18:15:07.2, 83.53177, 2.206971, 200, 100.917
2017-06-13 18:15:22.3, 83.07343, 2.20956, 200, 100.9187
