Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-13 18:32:09.3, 95.64276, 1.591167, 200, 99.26563
2017-09-13 18:32:24.3, 95.61444, 1.59127, 200, 99.26465
2017-09-13 18:32:39.4, 95.82114, 1.590519, 200, 99.25854
2017-09-13 18:32:54.4, 95.79193, 1.590625, 200, 99.25977
2017-09-13 18:33:09.5, 95.92291, 1.59015, 200, 99.26147
2017-09-13 18:33:24.6, 95.75244, 1.590769, 200, 99.25781
2017-09-13 18:33:39.6, 95.87082, 1.590339, 200, 99.26514
2017-09-13 18:33:54.7, 95.81937, 1.590526, 200, 99.2583
2017-09-13 18:34:09.7, 95.85934, 1.590381, 200, 99.26025
2017-09-13 18:34:24.8, 96.026, 1.589777, 200, 99.26001
2017-09-13 18:34:39.8, 96.30865, 1.588753, 200, 99.25684
2017-09-13 18:34:54.9, 95.78445, 1.590652, 200, 99.25244
2017-09-13 18:35:10.0, 95.94434, 1.590073, 200, 99.25146
2017-09-13 18:35:25.1, 96.06433, 1.589638, 200, 99.25854
2017-09-13 18:35:40.2, 95.9668, 1.589991, 200, 99.29199
2017-09-13 18:35:55.2, 96.25409, 1.58895, 200, 99.32275
2017-09-13 18:36:10.3, 96.2681, 1.5889, 200, 99.34082
2017-09-13 18:36:25.4, 96.20529, 1.589127, 200, 99.34985
2017-09-13 18:36:40.5, 95.89709, 1.590244, 200, 99.35059
2017-09-13 18:36:55.5, 95.30923, 1.592379, 200, 99.34912
2017-09-13 18:37:10.6, 95.02823, 1.593401, 200, 99.35254
2017-09-13 18:37:25.7, 95.11206, 1.593096, 200, 99.35059
2017-09-13 18:37:40.8, 95.16699, 1.592896, 200, 99.35181
2017-09-13 18:37:55.8, 94.79858, 1.594238, 200, 99.34888
2017-09-13 18:38:10.9, 94.54819, 1.595151, 200, 99.35181
2017-09-13 18:38:26.0, 93.95657, 1.597313, 200, 99.34961
2017-09-13 18:38:41.1, 93.71112, 1.598211, 200, 99.34937
2017-09-13 18:38:56.2, 93.66708, 1.598373, 200, 99.34912
2017-09-13 18:39:11.2, 93.68628, 1.598302, 200, 99.34912
2017-09-13 18:39:26.3, 93.17087, 1.600193, 200, 99.35156
2017-09-13 18:39:41.4, 92.59354, 1.602315, 200, 99.34863
2017-09-13 18:39:56.4, 92.42789, 1.602926, 200, 99.34619
2017-09-13 18:40:11.5, 92.20639, 1.603742, 200, 99.34497
2017-09-13 18:40:26.6, 91.80298, 1.605232, 200, 99.34619
2017-09-13 18:40:41.7, 91.47845, 1.606431, 200, 99.3501
2017-09-13 18:40:56.8, 91.14087, 1.607682, 200, 99.34595
2017-09-13 18:41:11.8, 91.35776, 1.606878, 200, 99.35059
2017-09-13 18:41:26.9, 91.02914, 1.608096, 200, 99.3501
2017-09-13 18:41:42.0, 90.83948, 1.6088, 200, 99.34937
2017-09-13 18:41:57.0, 90.3779, 1.610515, 200, 99.34888
2017-09-13 18:42:12.0, 89.89716, 1.612305, 200, 99.34863
2017-09-13 18:42:27.1, 89.74417, 1.612876, 200, 99.3479
2017-09-13 18:42:42.2, 89.39371, 1.614184, 200, 99.34814
2017-09-13 18:42:57.3, 89.21796, 1.614841, 200, 99.34985
2017-09-13 18:43:12.4, 89.00842, 1.615625, 200, 99.34473
2017-09-13 18:43:27.4, 88.53903, 1.617384, 200, 99.34692
2017-09-13 18:43:42.5, 88.63489, 1.617025, 200, 99.34619
2017-09-13 18:43:57.6, 88.46603, 1.617658, 200, 99.34839
2017-09-13 18:44:12.6, 87.87405, 1.619882, 200, 99.34546
2017-09-13 18:44:27.7, 87.49796, 1.621299, 200, 99.34863
2017-09-13 18:44:42.8, 87.17282, 1.622526, 200, 99.34497
2017-09-13 18:44:57.9, 86.90298, 1.623545, 200, 99.34839
2017-09-13 18:45:13.0, 86.57663, 1.62478, 200, 99.35132
2017-09-13 18:45:28.0, 86.39774, 1.625457, 200, 99.34497
2017-09-13 18:45:43.1, 86.48273, 1.625135, 200, 99.35059
2017-09-13 18:45:58.2, 85.88635, 1.627397, 200, 99.34644
2017-09-13 18:46:13.3, 85.46912, 1.628983, 200, 99.34717
2017-09-13 18:46:28.3, 85.42465, 1.629152, 200, 99.34644
2017-09-13 18:46:43.4, 84.81653, 1.63147, 200, 99.34668
2017-09-13 18:46:58.5, 84.55188, 1.632481, 200, 99.34863
2017-09-13 18:47:13.6, 84.47449, 1.632777, 200, 99.3479
2017-09-13 18:47:28.6, 84.05206, 1.634394, 200, 99.34741
2017-09-13 18:47:43.7, 84.216, 1.633766, 200, 99.34448
2017-09-13 18:47:58.8, 84.12982, 1.634096, 200, 99.34595
