Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-14 17:56:17.7, 93.50269, 2.082281, 200, 101.0422
2017-07-14 17:56:32.7, 93.44199, 2.082612, 200, 101.0454
2017-07-14 17:56:47.8, 93.52142, 2.082179, 200, 101.0398
2017-07-14 17:57:02.9, 93.52225, 2.082175, 200, 101.0459
2017-07-14 17:57:17.9, 93.51709, 2.082203, 200, 101.0457
2017-07-14 17:57:33.0, 93.53137, 2.082125, 200, 101.0454
2017-07-14 17:57:48.1, 93.48038, 2.082403, 200, 101.0415
2017-07-14 17:58:03.2, 93.49707, 2.082312, 200, 101.0471
2017-07-14 17:58:18.2, 93.45956, 2.082516, 200, 101.0417
2017-07-14 17:58:33.3, 93.40204, 2.082829, 200, 101.0452
2017-07-14 17:58:48.4, 93.35791, 2.08307, 200, 101.0457
2017-07-14 17:59:03.5, 93.33948, 2.08317, 200, 101.0464
2017-07-14 17:59:18.5, 93.2916, 2.083431, 200, 101.043
2017-07-14 17:59:33.6, 93.31519, 2.083302, 200, 101.0442
2017-07-14 17:59:48.7, 93.29706, 2.083401, 200, 101.0437
2017-07-14 18:00:03.8, 93.30902, 2.083336, 200, 101.0408
2017-07-14 18:00:18.9, 93.23004, 2.083766, 200, 101.0466
2017-07-14 18:00:33.9, 93.05157, 2.08474, 200, 101.0459
2017-07-14 18:00:49.0, 93.00739, 2.084981, 200, 101.0459
2017-07-14 18:01:04.1, 92.96719, 2.0852, 200, 101.052
2017-07-14 18:01:19.2, 92.89676, 2.085585, 200, 101.0479
2017-07-14 18:01:34.2, 92.88693, 2.085639, 200, 101.0457
2017-07-14 18:01:49.3, 92.89847, 2.085576, 200, 101.0505
2017-07-14 18:02:04.4, 92.92719, 2.085419, 200, 101.0469
2017-07-14 18:02:19.5, 92.84286, 2.085879, 200, 101.0442
2017-07-14 18:02:34.5, 92.7644, 2.086308, 200, 101.0459
2017-07-14 18:02:49.6, 92.65924, 2.086883, 200, 101.0483
2017-07-14 18:03:04.7, 92.60068, 2.087203, 200, 101.0454
2017-07-14 18:03:19.8, 92.61816, 2.087107, 200, 101.042
2017-07-14 18:03:34.9, 92.6821, 2.086758, 200, 101.0466
2017-07-14 18:03:49.9, 92.64664, 2.086952, 200, 101.043
2017-07-14 18:04:05.0, 92.53232, 2.087577, 200, 101.041
2017-07-14 18:04:20.1, 92.54205, 2.087524, 200, 101.0444
2017-07-14 18:04:35.1, 92.4483, 2.088037, 200, 101.043
2017-07-14 18:04:50.2, 92.36301, 2.088504, 200, 101.0432
2017-07-14 18:05:05.2, 92.311, 2.088789, 200, 101.0447
2017-07-14 18:05:20.2, 92.30573, 2.088818, 200, 101.0435
2017-07-14 18:05:35.3, 92.18466, 2.089481, 200, 101.041
2017-07-14 18:05:50.3, 92.15823, 2.089626, 200, 101.04
2017-07-14 18:06:05.4, 92.15958, 2.089618, 200, 101.042
2017-07-14 18:06:20.5, 91.9343, 2.090854, 200, 101.0444
2017-07-14 18:06:35.6, 92.02237, 2.090371, 200, 101.0425
2017-07-14 18:06:50.6, 91.91589, 2.090955, 200, 101.0381
2017-07-14 18:07:05.7, 91.94977, 2.090769, 200, 101.0427
2017-07-14 18:07:20.8, 91.89923, 2.091047, 200, 101.0337
2017-07-14 18:07:35.8, 91.85898, 2.091268, 200, 101.0354
2017-07-14 18:07:50.8, 91.99438, 2.090524, 200, 101.0378
2017-07-14 18:08:05.9, 92.1297, 2.089782, 200, 101.0313
2017-07-14 18:08:21.0, 92.1506, 2.089668, 200, 101.0369
2017-07-14 18:08:36.1, 92.05704, 2.090181, 200, 101.0308
2017-07-14 18:08:51.1, 91.86469, 2.091236, 200, 101.0359
2017-07-14 18:09:06.2, 91.66306, 2.092344, 200, 101.0347
2017-07-14 18:09:21.2, 91.55783, 2.092922, 200, 101.0322
2017-07-14 18:09:36.3, 91.39862, 2.093798, 200, 101.0327
2017-07-14 18:09:51.3, 91.2981, 2.094352, 200, 101.0305
2017-07-14 18:10:06.4, 91.1355, 2.095248, 200, 101.0352
2017-07-14 18:10:21.5, 90.91568, 2.09646, 200, 101.0342
2017-07-14 18:10:36.6, 90.62067, 2.098089, 200, 101.0305
2017-07-14 18:10:51.6, 90.39496, 2.099337, 200, 101.0281
2017-07-14 18:11:06.7, 89.92929, 2.101917, 200, 101.0308
2017-07-14 18:11:21.8, 89.50003, 2.104301, 200, 101.0325
2017-07-14 18:11:36.9, 89.07834, 2.106648, 200, 101.0269
2017-07-14 18:11:52.0, 88.51221, 2.109807, 200, 101.0322
2017-07-14 18:12:07.0, 87.91486, 2.113151, 200, 101.032
2017-07-14 18:12:22.0, 87.30005, 2.116603, 200, 101.0293
2017-07-14 18:12:37.1, 86.70547, 2.119953, 200, 101.0291
2017-07-14 18:12:52.2, 86.0972, 2.123391, 200, 101.0359
2017-07-14 18:13:07.2, 85.49353, 2.126813, 200, 101.0291
2017-07-14 18:13:22.3, 84.73407, 2.131135, 200, 101.0251
2017-07-14 18:13:37.3, 84.12387, 2.13462, 200, 101.0266
2017-07-14 18:13:52.4, 83.49591, 2.138219, 200, 101.032
2017-07-14 18:14:07.4, 82.94537, 2.141384, 200, 101.033
2017-07-14 18:14:22.5, 82.42538, 2.144382, 200, 101.033
2017-07-14 18:14:37.6, 81.97629, 2.146978, 200, 101.0261
2017-07-14 18:14:52.7, 81.39923, 2.150322, 200, 101.03
2017-07-14 18:15:07.7, 80.96802, 2.152829, 200, 101.03
2017-07-14 18:15:22.8, 80.59576, 2.154997, 200, 101.0278
2017-07-14 18:15:37.9, 80.28012, 2.156839, 200, 101.0273
2017-07-14 18:15:53.0, 80.0481, 2.158195, 200, 101.0269
2017-07-14 18:16:08.0, 79.7511, 2.159933, 200, 101.0283
2017-07-14 18:16:23.1, 79.55737, 2.161068, 200, 101.0222
2017-07-14 18:16:38.2, 79.36487, 2.162198, 200, 101.0271
2017-07-14 18:16:53.3, 79.20779, 2.16312, 200, 101.0288
2017-07-14 18:17:08.3, 79.01379, 2.16426, 200, 101.0249
2017-07-14 18:17:23.4, 78.64044, 2.166458, 200, 101.0278
2017-07-14 18:17:38.5, 78.302, 2.168454, 200, 101.0271
2017-07-14 18:17:53.6, 78.0943, 2.169681, 200, 101.0271
2017-07-14 18:18:08.6, 78.17172, 2.169224, 200, 101.0266
2017-07-14 18:18:23.6, 78.32468, 2.168321, 200, 101.0264
2017-07-14 18:18:38.7, 78.85248, 2.16521, 200, 101.0225
2017-07-14 18:18:53.8, 79.37479, 2.16214, 200, 101.0159
2017-07-14 18:19:08.8, 80.06012, 2.158124, 200, 101.0208
2017-07-14 18:19:23.9, 80.966, 2.15284, 200, 101.0212
2017-07-14 18:19:39.0, 81.71814, 2.148473, 200, 101.0212
2017-07-14 18:19:54.1, 82.57538, 2.143516, 200, 101.0195
2017-07-14 18:20:09.2, 83.39636, 2.138791, 200, 101.0183
2017-07-14 18:20:24.2, 84.11975, 2.134644, 200, 101.0151
2017-07-14 18:20:39.3, 84.76144, 2.130979, 200, 101.0146
2017-07-14 18:20:54.4, 85.40988, 2.127289, 200, 101.0164
2017-07-14 18:21:09.4, 85.98108, 2.124048, 200, 101.0139
2017-07-14 18:21:24.5, 86.46036, 2.121337, 200, 101.0151
2017-07-14 18:21:39.6, 86.94193, 2.118619, 200, 101.019
2017-07-14 18:21:54.7, 87.45172, 2.115751, 200, 101.0103
2017-07-14 18:22:09.8, 87.89063, 2.113287, 200, 101.0098
2017-07-14 18:22:24.8, 88.34695, 2.110731, 200, 101.0107
2017-07-14 18:22:39.9, 88.68903, 2.108819, 200, 101.0107
2017-07-14 18:22:55.0, 88.90466, 2.107616, 200, 101.0146
2017-07-14 18:23:10.1, 89.0477, 2.106819, 200, 101.0125
