Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-14 17:56:39.1, 94.35931, 1.411124, 200, 100.3042
2017-07-14 17:56:54.2, 94.22247, 1.411747, 200, 100.3018
2017-07-14 17:57:09.2, 94.06683, 1.412455, 200, 100.3044
2017-07-14 17:57:24.3, 94.21637, 1.411774, 200, 100.3032
2017-07-14 17:57:39.4, 93.97095, 1.412891, 200, 100.3005
2017-07-14 17:57:54.4, 93.87677, 1.413321, 200, 100.3013
2017-07-14 17:58:09.5, 93.93509, 1.413055, 200, 100.3018
2017-07-14 17:58:24.6, 93.7345, 1.413969, 200, 100.3035
2017-07-14 17:58:39.7, 93.66541, 1.414285, 200, 100.3022
2017-07-14 17:58:54.8, 93.67084, 1.41426, 200, 100.3035
2017-07-14 17:59:09.8, 93.54416, 1.414838, 200, 100.3003
2017-07-14 17:59:24.9, 93.44305, 1.4153, 200, 100.3013
2017-07-14 17:59:40.0, 93.44839, 1.415276, 200, 100.3015
2017-07-14 17:59:55.1, 93.24765, 1.416194, 200, 100.303
2017-07-14 18:00:10.2, 93.32535, 1.415839, 200, 100.3008
2017-07-14 18:00:25.3, 93.33862, 1.415778, 200, 100.3032
2017-07-14 18:00:40.4, 93.20981, 1.416367, 200, 100.3022
2017-07-14 18:00:55.5, 93.20721, 1.416379, 200, 100.304
2017-07-14 18:01:10.5, 93.19479, 1.416436, 200, 100.3005
2017-07-14 18:01:25.6, 93.10901, 1.416829, 200, 100.3064
2017-07-14 18:01:40.7, 93.08618, 1.416933, 200, 100.3025
2017-07-14 18:01:55.8, 93.07068, 1.417004, 200, 100.3032
2017-07-14 18:02:10.8, 92.97311, 1.417452, 200, 100.3049
2017-07-14 18:02:25.9, 93.04666, 1.417114, 200, 100.3027
2017-07-14 18:02:41.0, 93.06711, 1.417021, 200, 100.303
2017-07-14 18:02:56.1, 92.85519, 1.417992, 200, 100.3042
2017-07-14 18:03:11.1, 92.89105, 1.417828, 200, 100.3054
2017-07-14 18:03:26.2, 92.76578, 1.418403, 200, 100.3044
2017-07-14 18:03:41.3, 92.77429, 1.418364, 200, 100.3013
2017-07-14 18:03:56.4, 92.73801, 1.41853, 200, 100.3047
2017-07-14 18:04:11.4, 92.69229, 1.41874, 200, 100.3003
2017-07-14 18:04:26.4, 92.71988, 1.418614, 200, 100.3022
2017-07-14 18:04:41.5, 92.79236, 1.418281, 200, 100.3032
2017-07-14 18:04:56.6, 92.5654, 1.419323, 200, 100.3047
2017-07-14 18:05:11.7, 92.70978, 1.41866, 200, 100.3022
2017-07-14 18:05:26.7, 92.69205, 1.418742, 200, 100.3044
2017-07-14 18:05:41.8, 92.67236, 1.418832, 200, 100.3042
2017-07-14 18:05:56.9, 92.8624, 1.41796, 200, 100.3
2017-07-14 18:06:12.0, 92.65143, 1.418928, 200, 100.301
2017-07-14 18:06:27.1, 92.55328, 1.419379, 200, 100.3022
2017-07-14 18:06:42.1, 92.68198, 1.418788, 200, 100.3027
2017-07-14 18:06:57.2, 92.52795, 1.419496, 200, 100.303
2017-07-14 18:07:12.3, 92.61884, 1.419078, 200, 100.2996
2017-07-14 18:07:27.3, 92.57199, 1.419293, 200, 100.3018
2017-07-14 18:07:42.4, 92.76068, 1.418426, 200, 100.3005
2017-07-14 18:07:57.5, 92.70108, 1.4187, 200, 100.3003
2017-07-14 18:08:12.6, 92.63016, 1.419026, 200, 100.2981
2017-07-14 18:08:27.6, 92.61066, 1.419115, 200, 100.2993
2017-07-14 18:08:42.7, 92.5715, 1.419295, 200, 100.2996
2017-07-14 18:08:57.8, 92.34354, 1.420344, 200, 100.2983
2017-07-14 18:09:12.9, 92.54706, 1.419408, 200, 100.2991
2017-07-14 18:09:27.9, 92.28836, 1.420598, 200, 100.2998
2017-07-14 18:09:43.0, 92.21863, 1.420919, 200, 100.302
2017-07-14 18:09:58.0, 92.06442, 1.42163, 200, 100.3003
2017-07-14 18:10:13.1, 91.86414, 1.422555, 200, 100.3013
2017-07-14 18:10:28.1, 91.71262, 1.423255, 200, 100.2996
2017-07-14 18:10:43.2, 91.34915, 1.424937, 200, 100.2996
2017-07-14 18:10:58.3, 91.21024, 1.425581, 200, 100.301
2017-07-14 18:11:13.4, 91.15219, 1.42585, 200, 100.2971
2017-07-14 18:11:28.5, 90.79517, 1.427508, 200, 100.2986
2017-07-14 18:11:43.5, 90.50537, 1.428857, 200, 100.2957
2017-07-14 18:11:58.6, 90.27499, 1.429931, 200, 100.2993
2017-07-14 18:12:13.7, 89.97055, 1.431353, 200, 100.2988
2017-07-14 18:12:28.8, 89.68948, 1.432668, 200, 100.2996
2017-07-14 18:12:43.9, 89.4137, 1.433962, 200, 100.3018
2017-07-14 18:12:59.0, 89.10406, 1.435416, 200, 100.3
2017-07-14 18:13:14.1, 88.78125, 1.436935, 200, 100.2969
2017-07-14 18:13:29.2, 88.63705, 1.437615, 200, 100.3005
2017-07-14 18:13:44.2, 88.14401, 1.439944, 200, 100.2981
2017-07-14 18:13:59.3, 87.85458, 1.441315, 200, 100.2986
2017-07-14 18:14:14.5, 87.70602, 1.44202, 200, 100.2966
2017-07-14 18:14:29.6, 87.34839, 1.443719, 200, 100.2959
2017-07-14 18:14:44.6, 86.93256, 1.445699, 200, 100.2976
2017-07-14 18:14:59.7, 86.62955, 1.447146, 200, 100.3
2017-07-14 18:15:14.8, 86.21381, 1.449135, 200, 100.2964
2017-07-14 18:15:29.9, 85.80765, 1.451084, 200, 100.2981
2017-07-14 18:15:45.0, 85.43533, 1.452876, 200, 100.2954
2017-07-14 18:16:00.0, 85.25497, 1.453745, 200, 100.2979
2017-07-14 18:16:15.1, 84.93207, 1.455304, 200, 100.2998
2017-07-14 18:16:30.2, 84.58603, 1.456978, 200, 100.2983
2017-07-14 18:16:45.2, 83.93484, 1.46014, 200, 100.2981
2017-07-14 18:17:00.3, 83.66998, 1.461429, 200, 100.2974
2017-07-14 18:17:15.4, 83.25055, 1.463477, 200, 100.2981
2017-07-14 18:17:30.4, 82.9053, 1.465166, 200, 100.2971
2017-07-14 18:17:45.4, 82.57974, 1.466762, 200, 100.2957
2017-07-14 18:18:00.5, 82.14343, 1.468908, 200, 100.2966
2017-07-14 18:18:15.6, 81.83151, 1.470445, 200, 100.2957
2017-07-14 18:18:30.7, 81.65387, 1.471322, 200, 100.2957
2017-07-14 18:18:45.8, 81.48239, 1.47217, 200, 100.293
2017-07-14 18:19:00.8, 81.18927, 1.473621, 200, 100.2961
2017-07-14 18:19:15.9, 81.17773, 1.473678, 200, 100.2932
2017-07-14 18:19:31.0, 81.19559, 1.473589, 200, 100.2966
2017-07-14 18:19:46.1, 81.36548, 1.472748, 200, 100.2944
2017-07-14 18:20:01.1, 81.46893, 1.472236, 200, 100.292
2017-07-14 18:20:16.2, 81.77313, 1.470733, 200, 100.2922
2017-07-14 18:20:31.3, 82.06256, 1.469306, 200, 100.2917
2017-07-14 18:20:46.4, 82.26797, 1.468295, 200, 100.2922
2017-07-14 18:21:01.4, 82.53076, 1.467003, 200, 100.292
2017-07-14 18:21:16.5, 82.89905, 1.465196, 200, 100.2944
2017-07-14 18:21:31.6, 83.14786, 1.463979, 200, 100.2927
2017-07-14 18:21:46.7, 83.58731, 1.461832, 200, 100.2913
2017-07-14 18:22:01.8, 83.92886, 1.460169, 200, 100.2917
2017-07-14 18:22:16.9, 84.16742, 1.459009, 200, 100.2903
2017-07-14 18:22:32.0, 84.70276, 1.456413, 200, 100.2915
2017-07-14 18:22:47.1, 85.00534, 1.45495, 200, 100.291
2017-07-14 18:23:02.1, 85.23013, 1.453865, 200, 100.29
2017-07-14 18:23:17.2, 85.58017, 1.452178, 200, 100.2915
2017-07-14 18:23:32.3, 85.94196, 1.450439, 200, 100.29
2017-07-14 18:23:47.4, 86.29977, 1.448724, 200, 100.29
2017-07-14 18:24:02.5, 86.6879, 1.446867, 200, 100.2888
2017-07-14 18:24:17.5, 86.68323, 1.446889, 200, 100.2903
2017-07-14 18:24:32.6, 87.1265, 1.444775, 200, 100.2881
2017-07-14 18:24:47.7, 87.24042, 1.444232, 200, 100.2891
2017-07-14 18:25:02.8, 87.44595, 1.443255, 200, 100.2922
2017-07-14 18:25:17.9, 87.76529, 1.441738, 200, 100.2903
2017-07-14 18:25:32.9, 88.01138, 1.440572, 200, 100.29
2017-07-14 18:25:48.0, 88.20883, 1.439638, 200, 100.2893
2017-07-14 18:26:03.1, 88.53906, 1.438077, 200, 100.291
2017-07-14 18:26:18.1, 88.7085, 1.437278, 200, 100.2876
2017-07-14 18:26:33.2, 89.07211, 1.435566, 200, 100.2927
