Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-14 17:58:06.7, 98.59521, 1.994362, 200, 100.7974
2017-06-14 17:58:21.7, 98.68359, 1.994053, 200, 100.7991
2017-06-14 17:58:36.8, 98.58496, 1.994398, 200, 100.7988
2017-06-14 17:58:51.9, 98.72162, 1.993919, 200, 100.7991
2017-06-14 17:59:07.0, 98.62842, 1.994246, 200, 100.7976
2017-06-14 17:59:22.0, 98.5498, 1.994522, 200, 100.7983
2017-06-14 17:59:37.2, 98.58557, 1.994396, 200, 100.7996
2017-06-14 17:59:52.2, 98.5365, 1.994568, 200, 100.7971
2017-06-14 18:00:07.3, 98.66736, 1.99411, 200, 100.7942
2017-06-14 18:00:22.3, 98.71313, 1.993949, 200, 100.7908
2017-06-14 18:00:37.3, 98.67249, 1.994092, 200, 100.7786
2017-06-14 18:00:52.3, 98.71674, 1.993936, 200, 100.7537
2017-06-14 18:01:07.4, 98.70148, 1.99399, 200, 100.7456
2017-06-14 18:01:22.4, 98.77936, 1.993717, 200, 100.7441
2017-06-14 18:01:37.5, 98.90668, 1.993271, 200, 100.7461
2017-06-14 18:01:52.6, 98.75598, 1.993799, 200, 100.7268
2017-06-14 18:02:07.7, 98.79407, 1.993666, 200, 100.7432
2017-06-14 18:02:22.7, 98.80878, 1.993614, 200, 100.729
2017-06-14 18:02:37.8, 98.76324, 1.993774, 200, 100.7378
2017-06-14 18:02:52.8, 98.85278, 1.99346, 200, 100.7205
2017-06-14 18:03:07.9, 98.71906, 1.993928, 200, 100.7266
2017-06-14 18:03:23.0, 98.69775, 1.994003, 200, 100.7268
2017-06-14 18:03:38.0, 98.68256, 1.994056, 200, 100.7183
2017-06-14 18:03:53.1, 98.63214, 1.994233, 200, 100.7329
2017-06-14 18:04:08.2, 98.65466, 1.994154, 200, 100.7083
2017-06-14 18:04:23.3, 98.63177, 1.994234, 200, 100.7349
2017-06-14 18:04:38.3, 98.52924, 1.994594, 200, 100.7087
2017-06-14 18:04:53.3, 98.52283, 1.994616, 200, 100.7292
2017-06-14 18:05:08.4, 98.38263, 1.995108, 200, 100.7068
