Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-14 17:52:30.9, 93.8302, 2.097382, 200, 99.85205
2017-05-14 17:52:46.0, 93.96268, 2.096779, 200, 99.84424
2017-05-14 17:53:01.0, 94.23602, 2.095537, 200, 99.85132
2017-05-14 17:53:16.1, 94.40182, 2.094785, 200, 99.84473
2017-05-14 17:53:31.2, 94.66174, 2.093606, 200, 99.85327
2017-05-14 17:53:46.3, 95.11496, 2.091554, 200, 99.84204
2017-05-14 17:54:01.3, 95.00851, 2.092036, 200, 99.84814
2017-05-14 17:54:16.4, 95.16388, 2.091333, 200, 99.8457
2017-05-14 17:54:31.5, 95.25909, 2.090903, 200, 99.84668
2017-05-14 17:54:46.6, 95.45953, 2.089997, 200, 99.85425
2017-05-14 17:55:01.6, 95.37772, 2.090367, 200, 99.84521
2017-05-14 17:55:16.7, 95.66321, 2.089077, 200, 99.84229
2017-05-14 17:55:31.8, 95.62582, 2.089246, 200, 99.83911
2017-05-14 17:55:46.9, 95.75208, 2.088677, 200, 99.84546
2017-05-14 17:56:02.0, 95.70062, 2.088909, 200, 99.83228
2017-05-14 17:56:17.0, 95.51987, 2.089725, 200, 99.84644
2017-05-14 17:56:32.1, 95.36343, 2.090431, 200, 99.83203
2017-05-14 17:56:47.1, 95.53235, 2.089668, 200, 99.84229
2017-05-14 17:57:02.2, 95.13016, 2.091486, 200, 99.83569
2017-05-14 17:57:17.2, 95.07025, 2.091757, 200, 99.84033
2017-05-14 17:57:32.3, 94.92896, 2.092396, 200, 99.84058
2017-05-14 17:57:47.4, 94.46585, 2.094494, 200, 99.83667
2017-05-14 17:58:02.5, 94.16428, 2.095863, 200, 99.84009
2017-05-14 17:58:17.5, 93.88544, 2.09713, 200, 99.83423
2017-05-14 17:58:32.6, 93.6828, 2.098052, 200, 99.84424
2017-05-14 17:58:47.7, 93.62912, 2.098296, 200, 99.83447
2017-05-14 17:59:02.8, 93.32739, 2.099671, 200, 99.84253
2017-05-14 17:59:17.8, 93.16016, 2.100433, 200, 99.8335
2017-05-14 17:59:32.9, 92.66629, 2.102689, 200, 99.83789
2017-05-14 17:59:48.0, 92.75775, 2.102271, 200, 99.84033
2017-05-14 18:00:03.1, 92.60104, 2.102987, 200, 99.8335
2017-05-14 18:00:18.2, 92.24814, 2.104602, 200, 99.84009
2017-05-14 18:00:33.2, 91.83774, 2.106483, 200, 99.83008
2017-05-14 18:00:48.3, 92.04187, 2.105547, 200, 99.84277
2017-05-14 18:01:03.4, 91.53629, 2.107867, 200, 99.83228
2017-05-14 18:01:18.4, 91.3887, 2.108545, 200, 99.83594
2017-05-14 18:01:33.5, 91.26788, 2.109101, 200, 99.83716
2017-05-14 18:01:48.6, 90.71786, 2.111633, 200, 99.83521
2017-05-14 18:02:03.7, 90.41452, 2.113033, 200, 99.83716
2017-05-14 18:02:18.7, 90.35345, 2.113314, 200, 99.83154
2017-05-14 18:02:33.8, 89.88586, 2.115476, 200, 99.84326
2017-05-14 18:02:48.9, 89.42764, 2.117598, 200, 99.82983
2017-05-14 18:03:04.0, 89.41345, 2.117664, 200, 99.83667
2017-05-14 18:03:19.1, 89.34714, 2.117971, 200, 99.83057
2017-05-14 18:03:34.2, 89.01791, 2.119499, 200, 99.83276
2017-05-14 18:03:49.2, 88.74841, 2.120752, 200, 99.83545
2017-05-14 18:04:04.3, 88.63153, 2.121296, 200, 99.82837
2017-05-14 18:04:19.4, 88.38904, 2.122424, 200, 99.83862
2017-05-14 18:04:34.4, 88.28763, 2.122897, 200, 99.82837
2017-05-14 18:04:49.5, 88.2215, 2.123205, 200, 99.83789
2017-05-14 18:05:04.6, 87.59018, 2.126152, 200, 99.83374
2017-05-14 18:05:19.7, 87.71393, 2.125573, 200, 99.83179
2017-05-14 18:05:34.8, 87.30307, 2.127494, 200, 99.83447
2017-05-14 18:05:49.8, 86.92496, 2.129265, 200, 99.82495
2017-05-14 18:06:04.8, 86.46204, 2.131438, 200, 99.83472
2017-05-14 18:06:19.9, 86.43683, 2.131556, 200, 99.82788
2017-05-14 18:06:35.0, 86.31912, 2.132109, 200, 99.83569
2017-05-14 18:06:50.0, 85.75504, 2.134763, 200, 99.82349
2017-05-14 18:07:05.1, 85.59094, 2.135537, 200, 99.83057
2017-05-14 18:07:20.2, 85.41394, 2.136372, 200, 99.82715
2017-05-14 18:07:35.3, 85.14694, 2.137633, 200, 99.82715
2017-05-14 18:07:50.3, 85.05212, 2.138081, 200, 99.83008
2017-05-14 18:08:05.4, 84.78729, 2.139333, 200, 99.82446
2017-05-14 18:08:20.5, 84.17972, 2.142212, 200, 99.83545
2017-05-14 18:08:35.6, 84.12177, 2.142487, 200, 99.82544
2017-05-14 18:08:50.6, 84.02264, 2.142957, 200, 99.83179
2017-05-14 18:09:05.7, 84.1459, 2.142372, 200, 99.82495
2017-05-14 18:09:20.8, 83.88095, 2.143631, 200, 99.82886
2017-05-14 18:09:36.2, 83.5119, 2.145385, 200, 99.83472
2017-05-14 18:09:51.3, 83.39609, 2.145936, 200, 99.82666
2017-05-14 18:10:06.3, 83.36737, 2.146073, 200, 99.83496
2017-05-14 18:10:21.4, 83.03848, 2.14764, 200, 99.82446
2017-05-14 18:10:36.5, 82.82831, 2.148643, 200, 99.83594
2017-05-14 18:10:51.5, 82.81262, 2.148718, 200, 99.82397
2017-05-14 18:11:06.6, 82.30579, 2.15114, 200, 99.83691
2017-05-14 18:11:21.7, 82.38547, 2.150759, 200, 99.82178
2017-05-14 18:11:36.8, 82.17047, 2.151788, 200, 99.83032
2017-05-14 18:11:51.8, 82.05316, 2.152349, 200, 99.8269
2017-05-14 18:12:06.8, 82.20801, 2.151608, 200, 99.83032
2017-05-14 18:12:21.9, 82.95746, 2.148027, 200, 99.83081
2017-05-14 18:12:37.0, 83.69861, 2.144497, 200, 99.82568
2017-05-14 18:12:52.1, 84.13586, 2.14242, 200, 99.8335
2017-05-14 18:13:07.1, 85.05344, 2.138074, 200, 99.82471
2017-05-14 18:13:22.2, 86.06586, 2.1333, 200, 99.83325
2017-05-14 18:13:37.3, 86.54761, 2.131036, 200, 99.82324
2017-05-14 18:13:52.3, 87.44193, 2.126845, 200, 99.8291
2017-05-14 18:14:07.3, 88.12881, 2.123637, 200, 99.82886
2017-05-14 18:14:22.4, 88.96982, 2.119723, 200, 99.83398
2017-05-14 18:14:37.5, 89.70389, 2.116318, 200, 99.83081
2017-05-14 18:14:52.6, 90.13693, 2.114315, 200, 99.82837
2017-05-14 18:15:07.6, 90.74969, 2.111486, 200, 99.83252
2017-05-14 18:15:22.7, 91.23035, 2.109273, 200, 99.83008
2017-05-14 18:15:37.8, 91.71573, 2.107043, 200, 99.83545
2017-05-14 18:15:52.9, 92.22433, 2.104711, 200, 99.83081
2017-05-14 18:16:07.9, 92.26834, 2.104509, 200, 99.8374
2017-05-14 18:16:23.0, 92.65018, 2.102762, 200, 99.82861
2017-05-14 18:16:38.1, 93.06763, 2.100856, 200, 99.83301
2017-05-14 18:16:53.2, 93.26175, 2.09997, 200, 99.83496
2017-05-14 18:17:08.2, 93.92767, 2.096938, 200, 99.83057
2017-05-14 18:17:23.4, 94.27502, 2.09536, 200, 99.83643
2017-05-14 18:17:38.4, 94.29666, 2.095262, 200, 99.8252
2017-05-14 18:17:53.5, 94.58054, 2.093974, 200, 99.83862
2017-05-14 18:18:08.6, 94.71661, 2.093358, 200, 99.82593
2017-05-14 18:18:23.6, 94.88394, 2.0926, 200, 99.83569
2017-05-14 18:18:38.7, 95.06686, 2.091772, 200, 99.82617
2017-05-14 18:18:53.8, 95.34128, 2.090531, 200, 99.83228
2017-05-14 18:19:08.8, 95.48364, 2.089888, 200, 99.82788
2017-05-14 18:19:23.9, 95.41513, 2.090198, 200, 99.83496
2017-05-14 18:19:39.0, 95.70267, 2.0889, 200, 99.83179
2017-05-14 18:19:54.1, 95.79428, 2.088486, 200, 99.83276
2017-05-14 18:20:09.1, 95.97473, 2.087673, 200, 99.83765
2017-05-14 18:20:24.2, 96.40054, 2.085756, 200, 99.82617
2017-05-14 18:20:39.3, 96.29355, 2.086237, 200, 99.83716
2017-05-14 18:20:54.4, 96.1955, 2.086679, 200, 99.82666
2017-05-14 18:21:09.5, 96.29761, 2.086219, 200, 99.83447
2017-05-14 18:21:24.5, 96.52209, 2.085209, 200, 99.82983
2017-05-14 18:21:39.6, 96.51218, 2.085254, 200, 99.83398
2017-05-14 18:21:54.7, 96.48309, 2.085385, 200, 99.83423
2017-05-14 18:22:09.8, 96.46771, 2.085454, 200, 99.82813
2017-05-14 18:22:24.8, 96.27789, 2.086308, 200, 99.83618
