Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-14 17:53:22.5, 85.95889, 1.816092, 200, 99.55737
2017-05-14 17:53:37.6, 85.56277, 1.818103, 200, 99.56055
2017-05-14 17:53:52.6, 87.30737, 1.80928, 200, 99.56152
2017-05-14 17:54:07.8, 87.30792, 1.809278, 200, 99.55737
2017-05-14 17:54:23.0, 87.93323, 1.806136, 200, 99.55981
2017-05-14 17:54:38.0, 88.23486, 1.804625, 200, 99.5498
2017-05-14 17:54:53.0, 88.23291, 1.804635, 200, 99.56812
2017-05-14 17:55:08.1, 89.38202, 1.7989, 200, 99.54761
2017-05-14 17:55:23.2, 89.41745, 1.798724, 200, 99.55542
2017-05-14 17:55:38.3, 89.76993, 1.796972, 200, 99.55615
2017-05-14 17:55:53.3, 90.48071, 1.793451, 200, 99.55054
2017-05-14 17:56:08.4, 90.8201, 1.791774, 200, 99.54468
2017-05-14 17:56:23.5, 91.10825, 1.790353, 200, 99.54712
2017-05-14 17:56:38.6, 91.12009, 1.790295, 200, 99.54614
2017-05-14 17:56:53.7, 91.53476, 1.788254, 200, 99.54346
2017-05-14 17:57:08.7, 91.75412, 1.787176, 200, 99.54736
2017-05-14 17:57:23.8, 91.5462, 1.788198, 200, 99.53955
2017-05-14 17:57:38.9, 91.98569, 1.78604, 200, 99.56299
2017-05-14 17:57:54.0, 91.85226, 1.786695, 200, 99.53516
2017-05-14 17:58:09.0, 91.97586, 1.786088, 200, 99.55396
2017-05-14 17:58:24.0, 91.7049, 1.787418, 200, 99.53394
2017-05-14 17:58:39.1, 91.57312, 1.788065, 200, 99.55151
2017-05-14 17:58:54.2, 91.49539, 1.788447, 200, 99.53394
2017-05-14 17:59:09.2, 91.59753, 1.787945, 200, 99.53833
2017-05-14 17:59:24.3, 91.87543, 1.786581, 200, 99.54785
2017-05-14 17:59:39.4, 90.55054, 1.793106, 200, 99.53589
2017-05-14 17:59:54.5, 91.02704, 1.790753, 200, 99.5437
2017-05-14 18:00:09.5, 91.10483, 1.79037, 200, 99.53247
2017-05-14 18:00:24.6, 90.64075, 1.79266, 200, 99.54199
2017-05-14 18:00:39.7, 90.44833, 1.793611, 200, 99.53784
2017-05-14 18:00:54.7, 89.81277, 1.79676, 200, 99.5415
2017-05-14 18:01:09.8, 90.237, 1.794657, 200, 99.54565
2017-05-14 18:01:24.8, 89.80914, 1.796778, 200, 99.52905
2017-05-14 18:01:39.9, 89.52319, 1.798198, 200, 99.54419
2017-05-14 18:01:55.0, 89.15012, 1.800054, 200, 99.53247
2017-05-14 18:02:10.1, 88.82227, 1.801689, 200, 99.54565
2017-05-14 18:02:25.1, 88.82996, 1.801651, 200, 99.53345
2017-05-14 18:02:40.1, 87.72232, 1.807195, 200, 99.54077
2017-05-14 18:02:55.2, 87.49194, 1.808352, 200, 99.5354
2017-05-14 18:03:10.2, 87.80417, 1.806784, 200, 99.53174
2017-05-14 18:03:25.3, 86.99631, 1.810847, 200, 99.54175
2017-05-14 18:03:40.4, 87.32251, 1.809204, 200, 99.52637
2017-05-14 18:03:55.5, 86.71622, 1.81226, 200, 99.54126
2017-05-14 18:04:10.6, 86.28107, 1.81446, 200, 99.53418
2017-05-14 18:04:25.6, 86.10114, 1.815371, 200, 99.5354
