Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-16 15:49:19.0, 18.70137, 1.680027, 200, 99.6731
2017-06-16 15:49:34.1, 18.63726, 1.681132, 200, 99.67603
2017-06-16 15:49:49.2, 18.61829, 1.681459, 200, 99.67871
2017-06-16 15:50:04.3, 18.63165, 1.681228, 200, 99.67798
2017-06-16 15:50:19.4, 18.63758, 1.681126, 200, 99.67676
2017-06-16 15:50:34.5, 18.63636, 1.681147, 200, 99.67627
2017-06-16 15:50:49.6, 18.63202, 1.681222, 200, 99.67554
2017-06-16 15:51:04.6, 18.61227, 1.681563, 200, 99.67529
2017-06-16 15:51:19.6, 18.6402, 1.681081, 200, 99.67407
2017-06-16 15:51:34.7, 18.58965, 1.681953, 200, 99.67871
2017-06-16 15:51:49.8, 18.55007, 1.682637, 200, 99.67871
2017-06-16 15:52:04.8, 18.57764, 1.682161, 200, 99.67188
2017-06-16 15:52:20.7, 18.65257, 1.680868, 200, 99.67432
2017-06-16 15:52:35.8, 18.60934, 1.681613, 200, 99.67432
2017-06-16 15:52:50.8, 18.62334, 1.681372, 200, 99.68237
2017-06-16 15:53:05.9, 18.65691, 1.680793, 200, 99.67725
2017-06-16 15:53:21.0, 18.68257, 1.68035, 200, 99.6792
2017-06-16 15:53:36.1, 18.7094, 1.679888, 200, 99.67896
2017-06-16 15:53:51.1, 18.74255, 1.679318, 200, 99.67871
2017-06-16 15:54:06.1, 18.7552, 1.6791, 200, 99.67822
2017-06-16 15:54:21.2, 18.75536, 1.679097, 200, 99.68066
2017-06-16 15:54:36.3, 18.75918, 1.679031, 200, 99.68311
2017-06-16 15:54:51.4, 18.841, 1.677625, 200, 99.67871
2017-06-16 15:55:06.5, 18.87921, 1.676969, 200, 99.67969
2017-06-16 15:55:21.5, 18.93594, 1.675996, 200, 99.68018
2017-06-16 15:55:36.6, 18.93781, 1.675964, 200, 99.68237
2017-06-16 15:55:51.7, 18.96474, 1.675502, 200, 99.68042
2017-06-16 15:56:06.8, 19.02699, 1.674436, 200, 99.677
2017-06-16 15:56:21.8, 19.03237, 1.674344, 200, 99.68066
2017-06-16 15:56:36.9, 19.05934, 1.673883, 200, 99.68115
2017-06-16 15:56:52.0, 19.05394, 1.673975, 200, 99.68018
2017-06-16 15:57:07.1, 19.072, 1.673667, 200, 99.67578
2017-06-16 15:57:22.1, 19.06384, 1.673806, 200, 99.67896
2017-06-16 15:57:37.2, 19.12237, 1.672806, 200, 99.68066
2017-06-16 15:57:52.2, 19.10181, 1.673157, 200, 99.677
2017-06-16 15:58:07.2, 19.11816, 1.672878, 200, 99.67773
2017-06-16 15:58:22.3, 19.18941, 1.671662, 200, 99.67358
2017-06-16 15:58:37.4, 19.20918, 1.671325, 200, 99.67554
2017-06-16 15:58:52.5, 19.25552, 1.670535, 200, 99.67969
2017-06-16 15:59:07.6, 19.28351, 1.670059, 200, 99.67334
2017-06-16 15:59:22.6, 19.30534, 1.669687, 200, 99.67432
2017-06-16 15:59:37.7, 19.28735, 1.669993, 200, 99.677
2017-06-16 15:59:52.8, 19.32999, 1.669268, 200, 99.67065
2017-06-16 16:00:07.9, 19.29712, 1.669827, 200, 99.66846
2017-06-16 16:00:22.9, 19.31493, 1.669524, 200, 99.67188
2017-06-16 16:00:38.0, 19.28168, 1.67009, 200, 99.66992
2017-06-16 16:00:53.1, 19.35497, 1.668843, 200, 99.6687
2017-06-16 16:01:08.2, 19.3502, 1.668924, 200, 99.67285
2017-06-16 16:01:23.2, 19.34053, 1.669089, 200, 99.66626
2017-06-16 16:01:38.3, 19.32101, 1.66942, 200, 99.67383
2017-06-16 16:01:53.4, 19.35559, 1.668833, 200, 99.6731
2017-06-16 16:02:08.5, 19.32884, 1.669287, 200, 99.67212
2017-06-16 16:02:23.6, 19.29057, 1.669939, 200, 99.67773
2017-06-16 16:02:38.6, 19.30585, 1.669679, 200, 99.67041
2017-06-16 16:02:53.7, 19.2834, 1.67006, 200, 99.67432
2017-06-16 16:03:08.8, 19.1936, 1.671591, 200, 99.67773
2017-06-16 16:03:23.8, 19.16949, 1.672002, 200, 99.67725
2017-06-16 16:03:38.8, 19.10796, 1.673052, 200, 99.67725
2017-06-16 16:03:53.9, 19.00742, 1.674771, 200, 99.66919
2017-06-16 16:04:09.0, 18.97881, 1.675261, 200, 99.67188
2017-06-16 16:04:24.0, 18.87624, 1.67702, 200, 99.66992
2017-06-16 16:04:39.1, 18.83739, 1.677687, 200, 99.67383
2017-06-16 16:04:54.2, 18.72099, 1.679689, 200, 99.67603
2017-06-16 16:05:09.3, 18.64732, 1.680958, 200, 99.67358
2017-06-16 16:05:24.4, 18.55154, 1.682611, 200, 99.67847
2017-06-16 16:05:39.4, 18.46187, 1.684162, 200, 99.67676
2017-06-16 16:05:54.5, 18.32138, 1.686598, 200, 99.67407
2017-06-16 16:06:09.6, 18.26299, 1.687612, 200, 99.67065
2017-06-16 16:06:24.7, 18.15447, 1.6895, 200, 99.6709
2017-06-16 16:06:39.7, 18.07645, 1.690861, 200, 99.66968
2017-06-16 16:06:54.8, 17.99781, 1.692234, 200, 99.6731
2017-06-16 16:07:09.9, 17.9056, 1.693847, 200, 99.67261
2017-06-16 16:07:25.0, 17.77789, 1.696086, 200, 99.66992
2017-06-16 16:07:40.0, 17.68551, 1.69771, 200, 99.67041
2017-06-16 16:07:55.1, 17.56302, 1.699867, 200, 99.67017
2017-06-16 16:08:10.2, 17.50611, 1.700871, 200, 99.66772
2017-06-16 16:08:25.3, 17.39795, 1.702783, 200, 99.66943
2017-06-16 16:08:40.3, 17.33997, 1.703809, 200, 99.66992
2017-06-16 16:08:55.4, 17.26862, 1.705074, 200, 99.6665
2017-06-16 16:09:10.4, 17.21705, 1.70599, 200, 99.67017
2017-06-16 16:09:25.5, 17.13953, 1.707368, 200, 99.6748
2017-06-16 16:09:40.5, 17.06663, 1.708666, 200, 99.67285
2017-06-16 16:09:55.6, 17.0248, 1.709411, 200, 99.66992
2017-06-16 16:10:10.7, 16.89488, 1.711731, 200, 99.6709
2017-06-16 16:10:25.8, 16.77476, 1.713882, 200, 99.67334
2017-06-16 16:10:40.8, 16.67725, 1.715632, 200, 99.67065
2017-06-16 16:10:55.9, 16.60015, 1.717018, 200, 99.66992
2017-06-16 16:11:11.0, 16.52123, 1.718439, 200, 99.67065
2017-06-16 16:11:26.1, 16.56593, 1.717634, 200, 99.67651
2017-06-16 16:11:41.1, 16.58096, 1.717363, 200, 99.67163
2017-06-16 16:11:56.2, 16.67648, 1.715646, 200, 99.67407
2017-06-16 16:12:11.3, 16.8109, 1.713234, 200, 99.67578
2017-06-16 16:12:26.3, 16.93784, 1.710964, 200, 99.67114
2017-06-16 16:12:41.4, 17.0897, 1.708255, 200, 99.67334
2017-06-16 16:12:56.4, 17.21324, 1.706057, 200, 99.67432
2017-06-16 16:13:11.5, 17.3492, 1.703646, 200, 99.67944
2017-06-16 16:13:26.6, 17.49155, 1.701128, 200, 99.67651
2017-06-16 16:13:41.7, 17.6449, 1.698424, 200, 99.67334
2017-06-16 16:13:56.7, 17.7857, 1.695949, 200, 99.67505
2017-06-16 16:14:11.8, 17.88598, 1.694191, 200, 99.67871
2017-06-16 16:14:26.8, 17.96339, 1.692836, 200, 99.67603
2017-06-16 16:14:41.9, 18.08623, 1.69069, 200, 99.67798
2017-06-16 16:14:56.9, 18.16558, 1.689307, 200, 99.67578
2017-06-16 16:15:12.0, 18.28851, 1.687169, 200, 99.67554
2017-06-16 16:15:27.1, 18.37104, 1.685736, 200, 99.67603
2017-06-16 16:15:42.2, 18.4659, 1.684093, 200, 99.67358
2017-06-16 16:15:57.2, 18.52209, 1.68312, 200, 99.67456
2017-06-16 16:16:12.2, 18.61403, 1.681533, 200, 99.67773
2017-06-16 16:16:27.3, 18.65028, 1.680907, 200, 99.68018
2017-06-16 16:16:42.4, 18.66075, 1.680727, 200, 99.68091
2017-06-16 16:16:57.5, 18.78949, 1.67851, 200, 99.67896
2017-06-16 16:17:12.5, 18.81454, 1.678079, 200, 99.67261
2017-06-16 16:17:27.6, 18.83384, 1.677748, 200, 99.67212
2017-06-16 16:17:42.7, 18.93678, 1.675982, 200, 99.67456
2017-06-16 16:17:57.7, 18.91907, 1.676285, 200, 99.67529
2017-06-16 16:18:12.8, 19.04678, 1.674098, 200, 99.67993
2017-06-16 16:18:27.9, 19.01794, 1.674591, 200, 99.67163
2017-06-16 16:18:43.0, 19.03716, 1.674262, 200, 99.6814
2017-06-16 16:18:58.1, 19.05542, 1.67395, 200, 99.67798
2017-06-16 16:19:13.1, 19.13287, 1.672627, 200, 99.67847
2017-06-16 16:19:28.2, 19.11254, 1.672974, 200, 99.68384
2017-06-16 16:19:43.2, 19.16406, 1.672094, 200, 99.67554
2017-06-16 16:19:58.3, 19.18559, 1.671727, 200, 99.67358
2017-06-16 16:20:13.3, 19.18545, 1.671729, 200, 99.6792
2017-06-16 16:20:28.4, 19.21609, 1.671207, 200, 99.67822
2017-06-16 16:20:43.5, 19.20159, 1.671454, 200, 99.68066
2017-06-16 16:20:58.6, 19.2065, 1.67137, 200, 99.6731
2017-06-16 16:21:13.6, 19.24417, 1.670729, 200, 99.67578
2017-06-16 16:21:28.7, 19.20567, 1.671385, 200, 99.68164
2017-06-16 16:21:43.8, 19.18928, 1.671664, 200, 99.68335
2017-06-16 16:21:58.9, 19.13696, 1.672557, 200, 99.68237
2017-06-16 16:22:13.9, 19.10735, 1.673063, 200, 99.68433
2017-06-16 16:22:29.0, 19.03559, 1.674289, 200, 99.6814
2017-06-16 16:22:44.1, 18.98565, 1.675144, 200, 99.68481
2017-06-16 16:22:59.2, 18.9446, 1.675847, 200, 99.68115
2017-06-16 16:23:14.2, 18.87649, 1.677016, 200, 99.68506
2017-06-16 16:23:29.3, 18.81356, 1.678096, 200, 99.68701
2017-06-16 16:23:44.4, 18.72149, 1.67968, 200, 99.68652
2017-06-16 16:23:59.5, 18.63165, 1.681229, 200, 99.69165
2017-06-16 16:24:14.6, 18.60347, 1.681715, 200, 99.68799
2017-06-16 16:24:29.6, 18.50629, 1.683394, 200, 99.68994
2017-06-16 16:24:44.7, 18.40346, 1.685174, 200, 99.69336
2017-06-16 16:24:59.8, 18.34264, 1.686229, 200, 99.69141
2017-06-16 16:25:14.9, 18.231, 1.688168, 200, 99.69165
2017-06-16 16:25:29.9, 18.18725, 1.68893, 200, 99.68774
2017-06-16 16:25:45.0, 18.07652, 1.690859, 200, 99.69971
2017-06-16 16:26:00.1, 18.01908, 1.691862, 200, 99.69507
2017-06-16 16:26:15.2, 17.94199, 1.69321, 200, 99.69116
2017-06-16 16:26:30.2, 17.83459, 1.695091, 200, 99.69336
2017-06-16 16:26:45.3, 17.76853, 1.69625, 200, 99.69067
2017-06-16 16:27:00.4, 17.68504, 1.697718, 200, 99.69312
2017-06-16 16:27:15.4, 17.565, 1.699832, 200, 99.68701
2017-06-16 16:27:30.5, 17.50165, 1.70095, 200, 99.69263
2017-06-16 16:27:45.6, 17.38239, 1.703058, 200, 99.6958
2017-06-16 16:28:00.7, 17.33768, 1.70385, 200, 99.69556
2017-06-16 16:28:15.8, 17.20792, 1.706152, 200, 99.69116
2017-06-16 16:28:30.8, 17.14946, 1.707191, 200, 99.69092
2017-06-16 16:28:45.9, 17.07693, 1.708482, 200, 99.69165
2017-06-16 16:29:01.0, 16.97746, 1.710256, 200, 99.69434
2017-06-16 16:29:16.1, 16.88188, 1.711964, 200, 99.69116
2017-06-16 16:29:31.2, 16.81929, 1.713084, 200, 99.69531
2017-06-16 16:29:46.2, 16.71977, 1.714868, 200, 99.68872
2017-06-16 16:30:01.3, 16.63246, 1.716437, 200, 99.69043
2017-06-16 16:30:16.4, 16.56272, 1.717692, 200, 99.69336
2017-06-16 16:30:31.4, 16.57088, 1.717545, 200, 99.69092
2017-06-16 16:30:46.5, 16.56411, 1.717667, 200, 99.6958
2017-06-16 16:31:01.5, 16.63729, 1.71635, 200, 99.69751
2017-06-16 16:31:16.6, 16.83097, 1.712875, 200, 99.69531
2017-06-16 16:31:31.6, 17.02528, 1.709403, 200, 99.69287
2017-06-16 16:31:46.7, 17.22334, 1.705878, 200, 99.69385
2017-06-16 16:32:01.8, 17.33521, 1.703894, 200, 99.69482
2017-06-16 16:32:16.9, 17.43773, 1.702079, 200, 99.69556
2017-06-16 16:32:32.0, 17.56676, 1.699801, 200, 99.69141
2017-06-16 16:32:47.0, 17.70367, 1.69739, 200, 99.68774
2017-06-16 16:33:02.0, 17.8353, 1.695079, 200, 99.69824
2017-06-16 16:33:17.1, 17.95978, 1.692899, 200, 99.70117
2017-06-16 16:33:32.2, 18.05004, 1.691321, 200, 99.69287
2017-06-16 16:33:47.2, 18.18392, 1.688987, 200, 99.69458
2017-06-16 16:34:02.3, 18.26909, 1.687506, 200, 99.69507
2017-06-16 16:34:17.4, 18.37729, 1.685628, 200, 99.69629
2017-06-16 16:34:32.4, 18.41778, 1.684926, 200, 99.69043
2017-06-16 16:34:47.5, 18.4941, 1.683605, 200, 99.69092
2017-06-16 16:35:02.6, 18.57596, 1.68219, 200, 99.69556
2017-06-16 16:35:17.7, 18.6612, 1.680719, 200, 99.69043
2017-06-16 16:35:32.8, 18.68588, 1.680293, 200, 99.69678
2017-06-16 16:35:47.8, 18.77912, 1.678688, 200, 99.69287
2017-06-16 16:36:02.9, 18.73959, 1.679368, 200, 99.69556
2017-06-16 16:36:17.9, 18.85314, 1.677416, 200, 99.69385
2017-06-16 16:36:33.0, 18.89494, 1.676699, 200, 99.69434
2017-06-16 16:36:48.1, 18.92709, 1.676147, 200, 99.6936
2017-06-16 16:37:03.1, 18.95493, 1.67567, 200, 99.69067
2017-06-16 16:37:18.2, 18.99416, 1.674998, 200, 99.69995
2017-06-16 16:37:33.3, 19.00235, 1.674858, 200, 99.6958
2017-06-16 16:37:48.3, 19.08104, 1.673512, 200, 99.69604
2017-06-16 16:38:03.3, 19.13336, 1.672618, 200, 99.69604
2017-06-16 16:38:18.4, 19.15501, 1.672249, 200, 99.69238
2017-06-16 16:38:33.5, 19.18623, 1.671716, 200, 99.69897
2017-06-16 16:38:48.6, 19.17012, 1.671991, 200, 99.69556
2017-06-16 16:39:03.6, 19.18734, 1.671697, 200, 99.69604
2017-06-16 16:39:18.7, 19.22168, 1.671112, 200, 99.69897
2017-06-16 16:39:33.8, 19.20048, 1.671473, 200, 99.69727
2017-06-16 16:39:48.9, 19.26921, 1.670302, 200, 99.69434
2017-06-16 16:40:03.9, 19.27394, 1.670222, 200, 99.69751
2017-06-16 16:40:19.0, 19.28651, 1.670008, 200, 99.69824
2017-06-16 16:40:34.1, 19.27396, 1.670221, 200, 99.69922
2017-06-16 16:40:49.2, 19.28166, 1.67009, 200, 99.70703
2017-06-16 16:41:04.2, 19.17555, 1.671898, 200, 99.7002
2017-06-16 16:41:19.3, 19.15647, 1.672224, 200, 99.70264
2017-06-16 16:41:34.4, 19.10248, 1.673146, 200, 99.70557
2017-06-16 16:41:49.5, 19.05642, 1.673933, 200, 99.70703
2017-06-16 16:42:04.5, 18.95038, 1.675748, 200, 99.70361
2017-06-16 16:42:19.6, 18.88326, 1.676899, 200, 99.7002
2017-06-16 16:42:34.7, 18.84047, 1.677634, 200, 99.698
2017-06-16 16:42:49.8, 18.76184, 1.678986, 200, 99.70947
2017-06-16 16:43:04.8, 18.66245, 1.680697, 200, 99.71069
2017-06-16 16:43:19.9, 18.59716, 1.681824, 200, 99.69897
2017-06-16 16:43:35.0, 18.52866, 1.683007, 200, 99.70117
2017-06-16 16:43:50.1, 18.47871, 1.683871, 200, 99.70093
2017-06-16 16:44:05.2, 18.40787, 1.685098, 200, 99.70508
2017-06-16 16:44:20.2, 18.31328, 1.686738, 200, 99.70874
2017-06-16 16:44:35.3, 18.23803, 1.688046, 200, 99.70288
2017-06-16 16:44:50.4, 18.20229, 1.688668, 200, 99.70313
2017-06-16 16:45:05.5, 18.10152, 1.690423, 200, 99.70679
2017-06-16 16:45:20.6, 18.04723, 1.691371, 200, 99.70703
2017-06-16 16:45:35.6, 17.98586, 1.692443, 200, 99.70557
2017-06-16 16:45:50.7, 17.88985, 1.694123, 200, 99.70361
2017-06-16 16:46:05.8, 17.80771, 1.695563, 200, 99.70142
2017-06-16 16:46:20.8, 17.71803, 1.697138, 200, 99.7063
2017-06-16 16:46:35.9, 17.68998, 1.697631, 200, 99.70313
2017-06-16 16:46:51.0, 17.5661, 1.699812, 200, 99.70532
2017-06-16 16:47:06.1, 17.50391, 1.70091, 200, 99.70166
2017-06-16 16:47:21.1, 17.37447, 1.703198, 200, 99.698
2017-06-16 16:47:36.2, 17.32788, 1.704023, 200, 99.6958
2017-06-16 16:47:51.3, 17.26976, 1.705054, 200, 99.69775
2017-06-16 16:48:06.3, 17.17536, 1.70673, 200, 99.7019
2017-06-16 16:48:21.4, 17.1104, 1.707886, 200, 99.69946
2017-06-16 16:48:36.5, 17.01147, 1.709649, 200, 99.69507
2017-06-16 16:48:51.6, 16.90422, 1.711564, 200, 99.69922
2017-06-16 16:49:06.7, 16.86894, 1.712195, 200, 99.70996
2017-06-16 16:49:21.7, 16.80923, 1.713264, 200, 99.698
2017-06-16 16:49:36.8, 16.83147, 1.712866, 200, 99.69385
2017-06-16 16:49:51.9, 16.86932, 1.712189, 200, 99.69873
2017-06-16 16:50:07.0, 16.95022, 1.710742, 200, 99.70166
2017-06-16 16:50:22.1, 17.0909, 1.708233, 200, 99.70044
2017-06-16 16:50:37.1, 17.20902, 1.706132, 200, 99.70337
2017-06-16 16:50:52.1, 17.34345, 1.703748, 200, 99.7041
2017-06-16 16:51:07.2, 17.48002, 1.701332, 200, 99.70239
2017-06-16 16:51:22.2, 17.62022, 1.698859, 200, 99.70386
2017-06-16 16:51:37.3, 17.70567, 1.697355, 200, 99.70288
2017-06-16 16:51:52.4, 17.83324, 1.695115, 200, 99.70605
2017-06-16 16:52:07.5, 17.97623, 1.692611, 200, 99.70703
2017-06-16 16:52:22.6, 18.02441, 1.691769, 200, 99.69897
2017-06-16 16:52:37.6, 18.19317, 1.688826, 200, 99.70166
2017-06-16 16:52:52.7, 18.30614, 1.686862, 200, 99.70337
2017-06-16 16:53:07.8, 18.44767, 1.684408, 200, 99.7085
2017-06-16 16:53:22.9, 18.54539, 1.682718, 200, 99.69653
2017-06-16 16:53:37.9, 18.65641, 1.680801, 200, 99.70361
2017-06-16 16:53:53.0, 18.69064, 1.680212, 200, 99.70044
2017-06-16 16:54:08.1, 18.76245, 1.678975, 200, 99.70386
2017-06-16 16:54:23.2, 18.83497, 1.677728, 200, 99.70313
2017-06-16 16:54:38.3, 18.89671, 1.676669, 200, 99.70288
2017-06-16 16:54:53.3, 18.89931, 1.676624, 200, 99.70288
2017-06-16 16:55:08.4, 19.02647, 1.674445, 200, 99.69995
2017-06-16 16:55:23.5, 19.00828, 1.674757, 200, 99.70044
