Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-17 18:19:25.3, 103.5469, 2.266541, 200, 100.3394
2017-10-17 18:19:40.3, 103.6112, 2.266321, 200, 100.3386
2017-10-17 18:19:55.4, 103.6266, 2.266269, 200, 100.3403
2017-10-17 18:20:10.4, 103.6156, 2.266306, 200, 100.3376
2017-10-17 18:20:25.5, 103.528, 2.266605, 200, 100.3396
2017-10-17 18:20:40.6, 103.6324, 2.266249, 200, 100.3411
2017-10-17 18:20:55.7, 103.4979, 2.266708, 200, 100.3389
2017-10-17 18:21:10.8, 103.4957, 2.266715, 200, 100.342
2017-10-17 18:21:25.8, 103.6339, 2.266244, 200, 100.3379
2017-10-17 18:21:41.1, 103.5227, 2.266623, 200, 100.3394
2017-10-17 18:21:56.1, 103.5485, 2.266535, 200, 100.3416
2017-10-17 18:22:11.2, 103.6466, 2.266201, 200, 100.343
2017-10-17 18:22:26.3, 103.5786, 2.266433, 200, 100.3389
2017-10-17 18:22:41.3, 103.5728, 2.266453, 200, 100.3394
2017-10-17 18:22:56.4, 103.5927, 2.266384, 200, 100.3413
2017-10-17 18:23:11.5, 103.6628, 2.266145, 200, 100.3418
2017-10-17 18:23:26.6, 103.523, 2.266622, 200, 100.3423
2017-10-17 18:23:41.6, 103.4203, 2.266973, 200, 100.3435
2017-10-17 18:23:56.7, 103.6423, 2.266216, 200, 100.3403
2017-10-17 18:24:11.8, 103.5331, 2.266588, 200, 100.3396
2017-10-17 18:24:26.8, 103.5751, 2.266445, 200, 100.3413
2017-10-17 18:24:41.9, 103.5159, 2.266647, 200, 100.3433
2017-10-17 18:24:57.0, 103.4893, 2.266737, 200, 100.3411
2017-10-17 18:25:12.1, 103.6213, 2.266287, 200, 100.3411
2017-10-17 18:25:27.2, 103.4104, 2.267007, 200, 100.3398
2017-10-17 18:25:42.2, 103.35, 2.267213, 200, 100.3403
2017-10-17 18:25:57.3, 103.5106, 2.266665, 200, 100.3401
2017-10-17 18:26:12.4, 103.5376, 2.266572, 200, 100.3416
2017-10-17 18:26:27.5, 103.4351, 2.266922, 200, 100.343
2017-10-17 18:26:42.5, 103.4409, 2.266903, 200, 100.3379
2017-10-17 18:26:57.6, 103.5416, 2.266559, 200, 100.3398
2017-10-17 18:27:12.7, 103.4592, 2.26684, 200, 100.3386
2017-10-17 18:27:27.8, 103.4406, 2.266904, 200, 100.3413
2017-10-17 18:27:42.8, 103.4524, 2.266863, 200, 100.3406
2017-10-17 18:27:57.9, 103.4623, 2.266829, 200, 100.3389
2017-10-17 18:28:12.9, 103.3223, 2.267308, 200, 100.3406
2017-10-17 18:28:28.0, 103.4233, 2.266963, 200, 100.3408
2017-10-17 18:28:43.0, 103.4566, 2.266849, 200, 100.3406
2017-10-17 18:28:58.1, 103.4285, 2.266945, 200, 100.3384
2017-10-17 18:29:13.2, 103.4598, 2.266838, 200, 100.3391
2017-10-17 18:29:28.3, 103.3674, 2.267153, 200, 100.3398
2017-10-17 18:29:43.3, 103.4923, 2.266727, 200, 100.3398
2017-10-17 18:29:58.4, 103.3771, 2.26712, 200, 100.3362
2017-10-17 18:30:13.5, 103.3806, 2.267108, 200, 100.3384
2017-10-17 18:30:28.6, 103.4692, 2.266806, 200, 100.3352
2017-10-17 18:30:43.6, 103.4261, 2.266953, 200, 100.3372
2017-10-17 18:30:58.7, 103.4915, 2.26673, 200, 100.3357
2017-10-17 18:31:13.8, 103.4772, 2.266778, 200, 100.3367
2017-10-17 18:31:28.8, 103.478, 2.266776, 200, 100.3389
2017-10-17 18:31:43.8, 103.4748, 2.266787, 200, 100.3379
2017-10-17 18:31:58.9, 103.3618, 2.267172, 200, 100.3362
2017-10-17 18:32:14.0, 103.4614, 2.266833, 200, 100.3391
2017-10-17 18:32:29.1, 103.442, 2.266899, 200, 100.3359
2017-10-17 18:32:44.2, 103.3112, 2.267345, 200, 100.3406
2017-10-17 18:32:59.2, 103.4099, 2.267008, 200, 100.342
2017-10-17 18:33:14.3, 103.5427, 2.266555, 200, 100.3384
2017-10-17 18:33:29.4, 103.3505, 2.267211, 200, 100.3403
2017-10-17 18:33:44.5, 103.3765, 2.267123, 200, 100.3376
2017-10-17 18:33:59.5, 103.4189, 2.266978, 200, 100.3408
2017-10-17 18:34:14.6, 103.4367, 2.266917, 200, 100.3401
2017-10-17 18:34:29.7, 103.3636, 2.267166, 200, 100.3391
2017-10-17 18:34:44.8, 103.4763, 2.266782, 200, 100.3386
2017-10-17 18:34:59.8, 103.405, 2.267025, 200, 100.3396
2017-10-17 18:35:14.9, 103.4695, 2.266805, 200, 100.3411
2017-10-17 18:35:30.0, 103.3748, 2.267128, 200, 100.3389
2017-10-17 18:35:45.1, 103.3856, 2.267091, 200, 100.3381
2017-10-17 18:36:00.1, 103.3889, 2.26708, 200, 100.3384
2017-10-17 18:36:15.2, 103.3306, 2.267279, 200, 100.3406
