Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-16 19:41:24.5, 97.22461, 2.288319, 200, 100.293
2017-10-16 19:41:39.6, 97.24591, 2.288245, 200, 100.2976
2017-10-16 19:41:54.6, 97.16199, 2.288537, 200, 100.2986
2017-10-16 19:42:09.7, 97.16351, 2.288532, 200, 100.2983
2017-10-16 19:42:24.8, 97.2041, 2.288391, 200, 100.2964
2017-10-16 19:42:39.8, 97.23273, 2.288291, 200, 100.2998
2017-10-16 19:42:54.8, 97.17731, 2.288484, 200, 100.2983
2017-10-16 19:43:09.9, 97.34601, 2.287897, 200, 100.3013
2017-10-16 19:43:25.0, 97.19281, 2.28843, 200, 100.3005
2017-10-16 19:43:40.0, 97.26959, 2.288163, 200, 100.3032
2017-10-16 19:43:55.1, 97.13385, 2.288635, 200, 100.3035
2017-10-16 19:44:10.2, 97.33868, 2.287923, 200, 100.3022
2017-10-16 19:44:25.3, 97.26569, 2.288177, 200, 100.3047
2017-10-16 19:44:40.3, 97.31409, 2.288008, 200, 100.3057
2017-10-16 19:44:55.4, 97.26129, 2.288192, 200, 100.3032
2017-10-16 19:45:10.5, 97.27441, 2.288146, 200, 100.3032
2017-10-16 19:45:25.6, 97.34094, 2.287915, 200, 100.3035
2017-10-16 19:45:40.7, 97.15338, 2.288567, 200, 100.3022
2017-10-16 19:45:55.7, 97.17346, 2.288497, 200, 100.3042
2017-10-16 19:46:10.8, 97.25433, 2.288216, 200, 100.303
2017-10-16 19:46:25.9, 97.16174, 2.288538, 200, 100.3035
2017-10-16 19:46:41.0, 97.22992, 2.288301, 200, 100.3049
2017-10-16 19:46:56.0, 97.08997, 2.288788, 200, 100.3044
2017-10-16 19:47:11.1, 97.13416, 2.288634, 200, 100.3003
2017-10-16 19:47:26.2, 97.08032, 2.288821, 200, 100.3025
2017-10-16 19:47:41.3, 97.2337, 2.288288, 200, 100.3
2017-10-16 19:47:56.3, 97.1618, 2.288538, 200, 100.3005
2017-10-16 19:48:11.4, 97.07947, 2.288824, 200, 100.2979
2017-10-16 19:48:26.5, 97.26331, 2.288185, 200, 100.2969
2017-10-16 19:48:41.6, 97.13623, 2.288627, 200, 100.2986
2017-10-16 19:48:56.6, 97.20392, 2.288391, 200, 100.2947
2017-10-16 19:49:11.7, 97.18469, 2.288458, 200, 100.2976
2017-10-16 19:49:26.8, 97.25171, 2.288225, 200, 100.2954
2017-10-16 19:49:41.9, 97.10651, 2.28873, 200, 100.2957
2017-10-16 19:49:56.9, 97.14453, 2.288598, 200, 100.2976
2017-10-16 19:50:12.0, 97.23328, 2.288289, 200, 100.2998
2017-10-16 19:50:27.1, 94.83484, 2.296661, 200, 100.2971
2017-10-16 19:50:42.2, 91.4198, 2.308687, 200, 100.2961
2017-10-16 19:50:57.3, 90.03143, 2.313612, 200, 100.2986
2017-10-16 19:51:12.3, 89.48755, 2.315547, 200, 100.2974
2017-10-16 19:51:27.4, 89.58734, 2.315192, 200, 100.2932
2017-10-16 19:51:42.5, 89.63129, 2.315036, 200, 100.2935
